start,end,text
0,4000," Jeg hedder Vibe Kemalike, jeg er læge, jeg har en Ph.D."
4000,7000," Og så skal jeg lige sikre mig, at teknikken den fungerer."
7000,8000," Hang on!"
8000,10000," Det ser ud til, at den fungerer."
10000,12000," Det håber vi i hvert fald."
12000,15000," Anyways, velkommen til."
15000,19000," Jeg lovede at lave en live-video her."
19000,24000," Det som jeg synes lige nu er meget, meget kendetegnende for befolkningen."
24000,32000," Det er, at, sådan sagt meget simpelt, de ignorante, de dumme udskammer."
32000,36000," Ikke mindst du vaccinerede til at være en del af det dårlige selskab."
36000,39000," Lad mig slå én ting meget klart fast."
39000,41000," Og med syv tommer søvn."
41000,46000," Vaccinernes virkning aftager markant hurtigere end håbet."
46000,48000," Faktisk i løbet af ganske få måneder."
48000,52000," Det har forskning fra blandt andet Israel netop vist."
52000,55000," Men det har tre fine studier netop vist."
55000,60000," Og været bragt i det et af de mest anerkendte medicinske tidsskrifter i verden."
60000,62000," Nemlig ""Neungengelup-medicin""."
62000,67000," Samtidig har opgørelser fra Serum Instituttet over danske tal."
67000,73000," Ganske enkelt vist, at vaccinenes beskyttelse aftager rapidt."
73000,74000," Altså meget hurtigt."
74000,76000," Jeg har lagt grafen op."
76000,80000," Og jeg lægger den gerne op igen i kommentarfeltet på den her video."
81000,83000," Til gengæld kan vi se, at de samme tal."
83000,86000," At dem af os, der har været smittet naturligt."
86000,88000," Hvad jeg blandt andet har."
88000,94000," Jamen der er vores immunforsvar og dermed risikoen for at få en ny covid-19 meget meget lille."
94000,97000," Det viser tallene også fra Serum Instituttet."
97000,100000," Og derfor må jeg bare sige én gang for alle."
100000,103000," Det forbliver et privat valg."
103000,105000," Om man vil vaccineres eller ej."
105000,106000," That's it."
106000,110000," Jeg oplever nu meget stor bekymring fra rigtig mange."
110000,111000," Jeg skal lige se om I kan høre mig."
111000,112000," Det håber jeg I kan."
112000,115000," Lyden er meget lav, bliver der sagt."
115000,118000," Lad os se om jeg kan gøre noget ved det."
118000,120000," Måske jeg skal lidt tættere på."
120000,121000," Jeg er lidt lav."
121000,122000," Kan du skrue op for lyden?"
122000,125000," Jeg ved ikke om jeg kan skrue op, men jeg forsøger da."
125000,126000," Jeg håber."
126000,128000," Er det lidt bedre det her?"
128000,130000," Det håber jeg."
130000,132000," Ellers så må jeg tale lidt højere."
132000,133000," Kan I høre noget derude?"
133000,135000," Bum bum."
135000,136000," Kan I høre noget?"
136000,138000," Prøv lige at se om I kan svare mig en gang."
138000,139000," Altså."
139000,141000," Det er lidt lavt."
141000,142000," Jeg har altså prøvet at skrue op."
142000,143000," Men prøv lige at se."
143000,144000," Kan I høre mig?"
144000,147000," Nu er der så ingen der kan høre noget."
147000,149000," Prøv lige at svare en gang."
149000,150000," Kan du skrue op?"
150000,151000," Bliver der sagt."
151000,152000," Kan du skrue op?"
152000,153000," Kan du skrue op?"
153000,154000," Den er god."
154000,155000," Tak."
155000,156000," Det går."
156000,157000," Jeg prøver at tale lidt højere."
157000,159000," Og så gør jeg som sagt."
159000,160000," Vilm Kemannike."
160000,161000," Læge."
161000,162000," PhD."
162000,165000," Og så vil jeg tale lidt omkring det her med vaccinerne."
165000,167000," Som jeg også startede med at sige."
167000,168000," Jeg gentager det lige."
168000,171000," Så har ny forskning vist."
171000,173000," Eller bekræftet."
173000,177000," At vaccinernes virkning aftager meget meget hurtigt."
177000,179000," Faktisk i løbet af ganske få måneder."
179000,182000," Vi taler om to eller tre måneder."
182000,185000," Det har studier vist i New England Journal of Medicine."
185000,186000," Der lige har været bragt."
186000,187000," Faktisk tre forskellige studier."
187000,191000," Men det har også aktuelle tal fra Serum Instituttet vist."
191000,197000," Nemlig at virkning af vaccinerne falder med rapid, altså hurtig hastighed."
197000,200000," Til gengæld også der har været smittet naturligt."
200000,204000," Jamen der er vores risiko for at få COVID-19 igen."
204000,207000," Ud fra de tal vi har."
207000,210000," Meget meget lille."
210000,211000," Altså risikoen."
211000,212000," Tilbage er."
212000,213000," Jamen jeg prøver at tale lidt højere."
213000,215000," Så må jeg ellers selv skrue op for jeres egen."
215000,217000," Hvad hedder det?"
217000,218000," Højtaler."
218000,219000," Men jeg taler så højt jeg nu kan."
220000,221000," Så det betyder altså."
221000,223000," At det her."
223000,226000," Den her enfoldighed som vi møder."
226000,227000," Så sent som i dag."
227000,228000," Så jeg i Bernske."
228000,231000," Nu er de jo i Bernske en af dem der har været med til i den grad."
231000,233000," At skubbe på frygt narrativet."
233000,234000," Så jeg er ikke fan af Bernske."
234000,235000," Men jeg så også."
235000,238000," At de gav en læge mikrofonen op i snuden."
238000,239000," Og hun sagde."
239000,240000," Undskyld jeg siger det."
240000,241000," Dumt som hun er."
241000,245000," At hun ville ikke."
245000,248000," Være venner med dem som ikke var vaccineret."
248000,250000," Det."
250000,251000," Altså."
251000,252000," Når man læser sådan en."
252000,253000," Så tænker man."
253000,255000," Hellig enfoldighed."
255000,257000," Det er der fuldstændig ku."
257000,259000," Hvor blev der af ordentlighed."
259000,261000," Hvor blev der af."
261000,262000," Man som læge."
262000,264000," Her det kunne hjælpe med en læge."
264000,265000," Der siger sådan noget vås."
265000,266000," Hvor blev der."
266000,268000," Af det med at sætte sig ind i fakta."
268000,270000," Det er jo gruefuldt."
270000,272000," Et er den udskramning."
272000,274000," Men det som jeg også synes det afslører."
274000,276000," Det er måske det jeg næsten bliver mest."
276000,278000," Mismod i år."
278000,280000," Det er at en læge er så enfoldigt dum."
280000,282000," At hun stiller sig frem."
282000,284000," Og siger sådan noget vås."
284000,286000," Så har hun altså ikke sat sig ind i fakta."
286000,288000," Nemlig at vaccinerne virker i meget kort tid."
288000,290000," Så har hun ikke."
290000,292000," Så påskønner hun ikke ytringsfriheden."
292000,294000," Hun påskønner ikke den person i."
294000,296000," Frihed følger grundloven."
296000,298000," Det er på alle måder."
298000,300000," Kuk i låget."
300000,302000," Og som jeg altid siger."
302000,304000," Hey sæt dig nu ind i fakta kammerat."
304000,306000," Og hvad viser de?"
306000,308000," De viser."
308000,310000," At vaccinerne virker i uhyggelig kort tid."
310000,312000," Sagt på en anden måde."
312000,314000," 2-3 måneder i bedste fald."
314000,316000," Og det her er ikke noget jeg finder på."
316000,318000," Det er ikke noget jeg har kigget i kaffegrums."
318000,320000," Som for eksempel Henrik Ullum."
320000,322000," Når han kommer med en eller anden hjemlaget graf."
322000,324000," Det er ganske enkelt fakta."
324000,326000," Blandt andet fakta fra Serum Instituttet."
326000,328000," Til gengæld ved vi."
328000,330000," At dem der har været smittet naturligt."
330000,332000," Jamen der er vores immunitet."
332000,334000," Så god."
334000,336000," Så risikoen for at blive smittet igen."
336000,338000," Så far er minimalt."
338000,340000," Hvad er det jeg forsøger at sige?"
340000,342000," Hey keep it private."
342000,344000," Det interesserer ikke mig."
344000,346000," Det rager mig faktisk ikke om du vaccinerer."
346000,348000," På samme måde."
348000,350000," Bør det heller ikke interessere dig."
350000,352000," Eller rage dig om jeg vaccinerer."
352000,354000," Keep it private."
354000,356000," Når det så er sagt."
356000,358000," Kan jeg personligt være bekymret for."
358000,360000," Alle de vaccinerede."
360000,362000," Som ikke lade sig teste."
362000,364000," Når de for eksempel skal besøge."
364000,366000," Udsatte gamle."
366000,368000," Familie medlemmer."
368000,370000," For det er jo i bund og grund."
370000,372000," De udsatte, de gamle, de sårbare vi skal beskytte."
372000,374000," De kan tage en vaccine hvis de er trygge ved det."
374000,376000," Men i bund og grund handler det jo."
376000,378000," Om de sidder vanligt i gode måder."
378000,380000," At omgå hinanden på."
380000,382000," Hvis og når vi måtte føle os syge."
382000,384000," Eller være udsat for en eller anden smitsom sygdom."
384000,386000," Og det betyder jo."
386000,388000," At på en eller anden måde."
388000,390000," Pakkede sig ind i en eller anden en folkehedskarpe."
390000,392000," Som gør at de tror."
392000,394000," At de ikke kan smitte nogen."
394000,396000," Hallo? 80% af de smittede."
396000,398000," Det er faktisk vaccineret."
398000,400000," Og vaccineret smitter fuldstændig som uvaccineret."
400000,402000," Poenget er så dog."
402000,404000," At uvaccineret som udgangspunkt."
404000,406000," Drager god omsorg for en fin hygiene."
406000,408000," Lader være med at gå ud i samfundet."
408000,410000," Hvis de er syge."
410000,412000," Og der specielt ikke med de sårbare."
412000,414000," Giver ikke en trutter hvis de er i tvivl om de er syge."
414000,416000," Og så tager de."
416000,418000," Selvfølgelig en test."
418000,420000," Og i dag med spydtest."
420000,422000," Kviktest og hjemmetest."
422000,424000," Så er der ingen undskyldning."
424000,426000," I så fald man er bekymret for at man er smittet."
426000,428000," At man lige tager en test."
428000,430000," Så alt sammen for at sige."
430000,432000," Den her udskamning vi ser."
432000,434000," Og jeg oplever den jo også."
434000,436000," Husk jeg i går havde vi jo en skøn julestue."
436000,438000," Inden på blejdomsvej."
438000,440000," Og jeg blev så ked af det at høre."
440000,442000," Hvor mange af jer som fortæller."
442000,444000," Om udskamning i familien."
444000,446000," At I ikke kom til jul hvis ikke I er vaccineret."
446000,448000," Der er fester I ikke må komme til."
448000,450000," Og ikke er blevet inviteret til."
450000,452000," Fordi I var uvaccineret."
452000,454000," Det er jo grufuldt."
454000,456000," Men jeg må omvendt også sige."
456000,458000," Hey."
458000,460000," Fat mod min ven."
460000,462000," Fordi det her er jo en tid."
462000,464000," Hvor vi er nødt til at sige."
464000,466000," Og erkende."
466000,468000," At nogen som vi troede var venner."
468000,470000," De har nok forvandlet sig til bekendte."
470000,472000," Og nogen der var bekendte."
472000,474000," De er faktisk blevet til rigtig gode venner."
474000,476000," Og det er det sidste."
476000,478000," Du skal bruge krudt på."
478000,480000," Fordi jeg har det sådan lidt."
480000,482000," Som en særing også siger."
482000,484000," Indfremad af en ven du endnu ikke har mødt."
484000,486000," Altså."
486000,488000," Vi er nødt til at erkende."
488000,490000," At i den her lange periode."
490000,492000," I corona vanvittigt."
492000,494000," Der er der nogen."
494000,496000," Og det er du forhåbentlig en af dem."
496000,498000," Som har formået at sætte sig ind i fakta."
498000,500000," Som har formået at forstå fakta."
500000,502000," Som har formået at forstå fakta."
502000,504000," Som har formået at forstå hvad jeg blandt andet har sagt."
504000,506000," Igen og igen og igen."
506000,508000," Alene baseret på fakta."
508000,510000," Og så er der andre som er blevet fuldstændig hjernevasket."
510000,512000," Har siddet og nedslidet nyhederne."
512000,514000," Og blev bange."
514000,516000," Mere bange. Rigtig bange."
516000,518000," Og ikke har forstået at bevare den kritiske sands."
518000,520000," Ikke har forstået at samle det."
520000,522000," Til at forstå hvad der bliver sagt."
522000,524000," Blandt andet hvad jeg har forsøgt at skære ud i pap."
524000,526000," Og de er bange."
526000,528000," De er rigtig bange."
528000,530000," Og vi bør faktisk have rigtig ondt af dem."
530000,532000," Men er man hjernevasket."
532000,534000," Er man fuldstændig blind for fakta."
534000,536000," Så er det meget svært at nå ind bagved."
536000,538000," Så er det meget svært at nå ind bagved."
538000,540000," Og der må du så bare kende."
540000,542000," Det er ikke dem du skal bruge kryd på."
542000,544000," Så på en eller anden måde kan det som end også være udmærket"
544000,546000," Så på en eller anden måde kan det som end også være udmærket"
546000,548000," at få ryddet lidt op i vennekredsen."
548000,550000," At sige okay."
550000,552000," Jeg har mistet respekten."
552000,554000," Sådan er det."
554000,556000," Og de har måske også mistet respekten for mig."
556000,558000," Jamen så søg hen hvor du bliver påskyndet."
558000,560000," Fordi vi bliver også kun den bedste udgave af os selv."
560000,562000," Fordi vi bliver også kun den bedste udgave af os selv."
562000,564000," Hvis vi er sammen med nogen der påskynder os."
564000,566000," Hvis vi er sammen med nogen der påskynder os."
566000,568000," Jeg personligt."
568000,570000," Jamen altså hvis jeg er sammen med nogen."
570000,572000," Hvor jeg føler mig som."
572000,574000," Hvad skal man sige."
574000,576000," En der ikke hører til."
576000,578000," Jamen så er det heller ikke den bedste udgave af mig selv."
578000,580000," Hvorimod hvis jeg er sammen med nogen."
580000,582000," Hvor jeg ved de elsker mig."
582000,584000," Eller kan lide mig."
584000,586000," Og selvom der kan være ting vi er uenige om."
586000,588000," Jamen så synes jeg at jeg sprudler og blomstrer."
588000,590000," Og bare er en charmeur."
590000,592000," Charmeurbøf."
592000,594000," Ganske enkelt."
594000,596000," Sådan er det."
596000,598000," Så du skal være sammen med primært dem som kan lide dig."
598000,600000," Som den du er."
600000,602000," Uagtet."
602000,604000," Og du har taget en vaccine eller ej."
604000,606000," Eller taget den tredje vaccine."
606000,608000," Fordi jeg oplever jo også nu."
608000,610000," Meget meget stor bekymring faktisk."
610000,612000," Hos rigtig mange af os som er blevet vaccineret."
612000,614000," Første og anden gang."
614000,616000," Og nu med god ret er bekymret for tredje booster."
616000,618000," Så det her handler i bund og grund slet ikke om."
618000,620000," Vaccineret eller uvaccineret."
620000,622000," Det er private."
622000,624000," Det handler om."
624000,626000," At være et ordentligt menneske."
626000,628000," Og det handler om at erkende."
628000,630000," Jamen for pokker da."
630000,632000," Der er der mange ting vi kan være enige om."
632000,634000," Men der er som også mange ting vi kan være uenige om."
634000,636000," That's life."
636000,638000," Og sådan har det jo tidligere kunne fungere i familierne."
638000,640000," Vi kunne være politiske uenige."
640000,642000," Jamen så er der nogle ting hvor vi bare siger."
642000,644000," Rog på. Lad det nu være."
644000,646000," Lad være med at tale om det."
646000,648000," Og derfor synes jeg."
648000,650000," At du personligt skal gå lidt op med dig selv."
650000,652000," Hvem vil du blive ved med at have en relation til."
652000,656000," Hvem er vigtig for dig."
656000,658000," Hvem er mindre vigtig."
658000,660000," Søg derhen hvor du føler dig godt tilpas."
660000,662000," Og hvor du har lov til at være uenig."
662000,664000," Og for der hvor man så vil gerne bevare en relation."
664000,666000," Så mener jeg også."
666000,668000," Det skal være helt legitimt at sige."
668000,670000," Og der er nogle ting vi bare skal være med at diskutere."
670000,672000," Vi har sådan."
672000,674000," Og det vil jeg meget varmt anbefale."
674000,676000," Vi har i vores familie."
676000,678000," Altså den nære familie."
678000,680000," Der har vi sådan nogle safe words."
680000,682000," Det er sådan lidt inspireret."
682000,684000," Nu er jeg ikke til SM."
684000,686000," Men jeg har altid været fascineret af det her med."
686000,688000," At uha."
688000,690000," Altså sad du med et surkistisk sex."
690000,692000," Der er det sådan lidt."
692000,694000," Kvæl mig, kvæl mig, kvæl mig."
694000,696000," Og så har jeg tit tænkt som læge."
696000,698000," Jeg har lært jeg for mange år siden."
698000,700000," At så bruger man et safe word."
700000,702000," Som for eksempel pingvin."
702000,704000," Nu har jeg aldrig prøvet SM."
704000,706000," Og jeg er ikke til SM."
706000,708000," Men jeg har til gengæld prøvet at bruge et safe word."
708000,710000," I forhold til for eksempel min mand."
710000,712000," Det kender vi alle sammen."
712000,714000," Altså man diskuterer det samme."
714000,716000," Så siger den ene, så siger den anden."
716000,718000," Så siger den ene igen, så siger den anden."
718000,720000," Og sådan kan man sådan set fortsætte en halv time."
720000,722000," Hvor man sådan set bare kører ind."
722000,724000," Og der har vi."
724000,726000," Vi har været ud af rigtig mange dårlige skænderier."
726000,728000," Ved at vi så har et safe word."
728000,730000," Og det er så."
730000,732000," Vi ændrer det lidt undervejs."
732000,734000," Men det er så lige for tiden."
734000,736000," Chanel."
736000,738000," Og det vil sige, at når den ene siger Chanel."
738000,740000," Ikke fordi jeg så ved, at jeg får en ny Chanel taske."
740000,742000," Det er ikke det."
742000,744000," Men så ligesom, ja du har sgu ret."
744000,746000," Vi har sagt det her 100 gange før."
746000,748000," Vi stopper bare her."
748000,750000," Og vi er enige om, at vi er uenige."
750000,752000," Og ved du hvad, det er ekstremt effektivt."
752000,754000," Vi kan gerne blive ved med at have en relation til."
754000,756000," Jeg ved, at der er nogle ting, vi bare ikke kan diskutere."
756000,758000," For eksempel vacciner."
758000,760000," Og fordi de er hjernevasket."
760000,762000," Så tag et tagefrygt."
762000,764000," Det kan være Chanel, det kan være penguin."
764000,766000," Eller det kan være krudtugle."
766000,768000," Eller det kan være honey."
768000,770000," I don't know."
770000,772000," Men bare noget, hvor man på forhånd er enige om."
772000,774000," Der er nogle ting, vi sådan set kan være uenige om."
774000,776000," Vi elsker hinanden alligevel."
776000,778000," Men så bruger vi det ord."
778000,780000," Honey. Yes. Så diskuterer vi ikke mere."
780000,782000," Det var, hvad jeg havde i forhold til det."
782000,789000," Men det er også meget vigtigt at forstå, at det her er også en test på, skal vi sige, befolkningens dumhed eller intelligens."
789000,798000," Og jeg bliver da personligt bekymret, når jeg ser, at formanden for epidemiudvalget i Folketinget, det er i mine øjne en ufattelig dum politiker."
798000,800000," Ikke, at det siger noget om hende."
800000,802000," Jeg tror, hun er sociohjælpere, eller sociopræsident."
802000,804000," De kan godt være rigtig dygtige."
804000,808000," Men hende her, Kirsten Norman Andersen, hun er i mine øjne ikke alene dum."
808000,810000," Hun er ondskabsfuld. Hun er modbydelig."
810000,812000," Og hun sidder som formand for epidemiudvalget."
812000,814000," Det, synes jeg, så er bekymrende."
814000,821000," Men et eller andet sted, må man sige, som jeg har sagt mange gange før, vi har desværre kun de politikere, vi fortjener."
821000,828000," Så det betyder, at hvis ikke vi bruger vores demokratiske ret, og jeg vil sige pligt, til at tage imod det vanvittige, vi bliver udsat for,"
828000,835000," så får vi desværre sådan nogle tosser til at sidde for bordinde i et lige nu meget vigtigt udvalg."
835000,837000," Det er de demokratiske spilleregler."
837000,841000," Men vi har også lov til at være bekymret for det."
