start,end,text
0,10000," Jeg hedder Wim Kemannike, jeg er læge, jeg har en PUD, og så har jeg fulgt det her corona-helvede lige fra starten."
10000,17000," Jeg kan jo med sindsro se tilbage på et år - der er jo gået et år - hvor jeg havde ret fra starten."
17000,24000," Jeg sagde fra starten, ud fra fakta, ud fra tallene, ud fra hvad vi vidste i forhold til smitteveje, i forhold til virusliv osv."
24000,31000," Jeg sagde fra starten for et år siden, at vi ikke kom ind i en bravende epidemi, for det var ganske enkelt for sent på året."
31000,35000," Jeg fik ret dengang, og det er det samme, jeg siger igen nu."
35000,44000," Nemlig at på det her tidspunkt, fordi SARS-CoV-2, altså CoV-19, har en sæsonvariation,"
44000,50000," og den sæsonvariation gør, at vi ikke kommer til at komme ind i en bravende epidemi nu."
50000,54000," Det vil altså ganske enkelt ikke gøre, at vi får den tredje bølge."
54000,60000," Herudover har vi jo den famøse flokimmunitet, som jeg har snakket om en del gange nu,"
60000,69000," men det handler om dem, som har været smittet, og de har udviklet et antistof, eller hvad hedder det, immunforsvar for CoV-19."
69000,75000," Det handler om dem, som er blevet vaccineret, og så handler det om det her med erhvervet immunitet,"
75000,84000," som vi ser ved fx, hvad hedder det, MFR-vaccinen og Kalmette-vaccinen."
84000,86000," Du må meget gerne stille spørgsmål."
86000,91000," Jeg vil nu have fokus på søvn og corona."
91000,98000," Jeg skal lige se, om hele teknikken fungerer, fordi det nytter jo ikke noget, at jeg sidder her og underholder mig selv,"
98000,101000," fordi nogle af søvnrådene, dem kender jeg faktisk selv."
101000,105000," Jeg kan ikke se engang. Jo, den fungerer fint, det er godt."
105000,108000," Stille andelige spørgsmål undervejs."
108000,111000," Jeg vil have lidt fokus på corona og søvn."
111000,117000," Dagens tal er jo fantastisk fine, 0,3 procent af positive procenten nede på."
117000,121000," Det vil sige, at den er faldende."
121000,126000," Det kan vi forvente, og det var fuldstændig efter borgen, ud fra de ting, jeg har sagt."
126000,129000," Og nej, der kommer ikke en tredje bølge."
129000,134000," Jeg så og blev noget chokeret over faktisk, at her i forbindelse med epidemiologen,"
134000,140000," så har man gudhjælpe med sat covid-19 sammen med meget alvorlige dødelige sygdomme,"
140000,143000," som pest og kopper og SARS."
143000,145000," Og det er jeg egentlig ret rystet over."
145000,148000," Jeg synes, at det er sådan kommet ind af bagdøren,"
148000,153000," at man sådan har gjort det til det, vi før kaldte liste-af-sygdomme."
153000,156000," Nu ser det ud til, at man har ændret, hvordan man lister dem."
156000,161000," Men i hvert fald, at covid-19 er sammen med SARS og for mig at se, og kopper og pest,"
161000,167000," for mig at se, har man sådan lige sned den ind af bagdøren helt uden at diskutere det,"
167000,169000," helt uden at have fokus på det."
169000,172000," Det er jo meget, meget bekymrende for et demokrati."
172000,176000," Men det vidner jo om den måde, man har grebet covid-19 an,"
176000,178000," også fra Sundhedsstyrelsens side,"
178000,181000," og hvordan man har gået med på de her frygtfortællinger."
181000,185000," Jeg synes, det er fuldstændig garkelagt pip-pip og forud,"
185000,188000," for det skulle der selvfølgelig være gået en diskussion."
188000,191000," Men lad os lige starte med at se, hvad I stiller af spørgsmål,"
191000,195000," og så vil jeg gerne lige komme ind på det her med søvn."
195000,198000," Yes, godt."
198000,201000," Hvordan kan covid-19 komme på liste-af-sygdomme sammen med Ebola?"
201000,203000," Præcis, hvordan lader det så gøre?"
203000,206000," Det er jo fuldstændig vanvittigt."
206000,209000," De sygdomme er slet ikke sammenlignelige."
209000,211000," Og jeg er lige så rystet som du er."
211000,213000," Jeg troede først, da jeg hørte det, at det var en and,"
213000,215000," og det ved jeg en del af mine kolleger også tænkte."
215000,219000," Og nej, det står faktisk, hvis du går ind på retsinformation,"
219000,222000," og det er skudt i låget for at sige det lige ud."
222000,224000," Men det gode i demokrati er jo,"
224000,228000," at vi heldigvis stadigvæk har lov til at være uenige,"
228000,233000," og vi har lov til at kritisere trods alt det,"
233000,237000," man finder på af vanvittige tiltag fra Engmans regeringsside,"
237000,240000," bistået i det her tilfælde af Sundhedsstyrelsen."
240000,242000," Men jeg vil godt lige ind."
242000,244000," Jeg skal nok svare i jeres spørgsmål,"
244000,248000," og I må også meget gerne selvfølgelig sende til mig en privat besked."
248000,251000," Jeg skal så sige, at jeg er jo så begunstiget,"
251000,254000," at jeg har rigtig mange af jer som gode venner på Facebook,"
254000,257000," og LinkedIn og min blog."
257000,261000," Så det er ikke alle, jeg får svaret."
261000,264000," Der var en lille kryllert."
264000,267000," Men jeg skal gøre mit bedste."
267000,271000," Anyways, vi skal tilbage til søvn."
271000,272000," Jeg vil godt lige sige lidt om søvn."
272000,276000," Som du kan se, er der også et godt tilbud på min søvnbog."
276000,279000," Den kan lånes i øvrigt gratis på biblioteket."
279000,281000," Jeg har i mange år beskæftet mig med søvn."
281000,283000," Jeg har i mange år undervist i søvn."
283000,285000," Det gør jeg stadigvæk både for at tage børns søvn,"
285000,288000," voksens søvn, ældres søvn osv."
288000,291000," Har udgivet rigtig meget materiale, pjes og bøger."
291000,294000," Så her i efteråret kom så min nye søvnbog,"
294000,297000," ""Sov godt, din vej til bedre søvn""."
297000,302000," Det er en lille letlæs bog, som mange af jer allerede har købt."
302000,303000," Og tak for det."
303000,306000," Jeg ved også, at en del af jer allerede har fået glæde af den."
306000,309000," Jeg er selv lidt af en sovetrym."
309000,311000," Ikke på den måde, at jeg sover meget,"
311000,313000," eller mere end jeg skal."
313000,318000," Men jeg henter rigtig meget styrke og kraft og saft,"
318000,321000," og hvad skal man sige, ressourcer fra min søvn."
321000,323000," For 11 år siden mistede min mor."
323000,326000," Det var en meget, meget stor tab for mig og min familie."
326000,329000," Men der lærte jeg faktisk betydningen af det her ""Bomog"","
329000,332000," mod sover, skænkede Herren eller himlen os,"
332000,336000," håbet, søvn og latteren."
336000,338000," Jeg må sige håbet."
338000,340000," Nu er min mand jo også læge, og det er jeg selv jo."
340000,342000," Men det svandt hurtigt."
342000,345000," Det kunne vi godt se, det gik den forkerte vej med min mor."
345000,346000," Latteren."
346000,349000," Heldigvis er jeg så heldig, at ikke min mand,"
349000,351000," min mand kan få mig til at grine,"
351000,353000," så jeg flækker at grine, og det er jo en gave."
353000,355000," For meget ofte, når jeg græd,"
355000,358000," så endte jeg med at grine af et eller andet sjov,"
358000,359000," han sagde."
359000,361000," Og så var det ligesom, så kunne jeg lidt igen."
361000,363000," Du kender det garanteret selv."
363000,364000," Men søvn."
364000,366000," Jeg fandt ud af, hvor vigtig søvn var,"
366000,368000," hvis jeg nogensinde havde været i tvivl."
368000,372000," Fordi hvis ikke, at jeg der sov som en stenbær,"
372000,375000," så forfinede min søvnkunst til,"
375000,378000," jamen så ville jeg have været, som jeg plejer at sige,"
378000,379000," ind på den lukkede afdeling."
379000,380000," Det kom jeg ikke i nærheden af."
380000,382000," Jeg var aldrig i nærheden af en depression,"
382000,384000," men jeg var i dyb, dyb, dyb sov."
384000,387000," Og der ved du lige så godt som mig,"
387000,389000," uanset om du har oplevet en dyb sov eller ej,"
389000,391000," at når man er stresset,"
391000,392000," når man er ked af det,"
392000,393000," når man er vred,"
393000,394000," når man er frustreret,"
394000,396000," som nu med alt det her covid-hysteri,"
396000,398000," så ved du godt, at det er tit,"
398000,399000," når man lægger sig,"
399000,402000," at så kører tankerne rundt i hovedet på en,"
402000,404000," og man kan slet ikke finde ro."
404000,406000," Men der forfinede jeg min søvnkunst,"
406000,408000," fordi jeg var nødt til at sove,"
408000,411000," for at jeg kunne kæmpe mig igennem soven,"
411000,413000," selvfølgelig sammen med mine nærmeste."
413000,414000," Og det lykkedes."
414000,416000," Jeg bærer stadigvæk soven videre,"
416000,419000," men det lykkedes mig at forfinde min søvn,"
419000,421000," så selv da jeg var i dybe sov,"
421000,422000," så sov jeg som en sten."
422000,424000," Og jeg sover stadigvæk nu som en sten."
424000,425000," Der er mange gange,"
425000,426000," I spørger mig,"
426000,427000," også privat,"
427000,428000," jamen Bibke,"
428000,429000," hvordan er du kommet igennem alt det her,"
429000,431000," med al den modstand,"
431000,433000," det som du har sagt hele tiden,"
433000,434000," der ikke er blevet lyttet til,"
434000,436000," hele den frustration,"
436000,438000," hvordan har du klaret dig?"
438000,439000," Og jeg vil sige,"
439000,441000," mange ting spiller selvfølgelig ind,"
441000,443000," blandt andet din støtte også,"
443000,444000," og mange af jeres fine støtte,"
444000,446000," selvfølgelig min families,"
446000,448000," min mands og børnens støtte."
448000,449000," Men jeg må sige,"
449000,451000," sovnen er faktisk en del af nøglen,"
451000,453000," til at kunne klare et sådan arbejdspres,"
453000,455000," og frustration."
455000,456000," Og du kender det selv,"
456000,457000," sover man dårligt,"
457000,459000," så bliver næste dag fuldstændig,"
459000,460000," blim, blim, blim,"
460000,461000," man er fuldstændig,"
461000,462000," brrrr, hvad sker der?"
462000,464000," Hvorimod hvis man sover godt,"
464000,466000," så kan man overkomme meget mere,"
466000,468000," og det er så det, jeg gør."
468000,470000," Hvad er så svaret på vores bønder?"
470000,473000," Jamen, sovn har jo betydning for rigtig meget,"
473000,475000," det har betydning for vores sundhed,"
475000,477000," det har betydning for vores humør,"
477000,480000," det har faktisk også betydning for vores helbredelse."
480000,482000," Når vi ser nu her med COVID-19,"
482000,484000," der er faktisk allerede studier,"
484000,487000," der viser, at sovn kan være en del af helbredelsen,"
487000,488000," det er ikke helbredelsen alene,"
488000,489000," det er det ikke ved nogen sygdomme,"
489000,493000," men det kan være en væsentlig del af helbredelsen."
493000,497000," Jeg havde jo selv corona et halvt døgn af en nat med høj feber,"
497000,498000," det var det, jeg fik ud af det,"
498000,501000," og så mistede jeg lugtesalzen i en kort periode,"
501000,503000," men der sov jeg mig også raskt,"
503000,504000," altså det vil sige,"
504000,507000," at min sovn var medvirkende til, at jeg kom mig så hurtigt."
