start,end,text
0,10000," Hej, så er jeg tilbage. Jeg hedder Vibke Mannike, jeg er læge, jeg har en PhD, og så har jeg fulgt det her coronahelved lige fra starten."
10000,19000," Lad mig starte med dagens tal. De er snurlige, der er ikke noget at komme efter, der er ikke nogen bravende epidemi under opsejling,"
19000,24000," og jeg kan garantere dig endnu engang, at vi ikke er på vej ind i en tredje bølge."
24000,30000," Det sagde jeg allerede til dig i starten af året. Hvad var vi henne i februar, hvor vi har en sundhedsminister, som mente,"
30000,40000," uhuhu, i april der kom vi op på 870 indlagte. Nej, det gjorde vi ikke, og det kunne vi allerede se der, at det var simpelthen umuligt at komme derhen."
40000,49000," Vi har en matematiker, som mente også i starten af året, at lige omkring 1. april kunne vi, uhuhu, frygte, at der var 50.000 smittede."
49000,55000," Nej, det kunne vi ved Gud ikke, fordi hvis man kan læse tallene, og hvis man ved, hvordan epidemier bevæger sig,"
55000,61000," og hvis man ved, hvilken betydning bl.a. foråret har, og hvilken betydning immuniteten i befolkningen har,"
61000,67000," så nej, selvfølgelig vil vi være faretruende med alt det her. Det gjorde vi selvfølgelig heller ikke."
67000,75000," Så tallene, covid-19-tallene, er fuldstændig snurlige, de er fredsomlige, og det er således, at vi uden problemer,"
75000,81000," og det gjorde vi også for et års tid siden, kan åbne landet. For et år siden, da vi åbnede landet,"
81000,89000," der var der ingen mundbind, sjovt nok, der var ingen massetestning, som der er nu, sjovt nok,"
89000,97000," og der var ikke den immunitet, som der er i befolkningen, som der er nu. Og der skete intet ved at åbne landet."
97000,106000," Og det betyder altså, at nu har vi, glem de grimme mundbind, de giver ingen mening, men nu har vi altså immunitet i befolkningen,"
106000,112000," vi har fået vaccineret, og man kan lide det eller ej, men vi har fået vaccineret rigtig mange, vi har fået vaccineret de udsatte,"
112000,118000," vi har fået vaccineret plejepersonalet, og så har vi den immunitet i befolkningen med os, der har været smittet,"
118000,126000," og dermed har opbygget et immunforsvar over for Covid-19. Det vil sige, at vi med god ret kunne vurdt åbne op,"
126000,132000," helt uden problemer, helt uden alle de her mærkelige restriktioner med det ene og det andet, og jeg skal vise dig alt muligt,"
132000,140000," vi kunne bare vurdt åbne op. Forsvarligt, og uden at der vil ske noget som helst med smittetallet på nuværende tidspunkt."
140000,146000," De vil forblive lige så lave, som de er nu. De kan nok i virkeligheden ikke rigtig komme lavere,"
146000,153000," fordi ved de her tests, vi bruger, uanset om det er antigen-test eller om det er PCR-test, så er der altså det, vi kalder falsk-positiv."
153000,160000," Der vil altid være nogen, som selvom du hverken er syg eller smittet eller kan smitte andre, så banger man positivt ud."
160000,168000," Det er det, vi kalder falsk-positiv test. Så jeg tvivler på, at vi kan komme ned til zero eller nul af den grund, at der testes som der gør."
168000,174000," Men det er jo ikke ens betydende mere, fordi man er positiv på testen, at man overhovedet er syg eller smittet for den sags skyld."
174000,182000," Så tilbage til det er at sige, it is over. Vi kan åbne op. Jeg undrer mig over, at man ikke for længst har åbnet op."
182000,193000," Jeg synes faktisk, det er en uforsvarlig politik fra regerings side. Jeg synes det er uanstandeligt overfor befolkningen, overfor erhvervslivet, overfor kulturlivet ikke mindst,"
193000,201000," at man ikke for længst har åbnet op. Men det er jo fordi, og det har vi jo også hørt fra bl.a. myndigheden, det her er jo en politisk beslutning."
201000,210000," Coronapasset er en politisk beslutning. Det er jo ikke noget, der hviler på fakta eller videnskabelig dokumentation. Det er politik."
210000,218000," Og lige nu, og det forstod jeg også på en folketingspolitiker, jeg snakkede med den anden dag, lige nu handler det slet ikke længere om tallene."
218000,224000," Nej, det handler om fortælling om, hvordan man har styret corona. Det handler om coronafortællingen."
224000,232000," Og der må jeg sige big time, hvis vi kigger på, hvordan regeringen har styret det, så har det været katastrofælt dårligt."
232000,241000," Det har overhovedet ikke haft bundklang i fakta. Det er jo det, jeg har fokus på. Det er derfor, jeg har haft ret i hele forløbet og stadigvæk har."
241000,249000," Du kan ikke finde en eneste gang, hvor jeg tog fejl. Og det er den ene meget simple grund, at alt det, jeg har forholdt mig til, det har været faktabaseret."
249000,258000," Og så er det altså svært at tage fejl. Hvorimod, når det handler om mavefornemmelse, om frygt, så er der mange gange, at regeringen har taget og taget fejl."
258000,266000," Vi må så sige, at hvad har det her lært os? Jamen, det har lært os rigtig meget. Det har lært os, at det demokrati, vi troede, vi havde, det har vi slet ikke."
266000,271000," Det har lært os, at frygt, det er faktisk en meget smitsom sygdom."
271000,277000," Jeg møder den stadigvæk derude. Jeg møder stadigvæk folk, når man går forbi dem. De næsten hopper en meter til side."
277000,285000," Og du kan se det på blikket, for det er sådan fuldstændig lukket. Det er fuldstændig blankt blik. Og det er jo fordi, de er smittet med den her frygt, og jeg har så ondt af dem."
285000,291000," Jeg har også ondt af alle de unge, som lige nu lider big time. Det kan være dig, der ser med."
291000,299000," Der er ked af det. Der er trist. Der er ensom. Der er bange for test. Vi oplever lige nu, at der bliver testet, testet, testet."
299000,307000," Og en del derude, specielt børn og unge, er meget sårbare, er meget ked af det og er bange for de her test."
307000,315000," Og lad os lige tage fat i den del først. For det første, når vi ser på testning, så kan man diskutere, skal vi overhovedet voldteste, som man gør nu."
315000,324000," Men det er så en politisk beslutning. Så synes jeg jo, at vi skal teste så nænsomt som muligt. Ergo brug spødtest."
324000,331000," Spødtest er jo lige så effektivt som næsepudninger ved antigentestene, altså quicktestene."
331000,336000," Og jeg fatter ikke en lyd af, at man ikke allerede nu gør brug af spødtest."
336000,343000," Spødtest har den fordel, at vi kan lave den. Jeg kan stå foran dig, og så kan jeg spøtte, groft sagt, på den måde."
343000,348000," Og i løbet af typisk fem minutter, så har vi svaret, om jeg er smittet eller ikke er smittet."
348000,360000," Og så kan vi indrapportere det osv. Det er fint. Men der er ingen grund til at få stukket en pind ind i tudet eller ind i svællet af et eller andet fremmed menneske, når vi nu har spødtest."
360000,367000," Jeg har ikke svaret på, hvorfor man ved mange af testcentrene fortsat poder i næse med quicktest."
367000,373000," Det giver ingen lægefaglig mening. Ved antigentestene, der kan du lige så godt lave spødtest."
373000,382000," Og der har jeg snakket med mange af, fordi mange af ringer og skriver til mig, at kæde er det ulykkelige, og at de ikke ved, hvad de skal stille op med, og er bange osv."
382000,393000," Og derfor er det meget vigtigt at holde fast i. For det første, så spørg om og bed om at få en spødtest, hvis og når der skal testes."
393000,399000," Og det andet er selvfølgelig også, at man er fritaget efter reglerne."
399000,406000," Hvis man af fysiske eller psykiske grunde ikke kan tåle testning, og det vil jo typisk være næsepodning osv."
406000,413000," Det er ikke noget, du skal bruge en lægeatest til. Og jeg laver ikke lægeatester, så lad være med at kontakte mig for det."
413000,417000," Og der er heller ingen grund til, at din egen læge laver de her lægeatester."
417000,424000," Fordi det er på tro og lov. Det er fuldstændig som med vores mundbind. Det er jo også på tro og lov."
424000,429000," Hvis du kommer ind til mig og siger, at jeg er fritaget, så tror jeg på dig. Jeg tror, du taler sandt."
429000,434000," Og det betyder, at jeg ikke skal se en lægeklæring eller noget andet. Jeg tror på dig."
434000,444000," Og det samme er det med fritagelsen. Hvis du er fritaget for testning, fordi du bliver angst, fordi du bliver utilpas, fordi du af en eller anden grund ikke kan tåle det."
444000,451000," Det er kun dig, der ved det. Og du taler sandt. Og hvis du siger, at jeg er fritaget, så tror jeg på dig."
451000,458000," Så du skal ikke have lægeatest. Du skal ikke på den måde, skal vi sige, overbevise lægen eller os andre."
458000,463000," Hvis du siger, at du har det sådan, så efter reglerne, så skal vi faktisk tro på dig."
463000,470000," Vi har lavet, og hurra for det, fordi det er jo et godt demokrati, der bygger på, at vi tror på hinanden."
470000,474000," Vi har lavet det her fritagelsesattest. Jeg er lige her. Det er så spejlvendt."
474000,479000," Men ikke fritagelsesattest. Vi har lavet den her fritagelseskort."
479000,483000," Og det er egentlig ikke andet end en repetition af reglerne."
483000,485000," Men det er jo ikke kortet, der fritager dig."
485000,489000," Altså det kræver, at der er en grund til, at du kan fritages. At du bruger det selvfølgelig."
489000,491000," Og det blander vi os ikke i."
491000,496000," Og du kan for så vidt også bare gå ind på en computer og printe reglerne ud, og så have dem i lommen."
496000,497000," Det er same, same."
497000,500000," Så på den ene side står der, at man er fritaget, i så fald du er det."
500000,507000," Og på den anden side står der reglerne fra Erhvervsstyrelsen, så man kan vise det til frisørerne eller hvem det er."
507000,510000," Så de også, om man så må sige, bliver mindet om reglerne."
510000,512000," Men du kan også printe ud fra nettet."
512000,515000," Men det er meget vigtigt at sige, at du ikke har brug for en lægertest."
515000,518000," Du skal ikke leje lige lægen med det her."
518000,521000," Fordi du ved, om du er fritaget. Du ved, om dit helbred forhinder dig."
521000,528000," Du ved, om du får angstanfald, hvis nogen forsøger at kroppe en pinde op i turen på dig."
528000,532000," Jamen, så er du så fritaget på tro og love."
532000,537000," Men når det er sagt, og hvis vi skal teste, og hvis man fortsætter med at teste,"
537000,543000," jamen, så ser jeg ingen grund til, at man ikke i stedet for bruger, som sagt, spyttest."
543000,546000," Det er ikke noget ind i næsen. Det er ikke noget ind i svælget."
546000,548000," Det er alene ved spyt."
548000,554000," Det sidste, jeg lige vil snakke om i forhold til det her, som mange af jer har spurgt mig om og hele tiden spørger mig om,"
554000,556000," det er vaccinerne."
556000,560000," Jamen, hvad er mit take, som det så fornemmeligt hedder med vaccinerne?"
560000,563000," Jamen, for det første må man jo sige, som jeg også har sagt før,"
563000,568000," der er lidt, vi ved meget om, når det gælder med vaccinerne,"
568000,571000," og der er rigtig meget, vi ved uhyggeligt lidt om."
571000,575000," Vi skal huske, at de her vacciner er for det første ikke færdigtestet."
575000,578000," Altså, det er jo en midlertidig godkendelse, man har givet."
578000,582000," Vi skal huske, at da man testede for eksempel Pfizer-vaccinen,"
582000,590000," så testede man den på ca. 20.000 primært raske, sunde mænd, ikke gravide,"
590000,592000," også kvinder, men ikke syge."
592000,597000," Og man gik det ind og konkluderede, da man så oplyste data,"
597000,601000," og dermed, hvordan de beskyttede i forhold til at blive smittet af COVID-19,"
601000,604000," at jo, der var en effekt, men at man f.eks. ikke ved,"
604000,609000," hvordan de ville virke eller virker de i forhold til f.eks. kronisyge."
609000,615000," Og det betyder jo altså, at på den ene side fik vi data, der sagde noget om den her gruppe,"
615000,619000," og straks vi fik de data uret, så gik vi hen og vaccinerede en helt anden gruppe,"
619000,624000," nemlig de ældre og de syge, og dem med det, vi kalder komorbiditet,"
624000,626000," altså fejlede flere ting."
626000,628000," Og det er jo så lidt sjovt."
628000,632000," Du har fået data her, fair nok, og så går du hen og vaccinerer en anden gruppe."
632000,638000," Alt sammen for at sige, vi ved f.eks. ikke, hvad det betyder for en, der er i kraftbehandling,"
638000,642000," med kemoterapi eller med immunbehandling."
642000,649000," Hvad sker der egentlig? Hvad er vedkommendes risiko for f.eks. at få forværing af sin sygdom,"
649000,652000," eller få andre komplikationer til vaccinen? Det ved vi ikke."
652000,657000," Hvad sker der, hvis du er i behandling med den eller den eller den medicin,"
657000,660000," for måske alvorlig dødelig sygdom? Det ved vi heller ikke."
660000,664000," Så der er rigtig meget, vi ikke ved. Vi ved faktisk heller ikke endnu,"
664000,668000," hvordan det virker i forhold til gravide, hvordan gør det i forhold til det ufødte barn."
668000,673000," Så på den måde kan jeg godt undre mig, og det undrer jeg mig sammen med andre gode kollegaer,"
673000,682000," hvordan man måske er lidt, skal vi sige, forbagsende tidsfuld i forhold til de her vacciner,"
682000,686000," taget i betragtning af, at det er nye vacciner og det er nye teknikker,"
686000,690000," og de har været testet i meget kort tid på meget få mennesker."
690000,695000," Så jeg synes, at vacciner skal være et frivilligt valg."
695000,700000," Jeg synes, det skal være som alt andet behandling på et godt og grundigt og oplyst grundlag."
700000,704000," Jeg synes, vi skal være meget opmærksomme på alt det, vi ikke ved."
704000,710000," Jeg så for eksempel her nogle data fra Irland, hvor nogle data ved at blive publiceret,"
710000,715000," de er ikke publiceret endnu, men hvor man registrerede på nogle plejehjem"
715000,722000," en markant stigning af dødsfald, straks efter, at man havde vaccineret på de her plejehjem."
722000,726000," Det kan være, at det var tilfældigt fundet tre plejehjem, jeg så det fra."
726000,733000," Det var så en meget markant stigning af dødsfald på de her plejehjem i forbindelse med vaccinen."
733000,737000," Men det er selvfølgelig hele diskussionen også af sammenhængen."
737000,741000," Altså er det høne, der kommer før ægget, og var de døde alligevel?"
741000,746000," De tal savner jeg herhjemmefra. Jeg vil egentlig meget gerne have tallene for,"
746000,749000," hvor mange er døde umiddelbart efter vaccinerne."
749000,755000," Har vi set en stigning, når vi ser på de tal, vi har med døde i de forskellige aldersgrupper,"
755000,759000," kan vi ikke trække nok ud af det. De tal er ikke tilgængelige."
759000,763000," Jeg vil meget gerne have vaccinations, altså tal, der var relateret til,"
763000,769000," hvem der havde fået vacciner, og om nogen af dem var døde eller blev indlagt straks efter."
769000,775000," Fordi det giver et billede, og det er de data, og det er de tal, vi overhovedet ikke på nogen måde har."
775000,778000," Og dem har vi heller ikke i de studier, der lå til grund for,"
778000,786000," at man gav den her midlertidige godkendelse til de her vacciner."
786000,791000," Det er også interessant, synes jeg, at man har friholdt i industrien fra erstatning."
791000,795000," For eksempel nu den her 60-årige kvinde, der døde efter en vaccine."
795000,797000," Det er jo også lidt tankevæk."
797000,800000," Så jeg er meget optaget af alt det, vi ikke ved."
800000,804000," Fordi et eller andet sted er vi jo nødt til at få det belyst."
804000,809000," For eksempel det her med, hvor mange er egentlig døde på plejehjemmene straks efter, de blev vaccineret."
809000,812000," Jeg siger ikke, at det er vaccinen, der så har slået dem ihjel,"
812000,814000," men jeg vil gerne kende de tal."
814000,817000," Og det er jo mig i nødskald, det er det, jeg har gjort i hele det her år,"
817000,821000," eller mere end et år, det er, at jeg har haft rigtig meget fokus på tallene."
821000,825000," Jeg har haft rigtig meget fokus på, hvordan er tallene, hvad kan vi læse ud af tallene,"
825000,827000," hvad kan vi konkludere."
827000,830000," Og der er som sagt en del, vi ikke rigtig ved nok om."
830000,835000," Og der er så også en del tal, som jeg er nysgerrige efter at se og kende,"
835000,840000," og i hvert fald ikke, som vi ser det, og med vores adgang til tallene,"
840000,843000," lige kan bare få dem oplyst."
843000,847000," Så jeg håber, du sammen med mig vil undre dig lidt over nogle af de her ting,"
847000,850000," og være med til at efterlyse, at vi får de data."
850000,854000," For eksempel, hvad gør det ved kraftpatienter,"
854000,858000," hvis de får vaccinen, kommer der flere bivirkninger for hver,"
858000,861000," det er deres grundsygdom, gør det den bedre."
861000,864000," Altså hele den her uvidenhed, og det er i virkeligheden,"
864000,868000," måske min største anke, uanset om det er AstraZeneca-vaccinen,"
868000,872000," som nu er sat on hold, fra vaccineprogrammet om Johnson & Johnson,"
872000,876000," som jo ser ud til at have nogenlunde de samme bivirkninger som AstraZeneca,"
876000,878000," eller om det er fejl, så er vaccinen."
878000,881000," Jeg vil gerne, at vi blev så meget klogere på dem."
881000,886000," Jeg vil gerne, at der er en masse spørgsmål, der rejser sig,"
886000,888000," som vi ikke har svar på."
888000,891000," Og hvis du så sidder og tænker, hvad skal jeg så gøre,"
891000,893000," så må jeg sige, det må du jo drøfte med din egen læge,"
893000,896000," det afhænger selvfølgelig af din risikoprofil,"
896000,899000," men det er jo klart, at des sundere man er,"
899000,904000," des færre sygdomme man har, og måske endda også har haft COVID-19,"
904000,908000," des mindre er man selvfølgelig givet til at lade sig vaccinere,"
908000,913000," fordi der er meget mere på spil, man risikerer,"
913000,915000," f.eks. hvis det er en dødelig bivirkning,"
915000,918000," end hvis man har en masse sygdomme i forvejen,"
918000,920000," og ligesom laver den afregning."
920000,922000," Så jeg har ikke svaret på det, jeg kan ikke svare dig konkret,"
922000,924000," det må du drøfte med din egen læge,"
924000,927000," men jeg kan sige sådan ud fra en generel betragtning,"
927000,930000," at jeg synes, der er mange ting omkring vaccinerne,"
930000,932000," der må give anledning til bekymring,"
932000,935000," i forhold til, at det i hvert fald er bare noget,"
935000,938000," man bare bum bum bum, fuldstændig nærmest i blinde,"
938000,940000," voldvaccinerer befolkningen."
940000,944000," Jeg synes, det skal og er og bør være et frivilligt valg,"
944000,947000," og det bør ikke mindst være på et oplyst grundlag,"
947000,949000," og det er sådan, vi lærer normal arbejder,"
949000,952000," det er, at det skal være på et oplyst grundlag."
952000,954000," Og så må vi jo sige igen,"
954000,959000," tingene forbliver fuldstændig ude af proportioner."
959000,962000," Altså det, at man har fortsat nedlukket, som man har,"
962000,964000," det med, at vi fortsat ikke kan gå til koncerter,"
964000,966000," vi kan ikke gå på restaurant,"
966000,969000," vi kan ikke, alt det, som er en del af det gode liv,"
969000,972000," vi kan ikke være sammen med så mange, vi ønsker,"
972000,974000," det er helt ude af proportioner."
974000,978000," Tallene herhjemme har været fuldstændig stabile"
978000,980000," siden starten af året,"
980000,982000," og det er kun blevet bedre,"
982000,984000," fordi at immuniteten retfærdigvis stiger,"
984000,987000," takket være af alle dem, der er vaccineret,"
987000,989000," trods alt af dem også, der har haft sygdom,"
989000,992000," og så igen foråret, foråret, foråret."
992000,994000," Så jeg synes, det er uanstændigt."
994000,996000," Jeg synes, det er ude af proportioner."
996000,998000," Jeg har svært ved at forstå,"
998000,1002000," at vi har en regering, en statsminister,"
1002000,1005000," som i mine øjne tager fejl igen og igen og igen,"
1005000,1007000," og er langt fra det, jeg kalder battet,"
1007000,1010000," men jeg er egentlig lige så bekymret for hendes støttepartier,"
1010000,1014000," at de forbliver lige så dumme, eller manipuleret,"
1014000,1018000," eller hjernevasket, eller hvad vi snart skal kalde det,"
1018000,1022000," så de understøtter så grove, i mine øjne,"
1022000,1024000," overgreb på befolkningen, på dig og mig,"
1024000,1027000," på vores børn og unge, på vores kulturliv,"
1027000,1031000," på vores restaurationsbranche, vores rejsebranche osv."
1031000,1033000," Det er i mine øjne fuldstændig kug."
1033000,1036000," For én ting kan jeg love dig, og det er jo det, jeg kan."
1036000,1039000," Det har ikke belæg i fakta."
1039000,1042000," Det har ikke belæg i den videnskabelige dokumentation."
1042000,1046000," Det er alene ønsket om at holde os, dig og mig,"
1046000,1049000," i et hjerngreb, befolkningen i et hjerngreb,"
1049000,1054000," et ønske om at lave en fortælling og lade os tro og mærke og føle,"
1054000,1058000," at der er et kæmpe monster, COVID-19-monster, der er ude."
1058000,1061000," Og det må man sige. Det er ikke tilfældet på nuværende tidspunkt,"
1061000,1064000," og der kommer heller ikke til at ske noget på nuværende tidspunkt,"
1064000,1067000," hvor vi går ind i noget som helst, der minder om en tredje bølge."
1067000,1070000," Så det er uden hold i fakta."
1070000,1073000," Så med det vil jeg sige, kontakt mig endelig, skriv endelig til mig,"
1073000,1076000," bær over med mig, hvis jeg ikke får svaret jer alle sammen."
1076000,1079000," Jeg forsøger at læse og følge med."
1079000,1084000," Men hold nu fast i, at livet kalder."
1084000,1090000," Kom ud og leg, grib livet, stil krav til dine politikere."
1090000,1093000," Nu vil vi have ordentlighed, nu vil vi have politik."
1093000,1096000," Hvis det er fakta, så benægter af fakta."
1096000,1099000," Og det er jo fuldstændig, hvad regeringen gør,"
1099000,1103000," at de fuldstændig tilsidesætter fakta."
1103000,1106000," Men det gør du ikke. Du følger med her hos mig. Tak for det."
1106000,1111000," Og det gør jeg ikke. Alt det, jeg siger, det er funderet i fakta."
1111000,1117000," Og det er jo det. Og alene derfor, at jeg har haft ret og har ret i hele det her forløb."
1117000,1121000," Ja, så er det bekymrende, at der er den ekstreme censur, der er,"
1121000,1123000," som der har været i hele forløbet."
1123000,1126000," Men det gode budskab er jo, at du er der, min ven."
1126000,1129000," Og du er med til at dele den her fakta, jeg deler."
1129000,1136000," Og du er med til at dele ordentlighed, ansvarlighed og at have fokus på fakta."
1136000,1139000," Så tak for dig. Og så tror jeg, at det var, hvad jeg havde på hjerte."
1139000,1141000," Det var også rigeligt, vil nogen sige."
1141000,1144000," Men lad os lige se. Nu ved du godt, at der har været nogle dage,"
1144000,1148000," hvor jeg ikke har fået lavet live, fordi jeg har haft så vanvittigt travlt."
1148000,1152000," Men nu tænker jeg, at nu skal det altså være, fordi så mange af jer hele tiden spørger."
1152000,1156000," Men igen, lad vacciner forblive et frivilligt valg."
1156000,1160000," Er vi fritaget fra test, så er det på tro og lov."
1160000,1162000," Du behøver sikkert lægeerklæring."
1162000,1168000," Og omvendt, skal vi testes, så synes jeg, at vi som udgangspunkt primært skal gå efter spøttest."
1168000,1172000," Fordi der skal vi hverken have en pind op i tuden eller ind i svælget."
1172000,1175000," Men jeg kan stå foran dig, og så kan jeg udføre den selv."
1175000,1180000," Og du kan så se resultatet, og så er alle glade, at vi kan teste ind til Serum Institutet og WUPTI."
