start,end,text
840,6320," Så er jeg tilbage. Jeg hedder Winfried Kemalike, jeg er læge og har en Ph.D."
6320,12720," Og så har jeg været, skal vi sige, en væsentlig del af hele det her coronahysteri."
12720,19600," Eller i hvert fald været en væsentlig del, der har prøvet at komme lidt fokus på, ikke mindst, proportioner i indsatsen."
19600,22920," Og det vil jeg stadigvæk gøre, og derfor er jeg tilbage i dag."
22920,27280," Vi ser jo lige nu, at der er blevet strammet op omkring nogle restriktioner."
27280,31600," Og igen må jeg sige, lad os lige holde fast i de gode coronanygheder."
31600,32600," Hvad er det?"
32600,37080," For det første tyder meget jo på, at corona eller covid-19 er blevet meget mere fredsomt."
37080,40760," Ja, der er folk, der indlægges. Ja, der er nogen, der dør med covid-19."
40760,43520," Men det var altså ikke den primære dødsårsag. Det skal vi jo holde fast i."
43520,47920," Faktisk er der færre, der dør, når de bliver syge med covid-19."
47920,54840," Som følge af ikke mindst selvfølgelig en bedre behandling, men en mere målrettet behandling."
54840,59080," Og så også efter alt at døme, at virus faktisk er blevet mere fredsomt."
59080,63160," Det er også vigtigt at holde fast i, at livet kalder faktisk derude."
63160,69760," Det er ligesom om, at vi har fundet os i, og finder os stadigvæk i, som om vi befinder os i en eller anden coronategneserie."
69760,72160," Jamen nu skal jeg fortælle dig noget. Det folk dør af, ved du hvad det er?"
72160,75200," Det er det, som du også har mistet og vil miste pårørende af."
75200,77400," Måske også selv vil forlade livet med."
77400,83720," Det er kraftsygdom, det er hjertekraftsygdommen, det er neurologiske lidelser, det er alt muligt."
83720,88200," Skræmmel, alvorlige sygdomme derude, det er faktisk det, der koster folk livet."
88200,92400," Og så det, som jo i dag har optaget lidt, i hvert fald så Ekstrabladet var gået videre med det,"
92400,97960," og det, som har optaget ikke mindst også læger, og der har været funderet en del over i de videnskabelige publikationer,"
97960,100760," nemlig hvordan bliver det gået med selvmordsraten."
100760,104520," Vi kunne se her i Japan, at den stede er markant."
104520,108120," Desværre kan vi ikke få de danske data."
108120,110760," Det mener jeg jo selvfølgelig, at man må fremlægge fra Sundhedsministeriet,"
110760,114600," fordi vi har krav på at vide, hvordan er egentlig de danske selvmordstalle."
114600,121320," Er de opadgående? Det vil jo være forventningen, fordi vi ved jo, at rigtig mange derude sidder og føler sig ensomme."
121320,126840," Jeg har i dag talt med en del forskellige fagpersoner, der kunne fortælle om psykisk syge, der har det rigtig svært."
126840,131560," Psykiater, der fortæller, at dem, der før var depressive, de er blevet meget depressive."
131560,134440," Og folk, der fortæller mig, ved du hvad, jeg føler mig ensom."
134440,139720," Jeg føler mig ensom, fordi jeg skal sidde hjemme og arbejde, og her er jeg i virkeligheden siddet i mange måneder."
139720,146120," Jeg må ikke se mine ældre pårørende, jeg må ikke se min alvorlige syge, hvis ikke jeg er den nære udvalgte."
