start,end,text
0,5720," Prøv lige at se en fantastisk udsigt."
5720,10840," Og ved du hvad, mine venner? Du skal også udenfor, fordi livet ikke hælder."
10840,19560," Og lad os lige tage dagens coronatal. De er fuldstændig fredsomne, der er intet at komme efter, de kører fuldstændig snorlige."
19560,22320," Der er fem døde med COVID-19."
22320,26120," Og går vi ind og kigger på udbrydene, vi har haft i Kolding og Ishøj."
26120,29880," Ishøj har været over for lang tid siden, i mange dage, faktisk i otte dage."
29880,31960," Og Kolding, jamen det er også nedadgående."
31960,34280," Så der er intet at bekymre sig om derude."
34280,41960," Vi har opnået flokimmunitet, og så hey, det her vidunderlig vejr, foråret, det gør faktisk, at COVID-19 forsvinder."
41960,49000," Fordi det har en sæsonvariation, og på grund af sæsonen og på grund af foråret, så er det over."
49000,51600," Udover vi selvfølgelig har flokimmuniteten."
51600,55000," Så til dig vil jeg sige, kom du med ud og leg."
55000,57400," Der er masser af plads herude til os alle sammen."
57400,64320," Kom med ud og løb, kom med ud og gå, kom med ud og vær aktiv, indtage livet, og så skal vi bare have åbnet landet."
64320,66320," Og ved du hvad, det kan ikke gå hurtigt nok."
66320,68960," Og ja, hvor tror du jeg er henne i verden?"
68960,75360," Det er et af mine yndlingssteder her i Danmark, det kan jeg godt røbe, og nogen af jer, I kan nok genkende det med det samme."
75360,80040," Jeg lader os lige få skuddet her til sidst."
80040,84360," Ej, hvor kan vi være henne, hvor det er så vidunderligt."
84360,86640," Ja, hvem gætter det først?"
86640,89080," Der er simpelthen så skønt."
89080,94960," Så når man skal ud og samle kræfter, når man skal ud og mærke livet igen, når man skal ud og mærke foråret,"
94960,96680," så kan man f.eks. tage herhen."
96680,98480," Ja, du må godt gætte på, hvor vi er henne."
98480,104560," Men igen, coronatallene er fuldstændig snurrelige, flokimmuniteten er slået igennem, sæsonen er slået igennem,"
104560,107800," det er en forår, der er på vej, der er en sæsonvariation af covid-19."
107800,113200," Så ved du hvad, der er intet at bekymres om, udover at du skal til at leve livet igen, min ven."
113200,116120," Og vi skal kræve fakta, fakta, fakta."
116120,123080," Og så skal vi væk fra alle de fortællinger og alt det, som regeringen har løjet for os omkring."
123080,126160," Vi skal stille statsministeren til ansvar efter ministeransvarsloven."
126160,129440," Man må nemlig ikke løbe hverken over for folketinget eller befolkningen."
129440,132560," Det har hun gjort dokumenterbart, gentagende gange."
132560,133920," Det skal have en konsekvens."
133920,136920," Og du skal til at vågne op, min ven, hvis ikke du allerede er det."
136920,139240," Lev livet, og så skal du med ud at lege."
139240,143000," Du skal med ud at løbe, med ud at svømme, cykle, hvad du kan finde på."
143000,147800," For foråret kalder, livet kalder og covid-19, for now it is over."
147800,148920," Hej hej."
