start,end,text
0,9480," Så er damen med den blå mink tilbage. Jeg hedder Vibke Mannike, jeg er læge, jeg har en P.O.D."
9480,16080," Og så har jeg, lad os lige først snakke om den her fantastiske blå mink, som jeg har her i det, man kalder ""bambedermink""."
16080,22120," Det er en af de mest bæredygtige frakker, jeg har. Jeg tror, jeg har haft den i 20 år, hvis jeg kan gøre det."
22120,27480," Jeg købte den i sin tid til 3-4.000 kroner, og jeg gav kort sagt ingenting for den."
27480,36240," Den er meget blå, vil jeg sige. Den er lige så blå som den åndssvage dragt, Mette Frederiksen havde på, da hun var oppe og besøge nogle minkfarmer i sin tid."
36240,42040," Hendes var bare en beskyttelsesdragt. Den her beskytter også rigtig godt mod kulden og fjolser."
42040,48040," Anyways, det var ikke min blå mink, vi skulle tale om. Nogen vil nok sige, at den er meget blå. Yes, that's life."
48040,54120," Det er det, der hedder at komme lidt farve på livet. Til gengæld vil jeg tale om et langt mere alvorligt emne."
54120,66000," Minkene vender jeg tilbage til, fordi lige nu ser vi en ubeskrivelig fase, en uhyggelig fase omkring håndteringen i sin tid af nedslagningen af landets mink af et erhverv."
66000,72040," Men det vender jeg lige tilbage til, for allerførst vil jeg godt lige have ro på til landets gravide."
72040,80880," Her i går, eller var det i forgårs, det kom, men i hvert fald, der er bragt uskrift for læger, en artikel alene baseret på lommeuld."
80880,90760," Det betyder, at nogle af landets fødselslæger havde gennemgået nogle tal, som vi andre ikke har adgang til."
90760,102160," Det fik formanden Anne Mette, vindfang hun har et eller andet sjovt navn, Lykkebo i hvert fald, til at gå ud og advare danske gravide."
102160,108360," Åh her, de må hellere blive vaccineret, for ellers hvis de fik corona, oh my god, så risikerede de dødsfødsel."
108360,115680," Og se, ved du hvad det er? Det er videnskabelig uredelighed, fordi det er ikke publiceret data."
115680,118000," Jeg vil så sige, at de data har vi jo ikke kunne få fat på."
118000,126520," Vi har nu forsøgt gennem flere uger at få sundhedsdata til at udlevere dødstallene på de første fire leveuger,"
126520,131920," fordi de siger noget om en sundhed eller det modsatte hos ikke mindst gravide, og de er sammenlignede."
131920,138520," Så det er jo det, vi gør. På samme måde som vi nu hele tiden kigger på overdødeligheden, vi har fra Danmarks statistik,"
138520,142760," så vil vi også meget, meget gerne have de andre tal, men de er ikke tilgængelige."
142760,148640," Det betyder også, at det de har gjort der, de havde altså åbenbart fundet frem til de her tal sådan i god ro og orden,"
148640,152560," som man siger fuldstændig ren lovmulighed."
152560,158320," Det er ikke publiceret data, vi har ikke mulighed for at gennemgå dem, vi har ikke mulighed for at sammenligne tallene,"
158320,165920," vi ved ikke, hvad er der komorbiditet, altså de her kvinder, som så fik et dødfødt barn, som påstanden er,"
165920,170960," og det er en påstand, at det var vaccinerne, hvor fanden ved de det fra?"
170960,174160," Der er jo rigtig meget bajersvem, der bliver vaccineret og ikke vaccineret."
174160,178600," Hvad fejlede de kvinder i forvejen? Hvordan gik graviditeten? Hvad fejlede barnet?"
178600,183320," Hvad fejlede det dødfødte barn? Var det et barn eller et foster med skader?"
183320,190200," Der er så meget, vi ikke aner noget om, fordi data ikke er publiceret."
190200,195160," Og derfor kalder jeg det videnskabelig uredelighed, fordi man må selvfølgelig ikke bare gå ud og sige,"
195160,198680," jeg rodte lige i den høje lomme nu, der fandt jeg noget meget interessant,"
198680,202920," og så går man ud og skræmmer en hel befolkning. Det er ikke i orden."
202920,208640," Det var noget andet, hvis man havde data, hvis jeg havde mulighed, vi andre havde mulighed for at grænske de data,"
208640,212800," og se om konklusionen var korrekt, og se om data var korrekt."
212800,216080," Det er ikke engang tal, der er udgivet fra de offentlige myndigheder."
216080,219000," Undskyld, jeg bander, men det er fandme ikke i orden."
219000,221120," Hvad ved vi? Ikke ret meget."
221120,232280," Hvis vi tager vaccinerne i forhold til graviditet, så kender vi ikke tilstrækkeligt om hverken kort- og endnu mindre langtids-risici i forhold til det ufødte barn."
232280,242840," Der har lige været et take fra Skotland, hvor man i september så en markant overdødelighed hos de nævnertal, altså de første fire leveuger."
242840,246760," Jeg har så haft fat i, de officielle tal i Skotland er ikke blevet udgivet igen,"
246760,253880," men jeg har haft fat i den journalist, der skrev det, og hun kunne så fortælle, at talene efterfølgende var faldet igen, og det er jo fint."
