start,end,text
920,2920," Så er krutteuglen tilbage."
2920,5920," Det er tid til en live video."
5920,7920," Jeg hedder Vibke Mannike, jeg er læge."
7920,9920," Jeg har en socialmedicinsk Ph.D."
9920,14920," Og så har jeg beskæftet mig med, hvad fejler befolkningen i stor set min lægelig karriere."
14920,17920," Jeg har også beskæftet mig med smitsomme sygdomme."
17920,21920," Og ikke mindst rådgivning, vejledning osv. i forhold til vores dagpasning."
21920,25920," Og kort sagt, det her er et område, som jeg kender rigtig meget til."
25920,28920," Nemlig sygdomme, herunder også smitsomme sygdomme."
28920,34920," Som du ved, hvis du har fulgt mig og fulgt mine blogs på min hjemmeside www.vibkemannike.dk"
34920,40920," Jamen, så har jeg hele tiden sagt, at tallene var rigtig fine og beroligende."
40920,44920," Vi har ikke på noget tidspunkt, hvad angår corona, haft tegn på,"
44920,48920," at vi skulle være på vej ind i den her bravne epidemi,"
48920,51920," som regeringen jo har frygtet, og som jo har gjort, at man har lukket ned."
51920,57920," Fordi man frygtede det her scenarie med, at bl.a. intensivpladserne"
57920,61920," vil gå fuldstændig amok, og der ikke vil være tilstrækkeligt med plads."
61920,65920," Når vi har kigget på tallene, og dem har jeg jo fulgt som alle andre dagligt,"
65920,69920," jamen så er det jo væsentligt både at se, hvor mange smittede der er,"
69920,72920," men selvfølgelig også i forhold til, hvor mange der er testet."
72920,76920," Og uagtet, at man har ændret testmetoder undervejs,"
76920,79920," jamen så kan man i hvert fald sige, at her den sidste lille uge er det,"
79920,82920," jamen der har man testet på cirka den samme præmis."
82920,88920," Det vil sige, at når vi sætter antallet af testet i forhold til, hvor mange der er smittet,"
88920,94920," jamen så er den procentuelle del jo selvfølgelig meget afgørende for,"
94920,98920," om vi enten er på vej ind i en bravende epidemi, eller om det ser fredeligt ud."
98920,102920," Og de tal viser stadigvæk, at det ser rigtig fredeligt ud."
102920,106920," Der er ingen tegn på, at vi er på vej ind i en bravende epidemi."
106920,110920," Samtidig kan vi se, at antallet, der dør dagligt, er faldende,"
110920,113920," og vi kan se, at antallet af indlagte også er faldende."
113920,115920," Kort sagt, alt ser fredeligt ud."
115920,118920," Det har jo ikke ens betydning med, at man ikke skal gøre noget, det siger jeg bestemt ikke,"
118920,120920," og det har jeg ikke på noget tidspunkt sagt."
120920,124920," Jeg har også hele tiden sagt, at selvfølgelig skal vi følge de officielle anbefalinger,"
124920,126920," det siger sig selv."
126920,131920," Men når det så er sagt, så må jeg sige, at på samme måde, som Mette Frederiksen jo indrømmede,"
131920,138920," at der ikke var nogen evidens, altså videnskabelig dokumentation for, da man lukkede landet,"
138920,141920," så må jeg altså bare sige, at det er der fortsat."
141920,144920," Ikke, at man bevarer landet lukket."
144920,149920," Og jeg bemærkede, da jeg hørte Mette Frederiksen, at hun faktisk heller ikke kom med nogen data"
149920,154920," eller nogen valide oplysninger, som gjorde, at man tænkte, at det er velfunderet."
154920,158920," Det ved jeg så heller ikke er, fordi man kan sige, at de samme tal har jeg jo fulgt,"
