start,end,text
0,8000," Hej, så er jeg tilbage. Så er vi kommet udenfor, fordi som jeg jo hele tiden siger, så er foråret vores ven."
8000,14000," Det er her, hvor smitterisikoen er mindst. Det er der, hvor vi får D-vitamin. Det er der, hvor vi bevæger os."
14000,16000," Det er der, hvor vi holder stor afstand til hinanden."
16000,21000," Jeg hedder Wibke Maniker. Jeg er læge, og du har måske set nogle af mine tidligere videoer."
21000,27000," Jeg kan glæde dig med, at dagens coronatal viser, at den fortsat er procentuelt faldende."
27000,30000," Faktisk har den ikke været så lav før procentuelt."
30000,37000," Det vil altså sige, at hvis vi ser på den gruppe, der er testet, og den gruppe, der er smittet, så er den forholdsvis faldende."
37000,43000," Det ændrer ikke ved, at der stadigvæk er mennesker, selvfølgelig, der smittes med corona, for vi har et coronaudbrud."
43000,49000," Men der er intet, der tyder på fortsat, at vi er på vej ind i den her bravende coronaepidemi."
49000,53000," Og det er vi heldigvis blevet nogenlunde enige om de fleste af os."
53000,59000," I næste uge åbner dagpasningerne op, og der åbner skolerne op."
59000,64000," Og nogen er veldig bekymrede, og det må man jo sige, det er der jo egentlig ikke rigtig nogen grund til."
64000,72000," Fordi, igen, forret af vores ven, det er vigtigt, at børnene kommer så meget som muligt udenfor, fordi der minsker smitterisikoen."
72000,79000," Vi ved, at børn generelt er af covid-19 meget lidt syge, hvis syge overhovedet, altså asymptomatiske."
79000,83000," Og dermed er der også noget, der tyder på, at de heller ikke smitter helt på samme måde."
83000,89000," Men uanset hvad, så i forvejen har man jo tradition for ude i dagpasningerne."
89000,95000," Og det ved jeg jo, fordi rigtig mange af jer derude har jeg jo rådgivet og hjulpet og undervist i mange år og gør det stadigvæk."
95000,99000," Nemlig at I er rigtig dygtige derude til at holde en rigtig god hygiejne."
99000,105000," Så det her handler om at følge selvfølgelig Sundhedsstyrelsens retningslinjer, følge reglerne omkring god hygiejne,"
105000,112000," steppe op på den, som man siger, og så selvfølgelig sørge for, at børnene kommer mest muligt ud i det skønne forår."
112000,117000," Fordi så ved vi, at så nedsættes smitterisikoen ganske markant."
117000,125000," Når det så er sagt, så er vi jo lidt tilbage til, at der fortsat ikke er noget sundhedsfagligt belæg for at holde landet lukket."
125000,129000," De her probationer, vi hele tiden har efterløst, dem efterløser jeg stadigvæk."
129000,135000," Nemlig, at man begynder at tage hånd om alle de alvorlige syge, der er derude, som ikke får den behandling,"
135000,139000," som ikke får den udredning, som ikke får den genoptræning, de har brug for."
139000,145000," Alle de virksomheder, som er ved at gå konkurs, alle de børn, som ikke fortsat kan komme i skole osv."
145000,150000," Så for mig at se, er det tid til, og derfor er jeg glad for, at ikke mindst oppositionen vågner op,"
150000,157000," det er tid til at stoppe op og sige, hvad har vi egentlig i hat og muggen af sundhedsfaglig dokumentation"
157000,159000," for, at landet skal holdes lukket."
159000,165000," Og der må jeg bare stadigvæk sige, at også efter at have set den famøse matematiske model fra Serum Instituttet,"
165000,168000," så er det et meget, meget lille grundlag, der er."
168000,174000," Den matematiske model, som man har lagt op, den er jo meget afhængig af de variable, man lægger ind."
174000,179000," Altså, hvad er det for nogle forhold, man lægger ind for at kunne regne ud på det."
179000,183000," Og noget, som jeg har bemærket igen, det er for det første en masse gæt,"
183000,188000," og for det andet igen, som jeg har sagt vel hundrede gange forret af vores ven,"
188000,192000," jamen den parameter er rigtig, rigtig vigtig, når vi har med smit som sygdom at gøre,"
192000,196000," som COVID-19, den er slet ikke lagt ind i rejslivet."
196000,203000," Så tilbage til dig, der sidder og tænker, oha, hvordan skal det gå, og er børnene nu en test, et eksperiment,"
203000,207000," så må jeg sige, nedlukningen af landet, det er et eksperiment."
207000,210000," Fortsat nedlukning af landet, det er et eksperiment."
210000,216000," Men at børnene kommer tilbage i dagpasningerne på den her årstid, og hvor de kan komme udenfor,"
216000,220000," og hvor de for guds skyld skal have deres middagslur for at samle kræfter osv.,"
220000,222000," jamen det er ikke noget eksperiment."
222000,226000," Det er der intet tilhænder for, ud fra den viden, vi har nu."
226000,232000," Så egentlig vil jeg bare sige, glad jeg til, at livet starter ned, hvor de bliver passet og har det godt,"
232000,237000," og bliver pædagogisk stimuleret, og har en god, dejlig og sund hverdag."
237000,241000," Så, ha' det godt derude. Vi ses."
