start,end,text
0,6000," Så prøver vi igen, og denne gang håber jeg, at vi holder ud hele vejen."
6000,12000," Jeg hedder Vibe Kemannike, jeg er læge og har en socialmedicinsk Ph.D."
12000,16000," Og så har jeg i en meget stor del af min lægerlig karriere beskæftet mig med,"
16000,19000," hvad fejler befolkningen? Hvad fejler børnene?"
19000,22000," Hvad har vi at smitte sig om? Sygdomme er sjældne sygdomme."
22000,27000," Jeg har i mange år rådgivet, undervist og lavet materiale til dagpasningerne om smitte som sygdomme."
27000,30000," Kort sagt, du er i rigtig gode hænder."
30000,38000," Jeg vil lige starte med at i fællesskab glædes over, at coronatallene er fortsat fuldstændig snorlige,"
38000,44000," fredelige, der er intet tegn på, at vi skulle være på vej ind i en bravende coronaepidemi."
44000,47000," Det vil jeg heller ikke have forventet, og det har jeg heller ikke forventet,"
47000,52000," at den meget, meget simple grund, at virer som Covid-19,"
52000,56000," ligesom influenza, RS-virus og andre, de har en sæsonvariation."
56000,58000," Og det er om vinteren."
58000,63000," Så at vi skulle komme ind i en coronaepidemi, en bravende coronaepidemi nu,"
63000,68000," det var i mine øjne fuldstændig utænkeligt, og retfærdigvis også i andres,"
68000,71000," fordi vi ved, at der er den her sæsonvariation."
71000,75000," Og efter alt at dømme har jeg indtil videre ret, så det er jo skønt."
75000,78000," Og heldigvis begynder mange andre at kunne se det samme."
78000,81000," Så det er hvad det er. Så lad os glædes over det."
81000,85000," Men i dag vil jeg godt lige snakke lidt om børnene."
85000,90000," Fordi de er jo fuldstændig overset i det her coronahelvede."
90000,95000," Børnens minister, Mette Frederiksen, synes fuldstændig at have glemt,"
95000,97000," hvad det her egentlig har af betydning."
97000,101000," Meget alvorlig betydning for vores børn, både på kort og på langt sigt."
101000,104000," Jeg har i mange år været meget optaget af at udsatte børn,"
104000,110000," hvordan vi kan beskytte dem, hvordan vi kan få lavet så fint et sikkerhedsnet under børnene,"
110000,120000," så vi undgår, at de bliver udsat for krænkelser, vold, overgræb og i værste fald slås ihjel."
120000,125000," Så det gjorde også, at jeg i sin tid sad med i Barnets Reform som lægerlig ekspert,"
125000,129000," da vi skærpede underretningsreglerne netop med henblik på,"
129000,131000," hvordan kan vi få lavet det her sikkerhedsnet,"
131000,138000," ikke mindst bestående af professionelle sundhedsplejersker, læger, lærere, dagplejere,"
138000,140000," pædagogmedhjælp osv."
140000,146000," Så det er noget, jeg er meget optaget af at undervise og deltage en del i at have i forhold til."
146000,148000," Så anyways, det ligger mig meget på hjerte."
148000,153000," Og jeg må sige, at jeg er rigtig meget bekymret lige nu for vores udsatte børn."
153000,158000," Fordi vi har børn i dette øjeblik, som bliver udsat for krænkelser, vold."
158000,161000," Ser mor bliver udsat for voldig overgræb."
161000,166000," Det ser vi også fra krisecentrene, hvordan kvinder kommer flygtende dertil i større antal end de plejer."
166000,171000," Børn, der bliver holdt indelåst. Børn, der bliver isoleret mere end os andre."
171000,174000," Altså kort sagt børn, der har det rigtig, rigtig svært."
174000,180000," Og normalt så bygger vi jo op i forhold til professionelle, at de skal holde øje med lille Albert, lille Oda."
180000,187000," Sikre sig, eller i hvert fald forsøge at sikre sig, at hun ikke bliver udsat for vold og seksuelle krænkelser osv."
187000,189000," Reagerer, hvis de ser noget."
189000,192000," Og lige nu, jamen der er det jo fuldstændig væk."
192000,198000," Det netværk, vi har forsøgt at bygge op. Det netværk, som lovgivningen også byder os at bygge op."
198000,200000," Det er skræmt, det er væk."
200000,205000," Fordi de her børn er jo nu hjemme i det for nogen helvede, vi skal beskytte dem imod."
205000,210000," Samtidig ser vi jo en stigning, forlyder det, af alkoholmisbrug."
210000,218000," Jamen der ved vi også, at meget ofte går vold og seksuelle krænkelser af børn, det går hånd i hånd med misbrug hos forældrene."
218000,220000," Psykisk sygdom og misbrug hos forældrene."
220000,225000," Så jeg er rigtig bekymret for, hvordan nogle af vores udsatte børn har det derude."
225000,231000," Når folk spørger mig, hvad er du mest bekymret for nu her, hvad er du mest ked af i det, så må jeg sige, at det er børnene."
231000,234000," Det er rigtig meget børnene derude, jeg bekymrer mig om."
234000,240000," Og tænker, altså de børn, som vi til daglig er bekymret for, hvordan går det så for dem nu?"
240000,242000," Jamen altså, hvad gætter du selv på?"
242000,244000," Selvfølgelig rigtig skidt."
244000,249000," Så er jeg også ked af det, fordi jeg ved, at rigtig mange børn, uagtet om de er udsatte eller ej,"
249000,254000," er fuld af angst for tiden, er fuld af angst for corona, og hvad skal der ske i dem?"
254000,257000," Og hvad skal der ske på den lange sigt, og hvornår kommer de i skole?"
257000,260000," Og hele den der forfærdelige usikkerhed."
260000,265000," Og den synes jeg jo langt hen ad vejen er ubegrundet, fordi det jo er blevet sådan et corona-monster."
265000,270000," Det er jo blevet sådan en corona-hysteri, hvor når vi kigger på tallene,"
270000,276000," jamen dels er det en meget, meget spændtet grundlag, regeringen overhovedet har haft til at gøre det her på."
276000,282000," Dels er det jo en brøddel af alt andet i samfundet, der egentlig er lige nu,"
282000,284000," eller som man i øvrigt skulle bekymre sig for, hvis det var det."
284000,288000," Men den der frygt gør jo, at børn frygter."
288000,292000," Åh nej, hvad skal der ske i mig, hvad skal der ske i mor, og kan jeg også dø af det?"
292000,297000," Og der må man jo sige, at det gode budskab er jo, at når vi ser på netop med børn,"
297000,302000," jamen så tyder alle data på, at et er om de kan få corona, det kan de nu nok,"
302000,305000," men at de typisk kan meget, meget få symptomer."
305000,309000," Og det er jo igen tilbage til, hvor farlig er corona egentlig?"
309000,313000," Den snak skal vi ikke have nu, andet end egentlig lige med hinanden om,"
313000,316000," at vi altså har nogle børn derude, som har det svært."
316000,320000," De har det svært, fordi de er bange, men nogle af dem har det også svært,"
320000,324000," fordi at de faktisk er fanget i et hjem, som er rigtig skidt for dem."
324000,329000," Fordi der er vold, der er seksuelle krænkelser, der er misbrug hos forældrene,"
329000,334000," der er psykisk sygdom i en svær grad, som gør, at børnene får det svært."
334000,338000," Og de her familier, ikke mindst børnene, de får faktisk lige nu på ingen måde,"
338000,340000," den hjælp, de har brug for."
340000,344000," Så det jeg vil bede dig om, det er at være lidt mere opmærksom derude,"
344000,350000," holde lidt mere øje med børn, hvordan de har det, hvordan du kan hjælpe."
350000,356000," Og så husk, at er du professionel, er du pædagog, lærer, læge,"
356000,361000," sygeplejerske, sundhedsplejerske, dagplejer, altså arbejder du professionelt med børn,"
361000,366000," så har du faktisk en udvidet underretningspligt, en skærpet underretningspligt."
366000,371000," Og hvis du tilsidesætter denne skærpet underretningspligt, så kan du faktisk få,"
371000,376000," i værste fald, op til fire måneders fængsel for ondlaget at underrette,"
376000,382000," når du får kendskab til eller har mistanke om, at barn bliver udsat for vold eller seksuelle krænkelser."
382000,386000," Og for os andre, eller jer andre, fordi jeg har også en skærpet underretningspligt,"
386000,391000," men for jer andre, ikke også almindelige borgere, der har I også en underretningspligt."
391000,397000," Så hvis I får kendskab til eller mistanke om, at der pågår noget,"
397000,400000," f.eks. vold og seksuelle krænkelser i forhold til et barn,"
400000,404000," så har I en underretningspligt til at underrette de sociale myndigheder."
404000,409000," Men mest af alt synes jeg, at det er tid til, at vi lige får fokus på børnene"
409000,414000," og ser, hvor meget de faktisk lider under det her coronahysteri, vi er ude i."
414000,423000," Og på samme måde som der ikke var nogle lægefaglige, gode sundhedsfaglige dokumentation for,"
423000,426000," at landet lukkede ned, så mener jeg jo det samme,"
426000,430000," at der er endnu mindre dokumentation for, at det skal holdes lukket."
430000,435000," Så ikke mindst på grund af børnene, men også på grund af alle de alvorlige syge og syge,"
435000,438000," der ikke får deres behandling, udredning osv."
438000,443000," Landet, der lider, økonomien, virksomheder, arbejdsløse osv."
443000,450000," Så mener jeg jo, at regeringen på ingen måde har nogen som helst lægefaglig, sundhedsfaglig dokumentation"
450000,453000," eller anledning til fortsat at holde landet lukket."
453000,455000," Så jeg mener selvfølgelig, at landet det skal åbnes."
455000,463000," Jeg mener, det er tid til, at vi som befolkning beder regeringen om at stille den dokumentation,"
463000,466000," som viser eller bekræfter den her coronaangst."
466000,469000," Og jeg kan godt røge for dig, den er der ikke."
469000,477000," Til gengæld er de ganske sparsomme, ganske spændte tal, vi har omkring corona, meget fredsomme."
477000,484000," Og de viser, som jeg også sagde før, at der ikke tyder på, at vi er på vej ind i en coronaepidemi."
484000,490000," Og sandsynligheden for det er meget lille taget ikke mindst sæsonen i betragtningen."
490000,497000," Og af en eller anden grund er det, som om den der sæsonvariation er fuldstændig røget ud af mellemregningen her,"
497000,500000," og man har tænkt på, hvad var det, vi var på vej ind i."
500000,503000," Og så er det selvfølgelig de sædvanlige ting, vi skal gøre."
503000,505000," Isolation af de syge, det er klart."
505000,509000," Dem, der vi ved har en smitsom sygdom, beskytte de særlige udsatte."
509000,513000," Og så stadigvæk, som man siger, steppe op på håndhygiejnen,"
513000,517000," som jeg er helt sikker på, praktisk tale hele landet har gjort, meget, meget grundigt."
517000,522000," Jeg skal lige høre, om der her på falderebet er nogle spørgsmål."
522000,527000," Der er en, der syger, det er lidt tragisk komisk, at Mette Frederik kalder sig for børnets statsminister."
527000,529000," Ja, det kan vi sådan set godt sige."
529000,534000," Men det er jo så noget andet, og det er jo også det, hvor man kan sige, at i det her tilfælde,"
534000,537000," jeg har ikke hørt en eneste gang, at der har været fokus på børnene."
537000,539000," Og der er slet ikke de udsatte børn."
539000,546000," Og det er dem, som vi skal tage særlig hånd om, og det er dem, der lige nu fuldstændig bliver glemt."
546000,550000," Så med det vil jeg bare sige, hey, husk nu, der er altså nogle børn derude,"
550000,554000," der faktisk har brug for os andre, og har brug for det der sikkerhedsnet,"
554000,557000," som samfundet normalt bygger op under dem."
557000,562000," Der er nogle, der har brug for jer professionelle derude, der arbejder med dem til dagligt."
562000,566000," Der er en grund til, at I bliver særligt uddannet til at holde øje med udsatte børn,"
566000,570000," og har nogle særlige redskaber, og ikke mindst har en særlig forpligtdelse."
570000,577000," Den gælder også nu, selvom I faktisk på mange måder slet ikke har mulighed for at leve op til det ansvar."
577000,579000," Og hvem betaler prisen?"
579000,583000," Det gør de udsatte børn, og det er rigtig, rigtig, rigtig trist,"
583000,586000," og det er faktisk ikke til at bære og tænke på."
586000,591000," Så med det vil jeg sige, pas nu på os de andre derude."
591000,593000," Hold øje med de udsatte, hold øje med børnene."
593000,596000," De har brug for din stemme, de har brug for min stemme,"
596000,599000," og de har ikke mindst brug for, at landet bliver åbnet nu."
599000,603000," Kan du have det godt derude. Vi ses. Hej hej."
