start,end,text
0,8000," Godmorgen til jer alle sammen herude fra den helt vidunderlige skov, som du jo nok kan gætte dig til."
8000,12000," Jeg løber, hvis jeg overhovedet har mulighed for det, stort set dagligt."
12000,17000," Fordi i det her helvedes-coronaår, vi har været igennem, så er der jo én ting, vi har fundet ud af."
17000,25000," Nemlig hvor vigtigt det er for os, at vi holder os i gang, at vi motionerer, at vi får pusen, at vi kommer ud i det vidunderlige vejr."
25000,31000," Men det jeg egentlig lige vil sige to ord om, det er, at vi skal have respekten tilbage for fagkundskaben."
31000,39000," Hvis man sådan skal kigge tilbage på det forgangene år og sige, hvad skete der egentlig? Hvor var det kædenrøg af?"
39000,46000," Jamen, så må man sige, så er det jo i helt ekstrem grad manglende respekt for fagkundskaben."
46000,49000," Manglende respekt for merit. Og hvad mener jeg med det?"
49000,57000," Jo, som du nok ved, allerede fra starten, altså for nu over et år siden, der kunne jeg og enkelte andre jo se ud fra talene,"
57000,64000," at vi selvfølgelig ikke kom ind i en bravende coronaepidemi. Vi var ganske enkelt for langt henne på foråret."
64000,72000," Jeg blev sådan latterliggjort og herefter censureret i helt ekstrem grad, fordi regeringen havde et meget klart politisk ønske,"
72000,80000," nemlig at vise handelekraft. Og handelekraft var altså at lukke hele samfundet ned og påføres den enorme smerte, der var,"
80000,88000," og vil være, og har været og fortsat vil være i gentagende nedlukninger. Så man ønskede ikke at lytte til fagkundskaben."
88000,93000," Det så vi jo også, fordi man jo allerede fra starten heller ikke lyttede til Søren Brostrøm,"
93000,101000," som jo heller ikke mente, at det var fagligt velfunderet at lukke samfundet. Og sådan er det egentlig gået slag i slag."
101000,109000," Nemlig at man ikke har lyttet til fagkundskabet. Og når jeg siger ""man"", så er det regeringen, det er oppositionen,"
109000,117000," det er brancheforeningerne, det er fagforeningerne, det er pressen ikke mindst. Man har været det, vi kalder omnipotent."
117000,122000," Man har sådan tænkt ""hmm, jeg går lige ind og googler lidt, og så har jeg vel forstået"". Nej, gud har du ej."
122000,129000," Vi andre har sådan set arbejdet med det her, for mit vedkommende, i cirka 30 år. Så nej, det kan du ikke bare lave"
129000,136000," to klik på Google eller læse en halvt artikel i lanceret på hovedet. Nej, det er det, du skal bruge fagkundskaben til."
136000,143000," Og den respekt har man ikke haft, og den har man stadigvæk ikke. Og det er det, der er allermest farligt i det her."
