start,end,text
0,11000," Hej, jeg hedder Winke Malika, jeg er læge, har en Ph.D. og så har jeg fulgt corona fra dag -5, havde jeg sagt."
11000,16000," Jeg har fulgt det, og jeg har hele tiden haft vældig meget fokus på fakta, og det har jeg stadigvæk."
16000,22000," Så det betyder, at alt det, jeg lægger op, alt det, jeg siger, det er funderet i fakta."
22000,31000," Ikke i holdninger, gistninger, mavefornemmelser, frygt, ønsket om magt, men alene fakta i modsætning til regeringen."
31000,38000," Jeg vil godt lige kommentere dagens coronatal, fordi det er rigtigt, at vi ser en stigning lige nu."
38000,47000," En lille smule procentuel stigning i tilfældet af folk, der er testet positive for covid-19."
47000,52000," Det er så ikke ens betydende med, at de mennesker faktisk har covid-19."
52000,57000," Vi ved, at det kun er cirka halvdelen af dem, der testes positive, der faktisk har symptomer."
57000,65000," Det gode budskab er også, at der er markant færre, som har brug for at lægge respirator ud af de indlagte."
65000,70000," Det gode budskab er også, at der faktisk er færre indlagte, end der var i går."
70000,73000," Faktisk 14 færre indlagte og to færre i respirator."
73000,77000," På den ene side er der altså flere, der ser ud til at blive smittet."
77000,80000," Vi går også ind i vinteren, så det er forventeligt."
80000,86000," På den anden side er det et positivt budskab, at det faktisk er markant færre, som har brug for respirator."
86000,91000," Og i sidste ende er livet truet af det. Så det er jo det gode budskab."
91000,94000," Så vil jeg lige tale lidt om censur."
94000,102000," Jeg har under hele forløbet, faktisk fra 17. marts i hvert fald, været udsat for meget grov censur."
102000,109000," Det startede med BT, hvor man lavede et intervju med mig, før statsministeren lukkede hele landet."
109000,114000," Og der var jeg en at pege på, hvad konsekvensen kunne blive af, at man lukkede landet ned."
114000,118000," Og hvad jeg så også fik ret i, og hvor fredeligtaldene så ud."
118000,123000," Og jeg havde ret der, og fik ret, men det var egentlig på en trakisk baggrund."
123000,127000," BT valgte at bringe intervjuet 24 timer efter."
127000,131000," Samtidig skulle jeg lige det, jeg kalder ""bot-bottes"", altså latterliggøres."
131000,134000," Det fulgte DR op i Detektor."
134000,139000," Der havde journalisterne ikke forstået procentregning, selvom jeg forsøgte at forklare dem."
139000,142000," Meget simpel procentregning i cirka fem timer."
142000,144000," Jeg tror, der var seks forskellige journalister."
144000,149000," Og igen skete der det samme, at frem for at høre og lytte til, hvad var det egentlig, jeg sagde,"
149000,155000," så var det igen en bot-botter, fordi min fortælling passede ikke ind i frygtfortællingen."
155000,163000," På trods af, at mit var og er fakta-baseret, så var det nemmere at latterliggøre mig, defamere mig osv."
163000,165000," Og sådan gik det ellers slag i slag."
165000,171000," Det har været fuldstændig umuligt for mig at trænge igennem med de tilmængdsfølgemedierne."
171000,178000," På trods af, og det skal vi huske, at jeg har haft et tæt samarbejde med pressen i 30 år forud."
178000,181000," Så det er jo ikke sådan, at jeg aldrig har haft noget med pressen at gøre."
181000,184000," Og dermed fortsætter det, at jeg har haft et rigtig tæt samarbejde med pressen."
184000,189000," Men jeg er blevet fuldstændig ignoreret, fuldstændig pacificeret."
189000,193000," Da mig og jeg udkom med den her koropo her i sentommeren,"
193000,195000," var der ikke en eneste, der omtalte den."
195000,198000," Ingen gang anmeldte den, ingen gang gav den en dårlig anmeldelse."
198000,201000," Det var fuldstændig silence."
201000,204000," Og det er jo igen censuren."
204000,209000," Så var der en artikel på TV2 Nyhederne om noget konspirationsteori,"
209000,214000," og der var pludselig mit navn nævnt, på trods af, at jeg aldrig nogensinde har bevæget mig"
214000,219000," og været i nærheden af noget, som helst kan terrorisere en konspirationsteori."
219000,221000," Men alligevel skulle jeg nævnes."
221000,223000," Den sag ligger hos pressen nævnet."
223000,225000," Og så blev det afsløret den anden dag,"
225000,229000," fordi en seger havde skrevet til Lars Bak Jørgensen fra TV2 Nyhederne"
229000,231000," omkring masker og maskestudier."
231000,236000," Og han havde i samme moment fortalt om noget af det, som jeg også har offentliggjort,"
236000,243000," nemlig at skulle vi kigge på de absolute tal og glemme alt om signifikans,"
243000,247000," så er der faktisk større beskyttelse ved at bruge briller end at bruge mundbind."
247000,249000," Igen, der er ingen signifikant forskel,"
249000,253000," så det ville være lige så utroværdigt, hvis jeg sagde, at der var en virkning,"
253000,255000," som hvis man siger, at mundbind har en virkning."
255000,257000," For der var heller ingen signifikansforskel."
257000,260000," Men der var faktisk bedre effekt af briller end mundbind."
260000,265000," Og faktisk var det også sådan, at mænd havde decideret en øget risiko for smitte"
265000,267000," hvis de brugte mundbind."
267000,269000," Igen, ikke en signifikant forskel."
269000,274000," Alt sammen for at sige, at ham her Lars Bak Jørgensen, som jeg kender personligt,"
274000,277000," i første omgang tænkte han, at det var sådan set spændende."
277000,282000," Så bliver mit navn nævnt, og så nej, så er jeg en utroværdig kilde,"
282000,287000," og jeg er åbenbart en, som hører, hvad er det nu, man kalder modstandsbevægelsen,"
287000,289000," sultpapirshatte."
289000,291000," Og jeg havde rabiatet påstanden."
291000,295000," Men sjovt nok har han jo ikke underbygget, hvad det er for nogle rabiate påstanden,"
295000,297000," for det kan han ikke, for det har jeg ikke,"
297000,299000," og det har jeg ikke på noget tidspunkt haft."
299000,302000," Jeg tog sagen til den øverste direktør,"
302000,304000," Anne Stig Christensen i TV2,"
304000,309000," fik hvad der tangerer en undskyldning fra Jacob Kvohn, som er deres nyhedschef."
309000,313000," Men det her er garanteret hverken første eller sidste gang,"
313000,317000," at Lars Bak Jørgensen har svaret nogen c'er omkring mig på den måde."
317000,319000," Og derfor vil jeg bede dig om,"
319000,324000," hvad du end har af mails, af kommentarer, af beskeder i forhold til censur,"
324000,327000," af f.eks. mig eller andre, må du meget gerne sende til mig"
327000,330000," på vibeke@vibekemanik.dk"
330000,333000," og du må også meget gerne gå ind og læse på min blog,"
333000,336000," fordi jeg vil meget gerne se det, og nu begynder vi at samle sammen."
336000,340000," Jeg har offentliggjort den mailkonspondense fra Lars Bak Jørgensen,"
340000,344000," så kan du selv se, hvad han skriver om dygtige fagfolk,"
344000,345000," i det her tilfælde mig."
345000,347000," Det er selvfølgelig uværdigt, det er ikke i orden,"
347000,350000," og det er én ting - censur."
350000,355000," Den samme transparens, som pressen efterlyser i forhold til magthaverne,"
355000,361000," i forhold til kommunerne og så videre, synes jeg er helt rimelig,"
361000,364000," men jeg så gerne, vi havde den samme transparens i forhold til medierne,"
364000,366000," i hvert fald dem, der får mediestytte."
366000,369000," Fordi den censur, jeg har været udsat for og andre,"
369000,371000," ligesom mig, i samme situation,"
371000,375000," den er kæmpe far for demokratiet,"
375000,377000," havde man lyttet til, hvad jeg sagde fra starten,"
377000,380000," havde man lyttet til, hvad jeg har sagt undervejs og fortsat siger,"
380000,383000," så havde vi ikke bragt landet i knæ."
383000,387000," Så havde vi taget hensyn til udsatte, til kronisyge, til alvorlige syge,"
387000,390000," til døende, til de ældre, til børnene, til de udsatte,"
390000,392000," psykisyge og så videre."
392000,395000," Så havde vi ikke været en del af den corona-tegneserie,"
395000,398000," vi nu har været en del af i 10 måneder."
398000,401000," Men du kan gøre en forskel, for du kan stille krav,"
401000,404000," du kan kontakte de forskellige medier og bede om ordentlighed,"
404000,408000," du kan kontakte medierne og bede om variation og diversitet"
408000,412000," i forhold til, hvilke eksperter man lader komme igennem"
412000,416000," og komme væk fra alle de her ubegrundede frygtshistorier."
416000,418000," Til sidst vil jeg lige igen,"
418000,420000," det er jo også derfor, jeg kom lidt senere i gang,"
420000,423000," fordi en af jer var forbi for at få fat i nogle af vores,"
423000,426000," hvad hedder det, populære badges."
426000,430000," Jeg ser de her badges i større og større grad som en frihedskamp."
430000,435000," Det er jo sådan, at vi har ingen evidens for, at mundbind virker."
435000,439000," Til gengæld ved vi, at de giver gener, åndedrætsbesvær,"
439000,444000," hovedpine, ubehag, åndenød, når du går hurtigere osv."
444000,446000," Vi ved, at de giver rigtig mange gener."
446000,449000," Du er undtaget, du er fritaget, hvis du ikke kan tåle mundbind."
449000,452000," Du behøves ikke en lægeerklæring, du behøves heller ikke et badge,"
452000,456000," men det kan gøre det lettere i forhold til at kommunikere til omverdenen,"
456000,458000," at de skal lade dig være i fred."
458000,461000," Så er der også sådan et signal mellem vores frihedskæmper,"
461000,463000," der sådan lidt er, at det er i hvert fald den glæde,"
463000,465000," og det er i hvert fald det, jeg møder derude,"
465000,468000," at det er sådan lidt ""yes, yes, jeg tænker også selv""."
468000,471000," Så anyways, vi skal væk fra censuren."
471000,474000," Vi skal have dokumentation for den censur,"
474000,477000," og jeg håber, du vil være med til at sende mig på min mail"
477000,479000," www.vibekristabelag@vibekemandik.dk"
479000,482000," Hvis du gennem tiden har fået noget vidrørende af mig"
482000,484000," eller andre forstandelige læger eller fagfolk,"
484000,487000," eller dig selv for den sags skyld, så send mig det endelig,"
487000,489000," fordi vi forsøger at samle det,"
489000,491000," og vi forsøger at få et overblik,"
491000,494000," og jeg er helt sikker på, at der ligger rigtig mange mails,"
494000,497000," eller den Lars Bak Jørgensen nu har fået offentliggjort,"
497000,499000," ufrivilligt helt sikkert,"
499000,501000," men jo ganske afslørende for i det her tilfælde,"
501000,504000," den censur, som der har været og er i det her tilfælde,"
504000,506000," på TV2-nyhederne."
506000,508000," Kan du have det godt, min ven."
508000,509000," Vi ses."
509000,511000," Og pas lige på hinanden derude, og husk lige,"
511000,513000," vi har brug for et genoldekram."
513000,515000," Det er det, vi lever af, det er det, vi lever med,"
515000,517000," og det er det, vi lever for."
517000,519000," Kan du have det godt. Hej hej."
519000,521000," *plop*"
