start,end,text
0,7480," Så er jeg live. Undskyld, at jeg lige var nogle minutter for sent, men sådan er det jo, når der er spændende tal, der kommer ind."
7480,11480," Lad os starte med de gode tal. De er stadigvæk rigtig gode."
11480,17480," Det er jo sådan, at siden i går der blev testet ca. 10.000, og ud af dem var der kun 130, der var smittet."
17480,23480," Det vil sige, at det er en procentdel på 1,28. Altså vanvittigt lavt tal."
23480,27480," Nogle af jer har stillet mig lidt forskellige spørgsmål. Jeg lover, at jeg kommer ind på det med søvn."
27480,30480," Men lad os lige tage enkelte af spørgsmålene først."
30480,36480," For det første, hvad nu når børnene er kommet tilbage i dagpasningerne, har vi så set eller vil vi se en stigning af smitter?"
36480,38480," Der må vi jo sige klokkeklart nej."
38480,44480," Det viser de tal, vi har. Det viser vores forventning, også i forhold til årstiden, foråret osv."
44480,49480," Så nej, vi ser ikke en stigning. Tvært om, ser vi et markant fald."
49480,56480," Ganske enkelt fordi corona, udbruddet epidemien, hvad du vil kalde det, er ved at flade ud på grund af årstiden."
56480,58480," Kan det komme igen? Ja, meget vel."
58480,62480," Men det er en anden situation til efteråret, men ikke på det her tidspunkt."
62480,66480," Så for praktiske gørmål, må man sige, vi er i Saban-savn, der er ingen problemer længere."
66480,72480," Alt ser smukt ud. Der er intet, der står i solen, mund og stjerne, at noget vil ændre sig nu eller kan ændre sig."
72480,78480," Af samme grund siger jeg jo igen og igen, der er intet sundhedsfagligt belæg for at holde landet lukket."
78480,83480," Så er der en anden, der spurgte, hvad ville være sket, hvis vi havde fulgt dig fra starten?"
83480,89480," Jamen, suk hjerte briste ikke, så havde vi jo været i en helt, helt anden situation."
89480,92480," Så havde vi jo ikke set alvorlige syge, der ikke fik deres behandling."
92480,99480," Døende, ca. 9000 er døde i samme periode, som ikke måtte være med deres elskede hos sig, som skulle tage afsked over facetime."
99480,109480," Alle de katastrofer, udsatte børn, der har været fanget, kan man sige, i dysfunktionelle hjem med vold og seksuel overgreb osv."
109480,113480," 35.000 operationer var ikke blevet afløst."
113480,118480," Jamen, alle de her meget, meget alvorlige konsekvenser for samfundet, dem kunne vi have undgået."
118480,124480," For jeg har jo hele tiden sagt, at der var intet, der tydede på, at vi var på vej ind i en bravende coronaepidemi."
124480,128480," Det sagde jeg også før landet blev lukket, og jeg har haft ret hele tiden."
128480,132480," Det er jo ikke det samme, som vi ikke skulle have gjort noget. Det har jeg også sagt mange gange."
132480,139480," Jamen, vi skulle gøre det, som vi gør i dagpastingerne, det vi har gjort, når vi har smitsomme sygdomme."
139480,143480," Isolere de syge, steppe op på håndhygiejne, og så gå udenfor."
143480,146480," Der er rigtig mange ting, vi skulle have gjort, kunne have gjort."
146480,151480," Og ikke sætte i bagløsets klare spejl, for jeg har sagt det hele tiden."
151480,157480," Men konsekvenserne, de meget katastrofale konsekvenser for landet, dem havde vi undgået langt hen ad vejen."
157480,160480," Men anyways, det er ikke tid til at tale om det nu."
160480,165480," I stedet for, at vi skal glædes over, at talen er så vanvittigt flotte, og så skal vi bare få åbnet landet."
165480,170480," Og det er jo derfor, jeg også siger til dig, brug din politiske stemme, brug din demokratiske stemme."
170480,175480," Uagtet hvem du stemmer på, om det er regeringspartier, om det er ikke regeringspartier,"
175480,181480," så stil krav til dine politikere om, at de forholder sig til det her vanvittigt flotte tal, og få åbnet landet."
181480,185480," Fordi det her handler hverken om rød eller blå blok, det handler bare om at handle."
185480,188480," Anyways, vi skal have lidt om søvn."
188480,192480," Jeg er jo, udover at være læge, også søvnekspert, har jeg jo undervist,"
192480,197480," og skrevet bøger, pæser og plakater om søvn i rigtig, rigtig mange år, og gør det med stor glæde."
197480,200480," Jeg er det, jeg kalder en ""elite sover""."
200480,203480," I gamle dage var jeg en ""elite tennispiller"", nu er det blevet til en ""elite sover""."
203480,207480," Men det er fordi, jeg tager min egen, og hvad så man siger, sovemedicin."
207480,209480," Og det er ikke noget, vi kan købe, det er gode råd."
209480,211480," Og hvad er de så?"
211480,217480," Jamen, jeg ved jo rigtig mange af jer, sover og har sovet rigtig dårligt i den her coronakrise."
217480,222480," Rigtig mange af jer har været bange, kede af det, frygter for jeres arbejde, jeres virksomhed,"
222480,227480," jeres liv er ensomme, kede af det, undsovvejede."
227480,232480," Så jeg ved, at der er rigtig, rigtig mange af jer, som har og har haft problemer med at sove."
232480,235480," Der er meget simple råd, som jeg vil give nu."
235480,238480," Der findes mange flere, men lad mig tage de allersimpleste."
238480,242480," Når du i aften føler dig træt, lidt afhængig af, hvad tid du har stået op,"
242480,246480," så vil jeg foreslå en halv time før, at du rammer det, jeg kalder dit sovvindue."
246480,250480," Altså der, hvor hvis du inde får et bryd på cirka 20 minutter."
250480,253480," Bum, lægger dig og falder i sov, som en stein."
253480,255480," Og mærk lige efter, hvornår det er."
255480,259480," Men hvis du er en halv time før det, er du stået op på en syv, er det nok cirka omkring halv ti."
259480,262480," 10, lidt afhængig af din alder. Måske lidt senere, lidt før."
262480,267480," Men så dæm al belysning, den sidste halve time før."
267480,270480," Det værds også ud på toilettet, alle vegne."
270480,273480," Fordi dermed fortæller du hjernen, at nu skal jeg sove."
273480,279480," Dit sovnhormon, melatonin, stiger, og det vil sige, at du får meget nemmere ved at sove, når du lægger dig."
279480,285480," Når så, og også ud på toilettet, altså alle vegne, dæmpe belysning, ingen skærmtid, ikke noget, der vækker dig."
285480,289480," Når så du lægger dig, så skal der være bælmørt."
289480,292480," Ikke noget med at sidde med computeren, se fjernsyn, iPad eller noget."
292480,295480," Bæl, bæl, bælmørt."
295480,297480," Så falder du i sov."
297480,305480," Og hvis det så ikke virker, og tankerne farer omkring, for det gør de jo, når man har tankemyld, og det kender vi jo alle sammen til."
305480,310480," Så har jeg et meget godt råd, og det er, tænd din hvertrækninger."
310480,313480," Fordi det du skal, du skal i bund og grund give dig hen til soven."
313480,318480," Du skal i bund og grund give dig hen til det, frem for at tænke, tænke, tænke."
318480,324480," Og det som jeg synes er det mest effektive råd, hvis man ikke mediterer og sådan nogle ting meget."
324480,329480," Det er bare, når du ligger der i bælmørvet og tæller din hvertrækning."
