start,end,text
920,5600," Så er jeg tilbage. Jeg hedder Winth Komaneka, det er Corona Life."
5600,8780," Jeg hedder Winth Komaneka og er læge og har en socialmedicinsk UD."
8780,15940," Og som du måske ved, har jeg fuldt coronakrisen lige fra dens begyndelse."
15940,22940," Lad os tage de gode nyheder først, nemlig at forpragtiske områder er udbrudt i år."
22940,28340," De sidste døgn har man testet var det omkring 10.000, og man fandt 40."
28340,35320," Kort sagt, den er nede på 0,4 procent, altså der er stort set ingen tilbage, som har corona."
35320,42160," Antallet er indlagt, der er faldende. Jamen, alle tallene viser, at it's over."
42160,46540," Og det er der en væsentlig forklaring til, og det får det også, derfor jeg går udenfor."
46540,51380," Og i bund og grund, det regering gør nu, med at lave alle mulige faser og ting og sager,"
51380,55960," det er jo noget skræmmende, det er jo noget vås, det bygger jo på intet andet end frygt."
55960,58220," Frygt, og så lidt ekstra frygt."
58220,61220," Og det er jo den aller værste smitsomme sygdom, vi har været smittet af."
61220,67140," Og rigtig mange af jer er jo desværre fortsat, nemlig af frygt, fordi det er en smitsom sygdom."
67140,74080," Men havde vi fra starten bedt om videnskabelig dokumentation, og vi, det er dig og mig, og ikke mindst pressen,"
74080,78380," jamen, så ville vi jo have set, hvad der jo så også tyder på at være tilfældet nu,"
78380,81800," at der lå ikke nogen videnskabelig dokumentation for at lukke landet."
81800,86220," Og der er endnu mindre videnskabelig dokumentation for at holde det lukket."
86220,92180," Det er jo så rigtig positivt at se, altså, om Brostrøm åbenbart, når man ser på de mailkorrespondence, der har været,"
92180,97980," har været fuldstændig enige med mig, eller kan man sige mig, med ham, og det får vi jo syn for sagen nu."
97980,104660," Men tilbage til tallene, fantastisk gode talle, udbryd, it's over."
104660,111100," Sandsynligheden for, at du møder en med covid-19, er utrolig mikroskopisk."
111100,115520," Der er større sandsynlighed for, at du støder ind i en cykel om natten, selv fra din seng."
115520,119680," Kort sagt, der er ikke et udbryd, det er foråret."
119680,123420," Det er i virkeligheden, synes jeg, disrespekt for naturens orden,"
123420,130800," at man tror, at fordi, uha, du og jeg holder to meter afstand, som der jo ikke er nogen dokumentation for i forhold til covid-19,"
130800,136140," så får vi udryddet, nej, nej, nej, det er sæsonvariationen, det er foråret."
136140,142280," Det er det, som har betydning, og det er det, der gør, at udbryddet nu er over og vil forblive over."
142280,150060," Uanset, hvad du så end forsøger at få covid-19 i gang igen, det kan ikke ske på det her tidspunkt."
150060,154220," Der kan meget vel komme covid-19 igen til efteråret, næste år og så videre,"
154220,158120," og derfor er det meget og hyr vigtigt, at vi nu får sikret os,"
158120,163100," at vores regering aldrig nogensinde igen på så spændende grundlag,"
163100,170820," kan udsætte et land for så meget en alvorlig indgreb, og så svær en katastrofe,"
170820,173180," og reelt er det jo en skandale."
173180,177180," Jeg synes jo, at i går var, om nogen må sige, en game changer,"
177180,180780," således at forstå, at jeg tror, at de fleste af os havde tænkt, okay, nu er det over,"
180780,185100," nu åbner vi op, lad os få åbnet grænserne, lad os få åbnet for turismen og så videre."
185100,189180," Og så må de altså have siddet i regerings børnehaveplads og tænkt,"
189180,193100," altså jeg ved ikke hvem, der har tegnet det program, men en ting er sikkert,"
193100,195820," at der er intet med videnskabelig dokumentation at gøre der,"
195820,198060," intet med faktorlige forhold at gøre."
198060,202660," Så når man går ind og laver det her skam med, at København må ikke have turister,"
202660,208620," og de skal være hos seks nætter, hvor kommer sådan noget hus fra?"
208620,212620," Og det er der, jeg siger, at er det noget, de har hentet fra børnehaveklassen,"
212620,216780," eller måske endda børnehaven, det er fuldstændig rettet."
216780,220620," Men det mest rette det er, at vi andre løfter yderligere."
220620,224300," Og der synes jeg netop, at det var en gentjente, fordi jeg kan jo godt se,"
224300,227980," at rigtig mange af jer begynder at kunne forstå og høre efter, hvad man har sagt,"
227980,230700," og kan egentlig også godt se, at man jo faktisk har haft ret fra starten,"
230700,231900," men lad det nu være."
231900,239260," Men et eller andet sted tillader vi jo en regering at tilføre landet som egenskab."
239260,240860," Ved du hvad, det er i orden."
240860,244620," Det er jo sådan set folkevalgte, det er nogen, du har valgt, det er nogen, jeg har valgt."
244620,249180," Og det betyder altså også, at vi stadigvæk har muligheden for at presse på."
249180,252460," Det gør vi ved at kontakte vores politikere, ved at kontakte regeringen,"
252460,257420," det gør vi ved at forbide de forskellige organisationer, vi befinder os i, netværket og så videre."
257420,261260," Og selvfølgelig for sagt, nu må det her vanvittigt stoppe."
261260,264620," It's over. Udbruddet er her. Forpraktisk. Gør målet væk."
264620,267500," Lad os nu få åbnet landet op. Lad os få det på skinner igen."
267500,269180," Lad os få åbnet for turismen."
269180,271660," Og ved du hvad, vi kan sådan set også godt rejse ud."
271660,277820," Der er intet videnskabeligt dokumentation, ingen faktuelt belæg, på det regeringen udsætter."
277820,284140," Så jeg håber, som jeg har sagt mange gange før, at du vil lade den lille frygtpip-hands flyve væk,"
284140,290300," få skuldrene ned, begynde at lade livet, lev livet derude, komme ud i naturen,"
290300,294140," komme ud og nyde sommeren her på vejen, og så stille klar til det, vi vil ikke gøre."
294140,297740," Og så husk, det er lovligt at tænke selv, det må du godt stadigvæk."
297740,299740," Vi lever faktisk i demokrati."
299740,303260," Og det som regeringen nu udsætter os for, det der i hvert fald de udsætter os for,"
303260,307980," det er selv en katastrofe, men det de gør nu, det er fuldstændig kraftfuldt."
307980,313100," Fordi nu kan de ikke længere undskylde sig med, om vi var nødt til at haske det igennem,"
313100,315100," for vi vidste ikke, hvad vi stod overfor."
315100,319260," Nu ved vi, hvad vi stod overfor, nemlig at udbyde på praktiske områder overfor."
319260,326380," Nu ved vi, at dem der døde og alt andet lige, var ældre, som i forvejen ville være døde af et eller andet,"
326380,331500," om det var covid-19, om det var influenza, om det var pneumokokker, lungebetændelse osv."
331500,333500," Så nu har vi en viden."
333500,337580," Og samtidig har vi også haft tid til at sige, at vi skal stille et vigtigt krav,"
337580,342460," og det er, at der skal være videnskabelig dokumentation, når man laver sådan nogle begrænsninger,"
342460,348060," som nu for eksempel det her nummer med fortsætterholdning i grænserne."
348060,353020," Det er vist lukket, og i øvrigt belærer befolkningen om, hvordan vi må rejse ud helt rigeligt."
353020,357020," Så jeg håber, du tænker selv og nyder foråret og pinsen."
357020,359020," Kan du have det godt. Hej hej."
