start,end,text
0,10000," Så prøver vi lige igen, kronuglen er tilbage, og jeg er et af de steder, hvor jeg ælsker allermest at være, nemlig ude i naturen og nede ved vandet."
10000,15000," Jeg vil lige være sikker på, at det er allerhelst i vandet, men det er lige koldt nok til andet end en hurtig sveptur."
15000,19000," Hvad er så dagens gode corona budskab?"
19000,24000," Det er, at tallene er fuldstændig, som de har været hele tiden, nemlig stabile."
24000,27000," Der er intet, der tyder på, at vi er på vej ind i en bravende coronaepidemi."
27000,34000," Vi har et udbrud bevaret, vi har en pandemi bevaret, men tallene ser rigtig fredelige ud."
34000,39000," Og det gør jo så også, at du og jeg skal til at nyde for at gå udenfor."
39000,44000," Hold selvfølgelig de regler, der er. Det er klart, at dem skal vi ikke lave civil ulydighed med."
44000,46000," Men lad os lige få proportioner ind i det."
46000,55000," Og hvad er det så, jeg forsøger at sige, når jeg forsøger at berolige os alle sammen og sige, at der ikke er nogen bravende epidemi på vej?"
55000,63000," Jamen, for det første har jeg jo i hele forløbet, lige nu, 14 dage, det har stået på, efterløst proportioner."
63000,70000," Jeg har efterløst et ordentligt videnskabeligt grundlag for det indkreb, som regeringen har udsat hele befolkningen for."
70000,74000," Og jeg har efterløst, at vi sætter det i proportioner."
74000,81000," Altså, således at forstå, at vi går ind og siger, okay, hvad er det, vi skal opnå, og hvad er prisen her for?"
81000,88000," Hvad er prisen i forhold til fællesskabet, i forhold til udgifter, i forhold til de alvorligt syge mennesker,"
88000,93000," som lige nu ikke får den behandling, udredning, genoptræning osv., de skal have?"
93000,98000," Og så er der selvfølgelig rigtig meget, man skal og kan gøre, også i forhold til forebyggelse af corona."
98000,103000," Så hvis man, og det mener jeg, man skal, fordi man har ingen holdpunkter for at holde landet lukket,"
103000,109000," jamen, hvis man åbner op, jamen, så skal man selvfølgelig gå ud og lave rigtig mange tiltag."
109000,114000," Vi skal selvfølgelig have testet nogle flere, vi skal have isoleret syge, som vi gør ved smitsomme sygdomme,"
114000,117000," og vi skal også tage særlig hensyn til de sårbare."
117000,122000," Så det, jeg plæderer for, det, jeg beder om, det er ét, at du begynder at tænke dig om, kigger dig omkring,"
122000,129000," husker på, at der er rigtig mange syge derude, som ikke får den behandling, og den pleje omsorg, de har brug for."
129000,132000," Ældre, der ikke får den pleje omsorg, de har brug for."
132000,136000," Og så skal vi selvfølgelig have en plan, fortsat for corona, det siger sig selv."
136000,140000," Der er mange af os, der er interesseret i, at vi skal få en corona-katastrofe,"
140000,146000," men det er også bare vigtigt for mig at sige, at det er der ikke noget holdepunkt for, at vi er på vej ind i,"
146000,151000," det har der rent ældre ikke været noget holdepunkt for, at vi har været på vej ind i, her i landet."
151000,157000," Men anyways, kom udenfor, kom ud og nyd det dejlige forår, kom ud og få D-vitamin,"
157000,163000," og når du går udenfor, jamen, så minskes smitterisikoen jo også ganske, ganske markant."
163000,165000," Hold de regler, der er, selvfølgelig skal vi det,"
165000,171000," men skal vi ikke til at arbejde for i fællesskab, at vi får åbnet landet igen."
171000,174000," Kan du have det godt derude, hej hej."
174000,176000," *Brrr*"
