start,end,text
0,4840," Og så er krudtuglen tilbage med en lille pip-hands."
4840,10280," Jeg har fået en ny kameramand, og jeg håber ikke, at han bot-botter mig i dag."
10280,15960," Men jeg hedder Vibeke Manike, jeg er læge, og nogle af jer har jo nok fuldt nogle af mine live-videoer."
15960,19280," Så ganske kort kan jeg jo sige, at jeg har en socialmedicinsk pludsel,"
19280,22800," og har i rigtig mange år beskæftet mig med, hvad fejler befolkningen."
22800,27520," Herunder også smit som sygdomme, og især delshed i dagpasningerne."
27520,34520," Anyways, jeg har jo fuldt som resten af landet hele corona-udviklingen, corona-katastrofen kan vi kalde det."
34520,40920," Og det rigtig gode budskab er i dag stadigvæk, at tallene er umådeligt fine, fredsomlige,"
40920,50200," og heldigvis - og det har det egentlig været hele tiden - jeg vil også bede om at gå ind og kigge på min blog www.vibekemanike.dk."
50200,57800," Det er fordi, at min kameramand, han kan jeg se samtidig med jer andre, så det er ham, der kan få smilet frem,"
57800,60000," når alt andet ser trist og sort ud."
60000,67680," Men anyways, gå ind og kig, og så vil jeg jo så sige, at når vi kigger på tallene, er de fuldstændig fredelige, det har de været hele tiden."
67680,75760," Vi har ikke på noget tidspunkt haft nogle tal, der indikerede, at vi var på vej ind i det her skrækscenarie, som regeringen har tegnet."
75760,85080," Og det gode er jo så, at vi i hvert fald nu er enige alle sammen om, at 1. Sundhedsvæsenet er givet til, hvad der indenfor måtte komme, for nuværende."
85080,87280," 2. Tallene er fredelige."
87280,92080," Kort sagt, der er ingen grund fortsat til at holde landet lukket."
92080,101080," Det gør så også, at jeg kan undre mig, at man overhovedet overvejer først at vente til 13. og 14. april, og så endda tale om gradvis."
101080,106080," Vi er i gang med et kæmpe eksperiment, eller regeringen er i gang med et kæmpe eksperiment,"
106080,116080," og der må vi jo som befolkning selvfølgelig kræve, at der er et ordentligt talgrundlag, at der er en sundhedsfaglig anledning, og ikke mindst dokumentation herfra, og det er der altså bare ikke."
116080,124080," Vi kunne med rette skæve til Sverige, som på mange måder jo minder om os, og hvor man har græbet det an på en helt anden måde."
124080,132080," Måske ikke mindst fordi, at det har baseret sig på en sundhedsfaglig vurdering, og ikke som har hjemme på en politisk beslutning."
132080,141080," Men uanset hvad, så lad os glæde os over de gode tal, eller de fortsatte gode, og så lad os stadigvæk efterlyse proportioner i indsatsen."
141080,150080," Og husk, at der i det her øjeblik, så er der altså mennesker derude med alle mulige sygdomme, betydeligt meget andet end corona."
150080,156080," Jeg så lige, at i sidste uge, du sagde Mette Frederiksen, at influenza var væk, det var jo ikke rigtigt."
156080,160080," I sidste uge, i uge 11, der var der 300 indlagt med influenza."
160080,163080," Blot for at sige, lad os nu lige få lidt proportioner i det."
163080,174080," I samme periode som nu, der er døde, var det 90, og talet var gjort op i dag, så er der altså stadigvæk omkring 4.600, der er døde i samme periode."
174080,177080," Altså igen, hele tiden det her med proportioner."
177080,180080," Og hvad kan vi så gøre lige nu, udover at lægge pres på regeringen?"
180080,191080," Både os, dig, mig som borger, de faglige organisationer, virksomhedsejerne, patientforeningerne osv., så skal vi huske, at foråret er vores ven."
191080,201080," Og det har jeg også sagt hele tiden i det her forløb, at foråret kommer til at være vores ven og hjælpe os, så vi ikke den her omgang kommer ind i en bravende coronaepidemi."
201080,209080," Men til dig derude, synes jeg, at du skal huske, at du skal komme ud i det gode vejr, komme ud og motionere, lege, gå en tur."
209080,212080," Skal du mødes med nogen, så gå en tur med dem."
212080,216080," Hold selvfølgelig den afstand, der nu er foreskrevet, at vi skal, men gå udenfor."
216080,224080," Få bygget dit D-vitaminlager op, få nedsat smitterisikoen markant, og så nyd livet og nyd foråret."
224080,233080," Og så er det selvfølgelig også en god anledning, når nu vi har så god tid, som man har derude, at bruge anledning til f.eks. at stoppe med at ryge."
233080,239080," Vi ved, at dem, der klarer sig dårligst f.eks. ved en coronaepidemi, det er f.eks. ryger."
239080,246080," Brug anledning til at steppe op på din sundhed, brug anledning til at komme udenfor og motionere og nyde livet."
246080,255080," Men igen, det glade og det gode budskab, som vi selvfølgelig skal glæde os over, det er, at nu vil alle blive det enige om, at tallene ser fredelige ud."
255080,265080," Og der er endda også en klar melding om, at sundhedsvæsenet sagtens kan mestre og klare det pres, der måtte komme, som det ser ud nu."
265080,278080," Så lad os nu få åbnet landet, og det kan du være med til, og det kan jeg være med til, til at lægge et pres på regeringen, så de træffer den rigtige politiske beslutning, nemlig at åbne landet."
278080,289080," Stil mig endelig spørgsmål, og gå endelig ind på www.vivikemanike.dk og se, hvordan jeg har forklaret endnu mere, end jeg kan i den her live-video."
289080,292080," Vi ses lige pludselig. Hej hej."
