start,end,text
0,2000," Vi gør det live."
2000,5100," Øh, velkommen til. Jeg hedder William Kumanike, jeg er læge."
5100,11000," Og jeg fandt ud af her i går, at jeg jo faktisk landets førerne ekspert angår covid-19."
11000,15000," Fordi at jeg er rigtig dygtig til sjældent sygdom, det er også det jeg har min kvd omkring."
15000,17500," Og ved du hvad? Covid-19 er blevet en sjældent sygdom."
17500,21000," Så det er pludselig blevet lige præcis mit område."
21000,23000," Det har det egentlig været hele tiden af så mange grunde."
23000,27500," Fordi at jeg har beskæftiget mig med, at jeg fejler befolkningen i en meget stor del af min lægekarriere."
27500,32000," Men nu, hvor det er blevet en sjældent sygdom, så er der altså meget, man skal komme til."
32000,35000," Lidt cellikonisk skade er ikke mere en af det faktisk."
35000,38000," Det er heldigvis blevet en endnu mere sjældent sygdom."
38000,42500," Siden i går til i dag er det, jeg tror det er lige omkring 78, der er blevet smittet ud."
42500,45500," Og var det lidt over 10.000 testet."
45500,49500," Det betyder, at vi er nede på, at de er testet på 0,7 procent."
49500,51500," Jamen, helt ærligt, hæng lukken frem."
51500,54000," Fordi det er blevet uhyggeligt sjældent."
54000,59500," Det betyder også, som Kåre Møbak også har indset, at vi ikke får en anden guldlinje."
59500,61500," Vi får meget vel covid-19 igen."
61500,64500," Måske til efteråret, måske til vinter, måske om flere år, who knows."
64500,68500," Men et er sikkert, et skånt, det er en sjældent sygdom."
68500,72500," I morgen på Rødhuspladsen, der håber jeg vi ser hinanden."
72500,74500," Fordi der har vi jo en frihedsdemonstration."
74500,78500," En demonstration, hvor vi går ind og sender et klart signal til regeringen om."
78500,82500," Et, man skulle aldrig have lukket landet på det meget, meget spændende grundlag."
82500,88000," Og to, vi skal sikre os, at grundloven ikke kan blive indskrænket på samme måde igen."
88000,90500," På samme vanvittig spændende grundlag."
90500,94500," Og så er det selvfølgelig også et signal om, at hey, hvad venter I på?"
94500,97000," Og det er regeringen, jeg taler til, og partierne."
97000,98500," Sygdommen er væk."
98500,102500," Altså, hallo, det her har jo vanvittige implikationer, omkostninger."
102500,105000," For alvorlig syge, for syge i det hele taget."
105000,111500," Jeg så lige, var det 100.000 behandlinger, ambulatortider osv., der var blevet udskudt og aflyst."
111500,113500," Alene i Regionen Hovedstaden."
113500,119500," Vi ved, at det er omkring 35.000, højst sandsynligt flere, operationer, der er blevet udskudt eller aflyst."
119500,121500," Vi ved, psykisk syge får ikke deres behandling."
121500,125500," Udsatte børn bliver endnu mere voldstruede osv."
125500,135000," Og så har vi så slet ikke snakket om, hvad hele det her COVID-19-hysteri har for ikke mindst ulandende børns sundhed, kvinders sundhed."
135000,140000," Jeg så lige, at kronprinsesse Mærie meget rigtigt var ude og problematisere."
140000,143000," Som vi også har set nogle store artikler gøre, bl.a. i Larset."
143000,152000," Omkring nemlig det her med, hvad hele det her betyder for ikke mindst børn og kvinder i nød i ulandet."
152000,159500," Men tilbage til i morgen, der sender vi altså du og jeg og vores familie og dem, vi har kære og venner og kollegaer."
159500,165000," Alle os, der møder op til en fredelig, en lovlig demonstration på Rådhuspladsen kl. 12."
165000,170000," Der sender vi et meget klart signal om, aldrig mere 12. marts igen."
170000,175000," Det var den dag, at loven med vores indskræntelser blev underskrevet."
175000,177000," Så jeg håber, at du kommer."
177000,179000," Kom endelig hen og hilse på."
179000,182000," Jeg håber, du kommer og lader din stemme blive hørt."
182000,185000," Jeg håber, du kommer og er en del af fællesskabet."
185000,191000," Og det bliver utroligt skønt at være sammen med andre, som også er fortvivlede over det, der er sket."
191000,196000," Som også tager sig til hovedet og tænker, hvordan kunne det her ske på sådan et spændende grundlag."
196000,203000," Så anyways, glæd dig over, at COVID-19 er og har været en sjældent sygdom, og nu er det der i allerhøjeste grad."
203000,206000," Du skal have, om man så må sige, lukken frem."
206000,214000," Rigtig mange kommuner har nu i rigtig mange dage slet ikke set så meget som en enkelt patient overhovedet med COVID-19."
214000,218000," Så lad os fejre det. Lad os fejre friheden. Lad os fejre grundloven."
218000,220000," Så kom med ind på Rådhuspladsen i morgen."
220000,222000," Jeg glæder mig til at se dig."
222000,224000," Kan du have det godt. Hej hej."
