start,end,text
0,13000," Øv! Puha! Jeg hedder Liebke Mannke, jeg er læger og har en Ph.D. Og så er det her noget forfærdeligt skræmmende at have ude i det offentlige rum."
13000,23000," Lad os lige tage fat i mundbind. Lad os lige tage fat i den videnskabelige litteratur, eller mange på samme evidens, for at det her virker ude i det offentlige rum."
23000,34000," For det første er det jo sådan, at reglerne er, at hvis ikke du kan tåle mundbind, så er du sådan set fritaget. Og du skal hverken have lægerklæring eller noget som helst."
34000,52000," That's it and that's that. I går stod jeg udenfor en takeaway, det kan jeg godt røbe på jeres bordlæg, og i pissekulde. Og det regnede, og der stod vi i kø og ventede, for der må kun være én inde i butikken."
52000,61000," Anyways, der stod vi, og det var pissekoldt, og man blev våd. Og jeg stod så, og hende ved siden af mig, hun kommer ud, og der er en kø, og hun kommer pludselig i tanke om,"
61000,69000," ""Gud, jeg har glemt min mundbind."" Jeg siger, ""Jamen altså, du kan jo undervære, hvis det er, hvis du er fritaget."" ""Nej, nej, så sygt gør hun ikke."""
69000,76000," Jeg siger, ""Godt nok havde hun lige været ude at rejse, og der havde hun fået et forfærdeligt udslæt omkring hele munden og op til ørene og så videre."""
76000,86000," Så sagde jeg, ""Precis, du kan jo ikke tåle det."" ""Nå, jamen, om så hun skulle have lægerklæring."" ""Nej, du skal ikke have lægerklæring. Det er jo sådan set fortro og lov, du kan jo helt åbenlyst ikke tåle det, du har lige sagt det."""
86000,94000," ""Nå, ja, men så var hun jo noget bekymret, om hun skulle ind, og jeg gik jo ind foran hende, og der var ikke noget, fordi det er jo fortro og lov, og hej, jeg kan ikke tåle det."""
94000,101000," Og så da hun så, jeg kom ud, og hun skulle, ""Åh, skulle hun sige noget? Skulle hun gøre et eller andet?"" ""Nej, du skal sådan set bare lade dig ekspedere."""
101000,109000," Og hvad er det, jeg vil sige? Jo, for det første, prøv du lige at undersøge sådan noget skrammel her. Det er helt ulækkert."
109000,121000," Det er fuld af alt det snavs og skrammel og lortebakterier, du har og har haft på fingrene. Det er fuldstændig at være nede i lommen blandt mynterne, som han nær sagt sidst var oppe i rødhuren på en svensker."
121000,129000," Altså, det er så møg. Ulækkert. Og folk smider dem rundt omkring, og det ligger fej far pokker."
129000,139000," Så til dig, min ven, så vil jeg sige, at det er meget få, der faktisk kan tåle det og bruge det på den måde ude i det offentlige rum og out and about."
139000,151000," Og lad mig sige, hvorfor. Jo, men en meget væsentlig ting er faktisk, at når jeg tager det på her, ja, prøv her, jeg får det op på mund og næse, så er det jo sådan, at mit pærefærdssyn, mit udsyn, det bliver dårligere."
151000,159000," Så jeg for eksempel, uanset om jeg har briller på, så dukker de, men også uden at jeg har briller på, så kan jeg ikke se på samme måde, hvor jeg går."
159000,167000," Og så ved du godt, at jeg er en lille ældre dame på 60 år. Nej, selv dig på 25, det er sådan set det samme, der er problemet."
167000,177000," Nemlig, at du ikke kan se kandstenen, fordi det vi orienteres med, når jeg står her, så orienterer jeg mig med mit pærefærdssyn, så jeg kan se, der er en kandsten, der er ikke en kandsten osv."
177000,187000," Hvis jeg får den her op, bum, så forsvinder det jo, fordi jeg kan slet ikke se det, der er hernede, fordi det her lorte mundbind, det tager mit udsyn."
187000,195000," Så derfor kan man sige, at din risiko for at falde er markant større med det skrammel, uanset om du har briller på eller ej."
195000,209000," Og så apropos briller, det er meget sjovt, da Rigshospitalet lavede deres dobbeltblendeundersøgelser her i 2020, det er jo faktisk tilbage til, at det blev publiceret i august 2020, det er også lidt uhyggeligt,"
209000,217000," eller var det endda i september, men der lavede de en dobbeltblendeundersøgelser, der måtte de jo konkludere, at der var ingen videnskabelig dokumentation for,"
217000,224000," at man smittede, eller man havde en mindre risiko for at blive syg ved at bruge mundbind i det offentlige rum."
224000,229000," Det som deres tal også viste, og det er jo lidt interessant, altså det medførte jo intet."
229000,234000," Altså den faktaresistente regering der var fuldstændig pissehamrende ligeglad."
234000,237000," Sundhedsstyrelsen, fuldstændig ligeglad, kun den kan jeg læse."
237000,242000," ""Næh, du mand tonser afsted med alle mulige mundbinds"", altså fuldstændig, men sådan er det jo."
242000,251000," Når man går mere op i symbolik, og i magt, og i alt muligt andet end fakta, så bliver sådan noget skedehullet det, jeg forstår mig ret."
251000,256000," Anyways, det som det studie også viste, og det synes jeg var lidt sjovt for os, der dykkede lidt ned i tallene,"
256000,265000," det var, at dem der brugte briller til Sydenlandet, havde en mindre risiko for at blive smittet, end dem der ikke brugte briller."
265000,272000," Det var ikke statistisk signifikant, fordi antallet var forholdsvis lille af dem der var undersøgt."
272000,276000," Men det gav en indikation, og mange synes jo det er sjovt det her."
276000,284000," ""Ja ja, men hey hey, tænk dig nu lidt om, vi har slimehænder her, vi har slimehænder her, vi har slimehænder her, og vi tænker på ansigtet."
284000,291000," Det betyder, at hvis vi to mødes, og jeg giver dig en atjur, genoldt et atjur, lige inden det snudes gaft,"
291000,300000," så rammer jeg din næse, din mund, men har du ikke briller på, så rammer jeg altså også dine slimehænder i øjnene, så et eller andet sted."
300000,307000," Og det er jo ikke helt tosset. Jeg siger jo ikke, at det er rigtigt, fordi som sagt var det ikke statistisk signifikant, at man kunne bruge det."
307000,310000," Jeg så, at man i Norge nu er ved at gennemføre et større studie."
310000,317000," Men hvis du spørger mig, om det kunne give mening, eller om der kunne være en forklaring, så vil jeg sige ja meget vel."
317000,322000," Men derfra til at sige, at vi alle sammen skal bruge briller, der er altså langt, og det kunne jeg da ikke drømme om."
322000,332000," Men alt sammen for at sige, har vi nogen som helst videnskabelig dokumentation, for at det her, forstår mig ret lort, det virker i det åbne rum, og der må jeg bare sige nej."
332000,339000," Er der nogle bivirkninger, risici, ud over hvad det gør ved miljøet? Ja, der er rigtig mange."
339000,350000," Der er udslæt, der er faldulykker, fordi du ikke kan se det pærefærdsyn, der er åndedrætsbesvær, åndenød, sjæner, svimmelhed."
350000,356000," Og så er der altså også det, at vi bliver maskerede. Prøv lige at se mig, når du møder mig sådan her."
356000,359000," Smiler du til mig? Ej, det kan jeg love dig for, at du ikke gør."
359000,361000," Kigger du mig i øjnene? Nej, det gør du faktisk heller ikke."
361000,363000," Er du sådan en småfjendtelig? Ja, det er du faktisk."
363000,369000," Fordi vi interagerer jo. Du og jeg, når vi mødes, så smiler vi til hinanden, så griner vi, så gør vi, så blinker vi."
369000,374000," Hvis vi ser godt nok ud, så giver vi en lille trutter. Ikke at vi giver hinanden en trutter, forstår mig ret."
