start,end,text
940,7560," Så er jeg tilbage. Jeg hedder Viv Kamanike. Jeg er læge. Jeg har en PUD."
7560,13180," Og så har jeg i dag trukket i... Jeg vil egentlig ikke sige festtøj, for der er ikke noget at fejre."
13180,19060," Men jeg har trukket en rød kjole. Jeg har de røde læber på. Jeg har vores fine frihedssmykker på."
19060,23140," Ørerringe og halskæden. Jeg skal nok lægge et link op."
23140,28580," Fordi jeg synes, det er vigtigt i dag, et år efter, at dette corona-helvede startede."
28580,35900," Så er det vigtigt, at vi tænker på vores land, at vi tænker på Danmark, at vi tænker på vores værdier."
35900,41020," Fordi de har været gået fløjten i det her år. I min mening."
41020,47100," Og hvorfor nu det? Jo, men jeg synes, der er et meget grundlæggende præmis, som har været væk, og det er fakta."
47100,56500," Jeg er naturvidenskabelig opdragte. Hele mit virke i 31 år som læge, det har rigtig meget handlet om fakta."
56500,60220," Det har rigtig meget handlet om, hvordan får vi dokumenteret noget."
60220,65660," Og det må jeg sige, det er faktisk ret skræmmende. Så sent som min mor snakkede med min mand om det."
65660,71580," Som du ved, han er professor i hjertesøgdomme, og vi snakkede om, hvor forfærdeligt det er at erkende,"
71580,79780," at vi har været styret ud fra frygt, gidsninger, maverumlen, mavefornemmelser og meget lidt fakta."
79780,83300," Og jeg synes, det egentlig blev statueret som et rigtig godt eksempel."
83300,96020," I går aftes, da der kom fra Lone Simonsen fra RUK, at hendes vurdering var uholdt fast af 35.000 dødsfag,"
96020,102700," så mange havde vi sparet. Hvad ligner det under banen? Hvor kommer sådan noget vores fra?"
102700,109380," Et, det er jo tangeret, og det må jeg sige, videnskabelig uredelighed, jeg mener også, det hører til i nævnen for videnskabelig uredelighed."
109380,117460," Fordi det må du ikke. Det er upubliceret data. Vi andre har ikke nogen som helst mulighed for at eftergøre de data og for at efterprøve dem."
117460,124380," Det er en påstand. Men jeg synes så, det er en skærpende omstændighed, at Lone Simonsen fungerer som rådgiver for regeringen."
124380,130820," Det vil sige, i virkeligheden er hun i det her tilfælde, i mine øjne, regeringsmagtens nar, forstår man ret af."
130820,136740," Altså lidt ligesom i gamle dage i Kongehus, hvor man havde en eller anden nar, der sagde de frække ting."
136740,141740," Og der må man sige, at når hun går ud og siger sådan noget fuldstændig vanvittigt noget, så er det i mine øjne."
141740,149660," Et, hun tilsidesætter god forskningspraksis. To, hun afslører, hvor ignorant hun er bevares."
149660,155020," Og tre, det er meget problematisk, fordi hun fungerer faktisk som rådgiver for den siddende regering."
155020,164140," Det betyder, at hun har et skærpet ansvar. Hun er en af de meget yndede eksperter for pressen."
164140,167620," Ergo har hun også et af de særlige skærpne omstændigheder."
167620,174140," Så er det jo fuldstændig gak i hovedet, at man går ud og siger sådan noget fuldstændig udokumenteret vods."
174140,180140," Men jeg synes, det meget godt næler, som jeg nu siger det på godt dansk, hvad vi har været op imod."
180140,187060," Vi har været op imod så ufattelig meget vods. Vi har været op imod så ufattelig meget, der har været udokumenteret."
