start,end,text
0,9000," Så er jeg tilbage. Jeg hedder Vibe Klemannike, jeg er læge, jeg har en socialmedicinsk PDD, og så er jeg jo lidt af en Covid-19-bog."
9000,13000," Der har i hvert fald været det nu, siden hele det her corona-hysteri startede."
13000,20000," Jeg vil lige lave en hurtig update, fordi man kan egentlig godt få indtryk, når man sådan læser pressen, at uha, nu sker der ting at se."
20000,23000," Og der må jeg sige nej, det ser umådeligt fredeligt ud."
23000,30000," På trods af at vi nu ved, at der har været udbrud i Aarhus, Ringsted, det småudbrud og andre steder, så er der sket noget meget markant."
30000,35000," Nemlig at antallet af indlagte er faldet helt markant. Nu er vi faktisk nede på 14."
35000,41000," Hvis vi ser på, hvor mange der var indlagt omkring 1. major til nu, så er det faktisk faldet med 96 procent."
41000,44000," Se, det var værd at tage en breaking news på det."
44000,47000," Der er ingen respirator, der er en enkelt på intensivt."
47000,50000," Ja, så har vi haft et udbrud i Aarhus."
50000,56000," Det ser ud til at være ved at klinge af. Vi kan i hvert fald se, når vi går ind og ser på, hvor mange der har testet positivt i forhold til, hvor mange der har testet."
56000,61000," Sådan lige nu ligger den omkring 0,75. Den anden dag lå den omkring 0,96."
61000,62000," Kort sagt, den er faldende."
62000,66000," Som udtryk for, at udbruddet er på vej væk."
66000,70000," Ligesom vi så i Ringsted, vi har lige set et lille udbrud på færgerne."
70000,71000," That's right."
71000,79000," Så til dig vil jeg bare sige, hey, vil du være det gode budskab er, at efter alt af dømmen, er der ro på i forhold til COVID-19."
79000,86000," Det ser endda ud til, at på trods af, at vi havde flere, der blev smittet, så er det stadigvæk faldende antal indlagte i respirator."
86000,88000," Ingen i respirator, faktisk."
88000,93000," Og det må jo tyde på, at enten er vi blevet mere modstandsdygtige generelt. Det er en god tid på året."
93000,98000," Det er en æppe forklaring alene. Det kan allerede så også tyde på, at COVID-19 faktisk er gået hen og blevet mere frisommelig."
98000,103000," Under alle omstændigheder, lad nu være med at frygten tager over. Der er ingen grund til det."
103000,108000," Lige nu er der alt muligt skam, vil jeg kalde det, omkring brug af masker."
108000,113000," Og der glemmer man jo igen proportionerne. Og det er jo det, jeg har efterlyst hele tiden at gøre igen."
113000,121000," Skulle man komme med et påbud om masker i offentlig transport i hele landet, så er det jo nødvendigt, at det sættes i forhold til, hvor mange, der er smittet, eller skulle jeg sige ikke smittet."
121000,129000," Man er også nødvendig til at se på, hvad medfører det at tjene for den enkelte, for samfundet, for kommunikationen, for affald, for pengene i det osv."
129000,135000," Så kort sagt, hey, begynd at tænke selv derude. Sæt dig ind i dag til de vanvittige fredelige."
135000,140000," Og så kom ud for at lege. Kom ud og nyde det vidunderlige vejr. Kom ud i solen. Kom ud og lev livet."
140000,142000," Vi ses."
