start,end,text
0,10000," Kokelug, så er jeg tilbage. Jeg hedder Vilkemanike, jeg er læge, og så har jeg fulgt det her coronahelvede lige fra starten."
10000,18000," Det gode er, og derfor er du også i trykke hænder, at jeg har haft ret lige fra starten i hele forløbet og har det fortsat."
18000,26000," Og derfor skal jeg i dag igen fortælle dig lidt om flokimmuniteten og hvorfor vi har opnået det."
26000,33000," Jeg håber meget, at du vil dele den her video, for det er jo stadigvæk sådan, at os der har fokus på fakta,"
33000,39000," os der har den sundhedsfaglige baggrund og viden og indsigt og erfaring, at vi bliver censureret i de offentlige medier."
39000,45000," Men det hjælper jo, at vi har de sociale medier, og derfor er jeg dig meget taknemmelig for, at du deler den her video,"
45000,50000," og det ved jeg rigtig mange af at gøre, fordi alt det, jeg siger, synes jeg, befolkningen fortjener at få at vide."
50000,57000," Men lad os først tage dagens fredsommelige tal, og det er umådeligt fredeligt."
57000,66000," Positivprocenten er fuldstændig snorlig. Den er, hvor den skal være, og højst sandsynligt vil være, jeg vil lige sige altid."
66000,77000," Den ligger helt hernede i de lette luftflage, havde jeg nær sagt, ligesom den faktisk gjorde i eftersommeren og i sommeren og i sensommeren."
77000,82000," Den ligger lige hernede og kører dernede fuldstændig snorlig, og det er dejligt."
82000,91000," Hvis vi lige glemmer flokimmuniteten, så bare af den grund, at vi er så langt hen på foråret, og den har jo sæsonvariation COVID-19,"
91000,97000," jamen så kan vi egentlig slå ud med armene, slappe af, fordi der kommer ikke til at ske mere på nuværende tidspunkt."
97000,102000," Men heldigvis har vi så også flokimmuniteten, og den kommer jeg til lige om lidt."
102000,110000," Det jeg lige vil vise dig først på den her, det er, at hernede har vi altså positivprocenten, som er lav og fuldstændig snorlig,"
110000,118000," og heroppe har vi så indtegnet antallet vaccineret og antallet, hvad vi ved positivt har været smittet."
118000,123000," Det er langt flere end der er her, men det er bare dem, vi har officielle tal."
123000,136000," Og der kan vi godt se, hvor den ene kurve, altså naturlig smittet og vaccineret, den går opad, så ligger positivprocenten samtidig med fuldstændig og sopper hernede."
136000,144000," Fuldstændig snorlig og roligt. Der var et lille blub lige her i december, men ikke noget at være bange for."
144000,152000," Så vil jeg fortælle lidt om flokimmuniteten, og jeg har fortalt det mange gange, men nu i dag har jeg så forsøgt at tegne en tegning."
152000,163000," For ligesom at beskrive, hvad er flokimmuniteten, hvad afgør en immunitet i befolkningen, altså en immunforsvar, en immunresponse kan vi kalde det."
163000,167000," Herinde har du befolkningens immunitet som sådan."
167000,178000," Den kan jeg starte med. For det første afgørs vores immunitet, vores immunforsvar af rigtig mange ting, af vores sundhed generelt."
178000,186000," Det vil sige, at vi er sunde, at vi er raske, har vi tag over hovedet, får vi ordentlig kost, får vi frisk luft, motion, sov."
186000,195000," Sov betyder utrolig meget for vores immunforsvar, både når vi skal forbygge nogle smitsomme sygdomme, men også når vi skal helbredes for dem, også for andre sygdomme."
195000,203000," Delvitamin betyder rigtig meget, dels fra solen, men også som delvitamintilskud, det er derfor, der har været så meget fokus på det."
203000,210000," Så rigtig, rigtig meget betyder befolkningens sundhed, det er derfor, man kalder det også folkesundheden."
210000,213000," Og det har selvfølgelig betydning for vores immunforsvar."
213000,219000," Det er også derfor, man er særlig bekymret ved smitsomme sygdomme, for de sårbare fiskerøble."
219000,228000," Fordi er du i forvejen syg, alvorlig syg, så er det klart, så skal der mindre til at vælte dig, end hvis du er kalbumstærk."
228000,234000," Så det er sundheden, men det som jo selvfølgelig betyder rigtig meget i forhold til covid-19 også,"
234000,241000," det er for det første, dem af os, der har været naturligt smittet, har haft det, har været smittet og har haft det."
241000,248000," Vi har så udviklet immunforsvar med antistoffer, men ikke kun antistofferne, også en immunresponse."
248000,253000," Og der ved man, at man i hvert falde er dækket i otte måneder, men højst sandsynligt også længere."
253000,259000," Når man siger i hvert fald, så er det fordi, det er den tid, man har fuldt folk, men det er uden tvivl også meget længere."
259000,266000," Så det er altså os, der er naturligt smittet, og det drejer sig i hvert fald om en halv million, også uden tvivl flere."
266000,274000," Så har vi dem, der nu er covid-19 vaccineret, det vil altså beboere på plejehjemmene og det vil altså plejepersonalet."
274000,282000," Sidstnævnte står jo for cirka en tredjedel af de smittede, så det betyder, at når man nu er ved at være færdig med at vaccinere plejepersonalet,"
282000,288000," jamen så får du jo fuldstændig fjernet, nivelleret, den risiko, kan man sige."
288000,294000," Fordi så kan vi jo simpelthen ikke, om man så må sige, eksistere og smitte osv."
294000,300000," Hvorfor det så er plejepersonale? Det er jo også noget, som jeg jo har fokus på hele tiden, men mange har overset."
300000,304000," Nemlig, at vi smitter jo primært gennem de nære relationer."
304000,310000," Et af argumenterne for, at det er kugt, at man har lukket landet ned, for der er vi jo endnu mere sammen med de nære relationer."
310000,315000," Og det er fordi, der kysser og trutter og spiser vi af det samme og drikker af det samme glas."
315000,322000," Og det samme i forhold til med plejepersonalet, ikke at de kysser patienterne, men der er man jo også tæt på hinanden."
322000,331000," Man er tæt på patientens væsker, det vil altså snart, opkast, tårerflod, tis og hvad vi nu kan komme på."
331000,335000," Så det vil sige, at man er betydelig mere udsat som plejepersonale."
335000,342000," Så det betyder altså også noget, så det vil sige, at des flere vi får vaccineret selvfølgelig sammenholdt med de andre faktorer,"
342000,344000," des bedre er det."
344000,347000," Så har vi viruslivet i det hele taget."
347000,353000," Jamen det betyder jo også noget, hvordan er virulensen som det kaldes blevet."
353000,357000," Er den blevet mere smidt som mindre smidt, er viruset blevet farligere eller mindre farligt."
357000,368000," Og der må vi bare sige, at bottomline er, at SARS-CoV-2 med dens mange tusinde mutationer er blevet markant mindre farligt."
368000,373000," Forstået på den måde, at symptomerne bliver færre og den er mindre farlig."
373000,380000," Og det er en fuldstændig klassisk måde for en virus at undergå forandring i en mere fredelig retning."
380000,390000," Og det her med mutationerne, altså hver gang jeg ser en ny mutation dukke op, så bekræfter det, at det handler om jagten på frygt."
390000,397000," For der findes altså, still counting, mindst 5.000 mutationer af den her virus, og de kommer ind hele tiden."
397000,402000," Det er helt naturligt for virus at undergå de her mutationer."
402000,409000," Det der så også har betydning, og det er så MFR-vaccineret, og det er selvfølgelig tidligere sygdomme."
409000,413000," Det kan også være tidligere infektionssygdomme, der igen også gør noget ved vores immunforsvar."
413000,419000," Og så er det MFR-vaccineret og BCG-vaccineret, altså tuberkulosevaccineret."
419000,422000," Og hvorfor nu det? Det er der jo mange af jer, der spørger."
422000,426000," Det er et velbeskrevet begreb, det der hedder erhvervet immunitet."
426000,431000," Altså at jeg vaccineres mod i det her tilfælde mæslinger, forsyg og rødehunde."
431000,441000," Men den vaccine gør noget ved mit immunforsvar, så jeg faktisk også er bedre beskyttet over for visse andre sygdomme herunder Covid-19."
441000,450000," Så det betyder, og det er meget vel en væsentlig forklaring til, at børn og unge stort set ingen symptomer får eller er meget sparsomme."
450000,459000," At de er MFR-vaccineret, så at det øjeblik virus kommer, så ens immunforsvar responderer med det samme og får slået virus ned."
459000,461000," Det er jo genialt."
461000,467000," Det samme er også beskrevet ved BCG-vaccinen, tuberkulosevaccinen, som blev givet mellem 46 og 86."
467000,469000," En del af jer har den, jeg har den."
469000,477000," Det kan måske være en forklaring til, at jeg da jeg havde Covid-19, var syg med et halvt døgns høj feber, og det var det."
477000,480000," Det kan også være fordi jeg er en sovetrygen, jeg sover så godt."
480000,483000," Det kan være mange ting, der gjorde, at jeg hurtigt kom mig."
483000,494000," Men det, der også ligger i de her vacciner, og det må jeg jo have diskuteret, er, kunne man så ikke have nåets med, fordi det er vacciner, der har været afprøvet millionvigt på millioner af millioner,"
494000,499000," at give en booster for eksempel på ældre for at booste deres immunforsvar."
499000,502000," Jeg ved, der kører nogle projekter omkring det."
502000,506000," Og så er det som sagt, det var vist det."
506000,508000," Yes, yes, jeg skal lige holde øje."
