start,end,text
0,8200," Jeg hedder Vibeke Mannike, jeg er læge, jeg har en Ph.D., og så har jeg fulgt det her corona-helvede i et år."
8200,10200," Jeg siger velkommen til alle sammen."
10200,14200," I dag gør jeg også det, at jeg meget gerne svarer på spørgsmål."
14200,24200," Nogle af jer har allerede sendt mig spørgsmål, men også hvis I har nogen, så skriv endelig nede i kommentarfeltet, og så skal jeg gøre mig umage for at besvare dem."
24200,31200," Jeg skal sådan lige følge med, at hele teknikken fungerer. Jeg skal lige se, der er det og der, yes, yes."
31200,35200," Jeg håber, at den går igennem nu, det skulle den i hvert fald meget gerne."
35200,38200," Lad os starte med de rigtig gode nyheder."
38200,43200," Nemlig, at dagens positiv procent er på 0,17 procent."
43200,48200," All time low, kan man sige, og som jeg siger, it is over."
48200,55200," I går var det 0,30 procent, og den har ligget deromkring."
55200,64200," Så har man gjort det det sidste døgn, at der har man så overført omkring 1 million test, så der er over 1 million test det sidste døgn."
64200,69200," Fordi man nu også inddrager test fra private aktører, antigentest osv."
69200,77200," Det er jo meget interessant, at det øjeblik, man kommer så stor en pulje af testene ind, så falder positiv procenten så markant."
77200,86200," Kort sagt, har vi i virkeligheden været ført bag lyset, når vi sådan har siddet og kigget på de her positive procenter, der egentlig kunstigt har været for høje."
86200,98200," Det kan da være ført bag lyset bevidst eller ej, men vi kan jo vente om at sige, hvorfor har de test ikke for længst været en del af det daglige testgrundlag, og den daglige offentliggørelse af tallene."
98200,108200," Når vi kigger på positiv procenten, som er det eneste, der er værd at følge, og som jeg i øvrigt sagde fra starten, altså for et år siden, at det var det, vi skulle kigge på, så kigger man på antall."
108200,114200," Positivtestet, det er ikke ens betydning af, at de er syge, det er nok måske knap halvdelen, eller måske en, der er færre."
114200,121200," Men man kigger på det positivtestede, og så kigger man på det i forhold til den pulje, man har undersøgt, og det er det, man kalder positivtesten."
121200,130200," Absolutte tal giver ingen mening, vi er nødt til at kigge på den forholdsmæssige del af dem, der bliver testet, som er smittet."
130200,142200," Og det er altså meget lavt tal de sidste døgn, og det er forventeligt, det er jo snart nærmest flere måneder siden, at jeg sagde, at vi har og vil opnå nu flokimmunitet, og det er også korrekt."
142200,159200," Der kommer ingen tredje bølge, det er præcis to uger siden, at Magnus Heunicke, bistået af Serum-instituttet, var ude at sige, at UUH og en del eksperter var ude at sige, at UUH midten af april, eller måske endda i slutningen, 870 indlagte."
159200,167200," Ham siger man engang, nu må I altså stoppe, nu må I stoppe med at tale ned til befolkningen, som om vi er en nation af dumpepper."
167200,174200," Jeg sagde allerede der, at det kan ikke forekomme på det her tidspunkt, at vi får en tredje bølge."
174200,177200," Og det er der, det siger jeg er rigtig mange grunde."
177200,182200," Et, vi er så langt henne på foråret, så vi får ikke noget løbet i gang."
182200,187200," Og som en af jer meget sødt sagde, kan du ikke bare vise videoen, som du sagde for et år siden, da du sagde det samme?"
187200,189200," Jo, det burde jeg gøre."
189200,196200," Dengang var jeg lidt alene, om at mene det med forårsvariationen, eller sæsonvariationen."
196200,203200," Nu har alle indset, at selvfølgelig har covid-19, ligesom andre tilsvarende virus, sæsonvariationer."
203200,205200," Så et er altså foråret."
205200,211200," Noget andet er virusbeskaffenhed, altså hvor sygdomsfremkaldende virus er."
211200,218200," Det er nemlig sådan, at virus fuldstændig på klassisk vis, som også er tilfældet nu med covid-19, eller SARS-CoV-2, som den hedder,"
218200,224200," at dens virulens, eller hvad skal vi sige, dens kampdygtighed, hvis vi kan kalde det sådan, falder."
224200,231200," I takt med, at den muterer, og vi har jo mange, mange, mange tusinde mutationer af den her virus,"
231200,234200," så bliver den faktisk generelt mere fredelig."
234200,237200," Når vi ser på den engelske variant, som vi sådan også har været,"
237200,241200," hu-hu-hu, pas nu på, hu-hu-hu, hvad kommer til at ske?"
241200,245200," Så må man jo også sige, interessant nok, at på trods af, at den har været let stigende,"
245200,247200," nu er den så faldende, skal jeg så huske at sige,"
247200,252200," men på trods af, at den har været let stigende, så har positivprocenten fortsat været faldende."
252200,259200," Kort sagt, det har for praktiske gøremål ingen betydning andet end what, what,"
259200,265200," og har dig og mig fanget i den her hjernenæve af vores diktator og statsminister, ikke mindst."
265200,269200," Så der får vi tilbage til, så det er altså det vi har."
269200,275200," Vi har sæsonen, vi har virusbeskaffenhed, og så kommer så den famøse flokimmunitet."
275200,280200," Jeg har hele tiden sagt, at der skete noget lige omkring årskiftet,"
280200,284200," inden man faktisk begyndte at vaccinere, også begyndte vi at se en trend,"
284200,289200," men det er jo klart, at sammen med vaccinationerne, så har vi set og ser vi en meget stærk trend,"
289200,295200," hvor vi har altså meget, meget lav positiv procent, og selvfølgelig immuniteten i befolkningen stiger."
295200,299200," Og når jeg taler om flokimmunitet, så er det jo rigtig mange ting,"
299200,303200," og jeg skal nok også huske i kommentarfeltet at lægge tegningen op,"
303200,308200," fordi nogen af jer misforstår det og siger, har vi ikke for få vaccineret endnu,"
308200,311200," eller har vi ikke for lille immunitet osv.?"
311200,316200," Det er jo rigtig mange ting, der gør, om man har opnået den her flokimmunitet i befolkningen."
316200,320200," Det handler om et, dem af os, der har været naturligt smittet,"
320200,324200," og dem er vi jo en del af, der har været, og mange af os aner slet ikke, vi har været syge."
324200,329200," Jeg personligt opdagede det kun, jeg havde et halvt døgn eller en halv nat med høj feber,"
329200,332200," og egentlig opdagede jeg det primært, fordi jeg mistede lugtesandsen i en periode."
332200,338200," Andre, specielt børn og unge, har for praktisk gøremål ingen symptomer, eller meget, meget få."
338200,342200," Så det vil sige, dem af os, der har været smittet, jamen vi har udviklet en immunitet,"
