start,end,text
0,6000," Her har du mig igen. Jeg hedder Vivie Kramatika. Jeg er læge. Jeg har en PhD."
6000,16000," Og så har jeg jo sådan et saying, der hedder inspireret Obama's, som var ""When they go low, we go high""."
16000,21000," Jeg har et, der hedder ""When they go low, we go away""."
21000,28000," Kort sagt, når nogen er ubehagelige, når nogen udsætter en for chikaner osv., så gør jeg én ting,"
28000,34000," og det har du også opdaget, det er slet og det blokerer kammerat, og så er det bare ""herafs""."
34000,41000," Jeg må sige, med rigtig mange af dem, som sjovt nok chikanerer mig og kalder mig grimme ting,"
41000,47000," der er det jo, som jeg også må sige til Mads Brügger, den tosse, at når man peger på andre,"
47000,51000," så er der altså tre grimme pøllefingre, der peger på en selv."
51000,57000," Jeg er nødt til at sige, at der er meget, meget få, når det gælder corona, og man kan lide det eller ej,"
57000,64000," som er ligeværdig med den viden, indsigt, forståelse og lægefaglig tilgang, som jeg har det."
64000,70000," Vi har lov til at tro på, hvad vi vil. Vi har lov til at mene, hvad vi vil."
70000,75000," Nogen af os kan lide grønt, andre kan lide blåt, nogen kan lide sort. Det har vi lov til."
75000,82000," Men der er noget, der hedder fakta, og jeg må sige til de tosser derude, inklusiv Mads Brügger,"
82000,89000," jorden er ikke flad. Det betyder også, at det, jeg siger, og det, jeg har sagt i nu to år,"
89000,99000," det er korrekt, det er faktuelt baseret, og det er baseret på min lægefaglige viden, evne, erfaring og så videre,"
99000,105000," gennem nu 32 år. Så det betyder, at jeg har forståelse for, at der er nogen, der er hypnotiseret."
105000,109000," Jeg har forståelse for, at der er nogen, der er hjernevasket. Jeg har forståelse for, at der er nogen,"
109000,114000," der er de steder dumme. Og så har jeg forståelse for, at der er nogen, som har et særligt ærne."
114000,121000," Men er der én ting, man ikke skal udfordre mig på, og jeg siger én ting, så er det fakta og data"
121000,128000," i forhold til corona, covid-19, hele forløbet, den videnskabelige dokumentation, epidemiologien og så videre."
128000,133000," Der kan vi ikke pisse om kap. Så er det sat på plads."
133000,141000," Jeg vil snakke lidt omkring vaccinationerne, fordi der har her den seneste tid været tilfælde,"
141000,145000," også herhjemme med unge sportsmænd, der drætter død om med hjertestop."
145000,153000," Vi har lige haft en unge djentelmand, 17-årig dreng, som døde efter hjertestop,"
153000,160000," fremgårdt af BT i Dubai, i de forenige emirater, en golfspiller."
160000,164000," Og jeg vil jo sige mig det samme, vi aner jo ikke, hvad dødsårsagen er."
164000,168000," Det betyder også, at nej, vi kan ikke sige, at han døde som følge af vaccinationer."
168000,174000," Vi kan heller ikke sige, at jeg så det, jeg tror det var en ungesvend på 23, fra Norgeland,"
174000,176000," der også er død pludselig."
176000,180000," Ham kan vi heller ikke sige, at han er død grundet vaccinationerne."
180000,185000," Men jeg synes, det er et helt betimeligt, rettidigt spørgsmål at stille,"
185000,189000," også for journalisterne, når de beskriver de her pludselige dødsfald"
189000,192000," hos speciel unge mænd og sportaktive mænd."
192000,199000," Nemlig, hvornår eller om han fik en, det vi vil kalde eksperimentel injektion,"
199000,203000," a.k.a. coronavaccine, inden for den sidste tid."
203000,205000," Det synes jeg er nødvendigt, at vi får de oplysninger,"
205000,208000," fordi ellers så giver det jo plads til netop,"
208000,210000," åh, kan det være vaccinationerne, eller var det det,"
210000,213000," og hvornår blev han vaccineret, og en masse fortællinger."
213000,218000," Vi har også den her historie, der var, hvor man fra Sjællands Kommune"
