start,end,text
0,29000," Velkommen til jer alle sammen. Jeg hedder Viv Kemalike, jeg går live, jeg er læge, jeg har en phd, og så vil jeg i dag prøve en lidt anden måde at kryppe det an på, fordi i dag vil jeg både forklare dig lidt om, nu skal vi lige se, hang on, yes, yes, lad os lige se engang, jepper, jeg tror vi er, jeg skal nemlig også lige kunne se hvis I stiller nogle spørgsmål, så jeg skal lige finde ud af hvordan den fungerer."
29000,47000," Men jeg hedder i hvert fald Viv Kemalike, jeg er læge, jeg har en phd, og så er det nu ved at være et år siden, at det her coronahelvede startede, og det gode budskab er, at jeg havde ret fra start med alt, hvad jeg har sagt, der er ikke en eneste gang, jeg har taget fejl."
47000,65000," Det dårlige budskab er, at godt nok er I mange på de sociale medier, der har lyttet og lytter til mig, også tak for det jeg også her på min Facebook og på LinkedIn og Twitter og jeg skal komme efter dig, men mainstream medier, de har jo gået med fuldstændig blindt på regeringens frygtjagt."
65000,77000," Og det vil sige os andre, og mig inklusiv, som har haft vældig fokus på fakta, og har det fortsat, og har haft ret hele tiden. Vi er blevet censureret, ignoreret, tidet ihjel."
77000,89000," Men tak fordi du lytter med, og tak for også meget gerne at du stiller spørgsmål. Jeg skal så lige se hvor spørgsmålene kommer ind, for nu er det jo en lidt ny måde jeg vil prøve at gribe det an på i dag."
89000,100000," Men lad mig starte med at se, jeg skal lige se en gang hvordan vi har, jo jeg burde kun se hvis du stiller spørgsmål. Lad os starte med at tage de konkrete tal."
100000,117000," Ja, men positivprocenten, den er snorlig, den er faktisk let at falde ned fra i går. I går var den lige omkring, jeg tror 0,39 procent. I dag er den 0,32 procent. Som jeg plejer at se på trods af nedlukningen, fordi vi smitter jo primært gennem de nære relationer."
117000,126000," Så på den måde er det fuldstændig gakkelagt at vi tilbringer 24/7 med dem der er os nærmest, for det er faktisk dem vi smitter."
126000,133000," Men det er den ene del, der er også 14 færre indlagt, alt sammen for at sige, som jeg også har sagt før, it is over."
133000,145000," Der kommer ingen tredje bølge nu. Når regeringen i onsdags ved Magnus Højneke og Mette Frederiksen igen og igen og igen manipulerede med talende løg for befolkningen"
145000,160000," og sagde, at der i midten af april ville være 874 indlagte med corona, så er det noget volapyg, det er løgn, det er manipulation."
160000,171000," Jeg synes det kommer lidt de eksperter, der er gået med på den præmis, fordi pointen er, de har jo ikke taget højde for flokimmuniteten, som jeg lige uddyber om lidt,"
171000,182000," og ikke også mindst sæsonvariationen. Altså at vi er så langt henne på sæsonen nu, så det kommer ikke til at ske, vi kommer ikke til at få en tredje bølge nu."
182000,187000," Jeg vil godt lige fortælle lidt omkring flokimmuniteten, eller lige uddybe den igen."
187000,198000," Fordi jeg har sådan en tegning her, jeg ved ikke helt om den kan, jeg skal lige se om den kommer, om den bliver, nej den står vist rigtigt nok,"
198000,202000," jeg var lidt bange for om den kom på hovedet her, når jeg sagde spejlvind."
202000,208000," Men her kan du så se i forhold til, hvad spiller ind i forhold til flokimmuniteten."
208000,214000," Jamen det gør selvfølgelig dem af os, der har været smittet, der er vi cirka nok en halv million."
214000,222000," Dem af os nu, der er vaccineret, der er jo så cirka, still counting er vi oppe på 400.000, 350.000, 400.000, rigtig mange."
222000,232000," Og især dels hedde de sårbare, de udsatte, de ældre, plejepersonalet, plejepersonalet har i sig selv stået for cirka en tredjedel af de smittede."
232000,237000," Det vil sige, når du fjerner den pulje, så fjerner du også en rigtig stor del af smitten."
237000,245000," Når du vaccinerer de sårbare, jamen så beskytter du også dem, som kunne være i far for liv og læmbrigheden."
245000,247000," Jeg havde nær sagt, hvis de fik covid-19."
247000,255000," Så derfor, og så har vi så i forhold til, lad mig lige gøre flokimmuniteten færdig, så har vi selvfølgelig befolkningens immunitet i det hele taget."
255000,266000," Det er klart, hvor sunde er vi, vores livsvilkår, vores lette adgang til lægen, vores er vi at tage overhovedet, vores kost, levevis osv. betyder noget."
266000,270000," Så betyder forskellige andre vacciner faktisk en del."
270000,278000," Det der hedder erhvervsimmunitet, det ved vi er en meget væsentlig grund til, at vores børn og unge er beskyttet mod covid-19."
278000,282000," Enten får det i meget let grad, ellers slet ikke."
282000,288000," Og det er på grund af den såkaldte MFR-vaccine, altså vaccine mod mæslinger, forsyg og rødehunde."
288000,295000," Og så ved vi faktisk også, i forhold til os andre gamle, eller modende haletusser, kan vi kalde det,"
295000,300000," os der har fået Calmette-vaccinen, BCG-vaccinen mod tuberkulose,"
300000,304000," der er jo også en vis grad af det, vi kalder erhvervsimmunitet,"
