start,end,text
960,6020," Så er jeg tilbage. Jeg hedder Vibeke Mannike. Jeg er læge. Jeg har en Ph.D."
6020,11700," Og så har jeg fulgt det her, kan vi godt kalde det, coronakrisen lige fra start."
11700,17320," Det gode er jo, og det har vi jo så fået syn for sagen, det er at, og det ved du også godt,"
17320,20000," jeg har haft ret hele tiden. Og hvorfor har jeg det?"
20000,26560," Det er egentlig meget simpelt. Jeg har hele tiden haft ekstremt meget fokus på én ting, og det er fakta."
26560,32840," Det har ikke passet ind i frygtfortællingen, hverken pressens frygtfortælling eller endnu mindre regeringens frygtfortælling,"
32840,35740," og der har pressen jo bakket regeringen gevaldigt op."
35740,41040," Men det ændrer ikke ved, at det selvfølgelig på den ene side er rart at se tilbage på halvandet år snart,"
41040,43120," hvor jeg har haft ret, men det er faktisk også skræmmende."
43120,49340," Fordi jeg bliver ved med at tænke, jamen for pokker, hvis man dog havde lyttet og forstået fakta, tallene,"
49340,55440," udviklingen og så videre fra starten, så havde vi ikke været i den her krise, som imod vi ikke befinder os i fortsat."
55440,64180," Men anyways, jeg lovede, at jeg lige vil tale om lidt forskellige ting, og det første, jeg tager fat på, det er den sociale angst."
64180,69400," Der er kommet sådan et amerikansk udtryk, der hedder ""fear of going out"", ""fogo"","
69400,76680," altså frygt for at gå ud, og oversat til godt, gammeldags dansk, social angst."
76680,79060," Rigtig mange har ensnært af det."
79060,89100," Vi har vendet os til at have nær sagt binge foran Netflix, eller hvad det nu er, gå tidligt i seng, eller gå sent i seng."
89100,96160," Vi har vendet os til desværre at være ensomme og være alene, og det er jo rigtig, rigtig skidt for samværet."
96160,101760," Det er rigtig, rigtig skidt for dig personligt, mig personligt, fordi vi har brug for hinanden."
101760,107160," Vi har brug for at se hinanden være sammen, inspirere hinanden, trøste hinanden, glæde hinanden,"
107160,110260," danse sammen, kysse sammen, kramme hinanden."
110260,119380," Vi har brug for alle de ting, som gør et liv værd at leve, uanset om vi er børn, om vi er unge, om vi er gamle, osv."
119380,123300," Så det gør, at vi er nødt til at arbejde med den her sociale angst."
123300,131940," Og jeg blev så utrolig glad den anden dag, fordi jeg lige så vores lille bokserpige, Bella, hun nyder også livet."
131940,137140," Hun sidder derovre og kigger på mig og tænker, hvad så, kommer du ikke snart og kører mig på maven?"
137140,139140," Og hun er meget, meget glad for Billy Robbs."
139140,142960," Anyways, jeg blev så glad her den anden dag."
142960,149000," Jeg var ude, jeg ved ikke om du ved det, men jeg har jo mit favoritsted ved Silkeborg, nede ved Almindsø."
149000,156400," Og da jeg kommer kørende, så ser jeg godt, at der står en stor flok mennesker, og bare det at se så mange, så blev jeg faktisk rigtig glad."
156400,161960," Så så jeg, at der var en bus, hvor der stod et skilt ovenpå medgang, og jeg fik også øje på Kim Bøje."
161960,168740," Og jeg gik så videre, fordi jeg troede, at jeg ville få styr eller noget, så jeg gik ned til vandet og stod og skulle til at klemme om."
168740,176420," Som du måske ved, at jeg er jo bidt af en gal havsvømmer, så jeg elsker at havsvømme, eller søsvømme, kan vi kalde det i Almindsø."
176420,180340," Og så kommer så den første hen og siger, ""Åh, er det ikke Vibke?"""
180340,184960," Åh, det kunne jeg så ikke løbe fra, og så fik jeg så mange dejlige knuser."
184960,191160," Og det der var så skønt at se, det var et var knus og kram, men det var faktisk også rart at se,"
191160,198460," at almindelige, sunde, fornuftige mennesker kunne gå rundt og snakke, være glade, være sammen,"
198460,209540," komme ud over præcis den her social angst og den her isolation, som rigtig mange af os har følt og oplevet her i coronakrisen."
209540,215620," Så jeg er meget spændt på at følge med i det her med medgang."
215620,222000," Det er et projekt, som Kim Bøje er en del af. Jeg mener, det er meget vigtigt, at vi forener kræfterne."
222000,228800," Jeg mener, det er vigtigt, at vi ikke hver især kæmper vores egen lille kamp, men at vi forener kræfterne,"
228800,231300," fordi sammen er vi altså stærkest."
231300,239420," Så et er, at jeg synes, du skal koble dig på, hvor end det er rundt i landet, de her befriende gårture."
239420,244340," Men så synes jeg også, du skal gøre dig umage for at komme i gang med dit sociale liv igen."
244340,250200," Inviter folk. Jeg sagde den anden dag, at jeg synes, vi er nødt til at vække hinanden."
250200,253120," Jeg synes, vi er nødt til at vække dem omkring os."
253120,260140," Og det betyder også, at der er nogen bevarersvenskaber, familie osv., hvor I måske har haft nogle diskussioner i coronakrisen."
260140,264840," Det gode er så, at alle dem, der har været bange, de har ingen grund til at være der."
264840,267840," Det kan de jo også se på tallene, i hvert fald, hvis de kan forstå tallene."
267840,272920," Så jeg tror, rigtig mange er parate nu til at blive vækket. Det er i hvert fald mine erfaringer."
272920,277840," Jeg får stort set dagligt, eller får dagligt. Jeg får rigtig mange beskeder, og tak for dem."
277840,286180," Men jeg får også rigtig mange, hvad hedder det, folk, der siger undskyld for, at de ikke har lyttet fra starten."
286180,290280," Folk, der siger, det skulle de have forstået. Og det tager jeg som et godt tegn."
290280,294780," Jeg har egentlig ikke som sådan brug for undskyldninger, men jeg har brug for, at man vågner."
294780,299040," Og det, skal du være med til, min ven, det sagde jeg også den anden dag, at du er nødt til at gå ud,"
299040,305360," inviterer venner, bekendte hjem til dig, ud og få en sodavand, en kop te, hvad det nu kan være."
305360,308600," Så er du nødt til at tage diskussionen med dem. Du er nødt til at få dem vækket."
308600,312900," De kan ikke gøre det alene. Jeg kan ikke gøre det alene. Så du skal også ud og være med."
312900,317200," Og du skal ikke opgive. Du skal ikke tænke, at prrrr, her i åkker, ikke?"
317200,320700," Du er nødt til at tage de snakke. Vi er nødt til at tage snakkene."
320700,325100," Vi er nødt til at have snuden i sporet, hvad angår FACTA."
325100,330100," Og så er vi også nødt til at komme i gang med livet igen."
330100,333800," Så er der en del af jer, der har spurgt i forhold til vacciner."
333800,338500," Lad os lige tage vacciner, før jeg lige slutter af omkring virus."
338500,342900," Det er det her med Shetting. Nå for søren, jeg troede, hun var i snurren."
342900,345800," Nu er hun her. Det kan være lige om lidt, så kan I se."
345800,351100," Skal jeg næsten have lov til at se hende? Prøv lige at se, hvor køn hun er."
351100,356800," Og så har hun tre senge, det er en heldig. Altså, det er en boxer. Hun har tre senge."
356800,360800," Hun er simpelthen så sengeglad. Hun er nu heldigvis også glad for at løbe med rundt."
360800,364100," Jeg ved ikke, om du lige fik et lille glimt af hende, men hun er en dejlig boxer-p."
364100,369700," Anyways, tilbage til Shetting. Flere af jer har spurgt, hvad med Shetting?"
369700,374000," Jamen altså, jeg må sige, jeg kan ikke finde data, der bekræfter det."
374000,378000," Det er ikke det samme, som det ikke findes. Jeg kan bare sige, jeg kan ikke finde data."
378000,383000," Og det vil sige, jeg kan hverken sige bu eller bø. Jeg kan ikke sige, jo, vaccinerne afføder Shetting."
383000,385500," Jeg kan heller ikke sige, de ikke gør. Jeg kan simpelthen ikke finde de data."
385500,391500," Så jeg kan ikke rigtig tale med på den del, fordi data findes ikke."
391500,397000," Det ændrer ikke, hvorvidt det kan være, de kommer, men det, der også er vigtigt at forstå ved vacciner,"
397000,404000," det er jo egentlig det her faktum, at det egentlig primært er testet på raske voksne."
404000,407500," Senest på børn. Det vender jeg lige tilbage til en meget lille gruppe børn."
407500,415500," Men i bund og grund ved vi jo ikke forfærdelig meget om, hvordan vaccinerne, hvad de gør, os på lang sigt."
415500,420500," Jo, de giver en vis beskyttelse, og en beskyttelse er jo retfærdigvis ikke nødvendigvis,"
420500,426500," at du slet ikke bliver syg af covid-19, men at du i givefald får det i let grad."
426500,432500," Det gode budskab er i forhold til os, der har haft corona, det er, at efter alt at dømme,"
432500,438500," så har vi måske nærmest livslang beskyttelse, antistoffer eller mulighed for at danne antistoffer"
438500,442500," i forhold til covid-19 og eventuelle varianter af det."
442500,448500," Vi er i hvert fald vanvittigt godt beskyttet. Meget, meget lang tid, og det er ikke kun 12 uger, 6 måneder."
448500,455500," Det er uden tvivl overvist, at vores immunforsvar husker de her infektioner."
455500,458500," Det vil sige, at hvis der kommer en virus, så er vi på dubberne."
458500,463500," Det fører mig til, og flere har også sagt, at nu har jeg underholdt at skille i gang med,"
463500,467500," at jeg havde corona, og det var en halv nat med højfeber."
467500,474500," Der er det klart, at man må tænke, hvorfor var jeg - nu er jeg jo +25,"
474500,479500," men jeg er vel tæt på det, nogen vil kalde i risikoalderen i hvert fald."
479500,485500," Der er meget væsentlige ting. Jeg har et ar under armen. Nogle af jer har det på armen."
485500,490500," Jeg er nemlig kalmettevaccineret. Det er en del af jer."
490500,498500," Jeg tror, den sluttede omkring 86-84, da sluttede man vaccineret mod tuberkulose i rigtig mange år."
498500,502500," Hvis du har sådan et ar på armen, så er du også blevet kalmettevaccineret."
502500,507500," Der ved vi, og det har vi faktisk vidst længe, og jeg tror også, at det var TV2, der begyndte at skrive om det,"
507500,510500," fordi den del har jo været lige så censureret som alt muligt andet."
510500,515500," Vi havde faktisk vidst længe, at vacciner, som kalmettevaccinen, men også mfr-vaccinen,"
515500,521500," ser ud til at kunne beskytte os mod virus eller covid-19,"
521500,525500," eller i hvert fald gøre, at i givetfald, som i mit tilfælde, hvis man skulle blive smittet,"
525500,528500," jamen så fik man det i meget, meget, meget mild grad."
528500,534500," Så det betyder, at mit immunforsvar, da jeg bliver i godsejen ramt, vil jeg ikke kalde det,"
534500,538500," men da jeg altså fik covid-19 og havde en halv nat med høj feber,"
538500,542500," så har mit immunforsvar været givet til at slå det hurtigt ned,"
542500,547500," som følge af min sundhedstilstand, som følge højst sandsynligt af min tidligere kalmettevaccine,"
547500,549500," som følge af D-vitamin."
549500,556500," Nu skal vi samle D-vitamin ind for lager af D-vitamin til vinteren."
556500,559500," En masse ting har selvfølgelig gjort det, men det ændrer ikke ved,"
559500,562500," at det, som jeg synes er interessant i det her, det er,"
562500,571500," hvordan at man har i helt ekstrem grad, synes jeg, launchet vaccinerne fuldstændig med blind tiltro på,"
571500,577500," at det var simpelthen lykken eller er lykken, på trods af, at vi nu har set en del komplikationer til det,"
577500,579500," om at have stoppet AstraZeneca osv.,"
579500,583500," samtidig med, at man altså har holdt det, vil jeg sige, hemmeligt,"
583500,588500," eller censureret den viden, vi havde omkring og har omkring kalmette og MFR,"
588500,592500," og det ser ud til bare at bekræfte, at de i hvert fald har en eller anden form for beskyttelse."
592500,596500," Og der synes jeg jo, at man med endnu større ret, fordi det her vacciner,"
596500,601500," der har været testet i mange år, kunne have sagt, at alt tyder på, at de har en vis virkning."
601500,604500," Vi kender dem, der er givet. De er givet i mange, mange år."
604500,607500," Vi kender bivirkningsprofilen osv."
607500,615500," Jamen, så kan vi starte med f.eks. at revaccinere eller vaccinere f.eks. den ældre del med MFR-vaccinen,"
615500,620500," hvis det var det, eller kalmette, i hvert fald, at man havde lavet i efteråret eller endnu før"
620500,625500," en, hvad skal man sige, afvejning af det her, fordi vi har faktisk haft den viden meget, meget længe."
625500,630500," Ja, det er flot at TV2 eller hvem det var, begyndte at skrive om det, hurra for det,"
630500,632500," men vi har faktisk vidst det meget længe."
632500,637500," Det, jeg også synes er bekymrende omkring vaccinerne, det er det, jeg selv, så sent som i dag,"
637500,642500," sad og brugte noget tid på at se på popmed, hvad har vi egentlig af videnskabelig dokumentation."
