start,end,text
0,2000," *Snap*"
2000,4000," Så er krudtuglen tilbage."
4000,10000," Jeg var ikke helt tilfreds med min dansk fotograf, så enten skulle han fyres, eller så skulle vi tage den om."
10000,12000," Vi valgte sidste."
12000,16000," Anyways, jeg er tilbage. Jeg hedder Viggen Kamanica, og jeg er læge."
16000,24000," Og jeg har jo fulgt den her corona-diskussion, corona-krise, corona-tragedie, corona-massesykose."
24000,26000," Ikke så kært barn har mange navne."
26000,28000," Men anyways, det har jeg gjort fra starten."
28000,34000," Mine pointer har jo hele tiden været, at der var intet, der tydede på, at vi var på vej ind i en dragende corona-epidemi."
34000,36000," Og jeg fik jo heldigvis ret."
36000,40000," Men nu skal det handle om, hvorfor foråret er vores ven."
40000,45000," Hvorfor solen er så vigtig i bekæmpelsen af blandt andet coronavirus."
45000,53000," Jamen rent faktisk er det jo et elgammelt viden, nemlig at i solen, der klarer virus og bakterier, så er dem meget meget dårligere."
53000,55000," De bliver hurtigt slået ihjel."
55000,63000," På en eller anden måde har vi haft sådan et kollektivt hukommelsesvigt og glemt, hvor vigtigt solen faktisk er for bekæmpelse af virus og bakterier."
63000,65000," Også coronavirus."
65000,71000," Både Trump og jeg sagde fra starten, at foråret og solen var vores ven."
71000,75000," Jeg kan måske være lidt træt af, at han sagde det, fordi det gjorde en del."
75000,77000," Det er jo sådan det, jeg kalder funktionelle døve."
77000,80000," Fordi hvis Trump havde sagt det, så kan vi ikke stole på det."
80000,84000," Og der må jeg sige, at det jo ikke er alt, han og andre siger, som ikke er salgt."
84000,87000," Og lige præcis den med solen, jamen det ved vi."
87000,92000," Og det har jo så også vist sig nu i undersøgelser, som det Hvide Hus og offentligt gjorde i går."
92000,104000," Nemlig, at coronavirus SARS-CoV-19 overlever markant dårligere, faktisk kun ganske få minutter, i solen udenfor."
104000,110000," Hvorimod på en overflade, hvorimod indenfor, i et lommert lokale og med høj fugtighed osv."
110000,114000," og tilsvarende varme, jamen der kan det overleve op til 6 timer."
114000,118000," Så det betyder jo netop det her med at komme ud i solen, netop med at være udenfor."
118000,122000," Det spiller en vanvittig vigtig rolle for at få nedsat smitten."
122000,128000," Så et er altså solen, som om man så må sige populært sagt, dræber virus meget hurtigt."
128000,132000," Og det er ikke kun coronavirus, det er virus og bakterier i det hele taget."
132000,134000," Nogle mere end andre, men det gør den."
134000,139000," Det andet er selvfølgelig også, hvorfor er det så, at smitten er markant mindre udenfor?"
139000,144000," Jamen det er fordi, at hvis du og jeg er gode venner, og vi sidder sammen indenfor i et lommert lokale,"
144000,149000," og jeg siger lige, at tyver uden at gøre det her, bum, så kommer den lige ind i smasken på dig."
149000,153000," Hvor at omvendt, hvis jeg også snotter, det gør jeg så ikke, men hvis jeg gør det,"
153000,156000," jamen så bliver det også liggende længe, og som jeg var inde på før,"
156000,160000," så overlever virus altså i det her snask i mange timer indendørs."
160000,163000," Det er i virkeligheden et barndomslære, bogstaveligt talt for os,"
163000,167000," der har arbejdet med dagpasningerne og forbyggelser af smitten som sygdom."
167000,169000," Det er, hvad jeg har gjort i 25 år."
169000,174000," Det er et barndomsviden for os, at til gange, når vi kommer udenfor, så er der jo større afstand."
174000,178000," Hvis jeg skulle nyse på det stadigvæk, og stadigvæk have glemt det her,"
178000,184000," jamen så kommer vind og vejr og sol osv., som gør, at smitten er der bliver markant, markant, markant mindre."
184000,188000," Blandt andet jo fordi, vi helt naturligt leger og løber, og har større afstand mellem os,"
188000,191000," men også fordi, at virus overlever dårligere."
191000,194000," Så allesammen for at sige, at foråret er vores ven."
194000,198000," Solen er vores ven, også når det gælder corona."
198000,202000," Det gør så også, at man kan sige, at med dagens tal, de er vanvittigt flotte."
202000,207000," Siden i går blev der testet lidt over 11.000 mennesker herhjemme,"
207000,211000," og ud af dem havde lige omkring 2 procent smittet."
211000,213000," Det er jo et vanvittigt lavt tal."
213000,218000," Og det tal har været lavt rigtig længe, og er det fortsatte, må vi forvente fortsat faldende,"
218000,222000," blandt andet grundet årstiden, eller som en væsentlig grund årstiden."
222000,228000," Så jeg mener jo, at vi skal stille krav om, at regeringen får åbnet landet helt."
228000,231000," Vi kan gøre rigtig mange ting stadigvæk, der skal hen,"
231000,235000," og der er rigtig mange gode tiltag, vi kan gøre for stadigvæk at minimere smitten,"
235000,240000," for blandt andet corona, men også rigtig mange andre virus, eller virer og bakterier,"
240000,242000," som vi med fordel kan bekæmpe."
242000,244000," Men lad os nu bruge forstanden."
244000,246000," Lad os stille krav om, at regeringen gør det samme."
246000,249000," Lad os stille krav om, at der skal være et sundhedsfagligt belæg,"
249000,253000," for eksempel at holde landet delvist lukket fortsat,"
253000,256000," og det må jeg bare sige, det er der fortsat ikke."
256000,261000," Så skal du og jeg ikke tage og beslutte os for at sætte pres på regeringen og politikerne,"
261000,264000," og skal vi så ikke beslutte os for at begynde at tænke selv."
264000,267000," Vi skal selvfølgelig holde de regler og rammer, der er,"
267000,272000," men vi skal stille krav om, at man følger den sundhedsfaglige dokumentation"
272000,275000," eller/og mangen på sammen."
275000,278000," Så til dig vil jeg sige, hey, kom ud at lege."
278000,280000," Kom ud i det gode vejr."
280000,282000," Vi skal følge reglerne, men kom nu udenfor,"
282000,286000," fordi der bliver smitten meget, meget markant nedsat."
286000,289000," Kan du have det godt. Vi ses. Hej hej."
