start,end,text
0,6000," Her har du mig igen. Jeg hedder Wiebke Mannike. Jeg er læge og har en Ph.D."
6000,18000," Og så har jeg med, kan man sige, med sindsro sig, fuldt det her coronahelvede regerings vanvittige restriktioner fra dag minus fem."
18000,25000," Men jeg vil lige lave en lille take på, hvad skal vi sige, den situation vi er i lige nu."
25000,31000," Og jeg har taget brillerne med, så jeg vil prøve at svare nogle af de spørgsmål, I måtte have."
31000,37000," Det er meget ofte, I stiller spørgsmål, og så får jeg ikke svaret på dem, fordi jeg ikke lige har briller osv."
37000,45000," Men det er lørdag, og hvis du sådan kigger på min feed i dag, så vil du tænke, ej, Wiebke har lejet hele dagen."
45000,50000," Og det er rigtigt, jeg har lejet noget af dagen. Jeg har været ud at svømme med mig."
50000,55000," Jeg elsker det her havbad, eller jeg elsker havsvømning, det kan vi jo så ikke nu."
55000,60000," Men så elsker jeg også lige at dyppe mig ned i det kolde vand, og så synes jeg simpelthen, jeg er så sej."
60000,64000," Og både mig og jeg vil grine, og så tårerne de triller."
64000,68000," Jeg har løbet en tur, det synes jeg var lidt hårdt, men jeg er kommet afsted."
68000,76000," Og så har mig og jeg lavet sådan en perledans, kan vi godt kalde det, hvor vi lavede lidt space med lidt sang og musik."
76000,80000," Og viste nogle af vores dejlige smykker fra 20th CBH."
80000,84000," Og enkelt er jeg tænkt, hold da op, de har da vist fået drukket noget vodka."
84000,91000," Der vil jeg så sige, at det der fik glæden og får glæden frem hos os, det er faktisk dejlig musik."
91000,96000," Det er kærligheden til smykkerne, og især dels kærligheden til hinanden."
96000,99000," Og så er bare det, at man er engang imellem bare fjoller."
99000,103000," Fjoller og ser bøvet ud, og synger pivfalsk."
103000,106000," Og det er sådan set det liv, det handler om."
106000,114000," Men sandheden er, at størstedelen af dagen, der har jeg faktisk siddet med snuden i data."
114000,119000," Funderet over talene, diskuteret talene med nogle af dem, jeg kalder fra mit war room."
119000,123000," Altså nogle af mine andre dygtige kolleger."
123000,129000," Og haft nogle samtaler om blandt andet det her, skal vi sige manipulation, propaganda."
129000,135000," Vildledning af befolkningen, som vi har set og ser fra SEVM-instituttet."
135000,141000," Ser fra regeringen, fra myndighederne, fra eksperterne."
141000,148000," Og det har været og er en stor gåde, hvordan det har kunnet stå ved så længe."
148000,151000," Også i pressen, den ekstreme vildledning."
151000,153000," Nu lysner det da en anelse."
153000,160000," Pressen begynder at tage fat på det her med, at man har løjet og lyver omkring dødstallene osv."
160000,164000," Det vender jeg lidt tilbage til, for det er faktisk et meget gennemgående problem."
164000,167000," Det som SEVM-instituttet gør med tallene."
167000,169000," Men det vender jeg lige tilbage til."
169000,175000," Jeg så, at, hvad hedder det, det må være Sydsjællers Region, var ude i dag for at sige,"
175000,180000," at der florerer en historie på de sociale medier om en 11-årig dreng af udenlandsk herkomst,"
180000,184000," som døde straks efter en vaccination ved Solrød Vaccination Center."
184000,188000," Det er angivelig en and. Det er angivelig forkert."
188000,195000," Når det er så sagt, så nægler det jo den uro og den utryghed, der er."
195000,200000," Nemlig, hvordan er dødstallene egentlig relateret til vaccinationerne?"
200000,206000," Og når man hemmeligholder de tal, som man jo gør fra SEVM-instituttets side,"
206000,209000," bivundet, hvor man går ud fra regeringen og myndighedernes side,"
209000,215000," så skaber man jo uro, tvivl, mistillid osv."
215000,220000," Og jeg har længe hørt om det her med, om der var en 11-årig dreng, der var død,"
220000,222000," relateret til en vaccination."
222000,225000," Jeg har hele tiden ikke vidst, om det var Solrød. Det siger mig ikke noget."
225000,230000," Men vi kan også se af Danmarks statistik, at der er et dødsfald i starten af december."
230000,233000," Men det kan jo være i godshøjden en naturlig dødsfald."
233000,237000," Det kan være et barn, som har haft en alvorlig krabbsygdom."
