start,end,text
0,8000," Så er jeg tilbage. Jeg hedder Ribeke Manneke. Jeg er læge, og så har jeg en ph.d."
8000,14000," Jeg vil lige dvæle ganske kort ved indlægselstallene og hvorfor det egentlig er så forfærdeligt,"
14000,21000," at SEVM-instituttet i hvert fald tæt på halvanden år har vidst, at indlægselstallene var forkerte,"
21000,27000," men alligevel vedholdende oplyst hele befolkningen nogle forkerte tal."
27000,31000," Det har nogle meget alvorlige implikationer eller konsekvenser."
31000,36000," Al den stund er det jo indlægselstallene, som har gjort og har været medvirkende til,"
36000,45000," at regeringen igen og igen kunne udsætte dig, mig, os og vores børn for de her voldsomme restriktioner."
45000,51000," Fordi hele fortællingen har jo været, at ""uuu indlægselstallene"", ""uuu intensiv"" osv."
51000,57000," Og ""uuu nu kunne det gå helt galt"", fordi ellers må man jo sige, at så er det jo fuldstændig ligegyldigt."
57000,63000," Hvis ingen blev indlagt, så er det jo som en snuge, en forkølelse, en influenza."
63000,67000," Alt det vi nu ser med omikron her, hvor fredelig den er gået hen og blevet."
67000,72000," Eller sagt på en anden måde, at den er så fredelig, som vi forventede, at den ville være."
72000,79000," Så derfor har det en meget, meget stor og meget forfærdelig rolle, kan man sige,"
79000,89000," seruminstituttets, ja, jeg vil kalde det, hvad kan man kalde det, når man fører en befolkning af og regering osv. bag lyset,"
89000,93000," uden at man risikerer en ignorace."
93000,97000," Men anyways, lad os lige holde fast i, hvorfor jeg siger det."
97000,101000," Vi skal tilbage til, jeg tror det er 23. oktober 2020."
101000,106000," Der offentliggør seruminstituttet en rapport, hvor I beskriver indlæggelser osv."
106000,110000," Og ud af den kan man læse og forstå, i hvert fald hvis man grænsker tallene,"
110000,116000," at makshalvdelen overhovedet kan relateres til indlæggelsen handler om corona,"
116000,121000," i det, at det er indlæggelser på lungemedicinske afdelinger eller tilsvarende."
121000,126000," Altså noget, hvor den indlagte kan have noget som helst med luftvejene."
126000,132000," Og det er en livstruende, mulig livstruende corona-infektion selvfølgelig på en sådan afdeling."
132000,136000," Så allerede der, og vi taler oktober 2020,"
136000,140000," jamen for at seruminstituttet kan lave sådan en rapport,"
