start,end,text
0,11000," Og kuk-kuk, så er jeg tilbage. Jeg hedder Wim Kemalike, jeg er læge, og så har jeg fulgt det her corona-hysteri-krisen lige fra start."
11000,19000," Jeg må sige, at jeg er helt sikker på, at jeg deler med rigtig mange af jer en vrede, en indignation over,"
19000,25000," at vi har en statsminister, som slipper afsted med det, hun gør, og som i den grad tæller ned til befolkningen."
25000,33000," Det er helt vildt. Det er helt vildt, som hun nedgør befolkningen. Det er helt vildt, som hun taler til os, som om vi er små børn."
33000,38000," Og man sidder og kniver sig i armen og tænker, sig mig engang, et af det her er et meget rigtigt,"
38000,45000," men hvordan slipper man afsted med at tale så ydmygende og til befolkningen, som om vi er dumme?"
45000,53000," Lad mig lige slå én ting fast. Ud fra de tal, vi har, der er der ikke nogen eksponentielle stigning i antallet af smitte."
53000,60000," Yes, vi er på vej ind i vinteren. Yes, der er en stigning. Og bagefter lægger jeg lige et billede op."
60000,65000," Og de tal er tal fra Serum Instituttet, så det er ikke nogen, vi andre har fundet på."
65000,69000," Og der vil du se, at der er en stigning, men der er ikke en eksponentiel stigning."
69000,77000," Vi kan ikke bruge de numeriske tal. Vi kan ikke bruge antallet, fordi hey, hallo, der testes altså omkring 70, 80, 90.000 mennesker om dagen."
77000,82000," Så du kan ikke bruge antallet. Du er nødt til at se det positivt på centen, altså hvor mange de tester."
82000,89000," Og jo, der er flere, der er syge. I hvert fald, jeg vil ikke engang sige syge, der er smittet ifølge PCR-testen."
89000,96000," Jo, vi går ind i vinteren, så det er jo en tid, hvor folk får bl.a. luftvejsinfektioner, som COVID-19 er."
96000,103000," Men samtidig er det jo også vigtigt at holde fast i, at efter alt at dømme, så er COVID-19 blevet meget mere fredeligt."
103000,109000," Der er langt færre, der dør af det, end der var i foråret. Der var jo heller ikke vanvittigt mange, men sådan er det."
109000,116000," Plus at færre indlægges, og indlæggelsestiden, og især det, der sidder også på intensiv, er markant mindre."
116000,123000," Så, what's the big deal? Og det, synes jeg, er måske det allervigtigste spørgsmål, man, og ikke mindst pressen, skulle stille."
123000,129000," Statsministeren, hvad skal vi egentlig opnå? Hvad er målet med at lukke landet ned?"
129000,136000," Hvad er målet med at aflyse julen? Hvad er målet med det hele? Jeg ved det ikke."
136000,141000," Et er sikkert, at COVID-19 og SARS-CoV-2, som vi jo sidder i Danmark, det er da så tæt kommet for at blive."
141000,145000," Og det, som vi skal glæde os over, det er, hvordan håndterer vi det? Hvordan går vi til det?"
145000,150000," Og så må jeg sige, at jeg vil bregge mig, når Mette Frederiksen taler om folkesundhed."
150000,153000," Nu skal jeg fortælle dig noget om, hvad folkesundhed er."
153000,159000," Det er kræftsygdomme, det er hjertesygdomme, det er rygerlunger, det er trafikulykker."
159000,166000," Det vedkommer folkesundheden. Det er psykisk sygdom, ældre, der bliver syge, ældre, der falder osv."
166000,168000," Det er noget, hvad folkesundhed gør."
