start,end,text
0,7000," (førespil)"
7000,12000," Så er jeg tilbage. Du kunne måske lige ikke finde Hugo, men finde Milla."
12000,18000," Jeg hedder Vime Kramanika, jeg er læge, jeg har MPOD, og så har jeg fulgt det her corona-helvede lige fra start."
18000,22000," Det gode er, at jeg også har brændt fra start. Og hvorfor har jeg det?"
22000,24000," Hvad var?"
24000,26000," Tæl højre, Vente."
26000,32000," Det er mit hjertesprofessor, der også er min cheffotograf i dag."
32000,35000," Og jeg skal tale lidt højere, bliver der sagt."
35000,39000," Jeg plejer ellers at være omvendt, at han vil have mig til at dæmpe stemmen lidt."
39000,41000," Men altså, det er meget godt at høre ham sige talt højere."
41000,45000," Anyways, jeg angrer lige for at dele det gode budskab med jer."
45000,50000," Dagens tal er fortsat faldende. Som jeg plejer at sige, ""it is over""."
50000,54000," De tal, vi ser nu, der bliver jo voldtestet i ekstrem grad."
54000,59000," Jeg tror, at det sidste døgn, hvor det er testet med PCR-test og antigen-test,"
59000,64000," så var vi jo oppe på, var det 700.000 eller 500.000? Vanvittigt mange mennesker."
64000,67000," Det er også lige meget. Positivprocenten er uhyre lav."
67000,73000," Hvis vi tager alle talene med ned på 0,17, så tager vi kun PCR-testen så ned på 0,23."
73000,78000," Kort sagt, størstedelen af de tal, det handler om én ting, nemlig fast positiv."
78000,82000," Vi ved, at der er fast positiv, altså at den viser, at du er smittet,"
82000,87000," men det er faktisk et forkert svar. Det ved vi, der er både ved PCR-testene og antigen-testene."
87000,90000," Så det gode budskab er, ""it is over"", fuldstændig som forventet,"
90000,94000," i hvert fald fra min side af, blandt andet på grund af det skønne forår."
94000,100000," Og så også fordi vi har nået 1 million, der er immuniseret, om man så må sige."
100000,103000," Det vil sige, at 1 million danskere har enten haft sygdom,"
103000,107000," som gør, at de har udviklet immunforsvar, ikke kun antistoffer."
107000,112000," Immunforsvar over for corona, og så er der rigtig mange, som er blevet vaccineret."
112000,116000," Så derfor lader det sig ganske enkelt ikke gøre, at få noget som helst,"
116000,120000," som minder om en tredje bølge nu herhjemme i Danmark, ""it is over""."
120000,123000," Af de grunde, som jeg siger og har sagt hele tiden."
123000,128000," Så det er gået fuldstændig som jeg havde forventet, fuldstændig som jeg har sagt rigtig mange gange."
128000,134000," Og det betyder også, at hele det her corona, hvad skal vi kalde det, massesykose,"
134000,137000," det har ikke på noget tidspunkt taget fejl."
137000,140000," Jeg vil lige ganske kort kommentere den artikel, der var,"
140000,142000," eller det, der har været i Ekstrabladet."
142000,146000," En artikel, skrevet af deres underholdningsjournalist, Emma Busker."
146000,149000," Jeg tror egentlig, at Emma skulle holde sig til underholdningsbranchen."
149000,152000," Fordi det, hun skrev, var løgn fra ende til anden."
152000,154000," Det var rent manipulation."
154000,156000," Det passer simpelthen ikke."
156000,158000," Jeg skal forklare dig noget meget vigtigt."
158000,162000," Jeg har i 25 år beskæftet mig med netop atester."
162000,167000," Jeg har undervist og er underviser i atestskrivning, altså lægeatester."
167000,171000," Jeg har til dags dato været læst cirka 30.000 atester."
171000,178000," Mit skøn er, at cirka en tredjedel af dem er skrevet af læger med det, vi kalder A-autorisation,"
178000,182000," altså uden B-autorisation, typisk i praksis eller på hospitalerne."
182000,188000," Kort sagt, der findes ingen regler for, hvilken læge, der må skrive de forskellige atester,"
188000,192000," fra set nogle enkelte atester, hvor det f.eks. skal være en praktiserende læge."
192000,196000," Men det er en udlændt hav af atester, hvor der er sådan nogle krav."
196000,200000," Fritagelsesatesten er der heller ikke sådan en krav til."
200000,202000," Men det er vigtigt at sige, at det er jo en kanatest."
202000,208000," Det betyder, at hvis du er fritaget fra test på grund af angst eller nogle fysiske gener eller begge dele,"
208000,210000," så er du sådan set fritaget."
210000,213000," Så er der ikke krav om, at du skal have fritagelsesatest."
213000,217000," Det kan være en hjælp, bevares, men der er ikke krav om, at du skal have den."
217000,219000," Der er heller ikke krav om, hvilken læge, der skriver det."
219000,223000," Det er selvfølgelig oplagt, at det bør være din egen læge, det siger sig selv."
223000,227000," Men blot for at sige, at det som ekstrabladet skrev, det var rent chikane."
