start,end,text
920,2920," Her har du mig igen."
2920,4440," Jeg hedder Vibe Kamanike."
4440,5880," Jeg er læge, jeg har en Ph.D."
5880,9960," Og så står jeg nu hernede på det skønne tennisanlæg."
9960,11960," Jeg er ude og cykle en tur."
11960,13960," Og nej, vi kan ikke spille tennis endnu."
13960,17080," Men det er jo lidt en påmindelse om ikke kun tennis -"
17080,20400," - men også Djokovic, som jeg har meget stor respekt for -"
20400,23440," - og hans ageren her også under Australian Open."
23440,26440," Men det var nu ikke tennis, vi skulle snakke om, eller Djokovic."
26440,30760," Det var det, jeg kalder coronakrisens meget store tabu -"
30760,34640," - og som undrer mig, at ingen fra pressen har interesseret sig mere for -"
34640,37040," - eller i offentligheden eller myndighederne for den sags skyld -"
37040,42640," - nemlig at katte og hunde også smittes med corona."
42640,44240," Vi er ved fra studier."
44240,47240," Eller lad mig starte et andet sted."
47240,49240," Hvordan var det nu lige med mængdene?"
49240,52240," Hvorfor var det nu lige, at mængdene skulle slås ned?"
52240,53640," Hud, hej, vilddyr."
53640,56440," Det var jo, fordi der var nogle enkelte studier -"
56440,59840," - som viste, at ikke alene blev mængden smittet -"
59840,63640," - men måske, at der også kunne være transmission fra mængden til mennesker -"
63640,67240," - i forhold til coronasmitte."
67240,69840," Så ved vi jo, og det vidste vi allerede der -"
69840,71640," - det var jo ikke kun mængden, vi talte om."
71640,76840," Katte, hunde, ræve, morer, insekter."
76840,79840," Vi er jo en del af et større økosystem."
79840,80840," Den der -"
80840,83440," - jeg er så træt af den der coronategneserie -"
83440,85440," - den der med, at det er sort-hvidt -"
85440,87440," - du er vaccineret eller ikke vaccineret -"
87440,91040," - du har immunitet med vaccinen eller ej -"
91040,92240," - det er mængde eller ej -"
92240,97840," - det er jo noget fuldstændig kugt hjerneblæst vus."
97840,100240," Nogle af jer får brystet, når jeg siger -"
100240,102840," - at dem, der går i takt, er en flok bunderøv."
102840,105040," Og jeg ved da godt, det er ikke så pænt sagt -"
105040,106640," - men finde et bedre ord."
106640,110240," Ignoranter, dumme, uvidende, hvad skal jeg kalde det?"
110240,113040," Det er jo så meget fup og fedduser -"
113040,115040," - og manipulation og propaganda -"
115040,117040," - og løgne og fortilser -"
117040,119040," - og det er til at brække sig over."
119040,121040," Så derfor -"
121040,124440," - katte og hunde kan få corona -"
124440,126240," - og smittes med SARS-CoV-2."
126240,128640," Faktisk findes der en særlig COVID-19 -"
128640,132840," - en feline-COVID, som rammer speciel kattekildinger -"
132840,134640," - og kan have dødelig udgang."
134640,138640," Der findes coronavirus i det hele taget -"
138640,141640," - er velkendt blandt dyr, specielt også katte."
141640,144640," Vi ved fra studier, og dem har vi nu en del af -"
144640,150440," - at mellem 15% og helt op til nok halvdelen af husholdninger -"
150440,153040," - altså hjem med katte eller hunde -"
153040,155640," - der er dyrene også smittet."
155640,159040," Det betyder, at har du en katte eller en hund -"
159040,161440," - har du haft COVID-19 eller har du COVID-19 -"
161440,165840," - så kan du faktisk smitte din hund eller din kat."
165840,167840," Så kan man sige, hvad betyder det?"
167840,171840," Langt største parten har ingen symptomer af katte eller hunde -"
171840,174840," - men er det en skrøbelig kat, er det en skrøbelig hund -"
174840,177840," - så kan den jo også blive syg."
177840,180840," Det undrer mig, at man i alt det her -"
180840,182840," - ikke på noget tidspunkt, heller ikke i pressen -"
182840,184840," - har interesseret sig for det."
184840,187840," Fordi det næste er selvfølgelig også, okay -"
187840,192840," - yes, vi mente mink kunne smitte, yes -"
192840,196840," - hvad så, kan skrøbelig katte, kan katte med meget diarré -"
196840,199840," - syge kildinger, syge gamle katte -"
199840,203840," - kan de så smitte os mennesker?"
203840,205840," Det er jo spørgsmålet."
205840,208840," Der er nok noget, der tyder på, at de kan i sjældne tilfælde -"
208840,210840," - i hvert fald ved at vente om at sige -"
210840,212840," - vi kan ikke udelukke, at de ikke kan smitte."
212840,215840," På samme måde, altså nu skal du holde fast i -"
215840,217840," - hele mink-sagen, det er derfor, jeg har taget en mink på i dag -"
217840,219840," - for jeg har sådan lidt -"
219840,221840," - ja, jeg har sagt det mange gange før -"
221840,224840," - det koster en rigsrets af, hele mink-skandalen -"
224840,226840," - i mine øjne koster nedlukningen -"
226840,228840," - og også en rigsrets af mod Mette Frederiksen -"
228840,230840," - jeg mener også, at Barbara Bertelsen skal tages med -"
230840,232840," - men det er en anden snak."
232840,234840," Men anyways, så tænk dig nu om selv -"
