start,end,text
0,11000," Så er jeg tilbage. Jeg hedder Eva Kamannike. Jeg er læge og pøvd. Og så er jeg umiddelbart træt af, at nu er der regering."
11000,16000," Det er, hvad jeg kalder en tommedelag. Jeg er så træt af at blive taget ned til."
16000,21000," Jeg er så træt af, at befolkningen, du og jeg, behandles som små børn."
21000,28000," Det er fuldstændig galt. Og jeg er træt af den corona-tegneserie, som Mette Frederiksen tror, at landet lever af."
28000,34000," Nu skal jeg fortælle dig noget. Danmark, du og jeg, vi er meget andet end covid-19."
34000,40000," Og det gode budskab er, at talene omkring covid-19 er meget frisommelige."
40000,47000," Det dårlige budskab, det skræmmende budskab er, at den her nedlukning, den koster big time hele landet."
47000,53000," På økonomien, på sundheden, på behandlingen af vores alvorlige og kronisk syge, vores handicappede."
53000,60000," I forhold til vores børn, vores udsatte børn, ældre, psykisk sygdom. Psykisk sygdom er fuldstændig horribel."
60000,65000," Og så koster det virksomhederne, det træhandel, som uvidst er hvilken grund, man har lukket ned."
65000,71000," Det er så totalitært og vanvittigt og skræmmende, så jeg faktisk ikke har ord for det."
71000,76000," Det, der er det gode i det her, det er, at jeg fornemmer, at rigtig mange er ved at vågne op."
76000,81000," Jeg fornemmer, at rigtig mange siger, selv politiet, nu har vi besøgt politiet,"
81000,85000," siger, at det er fuldstændig horribelt, det som regeringen er i gang med."
85000,87000," Hvad for de venlige politipatienter, vi har mødt."
87000,92000," Så til dig vil jeg sige, ved du hvad kammerat, du er skudt til, du er nødt til at vågne op."
92000,97000," Fordi det her overgreb, som regeringen udsætter befolkningen for, dig og mig, vores børn og vores kære,"
97000,101000," det er fuldstændig uden appropriation."
101000,104000," Og så vil jeg lige sige lidt omkring den britiske mutation."
104000,108000," Ja, der er en britisk mutation, og der er rigtig mange mutationer."
108000,111000," Det skal vi huske, at covid-19 ændrer sig jo hele tiden, som virus nu gør."
111000,115000," Ja, der er en britisk mutation, det ser ud til, at den er mere smittesom."
115000,119000," Men det gode budskab er, at det også ser ud til, at den er væsentligt mindre dødelig."
119000,124000," Og i forvejen ved vi jo, at corona og covid-19 herhjemme har været meget lidt dødelige."
124000,126000," Så hvad er det egentlig, vi frygter?"
126000,130000," En anden type influenza, og hvad er det, vi frygter?"
130000,131000," I don't know."
131000,133000," Jeg ved ikke engang, hvad det er, regeringen vil opnå."
133000,138000," Fordi sandheden er jo, vi får jo ikke bare sådan udryddet corona, SARS-CoV-2."
138000,139000," Det gør vi ikke."
139000,141000," Den vil mutere, den vil ændre sig."
141000,142000," Den lever out and about."
142000,146000," Den lever i våge, den lever i rev, den lever i katte."
146000,148000," Det var altså ikke kun vinklende."
148000,153000," Så igen er det helt uden appropriationer med, hvad er det overhovedet, der truer dynaminsundhed."
153000,158000," Det er kræft, det er hjertekræftsygdom, det er alt muligt andet end covid-19."
158000,160000," Covid-19 er da i hvert fald vares."
160000,166000," Det gode er, at den ser ud til at være betydeligt mere fredelig, end vi havde frygtet tilbage for."
166000,173000," Plus, at den mutation, vi taler om fra Storbritannien, er efter alt endnu mere fredsomme."
173000,175000," Så hey, hvad er det, vi frygter?"
175000,177000," Ja, jeg ved det som læge."
177000,184000," Ikke på trods af, at jeg må siges at have næsen og snuden i spor hver eneste dag og følge data og udvikling."
184000,189000," Og det er også derfor, jeg kan fortælle dig, at de danske tal ser overhovedet fredelige ud."
189000,196000," Jeg vil også lige knytte en lille kommentar til Sverige som det store farlige sted."
196000,201000," Vi har lige fået dødstalderne fra Sverige for 2020, og det er sådan set stort set, som det plejer at være."
201000,205000," Der er måske en lille bitte smule øgning fra året forinden."
205000,210000," Men sandheden er også, at det ligger og fluktuerer op og ned, dødstalderne fra Sverige."
210000,213000," Vi har dem til 18. december, vi mangler lige det sidste tal."
213000,220000," Men allesammen for at sige, at det der narrativ, den der fortælling om 8.000 flere døde i Sverige, det er simpelthen løgn."
220000,222000," Det er ikke rigtigt."
222000,228000," Fordi du skal ind og se på, hvor mange er det totalt, der dør i Sverige i forhold til de tidligere år."
228000,231000," Og det må jeg læse det samme, måske en lille snags flere."
231000,240000," Men på den måde kan man også se, at faktisk for årene forud var der endnu større, mere end 3.000 et eller andet, fra det ene år til det andet."
240000,247000," Så igen er pointen, at de svenske dødstalder fra 2020, som vi lige har fået op med gjort, er umiddel frisommel."
247000,253000," Det sidste, jeg er nødt til at knytte en lille to ord til, det er mundbindene."
253000,255000," Ja, men du ved, jeg hader mundbind."
255000,258000," Du ved, at jeg synes, det er noget forfærdeligt ulækkert og skræmmende."
258000,264000," Men jeg må sige, at jeg tror, at det første gang er jeg egentlig sådan blevet rigtig ked af det, i forhold til hvad jeg selv synes, jeg måske havde forsømt."
264000,269000," Og det var den anden dag, da jeg så et stort tysk studie af omkring 25.000 børn."
269000,276000," Og der kunne man se, hvor mange gener børn har ved at bruge det her agelige skrammel."
276000,284000," Hovedpine, ked af det hed, nogle besvimer endda, ondt i maven, det får børnene typisk, hvis de er ked af det."
284000,290000," Manglende interaktion, mangelende glæde, mangelende lyst til at lege, mangelende lyst til at lære."
290000,295000," En masse rigtig grimme bivirkninger."
295000,302000," Omkring 60% af børnene havde tjener fra det her grimme mundbind."
302000,306000," Og så vil jeg tilbage til, hvorfor skal børn overhovedet have mundbind på?"
306000,309000," Hvorfor kommer det der med 12 år herhjemmefra?"
309000,312000," Jeg ved det ikke. Jeg ved, at børn efter alt er dømme."
312000,316000," For det første, et, stort set ikke smitter, hvis de smitter overhovedet."
316000,324000," For det andet, praktisk talt, ikke får symptomer højt så tydeligt som følge af, at de MFR-vaccineret er det samme med unge."
324000,326000," Så hvad er sigtet egentlig?"
326000,333000," Til gengæld er det jo et meget stort indgreb og overgreb på børn, at det er reelt, synes jeg, offentligt omsorgsfrikt."
333000,337000," Helt uden, at det har nogen som helst mening."
337000,340000," Det ved vi så også fra studierne, bl.a. fra Rigshospitalet."
340000,344000," Det var noget andet, hvis man sagde, åh, vi ved, hvis vi pakker børn ind i mundbind, så sikrer vi,"
344000,346000," at hverken de eller gamle åldre dør."
346000,349000," Men det er jo ikke korrekt, de data har vi ikke."
349000,355000," Så jeg vil sige, at efter de data, vi har, og efter det tyske studie, så må vi sige,"
355000,359000," at største parten af børnene, de tåler faktisk ikke det her skrammel."
359000,364000," Og det er jo sådan, at efter reglerne, at hvis du ikke tåler, det gælder også dig, det er ikke kun børnene,"
364000,367000," hvis du ikke tåler mundbind af fysiske eller psykiske grunde,"
367000,372000," så har du lov til at lade være med at bruge det, så du undtager, at du behøver sætte lægerklæring."
372000,377000," Jeg er jo rigtig glad for vores badge, fordi det gør, at man ikke bliver udskrammet."
377000,382000," Men det er ikke et krav. Jeg synes også, det er sådan en frihedsbadge, sådan oplever jeg det."
382000,384000," Jeg synes, der er noget frihedskamp i det badge."
384000,387000," Men du kan helt lade være, du kan gøre præcis, hvad der passer dig."
387000,392000," Og så skal man altså huske på, ved du hvad, jeg ved godt, du har glemt det i de her sidste snart 11 måneder,"
392000,394000," men vi lever faktisk i en demokrati."
394000,397000," Vi lever i en demokrati, hvor du og jeg også har en ryst."
397000,402000," Og hvor du og jeg også har noget at sige. Og vores nuværende..."
402000,406000," Det er sådan en program, der er ved at være mørk, kan jeg sige."
406000,412000," Men du og jeg har altså også vores demokratiske, ikke alene ret, men faktisk i pligt."
412000,418000," Så vi er nødt til at sige stop. Du er nødt til at skrive til de og ringe til de politikere, du er stand på at sige,"
418000,421000," nu må det her, og undskyld jeg blander, fandme stoppe."
421000,425000," Nu skal vi have lavet åbnet. Der er intet, der legitimerer nedlukningen."
425000,427000," Det er helt ude af proportioner."
427000,433000," Det her med den britiske mutation, den er efter alt at dømme, ganske fredsomme, så what the big deal."
433000,440000," Samtidig lyder det teglehandel, alvorlig syge, børn, psykisyge, ældre osv., det skal vi have stoppet lige nu."
440000,445000," Så jeg håber, at du sammen med mig vil sende et klart signal til regeringen, der hedder,"
445000,447000," vi vil have lukket landet op."
447000,450000," Vi vil have Danmark tilbage til det, det er og var."
