start,end,text
0,11000," Så er jeg tilbage i min karmatika, hedder jeg, læge, PUD, og så er jeg, kan du godt se, stolt som en pave med badge på."
11000,18000," Fordi der er sket noget rigtig sjovt noget, nemlig at rigtig mange af jer, som bruger badge, når jeg møder jer ude omkring,"
18000,25000," så kommer jo stolte som en pave, og prøv at se, og flere af jer kommer nærmest løbende efter mig, prøv lige at se her."
25000,33000," Og så sporer jeg en glæde og en frihedstrang og kamp og tro på, ved du hvad, vi bliver frie igen."
33000,37000," Fordi hvis der er noget, vi ikke er lige for tiden, så er det frie."
37000,45000," Jeg så lige i dag, at en kollega må han være, en professor, hvad hedder han, Jens Lundgren, det var også lige mig,"
45000,55000," kunne hjælpe med, gik ud og sagde, at han mener, at man til private selskaber, kom sammen, skal have mundbæl på."
55000,62000," Ej, nu må det daleme stoppe. Ej, nu stopper vi. Og det er altså på privat grund, og det er altså i strid med grundloven."
62000,69000," Jeg bliver så himmelråbende vred, frustreret og tænker, hvor fanden jeg ondskyder bander."
69000,77000," Men hvor er forstanden blevet af? Fordi et er sikkert, vi har ét stort dobbeltbændundersøgelse fra Rigshospitalet."
77000,80000," Og jeg peger altid derhjemme, fordi de ligger lige derhenne."
80000,85000," Og det viser klokkeklart, at der ikke er nogen signifikant forskel mellem,"
85000,90000," om du har mundbænd på eller ikke har mundbænd på, og din risiko for smitte. Punktum."
90000,98000," Så det betyder, at den her snak om mundbænd, om det her ægte fri-for-pua, vi burde glemme det sådan her."
98000,102000," Der er intet, der taler for at bruge det. Tvært om. Nu så vi."
102000,108000," Og hurra til ekstrabladet. Det må jeg sige. Stor kardeo til ekstrabladet, som lige har vist i dag, har haft undersøgt,"
108000,116000," har gjort sig det nu med at undersøge de her ægle ting, som var blevet købt i henholdsvis Superbrugsen, Fødtex og Meny."
116000,122000," Og det viste, at de er, inden du tager dem på, møgbefængte og ulækre at beskide."
122000,127000," Hvorfor? Jamen det har jo noget at gøre med produktionsforløbet omkring de her mundbænd."
127000,135000," Så et er, at du selv får renet dem og kontaminerer dem, fordi du har dine små jazzhands her."
135000,140000," Og uanset hvor meget du spritter af og vasker, så kommer der altså alt muligt skidt og snavs på."
140000,147000," Og desmere du fedter med sådan et mundbænd her, og op og ned, og snotter, og hoster og poster ind i dem,"
147000,152000," så bliver de altså, jeg har endda vendt den forkert, så bliver de møghamrende beskidte allerede når du bruger dem,"
152000,154000," og i det offentlige rum, hvor du rører ved alt muligt."
154000,158000," Men de er altså også møgbeskidte fra, at du har købt dem at kunne hjælpe med."
158000,161000," Så det er noget ægte skrammel."
161000,165000," Og det går altså, at vi har jo nu dokumentation for, at det ikke virker."
165000,170000," Så derfor kan man jo igen og igen spørge sig selv om, hvad er det for en magtfuld kommunhed?"
170000,175000," Hvad er det for et signal, regeringen sender, sundhedsstyrelsen vel egentlig også, når de går med på det,"
175000,180000," om man fastholder befolkningen i det her jerngræb om, at vi skal have det skrammel på."
180000,183000," Vi har dokumentation for, at det ikke virker."
183000,187000," Vi ved nu, at de endda er møgbeskidte, inden vi kommer dem på."
187000,189000," Hvad er det dog for et overgreb på os?"
189000,193000," Et bryd på grundloven? En dehumanisering?"
193000,198000," Jamen måske i bund og grund også en måde at få os til at tige på."
198000,208000," Så mit budskab til dig i dag, det gode er, at efterreglerne, så er man faktisk undtaget, hvis man ikke tåler mundbindet."
208000,212000," Det kan være fysiske årsager, men det kan faktisk også være psykiske årsager."
212000,217000," Så hvis du føler ubehag ved at bruge et mundbind, så er du faktisk fritaget."
217000,222000," Jeg synes så badge, det gule originale badge, det har den signalværdi og frihedsdrang,"
222000,226000," og det har det her med ""hey, du lader mig være"", og det kan jeg godt lide."
226000,230000," Men det er ikke noget krav, du kan også fuldstændig lade være med at bruge noget badge,"
230000,233000," og bare gå og passe dig selv, for det har du faktisk lov til."
233000,240000," Og det er på tro og lov, og du skal ikke have læreklæringer eller noget, det er i orden."
240000,242000," Hvis ikke du kan tåle det, fint."
242000,244000," Så var der lige en lille ting til sidst."
244000,248000," Jeg hørte den anden dag i radioen, en radiovært, som kunne hjælpe mig,"
248000,255000," sagde, at hun havde taget sig i, som hun sagde, at når hun gik, så åbnede hun munden for at slappe af,"
255000,257000," om der var andre, der havde det som det."
257000,261000," Og jeg tog mig til året og tænkte, jamen for fanden, det er jo ikke noget med, at du går og slapper af."
261000,263000," Det er jo heller ikke sådan, når du går derhjemme og slapper af."
263000,265000," Det ved jeg ikke, om du gør, men jeg gør i hvert fald ikke, når jeg går og slapper af."
265000,269000," Så er det ikke sådan, at jeg går sådan her rundt."
269000,273000," Det er jo selvfølgelig fordi, at når du har masken på, så kan du ikke trække vejret."
273000,279000," Og når du ikke kan trække vejret, så er du nødt til at åbne munden for at få luften ind."
279000,284000," Og det viser, og det ved vi også fra undersøgelser, at du får øget åndenød, når du har den her på."
284000,288000," Og hvis du er i tvivl, nu findes der undersøgelser, der viser, at hvis du er i tvivl og tænker,"
288000,293000," ""Arh, kan det være rigtigt, så synes jeg næste gang, du går udenfor, så prøv at gå lidt rest til med mundbind."""
293000,297000," Og så vil du se, at du bliver meget mere forpustet."
297000,300000," Selvfølgelig gør du det, så det her var ikke noget med, at hun slappede af."
300000,303000," Det var i bund og grund noget med, at hun simpelthen ikke kunne få vejret."
303000,308000," Og det er jo også uhyggeligt, hvor meget sjene sådan et mundbind faktisk påføres."
308000,315000," Så dagens gode budskab er, du er fritaget, hvis ikke du kan tåle det, af fysiske og psykiske grunde."
315000,320000," Du kan vælge at tage et badge på. Jeg skal nok lægge et link op. Du kan også lade være."
320000,325000," Vi skal holde fast i, at det som Ekstrabladet har været med til at vise nu,"
