start,end,text
0,7000," Så er jeg tilbage. Mit navn er Rebecca Malike. Jeg er læge. Det er jo det."
7000,15000," Og nogle af jer kender mig jo ret godt, fordi jeg har jo været, skal vi sige, generatoren for vores frihedskamp nu de sidste otte måneder."
15000,17000," Og hvad jeg må sige er, at det jo fortsat."
17000,23000," Det som jeg har efterlyst og efterlyser hele tiden, det er fakta, fakta, fakta."
23000,27000," Snarere end mavefornemmelser, gissninger, frygt og så videre."
27000,31000," Det er de sidste tre ting, som regeringens tiltag vil være præge af."
31000,36000," Det er det første. Jeg fæster mig ved hele tiden fakta eller mangen på samme."
36000,40000," Lad os starte med dagens fine corona-tal, covid-19-tal."
40000,46000," Der er testet rigtig mange, og der er tilsvarende også fundet en del, der er smittet til sygenladende."
46000,48000," Det er ikke helt betydeligt med, at de er syge."
48000,52000," Men tallet ligger. Positivprocenten ligger på lige omkring 1,88 procent."
52000,55000," På cirka nogen sider lå den omkring næsten 2 procent."
55000,58000," Så den ligger og svinger, men er meget fredelig."
58000,61000," Det samme er antallet af døde med covid-19."
61000,65000," Det vi ikke ved, og det som nogen af jer også har spurgt om, det er."
65000,69000," Jamen lidt er du testet positiv, men hvad siger det egentlig?"
69000,72000," Hvad siger den her PCR-test? Hvad er det for noget?"
72000,78000," Jamen det er en test, hvor man går ind og laver en undersøgelse på det genetiske materiale -"
78000,81000," - fra i det her tilfælde covid-19, virus SARS-CoV-2."
81000,86000," Og det, der er interessant, er for det første, at der er forskellige laboratorier rundt i landet -"
86000,89000," - der faktisk tester forskellige dele."
89000,93000," Så det vil sige, at vi har ikke engang en ensartet testning."
93000,96000," Det næste er, hvor mange cykler kører man?"
96000,99000," Altså, hvor meget veder man efter det her genetiske materiale?"
99000,104000," Og der plejer man at sige, eller ikke siger man, at der er en god tommelfinder-regel -"
104000,109000," - at den skal ikke meget over 30 cykler, og måske endda også under."
109000,113000," Før vi kan være sikre på, om der overhovedet er et virus at bruge -"
113000,115000," - altså om der overhovedet er noget, der smitter -"
115000,120000," - eller om det bare er et lille, lille, lille billedev fra noget, der kun minder om en virus engang."
120000,123000," Og der ligger rigtig mange af de tester, vi udfører -"
123000,127000," - de ligger helt oppe omkring 35, så allerede der har vi nu sikkerhed."
127000,130000," Så er der det, der hedder fat-positiv."
130000,134000," Altså, hvor mange af dem, du tester, har overhovedet noget som helst -"
134000,137000," - der tangerer noget som helst med covid-19."
137000,140000," Det tal ligger nok omkring 0,25 procent."
140000,143000," Igen lidt afhængig af, hvad er det for en maskine, der bruges -"
143000,145000," - og hvor den bruges rundt omkring i landet."
145000,150000," Men 0,25 procent, jamen der skal du så ud af dagens tal på lidt over 1000 -"
150000,156000," - der skal du trække i hvert fald 150 fra, som altså ikke har noget som helst med covid-19 at gøre."
156000,161000," Men det næste er så, dem der har testet, hvor mange af dem er så et overhovedet syg -"
161000,163000," - to smitter andre."
163000,168000," Jamen der ved vi, at det er nok på den her cirka halvdelen, der reelt har symptomer -"
168000,170000," - måske endda færre."
170000,173000," Det var noget, man ønskede fra starten, med god ret -"
173000,176000," - at man havde spurgt alle testet, hvad har du af symptomer -"
176000,180000," - og ikke mindst, så vi også kunne se, om de smittede har de overhovedet symptomer."
180000,182000," Det ønskede man angivelig ikke fra regeringssiden -"
182000,185000," - og det gør vi i dag faktisk reelt ikke aner -"
185000,188000," - hvor mange af de her, tror jeg var det 1200 i dag -"
188000,191000," - som overhovedet har symptomer, og dermed overhovedet er syg."
191000,193000," Jo, vi ved, at man har lavet en PCR-test -"
193000,196000," - og vi ved, at der blev fundet et eller andet -"
196000,199000," - men det er jo faktisk ikke ens betydning af, at de her mennesker er syge."
199000,202000," Og derfor er det også interessant, når man ser på det -"
202000,205000," - jamen, de testede positivt, ja -"
205000,207000," - og er de syge?"
207000,208000," Who knows?"
208000,210000," Vi ved, at det er mindre end halvdelen -"
210000,212000," - og derudaf ved vi så også, at ud af den halvdelen -"
212000,215000," - hvor mange af dem smitter så andre -"
215000,217000," - og det er jo det, der er helt omgangs på."
217000,219000," Når vi tager den formøbs- og mink-historie -"
219000,221000," - og jeg synes, at det er en fantastisk tragedie -"
221000,223000," - både for minkene -"
223000,225000," - og her, hvor jeg tænker, hvor er dyrevelfærd i det her -"
225000,229000," - at man uden andeden går ned og slår millioner af mink ned."
229000,231000," Det er en kæmpe katastrofe for minkavlerne."
231000,235000," Det er en tragedie for landet af mange grunde."
235000,238000," Det er jo en væsentlig del af vores erhvervsliv."
238000,241000," Men så er det faktisk også interessant at se -"
241000,243000," - hvad er det egentlig, at de her mink fejler?"
243000,246000," Hvor mange dage er de syge? Bliver de overhovedet syge?"
246000,249000," Jeg bemærkede meget hurtigt, da minkavlerne talte om det -"
249000,251000," - at det var få dage, hvor de her mink var påvirket -"
251000,254000," - måske med ikke spise helt så meget, som de plejer -"
254000,256000," - og så er de sådan set raske igen."
256000,258000," Og det viser lige præcis noget om -"
258000,261000," - hvor alvorligt er COVID-19 egentlig gået hen og blevet."
261000,263000," Og hvad er det for en mutation -"
263000,265000," - som Kåre Møllebakke forvider at tale om?"
265000,267000," Og jeg mener, det forvider."
267000,269000," Eller er det i virkeligheden videnskabelig uredelighed?"
269000,271000," Sådan opfatter jeg det."
271000,273000," Når man går frem med noget så drastisk -"
273000,276000," - som at sige, at der er tøj, der er smittet."
276000,278000," Who knows? Jeg har ikke set de data."
278000,280000," Jeg har ikke set noget publiceret."
280000,282000," Jeg kan ikke finde de data."
282000,284000," Det er i virkeligheden en udokumenteret posthand -"
284000,287000," - om noget, der er meget væsentligt for folkesundheden -"
287000,289000," - som en forsker kommer frem med."
289000,292000," Det har jeg kun i hård for. Det er videnskabelig uredelighed."
292000,295000," Vi kan ikke genfinde de data, de er publiceret noget sted."
295000,297000," Vi ved ikke, om det overhovedet er korrekt."
297000,300000," Hvem siger, at det er minkene, der har smittet menneskerne -"
300000,302000," - og at det overhovedet er tøj -"
302000,304000," - frem for det menneske, der har smittet minkene -"
304000,306000," - eller hvem har overhovedet smittet hvem."
306000,309000," Den næste er den her famøse mutation."
309000,311000," Den ved vi faktisk heller ikke noget om."
311000,314000," For igen, vi har ikke adgang til de data, de er ikke publiceret."
314000,316000," Det er galt konkurrence."
316000,318000," Jeg vil så fortælle dig, at et tjeviler -"
318000,322000," - der beskrever i hvert fald 198 mutationer -"
322000,325000," - i forhold til SARS-CoV-2, altså COVID-19-virus."
325000,328000," Så hvad er det her for en ekstra mutation?"
328000,331000," Er den værre, at de andre sidder på den anden sted?"
331000,334000," Who knows? Det er ikke publiceret."
334000,337000," Så tilbage er, at det jo er meget, meget godt så -"
337000,340000," - når regeringen går ind og lukker en hel region."
340000,343000," Det vil jeg forventede i et vidensafhold -"
343000,345000," - som jeg yder mig ind i leveret i -"
345000,347000," - bygget på fakta."
347000,349000," Fakta, som blev fremlagt fra hele befolkningen -"
349000,352000," - dig og mig, det videnskabelige forum."
352000,355000," Fakta snarere end, hvad det jo er politik -"
355000,358000," - ønsket om at holde befolkningen i en hjernevn -"
358000,362000," - gistninger, frygt og mavefornemmelse."
362000,365000," Og ved du hvad, det kan det ikke være bekendt i 2020."
365000,369000," Du har en uddannelse, du er uddannet, jeg har en uddannelse -"
369000,372000," - jeg er uddannet, hele mit virke bygger på fakta -"
372000,374000," - videnskabelige dokumentationer."
374000,376000," Hvad har vi af evidens?"
376000,379000," Og så bliver landet bragt ud i sådan en fase -"
379000,382000," - et hysteri, en tragedie, som det er."
382000,385000," Og det er ikke engang bygget på fakta, det er så skræmmende -"
385000,387000," - det er så uhyggeligt."
387000,390000," Så har vi til sidst det formøde som munddygn -"
390000,393000," - eller som en af jer meget rigtig kaldte, mundbly."
393000,395000," Jeg vil lige vise noget med det her munddygn -"
395000,398000," - fordi for det første, vi aner ikke om det virker -"
398000,400000," - i forhold til Covid-19."
400000,402000," Vi venter stadigvæk på den forskning, der skal komme -"
402000,405000," - på Ishospitalet, hvor man har lavet en dobbeltmødeundersøgelse."
405000,408000," Så mit gæld er, at det ikke virker i forhold til Covid-19 -"
408000,411000," - who knows, men jeg ved til gengæld, at der er rigtig mange -"
411000,415000," - negative konsekvenser ved at bruge sådan en karbat her."
415000,418000," For det første, jamen altså ingen -"
418000,421000," - jeg har jo ikke set dem gå rundt og gøre den fuldstændig snorlig -"
421000,422000," - som de skal."
422000,424000," Det vil sige rigtig mange gennembruger -"
424000,426000," - sådan en lille djævel her."
426000,428000," Det vil sige, de fugler og fedder rundt ved det -"
428000,430000," - hvor har de her hænder været -"
430000,432000," - de har rørt med noget, hvor der er bakterier -"
432000,434000," - virus, koli-bakterier, affødningsbakterier osv."
434000,437000," Det vil sige, de her små jazzhands, som jeg kalder dem -"
