start,end,text
0,12000," Hej, så er jeg tilbage. Jeg hedder Vibeke Malmke, jeg er læge, jeg har en PUD og så har jeg om nogen været den lille corona-vagtruten, kan vi godt sige."
12000,24000," Jeg har i hvert fald været vagtruten. Jeg har nu fulgt vores corona-udvikling, talene, forskningen, alt muligt, politikken, i de sidste forbandet otte måneder."
24000,29000," Jeg synes, det er tid til en lille update her, hvor jeg går live."
29000,35000," Lad os tage fat i talene først. Der er nogen, der begynder at snakke om et andet bølge. Der er det, jeg vil kalde et lille pjask."
35000,42000," Jeg viser dig lidt senere, lægger jeg hernede i kommentarfeltet, lægger jeg dig en kurve eller en graf over, hvordan talene ser ud."
42000,50000," Og der vil du se, at ja, der er en lille stigning af positivprocenten, altså hvor du går ind og ser på, hvor mange er smittet i forhold til antallet af tester."
50000,56000," Der er en lille billede stigning, men der er ikke noget, der indikerer en bølge, hvad det så inde er."
56000,60000," Og I vil også kunne se, hvordan det så ud i foråret på den samme."
60000,69000," Det er hele tiden vigtigt at forholde sig til, at når man tester så vanvittigt mange som man gør nu, så må man selvfølgelig også finde flere, der er testet, eller der er positive."
69000,74000," Og nu er vi på vej ind i forkølelsesæsonen. Vi er på vej ind, hvor vi bliver mere syge og smitte som sygdomme."
74000,80000," Og derfor er der ikke noget mærkeligt i, at der også er en lille smule flere, der er smittet af COVID-19."
80000,90000," Det gode budskab er jo, at når vi kigger på dødstalverne, altså hvor mange, der dør med COVID-19, så ser det jo meget, meget fredeligt ud."
90000,94000," Faktisk er det forholdsvis færre, hvilket betyder to ting."
94000,99000," Et, at den er blevet mere fredelig efter at have døbt med COVID-19, eller virus."
99000,105000," Og to, at behandlingerne er blevet bedre. De læger er altså blevet bedre til at behandle."
105000,113000," Men nok om det, talerne ser altså stadigvæk fredelige ud, og det viser jeg da på den graf, der kommer til at være nede i kommentarfeltet."
113000,122000," Så at tale om noget som helst, der indikerer en anden bølge lige nu, andet end hvad der er forventet for sæsonen, det synes jeg er stramt."
122000,124000," Jeg synes også, det er helt ude af proportioner."
124000,136000," Igen, igen, når regeringen, måske for at kovre op for alle deres sager om krænkelser og krænkelser af børn osv., går ind og begynder at tale om nye restriktioner."
136000,138000," Hvad bliver de så egentlig ind?"
138000,144000," Altså, vi er nødt til som befolkning at efterlyse og kræve, at der er proportioner i indsatsen."
144000,148000," Og det er der altså ikke, hvis man går ind og strammer op, som talerne ser ud nu."
148000,155000," Derudover, gyser det i mig, når man begynder at tale om, uha, nu er der flere, vi skal have mere med mundbølge."
155000,163000," Nu stopper vi altså. For ved du hvad, der er ingen evidens for, at mundbølge i det offentlige rum beskytter mod noget som helst."
163000,171000," Tvært om, ved vi jo nu, og det har vi faktisk vist længe, at forskerne fra Rigshospitalet, der har undersøgt de her 6.000 mennesker,"
171000,179000," de har jo fundet et resultat, og det kan jeg godt rygge, det er garanteret, at mundbølgen ikke beskytter dig mod smitte."
179000,184000," De har et resultat, som har gjort, at flere af de store medicinske tilskrifter,"
184000,191000," nu er egentlig Journal of Medicine, JAMA og The Lancet, at de nægter at bringe de data."
191000,197000," Ikke fordi det er underlødig forskning, ikke fordi, at forskerne, der står bag, ikke har kunnet finde ud af at lave forskning,"
197000,202000," men simpelthen fordi, at budskabet, det de har fundet, er politisk ukorrekt."
202000,207000," Kort sagt, mundbølge virker ikke. Og det forstår jeg da godt."
207000,212000," Derudover vil jeg også sige, at det er noget forfærdelig griseri med de der mundbølge."
212000,217000," Hvis du ser, hvordan folk omgås mundbølgene, de hoster hakker ind i dem,"
217000,224000," ned i lommen med dem, på igen, fuld af snask, og ja, det er jo lorte bakterier, altså kolibakterier,"
224000,227000," den er da forfærdelig ulækkert noget."
227000,231000," Vi skal selvfølgelig huske, det vi altid skal, når vi er smittet med en sygdom,"
231000,237000," holde øje på vores adjacent, sørge for at vaske dem, sørge for at lufte godt ud,"
237000,240000," sørge for at holde passende afstand osv."
240000,245000," Men mundbølge, det er der ingen letfremlig dokumentation for."
245000,248000," Tvært om er der meget betydet på, at det slet ikke virker."
248000,253000," Vi har også, en dygtig statistiker og jeg, har også lavet en kuro,"
253000,257000," og den viser jeg også nede for, hvor du vil kunne se meget tydeligt,"
257000,263000," at da man indfører det her maskeprop ud, så stiger smitten faktisk markant derefter."
263000,266000," Så der er ingen voldpunkter for, at det virker."
266000,271000," Og så må man jo også sige, at jeg forstår godt, at blandt andet hotelbranchen er i knæ"
271000,273000," og er vanvittigt frustreret."
273000,278000," Ikke mindst når det nu er kommet frem, det som vi har vidst i meget lang tid,"
278000,282000," nemlig at den der famøse 6-dags-regel, den bygger på mavefornemmelser."
282000,285000," Prøv lige at holde fast i det ord, mavefornemmelser."
285000,291000," Vi skal bygge sådan nogle væsentlige ting på fakta, og hverken på mavefornemmelser eller frygt,"
291000,294000," og det er faktisk det, der har været tilfældet indtil nu."
294000,297000," Men nu er det tid til at befolkningen siger, så stopper vi altså."
297000,300000," Det sidste jeg vil sige, det er i forhold til vaccinerne."
300000,308000," Der har været nogle opstarter, nogle studier, der har vist,"
308000,317000," at MFR-vaccinen måske kan beskytte blandt andet ældre, så de får COVID-19 i en lettere udgave."
