start,end,text
0,11280," Vi prøver lidt igen. Jeg siger hej til alle sammen. Jeg hedder Pip Køhmanike, jeg er læge, og så har jeg været tæt på generalen for vores frihedskamp det sidste år."
11280,18320," Det jeg har fokus på, og det jeg udelukkende har fokus på, og det ved du også godt, det er fakta, det er fakta, og det er fakta."
18320,23640," Det er også samme grund, der gør, at jeg ikke på noget tidspunkt det sidste år har taget fejl, og det gør jeg heller ikke."
23640,25640," Fordi det er fakta, vi siger."
25640,33640," Lad os starte med dagens positive tal. Jamen den er på, eller gårdsdagens 0,24 procent, det vil sige, it is over."
33640,46920," Inden jeg lige tager coronasnakken, så vil jeg sige tak til jer, primært ældre gennemand, plus 85, for jeres ægteskabstilbud, og som I gerne vil have fattig, skal vi sige lidt okød."
46920,56760," Der må jeg sige nej tak herfra. Mit hjerte er optaget, og som mit hjertes professor nok rigtigt siger, så har jeg været svært ved at leve uden ham."
56760,61400," Af så mange grunde, og mest af alt selvfølgelig fordi han er mit sjæleven."
61400,68920," Men jeg forstår godt, at man vil have fat på sådan en ung kid som mig, når man er plus 85, men det er et nej tak herfra."
68920,77640," Anyways, vi skulle tale om corona. Der er mange grunde til, at vi over hele verden ser, at forekommelsen af corona svinder."
77640,84600," Det handler om mange ting. Det handler et om, at virus er ved at være meget mere frisommelig. Fuldstændig klassisk udvikling for en virus."
84600,91000," Så handler det selvfølgelig også om immunitet i befolkningen. Flokimmunitet kan vi kalde det, som følger af rigtig mange faktorer."
91000,98600," Det er ikke kun én ting, der spiller ind, om vi opnår immunitet. Det er mange ting, bl.a. livsvilkår, bl.a. vores sundhedstilstand, bl.a. D-vitamin,"
98600,107080," bl.a. vores kost, søvn. Mange ting. Men så handler det selvfølgelig også om, om vi har været smittet med corona, hvad rigtig mange af os har."
107080,112600," Så har vi en immunitet. Så handler det også om dem, der er blevet og ladt sig vaccinere."
112600,119880," Men lad os lige tage den del først. Det med vaccinen. Rigtig mange af jer spørger mig, hvad vil du selv, og det ene med det andet."
119880,129960," Og der må jeg jo sige, at jeg er jo vaccineret fra naturens side. Jeg har jo haft corona. Det var en nat med høj feber. Det var det, og så mistede jeg luktosansen en periode."
129960,136440," Men jeg skal da ikke vaccineres. Hvorfor skulle jeg det? For jeg har jo immuniteten. Og det fører os videre til det famøse vaccinepas."
136440,145480," Det her med siger ikke, at du ikke skal vaccineres. Det skal og er et privat ærne. Det er dig selv, der bestemmer. Og det fører til det her famøse vaccinepas."
145480,156680," Det mener jeg jo, at være fuldstændig uforeneligt med et demokratisk samfund. Uagte den epidemiolog, som man nu har fået stemt igennem på et højst ejendommeligt grundlag."
156680,165480," Ikke mindst på den måde, at man pludselig har kommet corona over på den her farligste liste med pest og kobber."
165480,171240," Og jeg har sådan, hvad bilder man sig dog ind? Altså, hvor har lærerne været? Har de været til fuglepause eller hvad?"
171240,176440," Da man fandt på det, det var fuldstændig græk. Men tilbage til det her famøse vaccinepas."
176440,185320," Jamen, i dag, hvor vi har spyttest, som gør, at du kan i en lille beholder spytte ned i den, og så kan du få svaret, om du er smittet eller ej."
185320,195160," Jamen, så er der jo ingen grund til noget som helst vaccinepas. Fordi så kunne man, hvis man går med på det narrativ, så kunne man ved en koncert eller noget,"
195160,204280," bare udlevere sådan en test, og så kan jeg stå og spytte lidt i den, og vise dig, at jeg hverken er gravid, surprise, men det viser den her test så retfaldigvis ikke,"
204280,209720," men at jeg ikke er smittet, og bum, så er den ikke længere. Vi har jo nogle meget skarpe GTPR-regler herhjemme."
209720,217480," Og det gør jo, at det er mig en gode, at man overhovedet taler om, at hvis jeg skulle til frisøren, at så skulle jeg komme med en PCR-test,"
217480,225800," og så skulle jeg komme med mit CPR-nummer og køre kort og pas. Jamen altså, hvad pokker har man gang i? Det er jo GTPR, det er jo meget private oplysninger."
225800,233320," Jeg skal da ikke udlevere mit CPR-nummer, fordi jeg skal have sat mine vildre lokker. Jeg skal da heller ikke have udleveret mit CPR-nummer,"
233320,240520," fordi jeg skal til en koncert eller til et zoologisk have for den sags skyld. Et gaklak. Og det har ikke holdt i fakta."
240520,248520," Det har holdt i regeringsmagtens og specielt Mette Frederiksen, vores diktators, ønske om at holde os fast i den her hjerne."
248520,256040," Det er jo bare ikke i orden. Så derfor vil jeg sige, jamen altså, skal vi gå med på den præmis bevares, så lad os bruge de her spødtester,"
256040,261800," som vi kan lave med det samme og forsvare med det samme. Der skal ikke nogen grim pinde op i næsen eller andet."
