start,end,text
960,2780," - Tutteløve derude! - Tutteløve!"
2780,5780," - Og velkommen til mor, Vibeke Malike. - Tak."
5780,10940," Men også Danmarks førende søvne-ekspert, og det er jo faktisk derfor, at vi snakker de numre,"
10940,14980," fordi du har lige udgivet din nyeste bog om søvn, ""Sov godt""."
14980,17200," - Ja. - Og fortæl i kort og træk."
17200,21340," Jamen altså, man kan sige, at jeg har jo i rigtig mange år beskæftet mig med søvn,"
21340,24980," og er jo det, man kalder en ""elitesøvre"". Og hvad betyder det?"
24980,27620," Jamen det betyder, at jeg tager min egen medicin, når man sover med sig,"
27620,32960," fordi jeg kører den snorlige med min søvnrod, og det gør, at jeg sover som en stegn."
32960,37240," Uanset om jeg er ked af det, om jeg er stresset, om jeg er opkørt, om jeg er frustreret,"
37240,39820," om jeg er vred lige frem, så sover jeg som en sten, fordi..."
39820,45300," - Man må aldrig gå i seng og være lagt. - Men fordi, at jeg følger min egen søvnrod."
45300,50360," Så har jeg for nogle år siden udgivet den her, som stadigvæk er rigtig populær,"
50360,54840," ""Børnsøvn"", som handler om børnsøvn, men nu er der altså kommet den her,"
54840,61000," der handler om voksnesøvn. Langt hen ad vejen er det jo lidt det samme, det går ud på, selvfølgelig."
61000,65560," Ja, altså for mig var det faktisk en total ejeåbner. Nu har jeg jo altid opdraget mig til,"
65560,69820," at du skal huske at sove med, at du skal få din søvn. Men jeg blev virkelig bekræftet i det,"
69820,73820," at jeg læste bogen, hvor vigtigt det er med søvn, fordi at søvn er jo afgørende for alt."
73820,78900," Ja, altså søvn er jo den enkelte faktor i forhold til vores sundhed, som betyder allermest."
78900,83140," Det vil altså i forhold til smittesorgens sygdom, f.eks. corona, der ved vi,"
83140,88240," at man har en mindre risiko for covid-19, hvis man sover godt og man helbredes hurtigere."
88240,94020," Det gælder også ved halsbetjente og alt muligt andet. Så ved vi, at man dør hurtigere af søvnmangel."
94020,96820," Altså hvis man ligesom skal torturere nogen, det er ikke det, jeg vil hente."
96820,102540," Men hvis man skal torturere nogen, så dør man hurtigere af at blive holdt vågen, end ikke at få mad."
102540,105020," Så søvn er vanvittigt vigtigt."
105020,108120," Ja, og der er det jo egentlig lidt sjovt, at der er rigtig mange, der kommer til mig og siger,"
108120,111720," ""Ej, jeg har kun sovet fem timer i nat. Jeg er så sej."""
111720,116120," Og der siger jeg til dem, at det er det modsatte, du er. Du er overhovedet ikke sej,"
116120,118120," for det er du, der kender af, at vi ikke har sovet."
118120,121620," Og vi kender det allesammen. Altså vi, der er ingen af os to, der er sjovere hver anden dag,"
121620,123120," hvis ikke vi har sovet."
123120,129120," Og en af grundene til, at vi er så umådelige kønne begge to, det er, fordi vi er nogle sovetryndere."
129120,132620," Præcis. Ved du hvad, jeg tror faktisk, det er ikke løgn. Du skriver jo det jo også selv,"
132620,137620," at rynger og alt sådan noget, det holder man lidt fra døren, når man sørger for at få sin søvn"
137620,139120," til at blive krommerestitueret."
