start,end,text
0,6000," i denne video, der viser mig, hvordan jeg kan udvikle mig selv og blive en god tennis-player."
6000,8000," Udvikling af en god tennis-player"
8000,13000," Hej, jeg er Viva Kamanica. Jeg er en dansk MD/PhD."
13000,20000," Ikke kun har jeg spillet tennis i en stor tid i mit liv, siden jeg var 10 år gammel 50 år siden."
20000,24000," Så jeg er en god tennis-spiller, ikke som Djokovic eller nogen anden."
24000,29000," Jeg er ikke endnu nær nummer 10 eller 100 eller sådan noget, men jeg kan sige så."
29000,36000," Jeg er den nr. en danske doktor, der har været over alt i coronakrisen."
36000,41000," De største kritikere af det danske regering og de andre regeringer,"
41000,47000," der har været langt væk fra de fakta, langt væk fra verden og langt væk fra data."
47000,53000," Så det kan jeg sige. Jeg er ikke den nr. en tennis-spiller, men jeg er den nr. en doktor her i Danmark."
53000,59000," Jeg har ikke været ud at jogge, så hvis du tænker, at hun ser en lille smule..."
59000,61000," Hvad skal man kalde det? Mæssig."
61000,63000," Men det er det, når du gør det ændring."
63000,69000," Uanset, så vil jeg sende mit hele hjerte, min alle tak til Novak Djokovic."
69000,77000," Jeg synes, at hans behandling i Australien er meget forud det, du kan forvente,"
77000,82000," hvordan man behandler en person, en individ, ikke kun en professionel tennis-spiller,"
82000,84000," men også en menneske."
84000,87000," Jeg synes, det er devasterende, det er dårligt."
87000,90000," Jeg synes, de bør lukke Australien åben for nu."
90000,94000," Jeg synes, det er så dårligt, som det bliver."
94000,95000," Og hvorfor?"
95000,98000," Det er, at lad os begynde med vaccinerne."
98000,101000," Eller skal vi kalde det eksperimentelle injektioner?"
101000,107000," Det bør være, og må være, en personlig valg, om du tager den injektion eller ikke."
107000,111000," Lad os holde fast til verden. Lad os holde fast til data."
111000,116000," Hvis vi ser på skien og på data, så ved jeg det her fra Danmark meget godt,"
116000,122000," fordi jeg har følget datane de sidste to dårlige coronakrisesår."
122000,126000," Jeg kan fortælle dig så meget, at som numrene er de seneste dage,"
126000,130000," kan du se, at de mennesker, som faktisk bliver infekteret her i Danmark"
130000,134000," med omikron-virussen eller mutation,"
134000,139000," er faktisk mennesker, der har fået ikke kun én injektion, ikke kun to,"
139000,142000," men faktisk tre, også med booster."
142000,147000," Så det betyder, at det ikke skylder dig eller nogen anden,"
