start,end,text
0,11000," Hej, det er så mig, Vibke Malike. Jeg er læge, jeg er på PUD, og så har jeg velfuldt, eller har fuldt hele det her coronaheldene lige fra starten."
11000,17000," Og det gode er jo, det er altid rart, når man et siger, man har ret, men endnu bedre, når man siger, man havde ret. Og sådan er det stadigvæk."
17000,22000," Lad os lige tage dagens coronatale. De er fuldstændig fredelige, der er ikke noget at sige til det."
22000,32000," Men i dag kan du godt se, at jeg er det, vi kalder den blå dame. Jeg konkurrerer med Mette Frederiksen, som på trods af alle mængde var døde, det havde hun sørget for,"
32000,42000," så mødte hun altså op i fuldstændig mondering. Hun havde en blå dræk på, hun havde briller på, hun havde visir på. Hun var fuldstændig som en anden rumtosse."
42000,48000," Jeg har i dag taget min blå mængd på. Det er en mængd, jeg købte for 15 år siden til 2.000 kroner."
48000,53000," Så det vil sige, at den er om noget bæredygtig. Den er så også meget blå."
53000,59000," Men hvad skal vi tale om i dag? Jamen, vi skal jo tale om de her krabater, de her forfærdelige mundbind."
59000,64000," Jeg så, at TV2 havde lavet en megafonundersøgelse. Det er ikke en videnskabelig undersøgelse, det skal vi lige holde fast i,"
64000,73000," men det giver os dog et fingerpege. Og det viste, at 610 af os bruger de her helt forkerte, og mit gæt er, at det er mange flere endda."
73000,79000," Det vil sige, at vi bruger engang mundbindet otte gange, ti gange, flere gange dagligt."
79000,83000," Og det kan jo se, når jeg er ude omkring, så kommer den ned i lommen og op igen."
83000,87000," Så går folk med den under hagen. Jeg så også en, der havde den på oppe på hovedet."
87000,93000," Og så tit, så har folk den hængende hernede som sådan en hagestøtte. Kort sagt, det er noget, jeg er skræmmet."
93000,99000," Det, jeg lige vil sige i forhold til studiet, vi havde fra Rigshospitalet, der er det meget vigtigt at sige rent forskningsmæssigt,"
99000,105000," at hvis noget viser, at der er en signifikant forskel, så kan man regne med, at der er en forskel."
105000,111000," Men hvis noget viser, at der er en signifikant, ingen forskel, altså der ikke er nogen signifikant forskel,"
111000,118000," så viser det ikke noget. Og i det her tilfælde med mundbindene, der viste studiet faktisk fra Rigshospitalet,"
