start,end,text
0,2000," (Applaus)"
2000,10160," Historien fortæller hvad David engang"
10160,13360," I havde en god vens sjældentang"
13360,17080," Men musikeren der vidte virkelig"
17080,20960," Interesserede vel"
20960,22720," Den går sådan her"
22720,24480," En kvart, en kvind"
24480,26240," En molne nedgang"
26240,28080," Som ind og blindt"
28080,30080," Den slæne konge"
30080,33080," Synger halleluja"
33080,49080," (Halleluja, halleluja, halleluja, halleluja, halleluja, halleluja, halleluja)"
49080,52240," Det er det sommerstak"
52240,54160," Men der er griseis"
54160,58160," Og hun danser på tøjs"
58160,61160," Månen og hans skønhed"
61160,65160," Slår ham kuld"
65160,68840," Hun vanser til kønbord"
68840,70600," Hun brød hans mat"
70600,72240," Og hun skar hans ord"
72240,75920," Og fra hans læb og brug hun æter"
75920,94920," (Halleluja, halleluja, halleluja, halleluja, halleluja, halleluja, halleluja, halleluja)"
94920,98920," Ved du hvem jeg har været her for?"
98920,101920," Jeg håber det fik du i løbet af dagen"
101920,108920," Jeg har boet her da jeg lærte dig at kende"
108920,113920," Og jeg så dig marchere under flag og sång"
113920,116920," Men kærlighed er ikke en sådan skam"
116920,118920," Det er det mørklige løb"
118920,120920," For tyvler"
120920,123920," Halleluja"
123920,139920," Halleluja, halleluja, halleluja, halleluja, halleluja"
139920,143920," Der var en tyvler i musik"
143920,147920," Præcis hvad du følte indeni"
147920,153920," Men nu ser jeg kun en skygge derfra"
153920,158920," Men jeg husker dig, du vidste hende over mig"
158920,162920," Og himmelen viste os på vej"
162920,165920," På samme trædvejs, hvis ikke?"
165920,169920," Halleluja"
169920,184920," Halleluja, halleluja, halleluja, halleluja, halleluja"
184920,187920," Hvis ikke?"
188920,191920," Hvis ikke?"
192920,195920," Hvis ikke?"
195920,213920," Halleluja, halleluja, halleluja, halleluja, halleluja, halleluja"
213920,229920," Halleluja, halleluja, halleluja, halleluja, halleluja, halleluja"
229920,232920," Hvor sker der?"
232920,234920," Hvornår sker det?"
234920,244920," Hvornår sker det? Ja, hvordan er piger lige ved at bo lige af sig selv?"
244920,248920," De er herinde, i et klero"
248920,251920," En udrejt pige fra den sidste hoved"
251920,255920," De er koldt, og de er dine sammen"
255920,259920," Halleluja"
259920,274920," Halleluja, halleluja, halleluja, halleluja, halleluja"
274920,278920," Jeg gjorde det bedste, jeg kunne gøre"
278920,282920," Jeg ved ikke, hvad jeg følte, men jeg følte rød"
282920,288920," Jeg talte sandt, og jeg græd med, at det forsvindte"
288920,293920," Og selvom alt gik galt, alt hvad jeg gjorde var sandt"
293920,296920," Ved at stå foran Gud på den sidste dag"
296920,299920," Men jeg gad andet end at sige"
299920,328920," Halleluja, halleluja, halleluja, halleluja, halleluja, halleluja"
328920,336920," Halleluja"
336920,338920," *Applaus*"
