start,end,text
0,11000," Hej, så er jeg tilbage og kukkeluk. Jeg hedder Wim Kemalike, jeg er lærer i APUD, og så har jeg fundet det her corona helvede lige fra starten."
11000,20000," I dag er vi kommet ud i naturen, og ja, du har ret, jeg har en grøn mængd på i dag. Nu er det ikke en blå mængd, nu er det en grøn mængd."
20000,26000," Og det er også en, jeg har købt for en del år siden, genbrugt, og den er om noget bæredygtig."
26000,34000," Men det er ikke mængden, vi skal tale om, det kunne vi sagtens, men det er mutationerne, og det fører lige præcis til det her, hvad skal man sige, hysteri,"
34000,40000," der er omkring en britisk mutation, variant, en sydamerikansk, sydafrikansk, jeg kan slet ikke følge med, og det kan jeg nemlig ikke."
40000,49000," For ved du, hvor mange mutationer der er på SARS-CoV-2, altså den virus, som giver COVID-19? Der er tusindvis."
49000,57000," Den side, der hedder Gizayda, jeg skal nok lægge et link op, de lægger hele tiden de nye mutationer op, og det er mange, mange, mange tusind, der er."
57000,65000," Og det er sådan med virus, at de muterer, de muterer hele tiden, og typisk bliver de mere fredelige og mindre døde."
65000,71000," Og hvis vi ser på dagens tal med COVID-19, så er de meget, meget fredelige, og det har de sådan set været rigtig længe."
71000,76000," Og det regeringen gør, er at forblive helt ude af proportionen."
76000,84000," Fordi det vi til gengæld kan se, og det vi til gengæld ved, det er, at folk dør af rigtig mange ting, og meget mere end COVID-19."
84000,90000," De dør af hjertesygdomme, de dør af krebssygdomme, og en del begynder at dø af den behandling, de ikke har fået."
90000,97000," Sidste år, omkring 1. september, der var der aflyst 75.000 operationer i landet."
97000,106000," Og nu har jeg ikke de opdaterede tal, de har været lidt svære at finde, men det er i hvert fald faldskønsmæssigt lavet til 90.000 operationer dagligt."
106000,109000," Men de er jo ikke aflyst, fordi folk bare skulle have lavet et hammertog."
109000,114000," For nogle af dem har det jo handlet om alvorlige sygdomme eller noget, der kunne udvikle sig alvorligt."
114000,120000," Så min påstand, og det er en påstand, det er, at nu begynder vi at se de af COVID-19 aflægget dødsfald."
120000,123000," Altså ikke af COVID-19, men af restriktionerne."
123000,129000," Fordi folk er kommet for sent i behandling og er blevet diagnosticeret for sent, og ikke har fået de operationer, de havde brug for."
129000,132000," Og fordi de har mistet mod selvmord, for eksempel."
132000,137000," Vi er flere, der længe har forsøgt at få selvmordstallende for 2020."
137000,139000," Sjovt nok er de ikke til at få fat på."
139000,142000," Anyways, til dig vil jeg sige, få nu ro på."
142000,147000," Ha' fokus på fakta, ha' fokus på det, jeg fortæller dig, fordi jeg har fokus på én ting, og det er fakta."
147000,150000," Ha' ikke fokus på, hvad regeringen siger, de er faktaresistente."
150000,153000," Ha' ikke fokus på, hvad pressen siger, for de er altså også faktaresistente."
153000,158000," Der sidder nogle journalister, som, og det er ikke en kritik, og det er det jo nok alligevel,"
158000,162000," som har meget svært ved at forstå tal, som har meget svært ved at forstå fakta."
162000,168000," Jeg ved det selv, jeg har talt med nogen af dem i hvert fald, og derudover kan jeg læse, hvad det er for noget vås, de skriver."
168000,171000," Så tilbage til den britiske variant."
171000,175000," Vi har ingen dokumentation for, at den er mere smitsom."
175000,178000," Ingen overhovedet, der er ikke noget publiceret."
178000,180000," To, den er i hvert fald ikke mere dødelig."
180000,184000," Kort sagt, virus muterer hele tiden og igen."
184000,190000," Jeg lægger et link op, hvor du kan se, hvor mange tusindvis af mutationer, der er, og hvordan den muterer hele tiden."
190000,194000," Jeg vil ønske, og det er et ønske her i det nye år, at pressen,"
194000,200000," i stedet for at gå med på de her frygtfortællinger, i stedet for at gå med på de her eventyr eller gyser,"
200000,205000," der bliver lavet omkring Covid-19, så vil jeg ønske, at de var meget mere faktualt baseret."
205000,212000," For så kunne de sådan her tale den snak om en britisk variant ned, og så kunne vi få vores land tilbage."
212000,216000," Så lad os sammen glæde os over, at forstanden er ved at indhente flere og flere af jer."
216000,218000," Tak for det, og tak fordi I deler mine videoer."
218000,220000," Tak fordi I begynder at forstå."
220000,222000," Det er jeg meget taknemmelig for."
222000,226000," Men lad os holde fast i, at det, du og jeg skal have ud af en land og en regering,"
226000,230000," det er ordenlighed, det er ansvarlighed, og det er, at man har fokus på fakta."
230000,237000," Og fakta er, at virus muterer hele tiden og igen, og at virus typisk, som også er tilfældet med Covid-19,"
237000,241000," når vi ser på talene, bliver mere fredelig og mindre dødende."
241000,246000," Så skal vi ikke glæde os over det, og lad fakta og forstanden rode."
246000,249000," Kan du have det godt, min ven. Vi ses."
