start,end,text
0,13000," Så er jeg tilbage. Jeg hedder Vibe Kemannike. Jeg er læge. Jeg har en Ph.D., og så vil jeg i dag snakke lidt om det her med fodbold, med vaccinationer, med hjertestop på banen."
13000,23000," Jeg skal lige sige mig det samme, at jeg har jo i mange år interesseret mig faktisk for fodbold, specielt hos børn og syge osv."
23000,28000," Fordi fodbold er faktisk en rigtig god sport. Det gør også, at jeg har været involveret i nogle forskningsprojekter."
28000,36000," Min mand endnu mere. Min mand er jo professor i hjertesygdom, netop fordi fodbold er en rigtig god sport og en rigtig god livssport."
36000,44000," Det gør så også, at jeg har og har haft i mange år kendskab til, at det er velkendt blandt professionelle fodboldspillere,"
44000,49000," at man kan få det, vi sådan populært sagt kalder et sportshjerte, og at nogen så har fået rytmeforstyrrelser."
49000,56000," Vi har set nogle sager, meget sørgelige sager, med pludselig død på fodboldbanen med hjertestop."
56000,62000," Så på den måde kan man sige, at der er en særlig problemstilling omkring netop fodbold."
62000,71000," Jeg er også optaget af, og har været i mange år som læge i forhold til forebyggelse, at vi som meget gerne skal finde en livssport."
71000,78000," Altså en sport, vi dyrker så stor en del af livet som overhovedet muligt."
78000,85000," For mit eget tilfælde har det nej, ikke været fodbold, men tennis, og er det fortsat."
85000,88000," Jeg er brugt af en galt tennisbold, som man siger."
88000,96000," Så alt sammen for at sige, at jeg har en stor interesse i, hvad skal man sige, fodbolds sundhedsmæssig del."
96000,105000," Men tilbage til, hvad var det, der skete i lørdags, da Christian Eriksen faldt omkul, og Kortvej havde hjertestop?"
105000,108000," Det ved vi jo i bund og grund ikke andet, end at han havde hjertestop."
108000,112000," Det gode er, at han overlevde, og det var vidunderligt. Det er vi alle sammen taknemmelige for."
112000,116000," Men vi er også nødt til at have noget læring i det her."
116000,121000," Vi er nødt til at selvfølgelig sige, at monitoreringen af fodboldspillerne er god nok."
121000,124000," Det er der jo noget, der tyder på, at den ikke var."
124000,128000," Men hvad kan man gøre ved det? Det kan man gøre rigtig meget ved."
128000,130000," Og så er der selvfølgelig den anden del."
130000,138000," Jamen spørgsmålet, som mange har stillet, og jeg for så vidt også selv, er, at Christian Eriksen er vaccineret."
138000,144000," Og hvorfor er det så interessant, og hvorfor er det det første spørgsmål, jeg stiller mig selv, da det sker,"
144000,150000," og for så vidt også andre, inklusiv min mand og andre, tør jeg sige, dygtige læger."
150000,155000," Jamen det er jo selvfølgelig fordi, at der den seneste tid har været rigtig meget fokus på,"
155000,160000," blandt andet i USA, en for stor forekomst af hjertebetændelse,"
160000,165000," specielt hos unge og specielt hos yngre mænd, i forbindelse med vaccinerne."
