start,end,text
960,4220," Hej, hej. Så er fødselsdags-pigen tilbage."
4220,10840," Allerførst vil jeg sige tusind tak for alle jeres utrolige søde hilsener i går."
10840,14660," For alle jer, der kom. Jeg badet i et kærlighedshavn."
14660,16480," Ganske enkelt. Det var den følelse, jeg havde."
16480,20000," Det var sådan en dag, jeg havde håbet at få på min 60-års fødselsdag."
20000,24480," Og det var i den grad en endnu bedre dag, end jeg kunne drømme om."
24480,28400," Der var så meget kærlighed. Der var så meget ordenlighed."
28400,32000," Der var så meget rumlighed. Der var så mange gode kram."
32000,36860," Jeg elskede hvert et øjeblik. Og tusind tak til alle jeres, som kom forbi."
36860,39680," Tak til jeres, som var rejst hen over landet for at komme og hilse."
39680,42920," Det var meget rørende. Og jeg tager det med i hjertet."
42920,45980," Og det er afgørende for, at jeg kæmper videre."
45980,50360," Fordi, som vi også snakkede om i går. Jamen, jeg står hårdt på fakta."
50360,53440," Og det gør jeg fortsat. Men jeg har også brug for jeres støtte."
53440,56320," Jeg har brug for, at I liker. Jeg har brug for, at I sender hjerter."
56320,59680," Jeg har brug for, at I sender mig en lille virtuel kram engang imellem."
59680,62560," Og siger ""move on"" og ""bliv ved"" og ""gør det nu"" og ""hold fast""."
62560,65800," Fordi, det er det, der giver mig energi til at holde ved."
65800,71960," Og ja, det er også skønt, når I støtter os ved at købe vores smykker til julegaver osv."
71960,76120," Selvfølgelig er det det. Fordi, det er jo også en måde at vise os jeres omsorg."
76120,79600," Jeres kærlighed. Jeres opbakning til kritiske røster."
79600,84760," Så alt det varmer og luner og gør. Og det kan jeg love dig."
84760,92040," Jeg kæmper videre. Jeg bliver ved med at have et - ikke et skilleøje - et ensidigt fokus på fakta, fakta og fakta."
92040,94280," Og så elsker jeg, når jeg møder jer gode mennesker."
94280,95960," Jeg elsker, når I giver mig kram."
95960,100680," Jeg elsker, når I siger, at vi kæmper videre. Vi klarer det. Det går fremad. Det lysner."
100680,102400," Ellers så siger vi det til hinanden."
102400,106840," Og derfor vil jeg sige, det var så vidunderligt en dag."
106840,111480," Det var, som jeg sagde til min mand, da vi lavede os til at sove, så sagde jeg..."
111480,114560," Det var venner. Og det var kun venner."
114560,117960," Der var ikke... Nogle gange kan det være sådan lidt, at jeg forstod mig ret lidt tvangs."
117960,122480," ""Nå, nu er det hendes fødselsdag. Yes, yes, vi må til det igen. Hvad er klokken?"""
122480,128080," Det var kun venner. Og det siger jeg i nær forstand. Og det siger jeg i bred forstand."
128080,132080," Jer, som hører til mit hjerte. Jer, der er mit kærlighedsverden."
