start,end,text
0,13000," (Band spiller)"
13000,17000," Til alle jer der ikke er kommet, så må vi altså kæmpe for friheden derude."
17000,21000," Og det er ingen undskyldning uanset om du regner eller har ondt i mausen."
21000,24000," For hvis der er nogen der giver os ondt i mausen, så er det regeringen du."
24000,26000," Så er det regeringen der har givet os mavepine."
26000,30000," Så kom du med ud og kæmp min ven og giv den gas derude."
30000,36000," Og kræv ordentlighed, anstændighed, retfærdighed og julen tilbage."
36000,65000," (Band spiller)"
65000,67000," (Band spiller)"
67000,69000," Synge du bare med derude."
69000,85000," (Band spiller)"
85000,88000," Der er rigtig mange her. Hele strøget er fuld."
88000,110000," (Band spiller)"
