start,end,text
0,12000," Hej, jeg hedder Vilke Manneke, jeg er læge. Jeg har en socialmedicinsk PJD, og så har jeg i rigtig mange år beskæftet mig med smitsomme sygdomme, specielt i dagpasninger, daginstitutioner osv."
12000,24000," Jeg har beskæftet mig med, hvad fejler beskæftet mig med, hvad fejler befolkningen. Og så har jeg jo som sagt en socialmedicinsk PJD i en sjældent sygdom, og jeg har beskæftet mig med sjældent sygdom i rigtig mange år."
24000,32000," Det er jo det gode budskab. Du er sådan set kommet til den rette, fordi covid-19 er blevet en meget sjældent sygdom."
32000,44000," De sidste døgn, de sidste tal, vi havde, der var det 40 ud af 9.000 eller 10.000, kort sagt, et sommer. Så det gode budskab er, at covid-19 er blevet en meget, meget sjældent sygdom."
44000,52000," Det betyder også, at som jeg plejer at sige, du skal ikke være bange. Det er over. Og lad os lige holde fast i det med at være bange."
52000,63000," Fordi jeg ved, rigtig mange af jer derude har her, da statsministeren den 11. marts valgte at lukke ned, og de besluttede det den 12. marts, der har rigtig mange af jer været kede af det, triste."
63000,73000," Nogle af jer faktisk har udviklet både depression og angst. Det har I været, fordi I er blevet isoleret. I har ikke kunne besøge dem, I holdt af. I har ikke kunne rejse. I har ikke kunne bevæge jer."
73000,85000," I har ikke kunne være på jeres arbejde med jeres gode kære, elskede kollegaer. Og så har I været bange for, er med god ret bange for, hvad skal der ske for jeres arbejde, jeres virksomhed, hvad skal der i det hele taget ske?"
85000,93000," Og dem af jer, der er og er blevet alvorligt syge, jamen I har været bekymret for, om I kunne få den behandling, den udredning i tide og så videre."
93000,104000," Og sannheden er jo, at den største sygdom i alt det her, det har været frygt. Regeringen har bygget deres indgreb på frygt, og den frygt har smittet befolkningen."
104000,114000," Det er om noget, den smittesom sygdom. Men her på Grundlovsdag, der synes jeg, det er anledningen til, at vi for det første glæder os over, at vi lever faktisk i en demokrati."
114000,124000," Vi har nok rigtig mange af os været i tvivl om de sidste tre måneder, fordi vi har jo haft en statsminister, eller har en statsminister, der helt åbentligt ikke har tillid til befolkningen."
124000,131000," Hun har ikke troet, at vi kunne tænke selv og agere, som vi skulle, hvad skal hen og alt det. Så hun har lagt et jerngræb ned over os."
131000,144000," Så har hun heller ikke set sig for god til at udskamme dem af os, som ikke gjorde det, vi skulle. Så har man jo stillet sig frem og om noget udskammet dem, der ikke gik i takt."
144000,152000," Så på rigtig mange grunde har rigtig mange af os følt, at vores ytringsfrihed blev krænket, at vi blev underlagt censur."
152000,159000," Vi kan se i forhold til medierne, at en del af medierne har jo næsten været en del af regeringspropagandamaskinen."
159000,164000," Det er for eksempel. Det har jeg personligt oplevet i flere omgange osv."
164000,168000," Så her på Grundlovsdag, der er det vigtigt for det første, det er meget vigtig budskab."
168000,171000," Det er over. Du skal ikke være bange."
171000,178000," To. At vi selvfølgelig som befolkning må stille krav om, at grundloven den værner vi op."
178000,184000," Det vil sige, at der skal meget, meget alvorlige grunde til, at man indskrænker vores rettigheder,"
184000,189000," som man jo har haft gjort meget massivt de sidste tre måneder og faktisk fortsat gør."
189000,194000," Det er ikke i orden. Og det er slet ikke på så spil på spil en grundlag, som det har været."
194000,199000," Eller man kan sige, at da statsministeren valgte at lukke landet, det gjorde hun ud af frygt."
199000,205000," Og man kan sige undskyld hende til dels, for jamen hun havde ikke data. Det havde hun så, men lad det nu være."
205000,210000," Men de data kom jo lydhurtigt, at vi var ikke på vej ind i en bravende epidemi."
210000,213000," Der var intet, der gjorde, at sundhedsvæsenet blev lagt ned."
213000,218000," Jo, det blev det. Fordi regeringen lagde det ned. Fordi de satte alt i bero."
218000,221000," Men ikke på grund af covid-19. På grund af frygten."
221000,226000," Men så kom data, kan man så sige. Det kunne godt være, at de var lidt langsomme om at forstå dem."
226000,230000," Det kunne godt være, at de lige skulle have de rigtige briller på, og nogle af dem lige skulle fortælle,"
230000,237000," at 2 og 2 er 4, men så derefter var der ingen, og der er ingen undskyldning for at holde landet lukket fortsat."
237000,244000," Så jeg forventer, at man nu her, og ikke mindst også i Grundlovens klare skær, erkender et sober,"
244000,251000," der er ingen grund til at holde noget som helst lukket. Du kan åbne grænserne, du kan åbne fitnesscenterne, du kan åbne alt."
251000,256000," Og så skal vi lære af det. Så skal vi lære af det, at aldrig igen 12. marts."
256000,261000," Der kommer uden tvivl en anden covid-19 eller noget andet, som vi skal være bekymret for at bevare os."
261000,269000," Så skal vi ind og steppe op på håndhygiejne, gå udenfor, holde de syge hjemme, beskytte de sårbare osv."
269000,276000," Alt det, som vi i virkeligheden har gjort i rigtig, rigtig mange år, og forstået at gøre, blandt andet i vores dagpasninger."
276000,283000," Jeg tror også præcis det med dagpasningerne har gjort, at jeg retfærdigvis var så klarsynet fra starten."
283000,288000," Fordi det er i virkeligheden det, vi har gjort og gør i rigtig, rigtig mange år."
288000,295000," Når vi f.eks. i januar og februar har haft ophobling af smitsomme sygdomme, så har vi en fuldstændig snorlivplan."
295000,299000," Og den plan kunne vi uden problemer have overført til hele befolkningen."
299000,304000," Jeg kan så se, at Sundhedsstyrelsen var enig at forsøge det samme, men der var en regering, der ikke ville lytte."
304000,309000," Og sådan er det. Og det betaler vi for, og det kommer vi til at betale rigtig mange år fremad."
309000,314000," I forhold til vores økonomi, i forhold til vores sundhedsvæsen, i forhold til vores sociale netværk osv."
314000,317000," Så det har meget ærgerlige omkostninger."
317000,320000," Men tilbage til grundloven og tilbage til i dag."
320000,324000," Mit budskab til dig er, derovre, du skal ikke være bange."
324000,329000," Og så gå ud og leve livet. Gå udenfor. Vær udenfor så meget som muligt."
329000,336000," Vi ved, at foråret er vores ven. Vi ved, at solen ikke mindst er med til at slå virus i hjælp meget hurtigt."
336000,340000," Det gælder ikke kun covid-19. Det gælder andre virer og bakterier."
340000,344000," Det er en viden, vi har haft i mange, mange år. Jeg tror faktisk over 100 år."
344000,346000," Det var også med til at give en Nobelpris."
346000,351000," Så anyways. Ud og nyde livet. Ud og kæmp for dine rettigheder. Vores rettigheder."
351000,353000," Og ikke mindst kæmp for fællesskabet."
353000,358000," For du og jeg, vi er faktisk en væsentlig del af fællesskabet. Og du og jeg, vi har altså også en stemme."
358000,361000," Så tilbage til dig. Tilbage til mig."
361000,363000," Vi skal ikke være bange. Det er herovre."
363000,368000," Og kan du have en rigtig god grundlovsdag. Gå ud og fejre den. Og giv den en knaldperle."
368000,372000," Og sige yes. Vi lever stadigvæk i et demokrati."
372000,374000," Kan du have det godt. Hej hej."
374000,376000," Tak for i dag."
