start,end,text
0,8560," Så er det grundlovsdag, og jeg siger hjertelig velkommen til jer alle sammen og til hele Hæbekoret."
8560,17920," Det er dejligt at se både jer, der er med her live, og det er dejligt at se jer, som er her."
17920,22120," Jeg skal lige sikre mig, at alt er vel. Den er igennem. Yes."
22120,27360," Jeg vil godt lige holde en grundlovstale her på grundlovsdag."
27360,31120," Hvorfor vælger jeg det? Jo, fordi jeg synes, det er så utroligt vigtigt."
31120,38440," Jeg hedder Vibke Madike, jeg er læger, jeg har en Ph.D., og så står jeg faktisk inde i vores familievirksomhed,"
38440,41800," vores smøgebutik, Jules C.B.H., inde på Østerbro."
41800,45800," Og vi tager lige igen. Velkommen til alle jer."
45800,48480," Ja, det er dejligt. Helt alene er man ikke."
48480,53440," Og jeg vil også sige, at helt alene er vi jo ikke, fordi det rigtig gode budskab er jo,"
53440,57120," at flere og flere af os og jer vågter op, og det er rigtig dejligt."
57120,61000," Så derfor vil jeg også bede om, når den her taler om at være sød, at dele den,"
61000,65040," så vi får vækket flest muligt derude."
65040,67880," På grundlovsdag synes jeg, det er vigtigt, at vi snakker om grundloven."
67880,71240," Og hvad er det for nogle ting, vi har fået indskrænket det sidste år?"
71240,74880," Havde du spurgt mig før coronakrisen omkring grundloven, så ville jeg sagt,"
74880,79760," jamen, vi har jo den ukendelige personlige frihed, vi har ytringsfrihed,"
79760,83240," vi har alle de værdier, som grundloven sikrer os."
83240,84480," Der tog jeg fejl."
84480,88640," Hvis vi starter med ytringsfriheden, jamen, det har jo været meget tydeligt det sidste år,"
88640,91880," at vores ytringsfrihed har været indskrænket i ekstrem grad."
91880,97040," Det kan jeg personligt sige, jeg har været og er i meget stor grad censureret."
97040,103240," Og det har jeg været, fordi den kritiske stemme, den har ganske egentlig ikke passet ind i narrativet,"
103240,107960," den har ikke passet ind i regeringens fortælling, ej heller pressets fortælling."
107960,114480," Det betyder, at pressen har glemt et rigtig godt og nødvendigt fundament i god presseskik,"
114480,120400," nemlig, at du lader begge sider komme til, at du kigger på en sag fra begge sider."
120400,122400," Det har været fuldstændig vildt."
122400,125920," Hvis pressen har skulle intervjue nogen om en eller anden særlig coronaproblemsting,"
125920,129840," kunne de godt finde på at tale med fire forskellige igårsagende eksperter,"
129840,131720," men alle sagde det samme."
131720,134520," Det har, og hedder en ting, censur."
134520,141040," Vi har oplevet det på de sociale medier, vi har oplevet det på Facebook, vi har oplevet det på LinkedIn,"
141040,148560," vi har oplevet det på Twitter, det her med, at Big Tech i langt hen ad vejen også har censureret."
148560,150160," Hvad var fake news?"
150160,154720," Det er jo interessant at se, at på fake news, at nu, hvor før, hvis man delte noget omkring,"
154720,158880," at virus kunne have været undsluppet fra Wuhan, så er det fake news."
158880,164480," Det har de så ændret, og det siger jo lidt om, hvor problematisk den her censur har været."
164480,169400," Og hvor meget vi i et demokrati har brug for ytringsfriheden."
169400,175880," Vi har brug for retten til at være uenige, men vi har også brug for, at kritiske røster,"
175880,180320," som for eksempel min egen, bliver lyttet til, og i hvert fald får tale til."
180320,187480," Og der har vi og jeg været ekstremt censureret det sidste, faktisk siden marts 2020."
187480,191480," Så ytringsfriheden har vi meget at kæmpe for."
191480,199960," Og skal vi kæmpe for, at vi får lov til at sige og mene og føle og tænke netop de grundlovssikrede rettigheder,"
199960,207600," så kommer den personlige, den ukrænkelige personlige frihed, som jo også fremgår af grundloven."
207600,212840," Den har vi også fået indskrænket og krænket i min øjen i meget stor grad."
212840,213880," Jamen hvorfor?"
213880,216880," Jamen for eksempel sådan noget med, at vi kan tage coronapasset."
216880,221400," Det er jo ikke rimeligt, at hvis jeg skal på en restaurant eller til en koncert,"
221400,224000," at jeg skal vise noget som helst for at komme ind."
224000,228680," Og endnu mindre, at jeg ikke må komme ind, hvis ikke jeg har coronapasset."
228680,233920," Jamen der er jo et eller andet fuldstændig sygt, diktatorisk, totalitært i den tanke,"
233920,238800," at for at du kan få adgang, eller jeg kan give dig adgang, hvis jeg nu var restaurationsejer,"
238800,245480," så skal du kunne dokumentere, at du blev testet eller vaccineret osv."
245480,250800," Det har man selvfølgelig gjort for at give det, jeg kalder en vaccineklemme på befolkningen."
250800,253720," Fordi når jeg hører folk, hvorfor de bliver vaccineret,"
253720,257520," nu taler vi ikke om ældre, udsatte og kronisk syge, men om de yngre,"
257520,262120," så siger de jo alle sammen, uden undtagelse, fordi så kan jeg rejse."
262120,268120," Jamen jeg har da aldrig hørt før, at noget som skulle have en betydning for sundhed,"
268120,270120," alene handler om, at vi skal kunne rejse."
270120,271720," Det er en vaccineklemme."
271720,275560," Jeg er glad for vacciner. Jeg har kæmpet for rigtig mange vacciner,"
275560,278600," når det handler om alvorligt dødelige sygdomme."
278600,283560," Men her, hvis den eneste grund til, at man bliver vaccineret, det er for, at man skal rejse,"
283560,289720," så er vi jo tilbage til præcis, at vi har fået indskrænket vores personlige frihed"
289720,293880," under den bekostning, at her man skulle vaccineres, eller hvad det nu var."
293880,298520," Så corona-passet er et godt eksempel på, at vores personlige frihed bliver krænket."
298520,305160," Det samme kan man se i forhold til virksomheder, hvor der har været ekstreme nedlukning i sig selv."
305160,310520," Restriktionerne har jo været meget, meget grov indgreb på netop den personlige frihed,"
310520,312520," og er det, for så vidt fortsat."
312520,316520," Men jeg synes, at vi her, Grundlovsdag, skal kigge fremad."
316520,321080," Jeg synes, det er vigtigt, at vi ligesom siger, hvad er det for et samfund, vi vil have?"
321080,324520," Hvad er det, der skal ske fremadrettet? Hvad er det, vi vil nu?"
324520,329480," Fordi corona, det var altså bagud, nu skal vi se fremad."
329480,334520," Så det første konkrete råd, jeg vil give til dig, det er, glem corona-tallene,"
334520,336520," eller vær med at holde øje med dem. Glem det."
336520,340520," Kig fremad. Begynd at gå ud og se mennesker."
340520,347320," Som min mand sagde meget rigtigt i morges, rigtig mange af os skal have trænet vores sociale muskler."
347320,353320," Og det er et meget godt udtryk, fordi vi har egentlig vennet os til at sidde og Netflixe,"
353320,357320," og sidde på vores hjemmekontor, så rigtig mange faktisk har fået social angst."
357320,361320," Så vi er nødt til, du er nødt til at gå ud og træne dine sociale muskler."
361320,365320," Du er nødt til at gå ud og begynde at interagere med andre mennesker."
365320,369320," Du er nødt til at begynde at feste, og lege, og danse, og kysse, og kramme."
369320,373320," Du er nødt til at få genoplevet, hvad livet i bund og grund handler om."
373320,377320," Og så er du også nødt til at vække omgivelserne."
377320,383320," Jeg møder stadigvæk også nogle af mine venner, som desværre stadigvæk sover."
383320,386320," Og der kan man godt nogle gange blive lidt frustreret."
386320,390320," Jeg kan i hvert fald sige, hvorfor fanden er I ikke vågnet op?"
390320,392320," Hvorfor har I ikke lyttet? Hvorfor har I ikke forstået?"
392320,397320," Men som en forstandig rigtig sagde til mig, folk er jo nødt til at begynde at forstå."
397320,400320," Du er nødt til at blive ved med at forklare, og det er du også."
400320,404320," Så det betyder, at selvom vi nogle gange kan miste mod det lidt og tænke,"
404320,408320," skal vi sige til det igen, at ja, det skal vi."
408320,413320," Vi er nødt til at få oplyst vores venner, vores netværk, vores kollegaer."
413320,416320," Vi er nødt til at blive ved. Så du er nødt til at blive ved."
416320,421320," Du må ikke opgive. Du er nødt til at blive ved med at dele videoer som den her og alt muligt andet."
421320,424320," Du er nødt til at spikke op."
424320,428320," Det sidste, jeg vil sige, det er, hvad er det så, vi skal have?"
428320,432320," Fremadrettet skal vi stille krav om transparens."
432320,436320," Vi skal stille krav om merit, altså at man lytter til fagkundskaben,"
436320,442320," og at man ikke tager så væsentlige beslutninger som f.eks. at nedlukke et land og bygge det på noget politik."
442320,447320," Vi skal stille krav om, at fagkundskaben kommer i forreste række, når det er væsentlige beslutninger,"
447320,450320," f.eks. i forhold til en folkesundhed."
450320,453320," Vi skal stille krav om proportionalitet."
453320,457320," Der har ikke været, der er ingen proportionalitet i den nedlukning, man har lavet."
457320,461320," Det har haft og vil have ekstreme omkostninger for folkesundheden."
461320,468320," Vi bliver tykkere, vi drikker mere, vi bliver mere inaktive, vi bliver mere syge, vi bliver diagnostiseret for sent osv."
468320,471320," Ekstremt stor betydning for landets økonomi."
471320,473320," Det er jo fuldstændig horribelt talt."
473320,476320," Pengene fosser ud af knaphullerne."
476320,481320," Så vi er nødt til fremadrettet at stille krav om, at det er proportionalitet,"
481320,485320," at man forholder sig til fakta, til fagkundskaben,"
485320,488320," at pressen agerer som den færre statsmagt,"
488320,490320," at pressen agerer kritisk,"
490320,493320," at pressen giver plads til kritiske røster"
493320,497320," og ikke kun er en skødehund for regeringen, som jo har været tilfældet."
497320,501320," Og så er vi også nødt til selvfølgelig at sikre,"
501320,507320," at fakta kommer til at styre og ikke jagten på frygt og jagten på magt."
507320,511320," Og så sidst, men ikke mindst, når vi nu taler om grundloven,"
511320,516320," så er vi altså nødt til at få sikret, at man ikke en anden gang på den måde"
516320,520320," og på så lille og ubetydelige grundlag, som corona ind og væk var,"
520320,526320," kan få indskrænket vores rettigheder, som har været tilfældet det sidste halvandet år"
526320,528320," og jo faktisk fortsat er."
528320,530320," Så det skal vi kæmpe for her på Grundlovsdag,"
530320,536320," men vi skal også kæmpe for, at vi får vores grundlovssikrede rettigheder tilbage."
536320,538320," For vi har dem ikke lige nu."
538320,543320," Så med det vil jeg flage med fladet og sige jub-jubi!"
543320,547320," Yes! Og så skal vi ud og genvinde friheden."
547320,551320," Kan du have det godt, min ven. Vi ses. Hej hej."
