start,end,text
0,4000," Så er jeg tilbage. Jeg hedder Vilkemanike Jarlæge."
4000,8000," Jeg havde lovet at gå på klokken 15, men jeg havde lige udstået med min fotograf."
8000,12000," Han kom lidt for sent til opgaven. Jeg ved ikke, om han kom lige fra et andet pressemøde."
12000,15000," Det kan være. Men her er vi i hvert fald. Vilkemanike hedder jeg."
15000,20000," Læge. P.O.D. Og så har jeg selvfølgelig følt fuldt dette corona-hemvede lige fra starten."
20000,25000," Og jeg vil i dag bare lige tage fat på det her maskeshow, hvis vi kan kalde det det."
25000,27000," Eller maskesvinneri, kalder jeg det."
27000,32000," For det første vil jeg lige... Lad os lige tage fat i tallene. De er umådeligt fredelige."
32000,36000," Når du tester næsten 60.000, hver gang man har gjort det sidste døgn, så finder du selvfølgelig også flere."
36000,41000," Selvom der forholdsmæssigt ikke er flere, der er faktisk et lille fald fra i går."
41000,47000," I går var der af dem, der var testet hjældt og positiv, der var det 1,68% i dag."
47000,52000," Det er nede på 1,63%. Og i forårs var det faktisk op omkring 1,99%."
52000,56000," Så det er faktisk i hvert fald ikke stigende og faktisk en lille smule faldende."
56000,58000," Det er nu hver dagens gode budskab."
58000,64000," Lad os lige tage fat på de her famøse mundbindmasker, eller som I kaldte det, lortebind."
64000,66000," Nu skal jeg fortælle dig noget."
66000,73000," I den virkelige verden, der står man altså ikke sådan her og gør det helt korrekt og kommer den på, som man nu skal."
73000,78000," Ej, i den virkelige verden, så gør man sådan her. Man folder den sammen, man kommer ned i lommen,"
78000,83000," og så ser man et bus eller et eller andet, og så kommer den ellers op, så fungerer man med den,"
83000,88000," fætter rundt med den, kommer den rigtige farve og den forkerte farve, og så kommer den ellers på."
88000,95000," Det vil sige, når vi går med sådan en her, der er faktisk en del undersøgelser omkring forureningen af de her masker,"
95000,100000," når det kirurer. Og det viser sig, at de faktisk ikke skal have brugt dem ret mange timer før."
100000,106000," De er møghamrende kontamineret og beskidtet med afføringsbakterier, med virus,"
106000,112000," med alt muligt ægelskram, kort sagt møgbeskidtet, og man risikerer at smitte sig selv."
112000,118000," Prøv lige at tænke på dig selv. Du tager sådan en base her på. Du har i forvejen på dine små jazzhals der,"
118000,123000," de er fuld af afføringsbakterier, af bakterier i det hele taget, og virus, og så vil du sige,"
123000,126000," nej, hvad skal du ikke hen og jo, det gør jeg, men det er ikke sikkert, du gør det."
126000,130000," Sådan er det så at forstå, at hvis jeg rører det samme sted, som du har rørt,"
130000,134000," eller en anden har rørt, der har beskidt eller smittet, så bliver jeg også smittet."
134000,140000," Det næste er så, at der hvor vi primært smittes, når vi smittes for eksempel med COVID-19 eller andet skrammel,"
140000,143000," det er via mund eller næse eller øjne osv."
143000,148000," Det betyder, at nu har jeg den her fuldstændig møgbeskidte mundbind på,"
148000,153000," så tager jeg den her ind, og så giver jeg den en genoldig attyv, tyv, tyv, tyv,"
153000,158000," spytter og hakker ind i den her, ned i lommen med den, og op igen senere."
158000,163000," Ja, det er jo noget forfærdeligt skrammelt. Det er så umådeligt ulækkert, som noget kan være."
163000,169000," Og så kan det godt være, at nogen af jer ikke går rundt med sådan en boks på 20 helt friske mundbind,"
169000,172000," men størstefart, jeg holder øje med, er derude."
172000,175000," I har den altså sådan her, fåler og fangler ned i lommen."
175000,179000," Jeg så sågar hende putte den ned i sin po, blandt alle de beskidte penge."
179000,181000," Hvad er det, jeg forsøger at sige?"
181000,186000," Det er, som der også var en, der sagde, det at komme befolkningen i masker, det er en dehumanisering."
186000,189000," Det er jo en indkrænkelse af vores frihedsrettigheder."
189000,192000," Kan man og må man overhovedet, det er i grundloven."
192000,198000," Det næste er, der er overhovedet ingen skabelig dokumentation for, at det på nogen måde virker i det offentlige rum."
198000,200000," Jeg vil sige tværtimod."
200000,204000," Vi ved fra Rigshospitalens studie, som sjovt nok åbenbart er så kontroversielt,"
204000,207000," at det ikke har fundet vej til at blive publiceret endnu."
207000,210000," Der ved vi efter alt at dømme, at det viser, at det ikke virker."
210000,213000," Og vi ved i hvert fald, at vi har ingen forskning, der bekræfter,"
213000,219000," at sådan en frækker her i det offentlige rum på nogen måde beskytter nogen som helst."
219000,224000," Til sidst min fotograf, Utramod, jeg tror han skal videre til et andet pressemøde."
224000,229000," Der vil jeg lige sige, at den lille badge, som jeg ved en del af, har at bruge på tøjet."
229000,232000," Jeg lægger lige et link op. Den er jo blevet vanvittigt populær."
232000,235000," Det er sådan en, hvor der står, at mit helbred gør jeg ikke bærer mundbind."
235000,239000," Og det betyder for dem af jer derude, der ikke kan tåle at bære mundbind,"
239000,243000," det kan være fordi I har vejrtræningsproblemer, astma, det kan være fordi I har udslægt,"
243000,247000," det kan være fordi I har klaustrofobi eller angst, eller bliver utilpas,"
247000,251000," og jeres helbred ikke tillader at gå med sådan et edelt stykke mundbind der."
251000,254000," Jamen, så kan man bruge sådan en, fordi man har faktisk undtaget,"
254000,259000," også ifølge retningslinjerne, hvis ens helbred fysisk som psykisk ikke tillader det."
259000,263000," Og det er alene på tro og lov. Du skal ikke have en lærerklæring eller noget."
263000,266000," Vi tror selvfølgelig på dig. Og det betyder, tager du sådan en på,"
266000,271000," jamen så kan vi andre se, håh, du kan ikke tåle maske eller mundbind,"
271000,273000," fair nok, og det er så i orden."
273000,277000," Men det vil jeg sige, ved du hvad, det her, det er så umådeligt, ulækkert."
277000,280000," Og der findes ingen videnskabelig dokumentation for, at det virker."
280000,282000," At det virker i det offentlige rum."
282000,285000," Skal vi ikke til at stille krav til vores politikere om,"
285000,289000," at vi vil have fakta, vi vil have viden, vi vil have videnskabelig dokumentation,"
289000,296000," snarere en mavepånævelse og forsøg på at holde befolkningen i sin hjernenæve"
296000,299000," og omgå demokratien og frygt."
299000,302000," Vi vil ikke mere. Kan du have det godt. Hej hej."
302000,307000," Undertekster af Amara.org fællesskab"
