start,end,text
0,10000," Så er jeg ved at være parat til, at vi skal ses til en demonstration her klokken fem herinde ved Bertel Thorvaldsens plads ved Christiansborg."
10000,14000," Og det skal vi, fordi at du og jeg, vi sætter pris på friheden."
14000,20000," Og den har nu været taget fra os af de sidste 11 forbandede måneder, og nu skal der altså slutte."
20000,24000," Vi skal protestere, vi skal bruge vores grundlovsret,"
24000,31000," vi skal holde fast i, at grundloven sikrer os den personlige frihed, den okrænkelige personlige frihed."
31000,37000," Og det er faktisk den, som statsministeren, vi står i regeringen, igen og igen har indskrænket."
37000,40000," Det er ikke i orden. Og derfor skal vi sende et klart signal,"
40000,45000," nemlig at ikke alene vil vi have julen tilbage, men vi vil have restriktionerne rullet tilbage."
45000,49000," Og det gode budskab er, og det skal vi jo glæde os over,"
49000,54000," nemlig at covid-19 efter alle døm, åh jo, den er der da, bevares."
54000,59000," Men vi så jo lige så sent som i går, havde Bragt, eller det gør BTV stadigvæk,"
59000,64000," en artikel om, hvor markant stort fald der har været i kraftdiagnoser."
64000,69000," Det er ikke fordi, man er blevet helbredt, det er fordi, at kraftdiagnoserne er blevet forsinket."
69000,75000," Fordi at man har prioriteret covid-19 foran for eksempel alvorlig dødelig kraftdiagnose,"
75000,79000," foran alvorlig dødelig hjertesygdom osv."
79000,84000," Der kan vi tale om folkesundhed. Der kan vi tale om, at folkesundheden bliver udfordret."
84000,88000," Og den respekt for folkesundheden, den har vores statsminister ikke."
88000,93000," For havde hun det, så havde hun ikke udsat befolkningen for den her nedlukning igen og igen."
93000,97000," Så havde hun ikke udsat befolkningen for de her grove restriktioner."
97000,100000," Så havde der været proportioner i indsatsen."
100000,105000," Og det er den manglende proportionalitet, jeg hele tiden har efterlyst at gøre igen."
105000,108000," Men anyways, jeg glæder mig til at se dig."
108000,112000," Jeg glæder mig til, at vi skal gå med vores nissehure."
112000,116000," Jeg glæder mig til, at du kan finde mig derinde, fordi jeg har den blå mængd på."
116000,121000," Du ved min bærebare mængd, jeg gav 2044, var det 15 år siden. Så den er bæredygtig."
121000,125000," Du behøver sikkert have noget blåt på, du skal egentlig bare komme med dit høje humør,"
125000,128000," havde jeg nær sagt, dit frihedselskende humør."
128000,135000," Og så går vi en tur fra Bertel Thorvaldsens plads, op gennem Strøget, op til Rødhuspladsen og til BAUS igen."
135000,139000," Nogle af jer har foreslået, og det synes jeg er en rigtig god idé, at man kunne synge nogle sange."
139000,141000," Hurra for det, det synes jeg er fint."
141000,147000," Men vigtigst af alt er, at vi ser hinanden, at vi mødes og at vi sender et meget klart signal til regeringen,"
147000,150000," om at vi vil have vores frihed tilbage."
150000,154000," Vi vil have ordentlighed, anstændighed, ansvarlighed, proportionalitet."
154000,157000," Og så vil vi have respekt for folkesundheden."
157000,163000," Og respekt for folkesundheden, det er respekt for krabbsyge, mulige krabbsyge, hjertesyge, mulige hjertesyge,"
163000,166000," psykisyge, udsatte, børn."
166000,169000," Børn, der nu sidder hjemme og kukker lure, de stakler."
169000,177000," Børn, som er blevet sendt hjem på trods af, at vi har ingen som helst evidens for, at det virker på nogen måder."
177000,182000," Ensomme, flere og flere bliver ensomme, rigtig mange af os skriver til mig på forskellige veje,"
182000,184000," og det er rigtig, rigtig trist."
184000,190000," Og så skal vi slippe af med dette maske-mundbindstyrani,"
190000,194000," eller som en meget rigtig kaldte det, en mundkåb på befolkningen."
194000,199000," Og det er det jo, fordi vi har jo nu meget klar evidens for fra Ryshospitalet studie,"
199000,204000," at der er ingen forskel, signifikant forskel på,"
204000,206000," om man bruger mundbind eller ej i forhold til en smitte."
206000,211000," Ved du hvad, så læg det, mundbind, fordi der er ingen signifikans for det."
211000,216000," Det er at forblive sepet, det er at forblive i mundkåb, og det er ikke i orden."
216000,221000," Vi har en grundlov, vi har en grundlovsret i forhold til vores frihed,"
221000,225000," og det er den, vi skal kræve respekteret overhold."
225000,227000," Og så lad os bare snakke om folkesundheden,"
227000,232000," for den er omnået troet disse dage på grund af de her voldsomme restriktioner,"
232000,236000," som regeringen har udsat dig og mig og vores for."
236000,239000," Så jeg håber, at vi ses her kl. 17."
239000,243000," Jeg håber, at du lige kommer hen og giver mig et knus og en kram,"
243000,244000," og vi lige får en snak."
244000,247000," Jeg ved, at rigtig mange af jer har allerede meldt, at I kommer,"
247000,248000," og det glæder jeg mig utrolig meget til."
248000,252000," Tag endelig alle, der kan gø og gab med, som er frihedselskende,"
252000,255000," fordi alle, alle, alle er velkomne."
255000,260000," Uanset hvilken parti, man stemmer på, uanset hvilken tro eller ikke tro, man har,"
260000,263000," uanset om man er tyk eller tynd, høj eller lav."
263000,267000," Alle frihedselskende mennesker er hjertelig velkomne,"
267000,269000," og jeg glæder mig til at se jer alle sammen."
269000,272000," Og jeg ved, at mange af jer kommer på snarlig gensyn."
272000,276000," Vi ses, og del meget gerne, så vi kan blive så mange som muligt."
276000,279000," Hej, hej. Kl. 17. på Bertel Thorvaldsens plads,"
279000,283000," og den er selvfølgelig politikudkendt og gudkendt af Københavns Kommune osv.,"
283000,286000," så alt er i sin skønneste orden."
286000,288000," Vi ses derinde. Hej, hej."
289000,293000," Københavns Kommune osv."
293000,295000," [Skål]"
