start,end,text
0,12000," Så er jeg tilbage, jeg hedder Vibeke Mannike, og jeg vil lige skynde mig at lave en lille live omkring vaccination af børn."
12000,16000," Fordi nu kører den lidt det her med, skal børn og mindre børn vaccineres."
16000,22000," Og der er jeg altså nødt til, hvis jeg på nogen måde kan, at trække ned bremsen og sige, nej nu stopper vi."
22000,27000," For det første vil jeg sige, nu taler vi om en vaccine, jeg vil egentlig hellere kalde det en eksperimentel behandling."
27000,31000," Fordi det er jo en eksperimentel injektion, sådan er det."
31000,36000," Når man har kaldt det en vaccine, så er det jo i virkeligheden en effektiv nodging."
36000,42000," Nemlig at man lægger vaccinen, hvad skal man sige, hatten ned over det hele, og vi tænker, uh jeg skal have en vaccine."
42000,49000," På samme måde som hvis vi skal have andre vacciner, hvor vi jo traditionelt er meget tillidsfulde."
49000,57000," Jo blandt andet fordi de vacciner vi gennem tiden har introduceret, blandt andet i børnevaccinationsprogrammet, har jo været aftestet, afprøvet."
57000,63000," Vi har kendt bivirkninger, vi har haft de sædvanlige sikkerhedskrav til dem osv."
63000,68000," Her i forbindelse med corona, der er vi jo nødt til at holde fast i, at det er en eksperimentel injektion."
68000,76000," Og et er hvad man får voksne til, og hvad man overtaler voksne til, og hvad man presser, truer, chicanerer, udskammer voksne til."
76000,80000," Der er det trods alt voksne, som kan tage vare, eller børn kan jo tage vare på sig selv."
80000,85000," Men når det gælder børn, så er der faktisk nogle helt specielle krav."
85000,90000," Ikke mindst i forhold til behandling af dem, og ikke mindst i forhold til afprøvning og testning osv."
90000,94000," Meget, meget skarpe krav, som selvfølgelig skal overholdes."
94000,102000," Og det betyder også, at børn er jo beskyttet af børnekonventionen, der hurra for det, kan man sige."
102000,104000," Men den er vi altså nødt til at respektere."
104000,112000," Og det betyder, at der er meget skarpe krav, bl.a. til testning af medicin, og bl.a. hvad man må eller ikke må udsætte dem over for."
112000,115000," Herunder, at man ikke må udsætte børn over for overgreb."
115000,119000," Det vil altså hverken fra forældrens side, end fra samfundets side."
119000,129000," Alt sammen for at sige, at når man nu begynder at tale om, og også mindre børn, jeg mener heller ikke 12-17-årige burde vaccineres."
129000,131000," Det kan jeg slet ikke se. Jeg kan slet ikke se data for det."
131000,139000," Men lad det nu være. Når man nu også begynder at overveje de yngre børn, så må man sige, at det er gag i låget."
139000,141000," Det er et overgreb på børnene."
141000,150000," Det er ikke noget, vi på nogen måde finder nogen som helst videnskabelig dokumentation for, end at sige argument for at vaccinere mindre børn."
150000,156000," Til gengæld er der rigtig mange bekymrende risici, som vi i bund og grund ikke kender til."
156000,162000," Vi kender ikke korttidsrisikoen i forhold til småbørn, og vi kender slet ikke langtidsrisikoen."
162000,169000," Og hvad kan den være? Det kan jo være alt fra kræft for de tidligere kræft i livet, for de senere kræft for den sags skyld."
