start,end,text
0,8100," Så er jeg tilbage. Jeg hedder Vibe Kemalike. Jeg er læge og så er jeg ude på min daglige løbetur."
8100,12180," Men har lige sat mig på en bænk her ved mit elskede Søllerøde Kro."
12180,15820," Min er det ikke, men det er en kro, hvor jeg meget gerne kommer."
15820,21080," Og i dag, torsdag, der skulle kroen jo summe af liv."
21080,22740," Og hvorfor gør den så ikke det?"
22740,27140," Jamen det skal jeg fortælle dig. Det er fordi, at vi har en ekstrem enrådig regering."
27140,32200," Fordi dagens coronatal, de har været, og de er, fuldstændig fredsommelige."
32200,38640," I dag er positivprocenten nede på 0,26%, det vil sige 'it is over'."
38640,45720," Fordi det du skal lægge ind i de tal er, at der er rigtig mange falsk positive blandt dem."
45720,50520," Vi ved alene på PCR-testen, der er der 0,25% falsk positive."
50520,55060," Så har vi selvfølgelig ikke til ansigtsgen-testene med, kort sagt 'it is over'."
55060,59680," Og det jeg ikke forstår, og det der forbiver mig en gode, det er,"
59680,65800," at vi har en regering, der var ekstremt resolut, da landet blev lukket ned, faktisk uhyggeligt resolut."
65800,70960," Nu har vi haft de her tal vel et par måneder, der sker 0 undtegnhammersted."
70960,75620," Det vil sige, at vi har stadigvæk et land, der er delvist lukket."
75620,77620," Vi har stadigvæk et land, der er i frit fald."
77620,80420," Det er så ekstremt uhyggeligt."
80420,82420," Og på den præmis."
82420,87440," Så vil jeg lige snakke lidt kort omkring vaccinerne, fordi rigtig mange skriver til mig."
87440,89440," Rigtig mange af jer er bekymret."
89440,92220," Rigtig mange af jer er bekymret for vaccinetvang."
92220,97220," Og det forstår jeg udmærket, fordi vacciner er og skal forblive et privat valg."
97220,101120," Det er og skal forblive noget, som du kan vælge, hvis du har lyst til det."
101120,103660," Og jeg kan lade være, hvis ikke jeg har lyst til det."
103660,106900," Hvad er det så, vi ved i forhold til vaccinerne?"
106900,112820," Jamen, vi ved for det første rigtig meget om det, vi ikke ved noget af."
112820,115900," Nu skal jeg lige se. Jeg synes, der kommer nogen, der snakker."
115900,117900," Ah, de er lidt længere væk."
117900,121220," Det er jo såkaldte mRNA-vacciner."
121220,123220," Det er vacciner, der er udviklet over meget kort tid."
123220,125220," Og hvis vi tager ..."
125220,133140," Og som udgangspunkt kan man sige, at der er noget, der tyder på, at de beskytter mod sygdomme, smitte osv., beværelse."
133140,135140," Men der er selvfølgelig også nogle udfordringer."
135140,143580," Vi har set senest her med AstraZeneca-vaccinen, at den kan give til syneladende i nød i risiko for blødninger hos et meget lille antal bevares,"
143580,145580," men altså hos i øvrigt raskede mennesker."
145580,149580," Og det er selvfølgelig hele afvejningen, når vi har med vacciner at gøre."
149580,156220," Nemlig, hvor stor en pris skal du og jeg enkeltvis ville betale for en vaccine?"
156220,160860," Altså bivirkninger sat i forhold til virkningen af vaccinen."
160860,165860," Og der er det klart, at hvis man er et skrøbeligt ældre menneske, så vil man godt betale en forholdsvis høj pris,"
165860,169860," og nu taler jeg ikke kroner og øre, men risiko ved at blive beskyttet."
169860,176860," Hvorimod hvis man er et ungt menneske, et barn f.eks., så vil man jo i virkeligheden ikke rigtig betale nogen særlig pris for det."
176860,178860," Og der er slet ikke dødelige blødninger."
178860,183860," Ikke at jeg siger, at de får dødelige blødninger, jeg siger, at der er en masse ting, vi ikke ved nok om."
183860,191860," Vi har lige set med Pfizer-vaccinen, der har der været fokus på, at da man lavede studiet, var det omkring 20.000 mennesker, der blev vaccineret."
191860,199860," Herunder ikke børn, herunder ikke gravide, og man anede ikke, om de i virkeligheden havde været smittet før."
199860,205860," Samtidig var det selvrapporteret helbred, man gjorde det op på efterfølgende, hvordan og hvor det ledes."
205860,212860," Men der var der helt klart en markant færre i den gruppe, der blev vaccineret, som blev syge af covid-19, at dømme ud fra det studie."
212860,224860," Men det, der er problemer med Pfizer, der senest har været fremme, det er, at, skal vi sige, vaccinens indhold er aktiv."
224860,226860," Altså det, der emmeren er i virkeligheden."
226860,232860," Det er faktisk mindre, efterholdt at dømme, i de kommercielle vacciner, end i de vacciner, der blev brugt til studiet."
232860,238860," Kort sagt, det er en anden, hvad skal vi kalde det, dosering kan vi kalde det, eller i hvert fald en anden holdbarhed."
238860,247860," Og det er selvfølgelig ikke ligegyldigt, fordi man vaccinerer jo på den præmis, som vaccinen blev, hvad hedder det, godkendt eller midlertidigt godkendt på."
247860,254860," Og så er det jo selvfølgelig problematisk, hvis den slet ikke indeholder det aktive stof, eller den mængde, som der egentlig er blevet testet ud fra."
