start,end,text
0,19000," Så krudtuglen tilbage. Jeg hedder Vibeke Malike, jeg er læge, jeg har en Ph.D., og så forsøger jeg at holde fokus på FACTA og få frygten til at forsvinde, fordi det er der rigtig, rigtig god grund til."
19000,25000," Altså at have fokus på FACTA og lade frygten fare. Ikke mindst coronafrygten."
25000,40000," Jeg har de sidste dage haft vældig fokus på, at flokimmuniteten, immuniteten i befolkningen, nu er så stor, så at positivprocenten, altså antallet af smittede i forhold til antallet testet, falder meget, meget markant."
40000,45000," Og jeg vil gerne lige uddybe, hvor flere af jer har spurgt til mine grafer."
45000,57000," Tallen er jo taget fra Danmarks Statistik, og I kan også se kildeprogramferne, men det, I skal holde øje med, og det, der egentlig er interessant i det her, og som jeg lige vil forklare, det er,"
57000,68000," hvis du ser den orange her, så er det positivprocenten, det betyder altså, at det er dem, som har været, altså antallet smittede ud af antallet testet."
68000,74000," Det er da jo ikke noget, hvis du skal se på, hvordan er smitten i samfundet, alene at se på absolute tal."
74000,78000," Du er nødt til at se på, hvor mange er blevet testet, og deraf, hvor mange så er smittet."
78000,87000," Og der kan du godt se, hvad vi havde i marts, var jo betydeligt langt flere, end det er i dag, hvor vi er inde at se på her."
87000,98000," Positivprocenten steg lidt herhen over hjulene, det er rigtigt. Der var lidt sening, slet ikke noget, der kunne argumentere for, at landets statsminister, enrådede statsminister, lukkede landet."
98000,109000," Men det gjorde hun, det har hun gjort før. Hun er ekstremt enrådede, og har, i mine øjne, glemt, at vi lever i et demokrati, hvor vi har grundlovssikrede rettigheder."
109000,113000," De er blevet krænket rigtig mange gange i det her forløb, og gør det fortsat."
113000,119000," Men det jeg vil vise dig, og det der er så afgørende i det her, det er det, der sker lige præcis her."
119000,129000," Eller, du kan bedre se det på den anden kurve, men det, hvor vi altså på et tidspunkt har så tilpas mange smittet, og det er så absolute tal, vi kigger på."
129000,140000," Altså, hvor mange smittet har vi i samfundet, og det her er kun dem, der er testet positive, og vi har langt flere, som overhovedet ikke er blevet testet, som også har været smittet."
140000,156000," Men der falder altså på et eller andet tidspunkt, er der, kan man sige, en masse, altså et antal, der er smittet, et antal, der er vaccineret, et antal, der er beskyttet ud med MFR-vaccinen,"
156000,166000," som jo giver det, vi kalder en erhvervet immunitet, efter alt at dømme, at det er en væsentlig forklaring til, at børn og unge er meget godt beskyttet mod COVID-19."
166000,171000," Slet ingen symptomer får, eller meget få, og det vil sige, der smitter de så heller ikke."
171000,184000," Så det, der sker her altså, her lige omkring 1. januar, lige omkring årsskiftet, jamen der kan I godt se, der sker noget ganske specielt her, nemlig at de to kurver krydses."
184000,196000," Altså, at antallet af smittet gør, at der nu er så tilpas mange smittede i samfundet, der dermed er immune, det har man i hvert fald i 8 måneder, også overfor mutationer."
196000,206000," Sammenholdt selvfølgelig med, at vi begynder at have folk, der er vaccineret, og har fået den første vaccine, det er omkring 200.000, måske endda også mere."
206000,215000," Og der ved vi, at for hver dag, der går, der beskytter vaccine efter alt at dymme bedre, også selvom man ikke har fået anden vaccine."
215000,224000," Men selvfølgelig er det optimalt, når man har fået anden vaccine, som jeg ved ikke, hvor mange der har nu, men hver dag bliver der jo vaccineret rigtig mange, også med anden vaccine."
224000,236000," Så der kan I godt se, det her, det interessante sker, altså lige omkring årsskiftet, hvor at kurven, om man tror man må sige, knækker, og så falder positivprocenten meget markant."
236000,246000," Vi har ikke fået dagens officielle tal, vi har fået fra lyntestene, som viser, at tallet fortsat falder, som mit gætte er, at når vi får tallene her ved to-tiden i dag,"
246000,255000," jamen altså de officielle, så er positivprocenten fortsat faldende, og i hvert fald ikke steget."
255000,265000," Og hvorfor? Jamen simpelthen fordi, at nu er flokimmunitet, nu er immuniteten i befolkningen efter grafen så markant stor,"
265000,274000," som følge af, at vi har været smittet, vi har smittet vores udstanden, så vi ved, at ca. 200.000 efter de officielle tal har været smittet."
274000,281000," Det kan vi så cirka gange med i hvert fald to, og så kan du tage dem med, som er i husstanden, som også har været udsat for smitte,"
281000,289000," men altså, hvor deres immunforsvar har beskyttet dem mod smitte, så kan du tage dem med, der er vaccineret, fordi de er trods alt vaccineret,"
289000,293000," og så kan du tage dem med, som er beskyttet med erhvervet immunitet."
293000,302000," Så det betyder, at vi alt i alt er i hvert falde over en million, og også langt over en million af befolkningen, som er beskyttet,"
302000,311000," og dermed er vi tilbage til, at du har fået skabt en immunitet i befolkningen, som gør, at det er stort set umuligt for COVID-19 uagtet,"
311000,321000," hvor mange mutationer, tusindvis af mutationer, den undergår, inklusiv den britiske og den sydafrika, så er der simpelthen ro på,"
321000,330000," således at, forstår I, kan se helt hernede, er positivprocenten, og heroppe er antallet smittet. Er WUPTI for landet lukket op?"
330000,338000," Det kan man så argumentere for, at smitten er lav på trods af, at landet har været lukket, fordi vi smitter jo primært gennem de nære relationer,"
338000,346000," det vil sige, når vi tilbringer 24 timer sammen med vores nære relationer, hvor vi køser og spiser af samme tallerken og drikker af samme kop og så videre,"
346000,349000," så kunne man forvente en endnu større smitte."
349000,359000," Så kort sagt, immuniteten er stor og så stor i landet, så er positivprocenten er faldet og er stort set helt nede,"
359000,366000," og vil være også i dag, hvor den var i sommer, altså for praktiske gørmål ligegyldigt, lad os få landet lukket op."
366000,373000," Men det du skal forstå, og det jeg har forsøgt at forklare med de her grafer, det er altså, at lige her omkring årsskiftet,"
373000,384000," jamen der knækker kurven meget markant med positivprocenten, ganske enkelt fordi, at nu er immuniteten, altså befolkningens modstandskraft overfor covid-19,"
384000,388000," så stor, så at vi ikke længere kan smitte hinanden."
388000,395000," Vi er, om man så må sige, i godsejen vaccineret, enten fra naturens side, simpelthen fordi vi har haft sygdommen,"
395000,404000," eller fordi vi er vaccineret, eller fordi vi har det, vi kalder erhvervsimmunitet fra, og det er børn og unge især fra MFR-vaccinen."
404000,413000," Så det gode budskab er, klap jo hans, som man siger, lad os fejre det, nemlig at vi beskyttet mod covid-19,"
413000,417000," befolkningen er beskyttet mod covid-19, lad os få landet umulet."
417000,421000," Det jeg kan undre mig over, og derfor er jeg meget glad for, at du deler min video,"
421000,427000," og ikke mindst også forstår den her forklaring, hvor det altså her, det hele sker."
427000,431000," Det der kan undre mig er, at pressen ikke har taget de her data,"
431000,437000," fordi det her er ikke nogle data, jeg eller vi har fundet på, det er simpelthen data, de officielle data, vi kigger på."
437000,443000," Jeg synes jo, det er så væsentligt, jeg undrer mig også, at regeringen ikke har taget de her tal og sagt,"
443000,449000," ""Oh my God, lad os få åbnet op, vi er beskyttet, det er en sejrens dag, en fejringens dag."""
449000,457000," Men det kan du hjælpe med, fordi du kan dele den her video, du kan forhåbentlig forstå, hvad det er, jeg har skrevet og forklaret her,"
457000,469000," nemlig at flokimmuniteten i befolkningen er så stor, så vi uden problemer og uden at være bekymrede kan åbne landet omgående."
469000,474000," Det var dagens melding, det var dagens tal, håber du har forstået det, og ellers så spørg endelig,"
474000,479000," jeg skal gerne forsøge at forklare det, men nu har vi i hvert fald gennemgået tallene sammen,"
479000,486000," og det er som sagt det, som jeg sagde før, at det er her, hvor du ser, at faldende, det her knæk, der er,"
486000,494000," positivprocenten falder meget, meget markant, samtidig med, at vi altså begynder at have så til plads mange smittede,"
494000,499000," vaccinerede og beskyttede med MFR-vaccinen i befolkningen, så vi kan få ro på."
499000,505000," I bund og grund skal vi til at snakke om alt det andet, der truer befolkningen, nemlig inaktivitet,"
505000,511000," fidme, ensomhed, tristhed, apati, depression, angst osv.,"
511000,517000," ikke mindst en angst, der er induceret eller skabt af regeringen, bistået af Sundhedsstyrelsen,"
517000,522000," som på ingen måde har levet op til deres rolle, hvor man skal berolige befolkningen,"
522000,530000," men sværet om, har man ageret alarmistisk og fået opbygget en helt urimelig og frygtelig frygt i befolkningen,"
530000,533000," som er fuldstændig ubegrundet."
533000,537000," Kan du have det godt, min ven. Vi ses lige pludselig igen."
537000,544000," Men husk nu, fokus på fakta, fakta, fakta og fakta igen."
544000,551000," Og væk fra frygt og fra fortællinger og fra ubegrundet og udokumenteret påstand."
551000,558000," Det er tid til, at vidensamfundet viser, hvad vidensamfundet er værd, nemlig viden og fakta."
558000,562000," Og det er det, jeg forsøger at fremlægge igen og igen og har gjort de sidste 11 måneder."
562000,566000," Og jeg fortsætter. Kan du have det godt. Vi ses. Hej hej."
566000,572000," Danske tekster af Jesper Buhl Scandinavian Text Service 2018"
