start,end,text
960,3760," Så er grotolen tilbage."
3760,9960," Jeg hedder Vibeke Manike. Jeg står nede i vores skønne butik her i Latinakvarteret på Klostergade 3,"
9960,15380," hvor jeg byder på en kop kaffe, hvor jeg byder på personlige smykkestejling,"
15380,18360," og hvor jeg selvfølgelig sørger for, at du får en god snak."
18360,20660," Men nu vil jeg lige vise dig lidt forskellige ting."
20660,25840," Vi har jo 30 procent netop nu, så det gør, at du måske kan lade dig friste."
25840,28440," Tusind tak til jer, som allerede har været forbi,"
28440,33440," som har bestilt på nettet, som har bestilt direkte, som har været inde og give knuser endda."
33440,36060," Nogle af jer har været som modejern, der er jo nogen, der er mode."
36060,40180," Men uanset hvad, er det skønt at se jer herinde, og det er skønt med jeres opbakning."
40180,46120," De ting, jeg nu kommer til at vise, er du meget velkommen til, enten at bestille på nettet."
46120,49260," Jeg lægger links op nedenunder, så du kan se, hvad de koster."
49260,54640," Du er også meget velkommen til at sende mig en pb, en personlig besked, eller en sms,"
54640,58900," hvis der er noget af det, hvor du tænker, at det er lige mig, det er lige den gave, jeg står og mangler."
58900,62020," Og så vil jeg også lige vise dig, og derfor står mit blik og flakker,"
62020,64420," hvordan vores gaveindpakning faktisk ser ud."
64420,67280," Jeg har hellere slegnet en masse ting op, men lige præcis den del."
67280,70700," Jeg er lige gående et øjeblik, og så skal du lige se."
70700,76740," Yes, yes, yes, coming back, som jeg siger, coming back."
76740,82580," Vi skal jo først lige have, at alle vores pakker bliver selvfølgelig pakket super smukt ind."
82580,86720," Min negel følger altså ikke med, men det er super smukt."
86720,88720," Anyways, jeg vil vise dig lidt forskelligt."
88720,96140," Jeg har jo de brune øjne, vi har lukket, ja, der er en, der kommer ind."
96140,101420," Det er altså vigtigt, at jeg lige gør jer færdige, og så skal jeg nok tage mig kunderen bagefter."
101420,106500," Men ellers så bliver I jo sure, har jeg fundet ud af, så anyways, prøv at se engang."
106500,114680," Jeg har taget den her gottes med røgtopas på, som er en af vores meget populære."
114680,117020," Den er super flot, det er en super flot størrelse."
117020,120860," Vi har også det, jeg kalder lillesøsteren, en lille smule mindre, jeg lægger links op."
120860,124040," Vi har jo 30%, så det skal du tage fra prisen."
124040,130280," Så har jeg taget, vi laver jo det her custom made kæder, og den her er helt vidunderligt smuk."
130280,135900," Med 10 øje, den koster normalt, og den er lang, nu skal du næsten lige se, hvor lang den er."
135900,141300," Det gør, at den kan vikles to gange rundt om hovedet, hvis det er det, man vil."
141300,144460," Prøv at se, sådan her, meget, meget smuk."
144460,151660," Så er man til de brune farver, er man glad for røgtopas, og det er også derfor, jeg har taget den på sammen med øreringene her."
151660,157600," Er man glad for røgtopas, er man glad for 10 øje, jamen så er det en super flot kæde."
157600,162640," Den kæde er, den eneste der er, det er jo sådan nogle unika kæder, lockbeads kalder vi dem."
162640,171920," Den koster normalt 6.000, og den her ene koster 3.000, men det er så vigtigt som sagt, at du lige sender mig en pb eller en sms."
171920,173420," Jeg skal nok skrive numreret også."
173420,180380," Der findes faktisk til den samme også sådan et armbånd her, og det vil jeg også lige vise jer, de her forskellige armbånd, vi har."
180380,185220," Det her er så med, hvad hedder det, 10 øje, som er en super smuk ædelsten."
185220,190440," Men når vi nu er i gang med armbåndene, jamen så er jeg jo nødt til at komme op til jer."
190440,202760," Prøv at se her, hvor vi har de her også super smuk, det er så med sort onyx og granat, så er det med cabochon-slippen granat, og så er det med facetteret granat."
202760,210940," Det som jo kan være rigtig flot, og som jo ikke mindst jeg selv bruger mig, bruger det især delshed, det er at have flere på, på samme tid."
210940,216880," Og igen, hvis du ser noget, så endelig også bare skriv mig en besked, hvis der er noget af det at vise."
216880,229760," Så har vi det samme armbånd her, med cabochon-slippende ametyster, og det kunne sådan set også være flot, nu vil jeg lige vise dig med de forskellige på, det kunne faktisk også være flot samlet."
