start,end,text
0,6440," Så er det tid til at lave en julekoro på live."
6440,16800," Jeg hedder Vibeke Mannike, jeg er læge, jeg har en phd, og så har jeg fulgt det her forbannede coronahelvede, ja, faktisk tæt på to år nu."
16800,28160," Jeg synes, det er tid til her dagen før juleaften lige at lave en opdage på, hvordan ser verden ud lige nu i coronalyset."
28160,38120," Jeg vil lige bede dig om, inden, fordi jeg kommer til at komme ind på lidt forskellige ting, at finde frem, fordi vi slutter faktisk med en falsk sang i dag."
38120,47760," Og det er 'Skulle gammel venskab ren forgå', så vil du ikke lige finde den frem på din mobilos, eller på din, hvad hedder det, computer?"
47760,53160," Fordi så sømmer vi den altså sammen, pivfalsk, når vi sømmer den sammen til sidst."
53160,61680," Fordi jeg synes, den siger rigtig meget om det, vi har brug for, nemlig at genfinde hinanden i det her coronavandvid."
61680,73600," Jeg vil starte med at takke jer, fordi rigtig mange af jer er utrolig søde til at, mange af jer, nu sidder jeg lige nu inde i vores butik inde på Blejdamsvej 104,"
73600,81360," men rigtig mange af jer har været søde til at komme forbi, komme forbi for at få et glas gløg, komme forbi og sige, rigtig mange af jer siger tak, tak."
81360,93160," Rigtig mange af jer er utroligt kærlige, omsorgsfulde, og rigtig mange af jer, tak for det, har også valgt at lægge jeres julegavekøb hos os, og det er vi selvfølgelig også taknemmelige for."
93160,103360," Men jeg er også taknemmelig for alle jeres søde beskeder, jeres sms'er, jeres messengers, jeres Skype, jeres det hele, og jeg når at læse det meste, jeg gør mig meget umage,"
103360,110360," men I må have mig undskyld, hvis det er nogle gange bare med et lille hjerte, jeg svarer, det er lige for at give dig et pling, jeg har set det, jeg har læst det."
110360,121360," Men I er så utroligt omsorgsfulde og så utroligt søde til at skrive, og jeg er også stødt til at sige, at rigtig mange af jer takker mig, rigtig mange af jer synes jeg er, som nogen siger, lys i mørket,"
121360,126360," men jeg vil godt lige return the favour, som man siger, fordi det er I faktisk også for mig."
126360,137360," Det er jo det, der hedder et fællesskab, det er det, der hedder at være i noget sammen, det er det, der hedder at have et sigte, i det her tilfælde rigtig meget omkring fakta og hele den del."
137360,147360," Så ja, jeg ved godt, at, og det fortæller I mig, det er utroligt søde til at fortælle mig, at jeg betyder noget for jer, men I betyder faktisk også rigtig meget for mig."
147360,151360," Så det skal vi have på plads."
151360,161360," Og så vil jeg selvfølgelig også sige, i forhold til, en af jer spurgte i går, hvad er det, hvordan kan det være, at du har, fordi det må jeg jo sige,"
161360,169360," altså man kan lide det eller ej, jeg har jo haft ret i hele forløbet, jeg har ret stadigvæk, man kan ikke gå tilbage en eneste gang og sige, der tog du fejl."
169360,173360," Nej, jeg har sådan set haft snorlig ret de sidste to år."
173360,184360," Det afholder ikke pressen fra ikke at vil høre på mig, lad det nu være, men det er jo fordi åbenbart, at fakta er uhyggelig i 2021 eller umbrugelig i 2021, men lad det være."
184360,192360," Men der var en af jer, der meget sødt spurgte, og jeg forstår det også godt, hvad er det, du kan se, eller hvad er det, du kan, som andre ikke kan?"
192360,194360," Jamen det skal jeg fortælle dig."
194360,198360," Det her er jo præcis mit lægelig DNA."
198360,203360," Det er jo præcis det, jeg har øvet mig på, kan du sige, i 32 år som læge nu."
203360,216360," Det er jo, at jeg er rigtig dygtig og rigtig rutineret i at læse statistik, epidemiologi, hvad fejler befolkningen, hvad fejler, hvad med sjældne sygdomme, min phd er omkring en sjældne sygdom."
216360,224360," Så jeg har beskæftet mig i min lægelig karriere groft sagt med det her sjældne sygdom, almindelige sygdomme, folkesygdomme, folkesundhed osv."
224360,229360," Så har jeg 32 års erfaring med at læse videnskabelitteratur."
229360,238360," Rigtig mange af mine kollegaer, de læser meget let videnskabelig litteratur, de forholder sig til nogle guidelines, og så kan det være en gang imellem, de går ind og tjekker op på noget."
238360,250360," Men mit lægelig DNA, det er at læse let videnskabelig litteratur, det er at søge litteraturen frem, det er at søge de videnskabelige data frem, det er at kunne læse dem og forstå dem osv."
250360,260360," Og så handler det selvfølgelig også om at kunne kommunikere, om at kunne se de store, skal vi sige, linjer i noget, og kunne lave et samlet skøn på det hele."
260360,263360," Det er også det, som jeg har gjort i rigtig mange år."
263360,269360," Så blev det også sagt mig, sygdomme, det er der vel mange, der kan? Nej, helt åbenlyst ikke."
269360,274360," Altså, det er jo en evne, det er jo noget, man har optrænet gennem mange år."
274360,280360," Og det kan godt være, at nogen af jer tænker, okay, jeg troede, at du var dit i den øvrige dag. Jamen, det er jo den offentlige version."
280360,284360," Det her er mig. Det her er præcis, hvad jeg kan."
