start,end,text
960,2960," Godmorgen til jer alle sammen derude."
2960,9000," Det er sådan en lille søndags overraskelse fra mig herude fra den skønne skov."
9000,11000," Man skal jo holde formen ved lige."
11000,19000," Jeg så i går, at der var demonstration inde i København, og det var jo vidunderligt at se den store opbakning."
19000,21000," Og en stigende opbakning."
21000,26000," Og hvis vi ligefra trækker det, som pressen skulle skrive om, hvad der var optøjet,"
26000,31000," det jeg har hørt fra rigtig mange af jer, det var, at det var en super god demonstration."
31000,37000," Og ikke mindst var det en anledning og et tegn til regeringen, politikerne og for såvidt også pressen om,"
37000,40000," at rigtig store deler af befolkningen har faktisk fået nok."
40000,45000," Ja, så var der nogen, der brændte en hækksag og havde angivelig sat et billede på Mette Frederiksen."
45000,47000," Det er selvfølgelig noget skræmmende. Det skal man lade være med."
47000,52000," På samme måde som man skal lade være med at lave netchikane, udskamme folk osv.,"
52000,55000," slå Minky Jell uden at have lovhjemmen og alt det der."
55000,60000," Men et eller andet sted, så afspejler det jo, og det er måske det, der er det vigtigste,"
60000,63000," den meget stigende vrede, der er i befolkningen."
63000,68000," Og den vrede har regeringen ikke fanget, den vrede har oppositionspartierne ikke fanget,"
68000,73000," og pressen, som jo langt hen ad vejen har været og er regeringens skødehund,"
73000,75000," propaganda-maskinen, de har slet ikke fanget det."
75000,81000," Så jeg synes, at det er en anledning til at begynde at tage befolkningens vrede,"
81000,86000," tristhed, ensomhed, sygelighed, kroniske sygdomme, os alle sammen,"
86000,92000," og den vrede, og hvad skal man sige, at have fået nok, tag den alvorligt."
92000,96000," Så ja, vi skal lade være med at brænde noget som helst af af hinanden."
96000,99000," Enig. Vi skal heller ikke slå Minky ned uden at have lovhjemmen."
99000,101000," Der er mange ting, vi ikke skal."
101000,105000," Og så skal regeringen til at lade være med at mane til al den frygt,"
105000,107000," som Mette Frederiksen jo har gjort i 11 måneder nu."
107000,111000," Nu vil vi have fokus på fakta, på fakta, på fakta."
111000,114000," Og det er de fakta, jeg bringer dig. Ikke lige herude fra skoven."
114000,116000," Det er egentlig bare for at sige, at når jeg er ude i skoven,"
116000,118000," så er det ikke fordi, jeg har brug for løbeturen,"
118000,120000," men det er også fordi, du skal også ud, min ven."
120000,123000," Du skal ud og kræve dit liv tilbage."
123000,126000," Og det så jeg også i går. Jeg var inde i byen."
126000,128000," Jeg var ikke til demonstrationen, men jeg var inde i byen,"
128000,131000," og jeg så så mange dejlige mennesker gå omkring derude."
131000,134000," Jeg så gå hjælpe med også folk grine."
134000,137000," Og det er fordi, at skuldrene er begyndt at komme ned hos mange af jer."
137000,139000," Det er fordi, at mange af jer har indset,"
139000,143000," at covid-19, yes, it's over."
143000,145000," Flokimmuniteten har indhentet os."
145000,147000," Og tusind tak for det."
147000,149000," Fordi, at vi har haft naturlig sygdom,"
149000,152000," og vores husstand er beskyttet."
152000,155000," Vi er blevet vaccineret, eller nogen af os er blevet vaccineret."
155000,158000," Og så har børn og unge efter alt at døme en særlig modstandskraft,"
158000,161000," højst sandsynlig som følge af MFH-vaccinen."
161000,165000," Og det betyder, summa summam, at it's over."
165000,169000," Så jeg forventer, at Mette Frederiksen selvfølgelig i morgen åbner landet,"
169000,171000," for der er ikke grund til andet."
171000,174000," Og så synes jeg det er på tide, at pressen, at politikerne,"
174000,179000," får øje på, hvor mange af befolkningen og ibefolkningen, der har fået nok."
179000,182000," Hvor mange der er træt af at blive taget ned til."
182000,187000," Hvor mange der er træt af at få indgivet en eller anden frygt."
187000,190000," Og hvor mange der er træt af, at vi har fået frarøvet vores liv."
190000,192000," Tænk på 2020."
192000,195000," Jeg vågnede i morges og tænkte på min mor, som jeg mistede for 11 år siden."
195000,197000," Jeg skal nok skrive lidt mere om det i går,"
197000,200000," efter en snak med en rigtig dygtig, prakserende læge."
200000,203000," En god kollega i går, hvor han jo meget rigtigt sagde,"
203000,206000," at cirka 80 procent af dem, der er på plejehjem,"
206000,211000," de ønsker faktisk hverken genoplevning eller at blive indlagt, hvis de bliver syge."
211000,215000," De er faktisk ved at være der i livet, hvor de er ved at være træt af livet."
215000,216000," Og fair nok."
216000,219000," Og det fik mig til at tænke på min mor i morges, da jeg vågnede."
219000,221000," Og jeg skal også indrømme, at jeg knævede en tåre."
221000,225000," Fordi det var sådan, at hun blev 82 år gammel."
225000,229000," Og den sidste måned var hun på en aflastningsplads."
229000,233000," Og der var slet ingen tvivl om, at der ville min mor ikke mere."
233000,237000," Men havde vi haft lukket ned, og havde jeg ikke kunnet besøge hende,"
237000,239000," ved du hvad, så skal jeg fortælle dig noget,"
239000,242000," så havde jeg sgu kæmpet mig vej ind til hende."
242000,245000," Den eneste grund til, at hun holdt ud, det var faktisk for min og vores skyld."
245000,248000," Og vi vidste jo alle sammen, at det var ikke værdigt."
248000,249000," Og hun døde så også."
249000,252000," Så alt sammen for at sige, det som vores kære,"
252000,255000," det som vores ældre har brug for i den sidste tid,"
255000,257000," det er ikke at blive lukket ind, som de har været i 2020."
257000,259000," Det er jo faktisk forfærdeligt at tænke på."
259000,260000," Det er meget, meget sørgeligt."
260000,261000," Det er godt, jeg har solbriller på,"
261000,264000," for så kan du ikke se, at jeg faktisk har tårer i øjnene."
264000,267000," Det er faktisk at være sammen med dem, de holder af."
267000,269000," Dem, de skal tage afsked med."
269000,272000," Dem, de skal takke for, hvad vi har haft sammen."
272000,277000," Så med det vil jeg sige, tak fordi flere kommer til demonstrationer."
277000,279000," Tak fordi flere af jer vågner op."
279000,282000," Tak fordi flere af jer følger med, ikke mindst hos mig,"
282000,286000," og begynder at have fokus på fakta, fakta, fakta."
286000,290000," Og så også tak fordi jeg får faktisk rigtig mange undskyldninger dagligt."
290000,291000," Det behøver I ikke."
291000,293000," I skal ikke undskyldes for, at I ikke har lyttet til mig fra starten."
293000,297000," Jeg har hele tiden, jeg har jo ikke på et tidspunkt rystet i hånden,"
297000,299000," for jeg har hele tiden vidst, at jeg havde ret,"
299000,302000," af den grund, at jeg havde fokus og har fokus på fakta."
302000,304000," Og det er også derfor, jeg kan glæde dig med."
304000,308000," It's over. Vi kan slappe af. COVID-19 er helt i bunden nu,"
308000,310000," på grund af flokimmuniteten."
310000,313000," Og ved du hvad, min ven, så skal du med ud og lege."
313000,315000," Så skal du ud og løbe. Så skal du ud og gå."
315000,318000," Så skal du ud og elske igen. Så skal du ud og holde nogen i hånden."
318000,323000," Og ved du hvad, du skal også ud og give nogen et genoldigt kram."
323000,326000," Kan du have det godt på den her skønne, milde søndag."
326000,328000," Og lad os holde fast i, at vi lever i et demokrati."
328000,331000," Hold fast i, at vi må godt have lov til at sige,"
331000,335000," ved du hvad, vi er hammerne træt af Mette Frederiksen."
335000,337000," Vi er hammerne træt af regeringen."
337000,340000," Og vi er hammerne træt af at blive taget ned til."
340000,344000," Nu vil vi kræve ordenlighed, ansvarlighed, fakta."
344000,349000," Og så kommer du bare også med ud og løbe, lege, gå og elske livet."
349000,351000," Kan du have det godt. Hej hej."
351000,352000," - Ja."
