start,end,text
0,12000," Jeg hedder William Kemalje. Jeg sidder et andet sted, end jeg plejer. Jeg er meget på farten de her dage, men jeg lovede at lave en live, når vi havde nået -"
12000,18000," Ups, der skete. Jeg sender live nu. Ja, hej hej og god aften, som man siger."
18000,22000," Jeg lovede at lave en live. Jeg sidder et andet sted, end jeg plejer. Det kan I sagtens se."
22000,27000," Men jeg lovede jo at lave en live lige så snart, at vi havde nået de 3.000."
27000,34000," Der var lidt svært at komme op. Jeg vil sige, at jeg ikke var den eneste, der var faldet af hesten."
34000,41000," Men nu er vi kommet op på hesten. En hel del af os i hvert fald. Og det er tid til at lave den her live."
41000,44000," Også selv om klokken er mange."
44000,50000," Jeg skal lige se, om nogen af jer begynder at komme med, eller om I alle sammen er gået i seng."
50000,55000," Lad mig lige se en gang. Ej, der er der nogen, der er med. Så nogen af jer kan i hvert fald se den."
55000,59000," Og mens I sådan lige kommer med."
59000,66000," I skriver også til mig. Men jeg er altså på, så jeg håber, at I kan se den."
66000,70000," Mens I lige kommer med, vil jeg lige sige skål."
70000,73000," Det er så i almindelig postevand."
73000,76000," Ellers var det lidt af en vodka, hvis det var det."
76000,81000," Jeg kan også sige grunden til, at jeg er lidt forsinket."
81000,84000," Dels er jeg i Jylland. Ja, det var måske lidt bedre."
84000,87000," Dels er jeg i Jylland, eller skulle til Jylland."
87000,90000," Dels skulle vi lige ned og svømme."
90000,95000," Og I ved godt, når jeg siger svømme, så er det måske at prale lidt for meget."
95000,100000," Men vi har i hvert fald været nede i den skønne Almindsø her i vidunderlige Silkeborg."
100000,106000," Jeg vil lige have nogle flere af jer med, inden jeg sådan kaster mig ud i det."
106000,109000," Jeg vil også sige en anden grund til forsinkelsen."
109000,114000," Som så heller ikke er mere end som så, det er, at vi har travlt med vores EU-venner."
114000,120000," I forhold til bl.a. det her EU-pressemøde, vi var til i Strasbourg."
120000,123000," Nu er der lidt i spil om, at der skal være et nyt pressemøde."
123000,125000," Der er kommet nogle nye svar."
125000,128000," Men det tager jeg på en anden live. Det bliver ikke det, vi tager nu."
128000,134000," Nu tager vi det, jeg har annonceret, nemlig snakken om barnløshed."
134000,136000," Det faldende fødselstal."
136000,141000," Snakken om, hvorfor en del er ""God aften Kirsten""."
141000,144000," Ikke, hvorfor en del er ""God aften"", men ""God aften til dig Kirsten""."
144000,147000," Hvorfor det her med en del er syge."
147000,152000," Men sundhedspersonale og hvem det er, der bliver smittet mere end andre."
152000,156000," Og så tager jeg også i forhold til det her med, at det er meget tydeligt,"
156000,159000," at der er sådan en modstand."
159000,164000," Der er en manglende vilje til at vil forstå de her alvorlige data."
164000,169000," Der er rigtig mange, og det er jo så primært dem, der har fået coronavaccinerne,"
169000,171000," synes at være i en transe."
171000,174000," Ellers, som en af jer meget rigtig skrev til mig i dag,"
174000,176000," er det som om, der er en glasvæg imellem os."
176000,179000," Og det er også sådan, at jeg oplever det, ""God aften Maria""."
179000,183000," Det er også sådan, at jeg oplever det, at der er ligesom en usynlig glasvæg."
183000,187000," Når man begynder at snakke om blandt andet vores studiefortæller os,"
187000,192000," så kan man mærke på folk, at det er ligesom om blikket lukker ned."
192000,196000," Og det er som om, der kommer en stor talebobbel, der hedder ""Det vil jeg ikke høre""."
196000,201000," Og det er meget rigtigt, som en af jer beskrev, at det er ligesom en glasvæg imellem os."
201000,205000," Og det er så derfor, jeg mener, at den er vi nødt til at banke i tu."
205000,210000," Den adskillelse, den glasvæg, og få folk til at forstå alvoren."
210000,212000," Også god aften til dig, Karin."
212000,215000," I det hele taget, god aften til alle jer, der ikke er gået i seng,"
215000,218000," og I må undskylde det seneste tidspunkt."
218000,222000," Allerførst vil jeg takke jer for jeres opbakning."
222000,225000," Det har hjulpet, og god aften til dig, Marianne."
225000,229000," Det har hjulpet lidt, at jeg sagde, at nu måtte vi få fingeren ud af det,"
229000,231000," nogen vil kalde gassambuden."
231000,236000," Forstået på den måde, at vi skulle nødt til at forstå og holde fast i,"
236000,238000," at det her er et fælles anlæggende."
238000,242000," Jeg var gået lidt sukkerkoldt, for jeg var blevet lidt træt af,"
