start,end,text
0,9000," Hej, så er jeg tilbage. Jeg hedder Jøbke Manike, jeg er læger, jeg har en socialmedicinsk BØD, og så har jeg om nogen fuldt de famøse covid-19-tal."
9000,15000," Jeg sidder lige nu og sætter det sidste punktum i en bog om søvn, som jeg håber kan komme rigtig mange til graven."
15000,21000," Og det har faktisk også vist sig, at søvn kan have en væsentlig betydning for healingen, helbredelsen efter covid-19."
21000,25000," Men det var nu ikke søvn, vi skulle snakke om. Vi skulle snakke om dagens tal."
25000,31000," Dagens tal er vanvittigt flotte. De er faktisk fuldstændig, som de har været i cirka de sidste to og en halv måned."
31000,39000," De ligger i dag omkring 0,48 procent. Det vil sige, at hvis vi tager antallet smittet i forhold til antallet testet, så giver det 0,48 procent."
39000,46000," I forårs tror jeg, at den var omkring 0,4. I går var den omkring 0,66. Den ligger lige og sejler i det lag der."
46000,49000," Kort sagt, den er fuldstændig stabil."
49000,55000," Så skal vi forvente, som vi også har nu nede ved Danish Crown, at der kan være udbruddet ny og nævnt af covid-19."
55000,58000," På samme måde, som der kan være udbruddet af alt muligt andet."
58000,65000," Men det væsentlige budskab er, at der ikke er i sol, måne og stjerne, der tyder på, at noget som helst omkring covid-19 er i stigning."
65000,68000," Det ligger fuldstændig snorlig i stabil."
68000,73000," Selvfølgelig skal man, når man går ind og ser på antallet smittet, også se i forhold til, hvor mange har du testet."
73000,77000," For det er meget simpelt. Des flere du tester, des flere vil du finde."
77000,80000," Eller omvælt, des færre du tester, des færre vil du finde."
80000,86000," Så kort sagt, når jeg kigger på de her procenttal, så er det meget afgørende for at se, hvad er udviklingen."
86000,90000," Og den ligger, som sagt, fuldstændig snorlig i, fredsomlig."
90000,95000," Det er en brygdel, mindre end en brygdel, af dem der testes, der reelt er smittet."
95000,98000," Så derfor, kom ud i det gode vejr."
98000,104000," Der er lidt snak lige nu om masker. Det vil jeg ikke blande mig i. Jeg kan ikke se grundlaget for det på nuværende tidspunkt."
104000,106000," Men det overlader trygt til Sundhedsstyrelsen."
106000,108000," Og nu betaler jeg om Sundhedsstyrelsen."
108000,116000," Så er det vigtigt for mig at slå fast, at da Mette Frederiksen den 11. marts henviste til, at myndigheder havde rådgivet hende og anbefalet at lukke landet."
116000,120000," Der er en væsentlig myndighed, der ville være Sundhedsstyrelsen."
120000,128000," Det er jo kommet frem, at Sundhedsstyrelsen syv timer før, at hun vælger at nedlukke landet, faktisk frarådet en sådan nedlukning."
128000,136000," Så har der været lidt fokus på nu her, at Kåre Mølbakke fra Serum Instituttet, han sagde, at han anbefalede det ikke, men syntes da ikke, at det var en tosse idé at lukke skolerne."
136000,138000," Det er sådan set særligt uvedkommende."
138000,142000," Fordi Kåre Mølbakke er ikke, repræsenterer ikke en myndighed."
142000,145000," Statens Serum Institutt er ikke en myndighed."
145000,147000," Sundhedsstyrelsen er en myndighed."
147000,154000," Og derfor skal vi, og det har pressen også med rette, have fokus på, hvad Sundhedsstyrelsen har rådgivet, hvad er de kommet med indstillinger."
154000,156000," Her har der ikke været talt om indstillinger, for det er jo ønskede regeringer, ikke?"
156000,158000," Det er her, der har været talt om rådgivning."
158000,163000," Tidligere ville man have fulgt Sundhedsstyrelsens indstilling, snurlet i, men lad det nu være."
163000,175000," Så blot for at sige, det er meget vigtigt at skælne mellem, hvem er myndighed i det her tilfælde Sundhedsstyrelsen, og hvem er rådgiver, som du og jeg med en vis ret kunne gøre hjemme hos Serum Instituttet."
175000,181000," Så alt sammen for at sige, Kåre Mølbakke repræsenterer ikke en, hvad hedder det, en myndighed."
181000,184000," Det er fordi kameramanden står og laver tegn til mig."
184000,194000," Så med det vil jeg bare sige, hey, kom udenfor i det gode vejr, hold en god afstand, det er rigtig godt stadigvæk at vaske hænder, det holder rigtig meget skrammel på afstand, ikke kun covid-19."
194000,201000," Og så glæd dig over, at tallene de er fuldstændig snurlige, de er meget, meget små, og det har de faktisk været i nu to og en halv måned."
201000,207000," Og nu er jeg ved at tabe tøjet, så jeg må hellere slutte for nu og sige, kan du have det godt, og så ses vi lige pludselig."
207000,211000," Og husk, liv er farligt, vi kan dø af det. Hej hej."
211000,213000," - og det er det, jeg har været nødt til at gøre."
