start,end,text
680,2680," Ja, så har du mig igen."
2680,9760," Vi er blevet med an i læge, PUD, cykelhjelm, røde kætter, men ved du hvad?"
9760,14920," Jeg er på vej. Jeg er her i Aarhus i det vunderlige Aarhus. Prøv lige at se her, hvor skønt her er."
14920,22920," Og jeg er på vej ind til vores butik inde på Klostergade 3 her i Aarhus."
22920,28440," Og det slog mig på vejen. Jeg så en skarv, der stod og luftede sine vinger"
28440,33560," og tørrede dem. Og jeg tænkte, at jeg så dem. Jamen det er fuldstændig sjovt, jeg har ligesom skarven."
33560,39680," Der står der på sådan en sten ret alene ude på havet og er ved at tørre sine vinger."
39680,47400," Og jeg tror, at rigtig mange af os har det på den måde, at vi er ved at være ekstremt trætte af at være bange."
47400,53600," Først har vi været bange i to år, i hvert fald hvis vi læste i pressen,"
53600,59720," og hvis vi lyttede på regeringen og deres, skal vi sige, forlænget arme, myndighederne,"
59720,65600," som jeg mener har fuldstændig skudt sig ud af målet ved at være fuldstændig utroværdige i det her forløb."
65600,73320," Men så eksploderede smitten af corona hjemme. Så var det sjovt over, så kunne man ikke godt lukke for restriktionerne."
73320,76560," Jeg mener så aldrig, at restriktionerne skulle være der, så på den måde er jeg selvfølgelig enig."
76560,80160," Det kunne de have fundet ud af for to år siden, men lad det være."
80160,86240," Men nej, så kom der god hjælp med Ukraine, fordi nu skal vi være bange, nu skal vi være mega monster bange."
86240,92840," Og jeg har det lidt sådan, nu er jeg jo trods alt læge, og et eller andet sted må man jo sige,"
92840,96000," der er meget vi skal være bange for. Du kan se, at jeg har taget cykelhjelm på."
96000,100160," Der er meget vi hele tiden kan gå og frygte. Får man en eller anden knop, gud hvad kan det være?"
100160,106040," Får man en modermærke, gud hvad kan det være? Har man et blodtryk, der bliver forholdt overhovedet, hvad kan det være?"
106040,114040," That's life. Men vi er nødt til at leve det meste af tiden uden frygt, uden bekymring."
114040,118600," Og når jeg nu læser alt det med Ukraine, og jeg er ikke udenlandsekspert."
118600,123400," Jeg er rigtig dygtig til at være læge, og jeg har været rigtig dygtig til hele coronapandemien,"
123400,131760," men jeg er ikke krisekspert eller andet, men så må jeg sige, jeg har ikke tillid til nyhederne."
131760,142440," Når jeg ser, hvordan de skamrede fakta, hvordan de skamrede, hvad står der her, jeg kan slet ikke se, hvad jeg læser,"
142440,146280," frygt er den farligste variant lige præcis, og frygt er smitsom."
146280,152360," Når jeg så, hvordan man dækkede corona og fakta, og løg og manipuleret og ikke fattede en kæft,"
152360,156280," så må jeg sige, så har jeg altså ikke tillid, når vi nu har, nu her med Ukraine,"
156280,162280," om vi overhovedet får viderebragt fakta, data, analyser korrekt."
162280,167080," Når jeg ser sådan en som Biden, Joe Biden, så tænker jeg, ham har jeg sgu heller ikke tryk ved."
167080,171880," Det er en gammel affældig mand. Hvis vi havde været til et selskab med ham, så ville vi sige, hold da op,"
171880,178280," onkel Joe, han er blevet gammel og affældig, og pludselig overlader vi en hel verdens sikkerhed til ham."
178280,185280," Når vi ser Boris Johnson, så tænker man, ja, party, er poppen åben?"
185280,190280," Altså, kort sagt, jeg har sgu ikke tillid til dem, og det er jo forfærdeligt."
190280,195280," Det er jo forfærdeligt, fordi nu så taler vi om verdens sikkerhed og alt muligt,"
195280,198280," og jeg sidder og tænker, jeg har simpelthen ikke tillid til dem."
198280,201280," Jeg har ikke kunne stole på dem i to år, det havde jeg indblik i."
201280,204280," Hvordan pokker skal jeg så kunne stole på dem nu?"
204280,209280," Jeg har ikke tillid til pressen, som jo har skramregt data, som har manipuleret os,"
209280,212280," så jeg ved ikke, hvordan skal jeg have tillid til dem nu? Det har jeg ikke."
212280,217280," Og omvendt har jeg det også sådan, nu vil jeg sgu have lov til at leve livet."
217280,219280," Ved du hvad, jeg gider ikke være bange mere."
219280,221280," Ja, nu må jeg så være det at sige, det ved du godt, dig der har fulgt mig,"
221280,223280," jeg har ikke været bange de her to år."
223280,225280," Jo, jeg har været bange for restriktionerne."
225280,229280," Jeg har været bange for censuren, ekstrem censur."
229280,233280," Jeg har været bange for, at demokratiet blev sat ud at spille, som det jo gjorde."
233280,235280," Jeg har været bange for, at vi fik knægtet vores frihed."
235280,238280," Alt det har jeg været bange for. Jo, bevare os, jeg har været rigtig bange."
238280,241280," Jeg har været bange for folkesundheden og alt det der,"
241280,245280," men jeg har ikke været bange for corona as such."
245280,248280," Og derfor har jeg det også sådan, at et eller andet sted,"
248280,251280," nu er vi sgu nødt til, som jeg siger, at tage livet tilbage."
251280,256280," Vi er nødt til at lade frygten fare, hvad den er os."
256280,259280," Fordi, ved du hvad, der er sgu meget, du kan være bange for."
259280,262280," Du kan være bange for, at familien bliver syg. Du kan være bange for, at du selv bliver syg."
262280,264280," Du kan være bange for, at taget går i stykker."
264280,266280," That's life."
266280,270280," Men vi er altså nødt til at nyde livet. Nu hørte jeg lige spætten spætte."
270280,273280," Vi er nødt til at leve livet."
273280,276280," Vi er nødt til at værfe angsten af skuldrene."
276280,279280," Og ved du hvad, så må jeg være ærlig at sige,"
279280,281280," jeg synes, du skal droppe med at følge nyhederne."
281280,284280," Jeg synes, du skal sætte dem på en nyhedspause."
284280,288280," Diverse af de forskellige, hvad hedder det,"
288280,290280," netaviser osv."
290280,292280," Jeg synes, du skal koble dig ud."
292280,295280," Fordi du er nødt til at reclaim your fucking life."
295280,297280," Du er nødt til at tage dit liv tilbage."
297280,300280," Du er nødt til at fokusere på, hvad er det gode i livet."
300280,302280," Og nej, du kan ikke have tillid til pressen."
302280,304280," Og nej, du kan ikke have tillid til regeringen."
304280,310280," Og nej, Joe Biden virker ikke som den helt skarpeste kniv i skuffen,"
310280,312280," hvis du spørger mig."
312280,315280," Og det er kun mig som læge, der udtaler mig."
315280,318280," Jeg udtaler mig om andet i øvrigt."
318280,321280," Når alt det er så sagt, så må man jo sige,"
321280,323280," det er jo meget interessant, for vi er jo trods alt nogen,"
323280,326280," der stadigvæk ikke følger tallene, når det gælder corona."
326280,328280," Og lad os sige det sådan, rigtig mange er smittet,"
328280,330280," uanset om de har fået et stik eller ej."
330280,332280," Sådan er det."
332280,334280," Det er hurtigt overstået."
334280,336280," Sådan er det."
336280,338280," Det var det sådan set også før omikron."
338280,340280," Lad nu være med at bilde der for meget ind i fortællingen,"
340280,343280," at uha, grunden til at det ser så fredeligt ud, det er omikron."
343280,345280," Nej, det er ikke rigtigt."
345280,349280," Når vi ser på nogle af de data, Serov Institutet selv har publiceret,"
349280,352280," så kan vi se, at dødeligheden har været stort set lige 0,"
352280,355280," for alle under 51 og mellem 60 og 69."
355280,357280," Meget, meget, meget, meget lavt."
357280,361280," Så der får vi tilbage til, at det er ufupem umfidusen."
361280,363280," Således at forstå, at jo, jo, jo, covid er der."
363280,365280," Jeg betyder ikke, at det er der."
365280,367280," Og der er der selv ingen tvivl om, at der er corona nu."
367280,371280," Men derfra til at gøre det til, hvad man sådan på mærkelig vis kalder"
371280,373280," samfundskritisk sygdom, hvad det så end er."
373280,376280," Jeg tror, at samfundskritisk sygdom, det er mere dem, der er kritiske."
376280,379280," Det er en anden snak. Jeg har aldrig brugt mig om det ord."
