start,end,text
0,6280," Sundhedsstyrelsen har jo i dag meldt ud, at jeg skal måske lige sige, hvor jeg sidder."
6280,11360," Jeg sidder jo i dette vidunderlige klippe-landskab på Bornholm, Folkemøde kalder."
11360,17000," Og der er, altså hvis Solskensøen lever op til sin ryg og røg, så er der jo et lille lille smukke der."
17000,35920," Men tilbage til alvoren. Sundhedsstyrelsen har jo meldt ud i dag, at deres anbefaling er, og det må så være fra september, at børn mellem 12 og 15 får tilbudt en vaccine mod covid-19."
35920,47480," Lad os holde fast i det første, nemlig at det forbliver et frivilligt tilbud. Man har vurderet, at det er sikkert."
47480,67920," Jeg må sige, at det står lidt i skærte kontrast, synes jeg, at man netop nu specielt med USA's CDC, som er dem, som er, vil jeg kalde det, en klone Sundhedsstyrelsen Seruminstituttet, men som overgår smittede som sygdomme i USA, kører nu på højeste navne."
67920,80920," Fordi at man netop hos unge mennesker har set en stigning af det, vi kalder en carditis hjertebetændelse, som er noget, der i værste fald kan bryde med forstyrrelser og mulige hjertestop."
80920,90920," Den sammenhæng har man mistanke om, kan knyttes til vaccinerne. Det ses især hos unge under 30, men så dels hos unge."
90920,98920," Vi er nu ved at grænske den mulighed. Det er en uhyrt sjældent bivirkning med givet fald, der ser ud til at være en vis sammenhæng med vaccinerne."
98920,107920," I en situation, hvor man har vaccineret omkring 9 procent i den her unge aldersgruppe, der står kommunikationen lige på ca. 60 procent."
107920,113920," Så man kan sige, at uanset hvad, sker der et eller andet der. Det ved vi ikke, og det er ved at blive grænsket."
113920,122920," Det er også derfor, at ledningsstyrelsen for en uge siden sidste fredag meldte ud, at man er i gang med at undersøge, om det er en sammenhæng."
122920,127920," Det gør, at på den ene side må vi sige, at vi må have respekt for Sundhedsstyrelsens vurdering."
127920,135920," Samtidig er vi også nødt til at sige, at det er meget godt, at det først er til september, for så har vi en periode til at få det indbagt lærmere."
135920,142920," Vi glæder os alle sammen til landskampen nu. Vi er alle sammen rystet fortsat over, hvad der skete i lørdags med hjertestoppet."
142920,150920," Når jeg var ude med at stadigvæk bekymre for, om der er en sammenhæng mellem Christian Eriksens krig til hjertestop og vacciner."
150920,155920," Og vi jo stadigvæk må sige, at it's out in the open. Vi har ikke fået et klar svar fra BKU."
155920,162920," Så er det jo, fordi netop nu i den internationale verden, blandt specielt også hjertelærer og børnelærer, bør det jo også være."
162920,168920," Der er jo meget stor bevågenhed på, om det her er farligt eller ej for mange."
168920,176920," Og når det har så stor en betydning, også selvom det må være en sjældent bivirkning, så er det jo fordi, at vi ved hos børn og unge,"
176920,181920," at de får så utrolig få eller ingen symptomer, hvis det bliver."
181920,190920," Det vil sige, sagt på en anden måde, så må vaccinen på ingen måde være farligere på nogen måde for det raske barn, end at skulle få sygdommen."
190920,195920," Der er det noget andet, når vi ser på ældre, sårbare og komiske syge, fordi der er det en anden afvejning."
195920,202920," Så det vil sige, sagt populært, så tåler vi endnu færre bivirkninger hos børn og unge, end for eksempel hos nogen,"
202920,205920," som vi i forvejen må have en udvikling tilbage til."
205920,207920," Jeg siger ikke, det er sammenhængende præsentering."
207920,212920," Jeg siger bare, at vi er nødt til at få et klar svar fra BKU, fordi lige nu er vi i en fase."
212920,218920," Og når jeg siger ""vi"", så er det også lærer, der følger litteraturen, som følger studierne, som følger tallene."
218920,223920," Ikke mindst hjerte-lærerne også, som er bekymrede for, om der er en sådan sammenhæng."
223920,225920," Det skal vi have visselighed for, at det bliver undersøgt."
225920,229920," Det optager sig endda rigtig meget internationalt blandt de respektive lærer."
229920,231920," Og den respekt skal vi også have."
231920,236920," Så når man fra den periode til selskabssiden siger, altså de danske børnelærer siger,"
236920,240920," at man bestemt ikke egner med, at der vil ses sådan en bivirksomhedsniveau,"
240920,243920," så det aner vi på praktisk hørmål ikke endnu."
243920,246920," Det er det, der skal undersøges. Det skal blive undersøgt."
246920,252920," Det skal vi selvfølgelig afvente respektfuldt, ansvarsfuldt, og så se, hvor det hele lander."
252920,257920," Skal vi ikke holde sammen i aften og satse på, at Danmark selvfølgelig lærer?"
257920,259920," Kan du have det godt, min ven."
259920,262920," Og så vil jeg også sige til dig, husk nu, lev livet."
262920,267920," Gå ud i den skønne natur. Gå ud og kys, kram, giv folk hånden igen."
267920,270920," Gå ud og kræv livet tilbage."
270920,274920," For det venter på dig. Det venter på os, og det skal vi også."
274920,276920," Kan du have det godt, min ven."
276920,281920," Vi ses lige pludselig, og så får du lige sådan en lille Bornholmerbloms tilbage."
