start,end,text
0,4000," - Jeg tror så, det er velkomstførende, at 1000 samarbejdere omløber det ikke."
4000,7000," - Nå, når den ja da skal helt ind i munden, yes."
7000,10000," - Ja, det sagde han også i går."
10000,14000," - Den anden sang, der kan være børn, der ser masser, vi skal passe på."
14000,17000," - Ja, jeg hedder Vilkemaniker, jeg er lærer, jeg har en Ph.D."
17000,21000," - Og så har jeg jo fulgt det her corona-helvede fra starten."
21000,26000," - Jeg stod jo og ventede på jer, og der lavede jeg det, jeg kalder en intelligenstest."
26000,29000," - Hvem tror I, er de dumme?"
29000,32000," - De andre. - De andre, lige præcis."
32000,36000," - Nej, nu er det jo sådan, når man er lærer, så kan man se, om folk er dumme eller kloge."
36000,40000," - Men det her er blevet meget lettere, fordi alle dem, der går rundt med mundbind på,"
40000,44000," - her udenfor, hvor dumme har man lov at være."
44000,52000," - Når jeg bliver lærer, er det fordi, man ikke kan forstå dansk,"
52000,56000," - er det fordi, man ikke kan forstå, hvad signifikans betyder,"
56000,59000," - altså kort sagt, at der ikke er nogen som helst virkning,"
59000,61000," - eller er det fordi, man er blevet så bange?"
61000,64000," - Og det er måske desværre det sidste, der gør."
64000,67000," - I kan jo se folk omkring her, ude i den frie luft,"
67000,71000," - der er vind og der er regn og der er alt muligt, og alligevel går man rundt med mundbind på."
71000,78000," - Det viser jo, hvilken hjernevask, vi har været udsat for."
78000,81000," - Jeg er blevet bedt om at tale om to ting, og det er to ting, der optager mig meget."
81000,84000," - Det ene, det er censur, og det andet er mundbindene."
84000,86000," - Og mundbindene vender jeg tilbage til."
86000,92000," - Censur er jo faktisk et gennemgående tema, vi har oplevet her i coronatiden."
92000,94000," - Jeg har oplevet den personligt."
94000,98000," - Jeg sagde jo faktisk den 17. marts, hvad konsekvensen vil blive."
98000,103000," - Det benyttede BT sig af til at gøre grib med en, på trods af, at jeg havde ret."
103000,105000," - Og på trods af, at det gik præcis, som jeg forudsagde."
105000,109000," - Og de tal, jeg så der, var korrekte, fordi det er jo pointen."
109000,114000," - Vi har hele tiden, og hvert eneste øjeblik, har fokus på én ting, nemlig fakta."
114000,120000," - Desværre har vi jo en regering, som er faktaresistent."
120000,123000," - Jamen det er det jo."
123000,126000," - De tager jo på ingen måde fakta til sig."
126000,129000," - Nu er vi tilbage til intelligentstesten."
129000,131000," - Jeg ved ikke, om det er fordi, de ikke har lært at regne."
131000,134000," - Fordi procentregning, det lærte vi vel i 2. klasse."
134000,136000," - Eller om det er fordi, de ikke kan læse."
136000,138000," - Eller om det er en kombination af de to ting."
138000,147000," - Men et er i hvert fald sikkert, at vi har på ingen tidspunkt været i en situation, der på nogen måde gjorde, at man skulle lukke landet ned."
147000,150000," - Og vi er i endnu mindre en situation for det nu."
150000,162000," - Jeg vil så hellere sige nej, fordi det er jo et helvede, det som regeringen udsætter os for."
162000,169000," - Og jeg er begyndt at kunne se, at det handler vel måske i bund og grund om, at Mette Frederiksen hader befolkningen."
169000,171000," - Hader landet."
171000,174000," - Hader virksomhederne. Prøv at se, hvor mange der er lukket."
174000,178000," - Hader minkene. Prøv at se den her skønne, gyslige, blå mink."
178000,180000," - Og hader børnene."
180000,183000," - Det er jo i virkeligheden ondskabsfuldhed, når det kommer til det."
183000,185000," - Det er sådan, jeg ser det."
189000,192000," - Og det er gået op for mig, at det er det, det handler om."
192000,194000," - Men tilbage til censuren."
194000,198000," - Jeg synes jo, det er interessant. Jeg kunne jo godt sidde og sige, at hvem gider at høre på dig."
198000,202000," - Jamen nu skal vi altså huske, at jeg har haft et tæt samarbejde med pressen i måske 30 år."
202000,204000," - Og hvor de har spurgt mig om stort og småt."
204000,209000," - På klokkeslættet den 17. marts, der smider de mit telefonnummer væk."
209000,214000," - Og uanset hvad jeg har sendt dem af fakta, uanset hvad jeg har sendt dem af videnskabelig dokumentation."
214000,218000," - Uanset hvad jeg har sendt dem, så har det været ""zero zibit""."
218000,223000," - Og det er tilbage til mundkurven, fordi maskerne er jo i bund og grund en mundkurv."
223000,234000," - Når vi så ser på censuren, så er jeg jo ikke den eneste, der har været udsat for censuren."
234000,237000," - Mange tror, at det er bare vibeken."
237000,242000," - Nej, jeg har et kæmpe netværk af rigtig dygtige kollegaer, som jo ikke tør stille sig frem."
242000,246000," - Og de få, der stiller sig frem, de bliver jo også censureret."
246000,251000," - En rigtig dygtig kollega den anden dag, hvor restriktionerne kom, der ringer TV 2 dem op."
251000,255000," - Og så siger TV 2 ""Nå, men vi skal lige høre, hvad du synes om restriktionerne""."
255000,258000," - Hun når lige at sige ""Ja, jeg synes jo, det er en dårlig""."
258000,263000," - Så siger journalisten ""Avend lige, det er godt, hvad jeg vender tilbage. Du hører fra mig""."
263000,268000," - Og så rigtig nok, så fik han fat på en eller anden alarmist, som vi kalder det."
268000,272000," - En eller anden tosse, en børgetosse, som sagde ""Uh, herregud, er det rigtig godt""."
272000,274000," - ""Og pas nu på med at kysse hinanden derude""."
274000,278000," - ""Og for guds skyld, lad vær med at køre hen over kommunegrænserne""."
278000,280000," - Og noget andet ufatteligt vores."
280000,282000," - Så derfor er der jo rigtig meget censur."
282000,288000," - Og derfor er jeg også kommet til, at i virkeligheden burde vi lukke fuldstændig ned for TV 2 Nyhederne."
288000,290000," - Vi burde..."
290000,294000," - Vi burde lukke fuldstændig ned for DR."
294000,302000," - Og så burde vi lukke ned for at gå og clickbaite på BT og Ekstra Bladet osv."
302000,305000," - Hvor de hele tiden ""Uuuh, smitterekord""."
305000,307000," - Det har det jo sådan set været hver eneste dag flere gange dagligt."
307000,310000," - ""Uuuh, uha"". Og det er jo simpelthen ikke rigtigt."
310000,314000," - Så tilbage er, at censuren er meget omfattende. Det er den også inden for forskningen."
314000,316000," - Vi så maskestudiet."
316000,323000," - Og vi ved, at de blev udsat for rigtig grov censur fra forskellige af de store medicinske tidsskrifter."
323000,325000," - Ikke fordi det var dårlig forskning, de havde lavet."
325000,329000," - Men alene fordi det passede ikke ind i fortællingen."
329000,333000," - Det passede ikke ind i narrativet med den her corona-frygt."
333000,335000," - Det her corona-monster."
335000,340000," - Jeg ved ikke, hvor mange af jer der kender nogen, der er eller har været alvorligt syge af COVID-19."
340000,345000," - Vi kender nogen, der testede positivt."
345000,347000," - Vi kender nogen, der hostede nogle dage."
347000,349000," - Jeg personligt nu, jeg er retfærdigvis også kun læge."
349000,350000," - Min mand lige så."
350000,352000," - Vi kender ingen."
353000,357000," - Dermed vil jeg ikke betyde, at der er nogen, der giver et ekstra host eller to."
357000,360000," - På samme måde, som vi gør med rigtig mange andre ting."
360000,363000," - Men der er jo intet, der legitimerer for den her nedlukning."
363000,366000," - Og derfor er det jo også det, som jeg har efterlyst hele tiden."
366000,370000," - Proportionalitet, proportionalitet, proportionalitet."
370000,372000," - For det har der ikke været, og det er der ikke."
372000,381000," - Det er jo helt ude af proportioner, den pris børn, voksne, ældre udsættes for på den her bekostning."
381000,385000," - I en situation, hvor en lille mængde mennesker får et ekstra host i ny og næt."
385000,389000," - Det er skræmmende, og det er farligt for et demokrati."
389000,392000," - Men det er også farligt for et demokrati, når vi har censur."
392000,393000," - Når vi ser på medierne."
393000,397000," - Det er farligt for et demokrati, når vi danskere ikke tænker os om."
397000,400000," - Og det fører mig så til mundbindene, som det sidste."
