start,end,text
880,11000," Så er jeg tilbage. Jeg hedder Linke Madike. Jeg er læge. Jeg har en socialmedicinsk pølse og så må man sige, at jeg om nogen har været covid-19 bulldoggen, hvis vi kan kalde det det."
11000,14000," Jeg har fuldtandet meget minuskøs og gør det fortsat."
14000,18000," Og det gode er jo, at du er trygge hænder, for jeg har haft ret hele tiden."
18000,21000," Det gode er også, at jeg er ekspert i sjældne sygdomme."
21000,25000," Der er du også i trygge hænder, fordi covid-19 er en sjælden sygdom."
25000,31000," Hvis vi tager dagens tal, så er de nede på, der er testet 17.077, tror jeg det er."
31000,34000," Der var det omkring 71, der var testet positiv."
34000,36000," Det vil sige, at vi er nede på 0,4 procent."
36000,40000," Altså er den dernede, hvor den faktisk har været i meget lang tid."
40000,46000," Der kan være lidt udbrud i histen og pisten, men for praktisk at gøre mål er udbruddet med covid-19 over."
46000,49000," Så er det også vigtigt lige at dvale ved to ting."
49000,56000," Det er meget bekymrende, at de praktiselle læger og lægevagter fuldstændig bliver kigget ned af patienterne."
56000,60000," Det er det jo ikke engang, for mange er jo så ikke smittet, som skal høre, hvordan deres svar var."
60000,65000," Om det er kommet, om det kunne være kommet, om hvordan naboens svar er, om hvordan barnets svar er."
65000,71000," Og det er jo alt sammen noget, som røver og stjæler ressourcer fra sundhedsvæsenet."
71000,74000," Det er skattepenge, der bruges til det her vanvid."
74000,80000," Og apropos vanvid, så er den her testning indtil videre, efter alt er dømt, der er to millioner, der er testet."
80000,84000," En del af dem er ind i skraldespanden, for rigtig mange er blevet testet to gange."
84000,91000," Jamen det har kostet det danske samfund indtil videre, i hvert fald alene på test og hele set oppe 5 milliarder."
91000,96000," De udgifter kender vi ikke nøjagtigt, og det synes jeg da, at du og jeg har krav på."
96000,101000," Fordi det her er altså skattepenge, og det er penge, der går fra andre sundhedsydelser."
101000,106000," Det er penge, der går fra plejen til de ældre, det er penge, der går fra omsorgen til vores børn osv."
106000,108000," Så det er jo meget væsentlige tal, det her."
108000,112000," Det er penge, der går fra behandlingen til f.eks. svært, kraftsyg osv."
112000,118000," Og apropos ressourcer, eller tal, så synes jeg også, det er vigtigt at holde fast på,"
118000,123000," at vi ved, at der ved de her test er det, vi kalder falsk positiv."
123000,126000," Det vil altså sige, at der er nogen, hvor det ser ud, som om man er smittet,"
126000,128000," men reelt er det en fejl ved testen."
128000,131000," Det vurderer man af cirka 0,25 %."
131000,138000," Det gør jo så, at når vi nede på så få nu her, var det 71, der testede positivt siden i går,"
138000,141000," så må vi regne med, at en del af dem er faktisk falsk positiv."
141000,143000," De er slet ikke i nærheden af at være smittet."
143000,145000," Hvor mange præcis, ved vi ikke."
145000,149000," Men som sagt skynder man, at det er 0,25 % af dem, der testes."
149000,154000," I det her tilfælde ved vi, at dem, der er blevet testet, er 0,4 % smittet."
154000,158000," Så hvor mange af dem, der reelt kunne være falsk positiv, det er et spørgsmål."
158000,160000," Det vil sige, at de er ikke smittet."
160000,165000," Det tal har vi ikke. Det kunne man gå ind og lave undersøgelser og se ved at teste igen."
165000,168000," For det er jo meget interessant, specielt når tallet er så lille."
168000,173000," Så til dig vil jeg sige, at i mine øjne er det fuldstændig vanvittigt,"
173000,176000," at vi skal til at bruge maske ved et offentligt rum."
176000,181000," Jeg savner den her lægefaglig vurdering, hvor man både ser på virkninger,"
181000,183000," men så sandelig også på bivirkninger."
183000,187000," Hvad koster det at bruge en maske i det offentlige rum?"
187000,189000," Helt lavpraktisk kroner og løber."
189000,193000," Men hvad koster det for dit velfærd, din livskvalitet, din kommunikation med andre?"
193000,197000," Får du udslet, hvad sker der?"
197000,199000," Hvad koster det samfundsmæssigt?"
199000,201000," Jeg har allerede set en del mundbinen ligge omkring."
201000,203000," Hvad gør det i forhold til miljøet?"
203000,207000," Rigtig, rigtig mange ting, som vi burde gå ind og kigge på."
207000,213000," Jeg savner den her ""codes and funds"", som det så fornemt hedder."
213000,215000," Altså for og imod."
215000,221000," Og jeg savner ikke mindst det sundhedsfaglige, den lægefaglige dokumentation,"
221000,224000," for at det overhovedet gør nogen som helst forskel."
224000,229000," Endnu mere nu, hvor udbruddet for praktiske gøremål er overstået."
229000,233000," Så til dig vil jeg sige igen, som du ved, jeg har sagt mange gange før."
233000,238000," Forhold dig til fakta. Kræv, at politikerne forholder sig til fakta."
238000,241000," Og så tænk selv. Hold øje med tagerne."
241000,244000," Og du vil kunne se, at de er fuldstændig fredsommelige."
244000,247000," Det er fint at holde fast i en god hånd i hjerne."
247000,249000," Det er fint at gå så meget ud, som du overhovedet kan."
249000,254000," Og alle de gode fifa-fiduser, vi har, som ikke kun handler om covid-19,"
254000,257000," men om rigtig mange andre, også smitsomme sygdomme."
257000,259000," Og så må jeg sige, nyd livet."
259000,264000," Og så glæder jeg mig til, at mig, vores datter og jeg, vi meget svart,"
264000,267000," er på banen med vores samtalebog 'Coro på'."
267000,271000," En samtale om covid-19. Den skal du glæde dig til."
271000,273000," Kan du have en god weekend. Vi ses."
273000,277000," [Lytter af en mand]"
