start,end,text
920,4420," Hej, jeg hedder Wim Kermannike, jeg er læge, jeg har en Ph.D."
4420,13880," Og så har jeg haft, kan vi med sindsro sige, snudet i coronasporet i hele den her nu snart to år lange coronakrise."
13880,20560," Og nej, jeg har ikke været og er ikke begejstret for regeringens, bistod og myndighedernes håndtering af det her."
20560,28520," Jeg mener, det har handlet om magt, det har handlet om magt og magt, og så lige et ekstra strejf af magt."
28520,36000," Og så har det handlet om manipulation, propaganda og en politisk agerende myndighed, som Sundhedsstyrelsen og Serum Instituttet."
36000,43200," Men det er en anden snak, fordi jeg lovede, at jeg nu ville snakke om corona og smykker."
43200,51640," Og det vil jeg, fordi rigtig mange af jer følger med i mine coronalives, nogle af jer følger med i mine smykkelives, og nogle af jer følger med i begge dele."
51640,59080," Nogle af jer med corona tænker, hvorfor har hun nu gang i de der smykker igen, og hvad skal det nu til for?"
59080,62680," For det første må jeg sige, hey, det er min Facebookpage."
62680,68520," Så hvis ikke du kan lide at være her, hvis du synes, jeg er en tosse, hvis du synes et eller andet, så er der bare en ting at sige, bye bye min ven, så lad være."
68520,73320," Men for mig hænger det rigtig meget sammen, og det gør det af flere grunde."
73320,78920," For det første er det med smykkerne et frirum. Det er der, hvor vi ser på farver, ligesom med maleriet."
78920,88560," Det er der, hvor vi får en afveksling, en afledning til en nu to år lang krise med mange bekymringer, spekulationer, frustrationer osv."
88560,94800," Jeg finder selv ekstremt meget energi i de smukke smykker i Edelsten osv."
94800,96520," Så på den måde betyder det meget."
96520,103600," Plus, at Jules CPH er faktisk en familievirksomhed, så det er altså også en del af mit DNA."
103600,115920," Men der er også noget med smykker i forhold til, hvordan smykker faktisk gennem tiden har været brugt til ikke alene en anerkendelse."
115920,121840," Jeg elsker dig, eller hurra fordi du er blevet student, eller hurra fordi du er blevet læge, eller hurra for et eller andet."
121840,129760," Men også fordi, at smykker har været brugt, og bliver stadigvæk brugt, i en vis grad som betalingsmiddel."
129760,134120," Altså her, hvad kan jeg få for den her ring?"
134120,143760," Og jeg har tidligere fortalt om den her lille historie, fra, hvad hedder det, eller lille, men meget væsentlig historie,"
143760,151200," fra da min mor, da vi kom tilbage til Rumænien i 1972, min mor måtte jo flygte, var en dansk familie."
151200,156720," Måtte jo flygte i 1949 fra Rumænien, hvor hun var vokset op på universitetet og læste kemiingeniør."
156720,159680," Men fordi Danmark kom ind i NATO, var de pludselig fjender."
159680,167840," Og det som min mormor fik med ud af landet, det var jo hverken malerier, eller kunst, eller huse for den sags skyld, nej, det var jo smykker."
167840,173960," Det var jo smykker, som blev syet ind i tøjet, og så videre, og taget ud, det var jo deres egen egen dele,"
173960,179280," men under kommunismen, så blev det jo pludselig statens egen del, surprise."
179280,183240," Så det gjorde jo, at de smuglede det ud, og det var værdien."
183240,190720," Men efter det fortsatte det jo i det kommunistiske land, som Rumænien, som nu var blevet svært kommunistisk under Ceausescu,"
190720,193920," der fortsatte smykker jo med at være betaling."
193920,199120," Pengene, de var ikke noget værd, og de var jo styret fra magten, og så videre."
199120,203120," Men smykker, det blev betaling. Hvad kan jeg få for den her ring?"
203120,207560," Og jo, selvfølgelig havde det betydning, hvor mange brillianter var der, hvor store brillianter var der,"
207560,211760," hvordan så brillianterne ud, hvordan så Safirne ud, hvordan så Rubinen ud,"
211760,216280," men det var stadigvæk betalingen. Hej, hvad kan jeg få for den ring?"
216280,224360," Og det gjorde jo, at da vi så kommer tilbage i 1972 for første gang, efter 1949, hvor min mor kan besøge Rumænien,"
224360,229680," der giver hendes kvindeprofessor, som nu lever i en barak, lever i sin høns,"
229680,238000," der giver hun min mor, som er egentlig mor, min far er død, der giver hun min mor en meget stor diamantring."
238000,242000," Fordi den diamantring skal betale Vivekyldsuddannelse."
242000,248120," Og allerede i 1972, der vidste jeg, efter min far var død, at jeg ville og skulle og måtte blive læge,"
248120,251160," og det blev jeg jo så også. Den betalte ikke min uddannelse,"
251160,259800," fordi vi har retfærdigvis gratis, semi-gratis uddannelse i landet, men den fik en symbolsværdi."
259800,264720," Og det er jo præcis det, som smykker gennem tiden, er blevet brugt som både symbolik,"
264720,269640," jeg elsker dig, ergo giver dig en ring, jeg elsker dig, ergo giver dig en halskæde,"
269640,273960," men den er også blevet brugt som, jeg elsker dig, den skal du have, når jeg ikke er her mere,"
273960,278360," eller den, jeg elskede min mor, så jeg går altid med hendes ring,"
278360,282320," eller hvad det nu er, plus betaling."
282320,287440," Så når en del af jer, sådan gennem den seneste tid, har spurgt meget til,"
287440,294360," skal vi købe guld, kan vi købe guld hos jer, hvordan kan vi konvertere vores, hvad hedder det,"
294360,299280," formue med negativ rente og alle de ting til noget mere fast,"
299280,303800," så har I jo egentlig ret i, eller ikke egentlig, men så har I jo ret i, det er jo rigtig set,"
303800,309240," at smykker jo gennem tiden er blevet, og måske også vil komme til at blive brugt i endnu større grad."
309240,313240," Lad os nu sige, jeg synes jo det har været meget uhyggeligt, og er meget uhyggeligt de sidste to år,"
313240,318520," jeg synes det er skræmmende, hvad vi har været udsat for, hvilket enorme indgreb i vores personlige frihed,"
318520,323800," der har været, fra en, i mine øjne, ekstremt inderøget regering,"
323800,329000," som jeg trækker meget skarpe paralleller til f.eks. det kommunistiske styre."
329000,337480," Og derfor kan jeg jo godt se, at et eller andet sted må vi jo forvente en enorm inflation og devaluering af penge,"
337480,341160," fordi på en eller anden måde, hvor mange kan de blive ved med at trykke,"
341160,346920," pengene får mindre og mindre værdi, vi kommer til at skylde vanvittigt meget på det her corona-helvede,"
346920,349960," coronakrisen, den vanvittige måde, man har håndteret det på."
349960,353800," Og der synes jeg, det giver god mening, og det er jo også det, en vil store tale om,"
353800,357960," jamen om du skal lægge din penge i noget, som ikke er penge."
357960,364280," Altså om du skal lægge din værdi, og om dine værdier i bund og grund skal være f.eks. kunst,"
364280,376040," nu kigger jeg på et maleri bag mig, f.eks. smykker, ædesten, diamanter, guld, særligt ædesten, særligt diamanter osv."
376040,381480," Personligt tror jeg rigtig meget på smykkers meget store værdi."
381480,385240," Både den pecuniære værdi, altså den økonomiske værdi,"
385240,394280," men især dels også den følelsesmæssige værdi, og det værdi, at vi kan lave en byttehandel."
394280,399160," Vores penge er ikke pludselig ingenting værd, alt falder fra hinanden som nogle jo frygter."
399160,402280," Jeg siger hverken det eller den, det har jeg ikke nok indblik i den del."
402280,409400," Jeg har indblik i corona-helvede, jeg har indblik i det skam, kan vi kalde, eller manipulation og propaganda,"
409400,412440," men økonomi osv. har jeg ikke."
412440,416680," Men jeg forstår godt dem, der tænker, og jeg kan også se mine store interesserer sig for det,"
416680,420680," jamen hvordan kan vi investere i noget, som består?"
420680,427560," Altså ikke en krone eller 100 kroner, som pludselig bang, mister alle deres værdi, men f.eks. en ring."
427560,434040," Nu er det her en brillantring i, hvad hedder det, rosa guldring, rosa guld med en forholdsvist stor brillant i midten,"
434040,435560," jeg ved ikke, om du kan se den."
435560,439960," Men hvis du tog brillanterne, jeg vil lige vise den, jeg skal lige se, om jeg selv kan se noget."
439960,444120," Hvis du tog brillanterne og kom dem i en lille bag,"
444120,448760," jamen så vil jeg jo personligt ikke være så interesseret i at købe de løse brillanter,"
448760,452040," fordi hvad skal jeg egentlig med dem, og i hvilken lomme skal de ligge i?"
452040,456600," Selv uagtet er det en stor brillant i midten, jeg ved ikke, om du lige kan se, hvor flot den er,"
456600,458440," jeg tror du kan få en idé der."
458440,463960," Men som ring får den jo en værdi, fordi jeg synes den er smuk, du synes måske den er smuk,"
463960,470040," eller du synes en anden er smuk, men det vil sige, at den får noget værdi, fordi den bliver atroværdig."
470040,475960," Ikke de løse brillanter alene, men ringen as such bliver atroværdig."
475960,480760," Det samme med øreringene kan man sige, jamen der har du en masse små brillanter og noget rose guld,"
480760,485240," men sammen lavet, så bliver det atroværdigt, eller kæden for den sags skyld,"
485240,489000," hvor man kan sige, jeg vil jo hellere have den i en kæde, end jeg vil have den løse."
489000,496040," Og der bemærker jeg mig også, at man nu kører inde på Amalienborgs Museum,"
496040,503240," en udstilling jeg helt sikkert selv vil ind og se, nemlig smykker i dronningens 50 års regentid."
503240,505880," Og det er jo igen fordi, at smykker rummer så meget."
505880,510680," Jeg har selvfølgelig gentagende gange set kronjuvæle, også i London og rundt omkring i verden,"
510680,517080," kigger jeg gerne på smykker og smykker gennem tiden, fordi smykker jo netop har været brugt også som betalingsmiddel."
517080,521400," Og der kan man sige for eksempel, at nogle af de engelske kronjuvæler,"
521400,527240," hvis du i gåsånd bare lavede den store safir, den store rubin eller de mange rubiner,"
527240,530520," sådan huller om buller, så har de jo ikke noget værdi."
530520,535800," Men hvis du laver en kongekrone eller laver en smuk ring eller nogle smukke ørering,"
535800,540520," så har de jo både værdien i gulvet og i brillianterne,"
540520,548760," men det har også værdien i smykket, i skønheden, og det er noget, vi kan udveksle med hinanden."
548760,557240," Så jeg tror, at det er rigtig set, at vi kan i hvert fald frygte, at penge får en dårligere værdi,"
557240,561800," og der er det klart, at der vil noget bestandigt holde sin værdi."
561800,565480," Jeg ved, at en del af jer overvejer, og nogle af jer har også købt guld,"
565480,576520," og det tænder jeg personligt ikke på, således at forstå, at okay, så kan du så have guld i en bankboks, hurra for det."
576520,582600," Hvor jeg jo synes, at et smykke og smykkets værdi, både og glæden man kan have,"
582600,586280," det er jo også en vidtig brugen af det undervejs, det er jo også en værdi."
586280,593720," Og igen, hvis vi kigger gennem tiderne og fortsat, fx i ekstremt kommunistiske styre eller diktatur,"
593720,598200," der er og bliver smykker brugt som betalingsmiddel."
598200,605080," Typisk selvfølgelig ægte smykker, ikke kun med brillant, det kan også være med andre fine, ædede sten,"
605080,609800," heller ikke kun guld, det kan også være i sølv, men selvfølgelig ægte smykker."
609800,616680," Så hvis du sidder og overvejer, skal jeg, hvad hedder det, ja den er fantastisk smuk, tak for det Connie,"
616680,624840," det er jo mig design, det eget design, vores er jo vores egen design, og det her er jo en af unika ringene,"
624840,631560," kan man sige, jeg ved ikke, om I lige kan se den, men den er vanvittigt smuk, og den er som sagt i ren roseguld."
631560,635080," Jeg skal lige se, hvordan lyset er, der kan du se den der, meget, meget smuk."
635080,641640," Men igen, derfor synes jeg, at det var passende at lave den her live video, både for at sige,"
641640,648680," jamen altså, for mig hænger mit virke, også som læge, rigtig tæt sammen, også med smykker."
648680,652920," Og når vi går meget op i smykkestejling, både fordi det har den her følelsesmæssige værdi,"
652920,657880," den økonomiske værdi, den faktuelle værdi og så videre, og når vi går meget op i smykkestejling,"
657880,662920," så handler det jo også om at kigge på hinanden, det handler om at kigge hinanden i øjnene, hvad er det for en øjenfarve du har,"
