start,end,text
960,3400," God aften til alle sammen derude."
3400,6640," Jeg hedder Vibeke Madike, jeg er læge, jeg har en Ph.D."
6640,14200," Og så har jeg jo fulgt det her forfærdelige corona-helvede i de sidste to år."
14200,23760," Jeg vil godt lige i dag allerførst vil jeg jo sige tak, fordi at I er så utrolig søde til at sende mig beskeder, sms'er."
25760,30320," Og når I møder mig på gaden og så videre, og blev endelig ved."
30320,34400," Og så en som i dag der var ude og løbe, ja løbe og løbe, men tøffe en tur."
34400,49000," Så blev jeg også stoppet af en, jeg vil sige, medsammensvoren, som delte min frustration og brede irritation, fortvivelse, sorg, over hvad vi har været udsat for de sidste to år."
49000,53400," Men jeg vil egentlig godt tale om censuren."
53400,59680," Jeg har jo et sædning, som du ved, der hedder ""I censurens skygge blejner demokratiet""."
59680,63600," Og det må jeg jo sige, er meget sigende for de sidste to år."
63600,68720," Jeg synes det er et enormt demokratisk problem."
68720,75800," Jeg var selv, en meget stor del af min ungdom og voksenhjul, har jeg været medlem af Amnesty International."
75800,81360," Og i gamle dage, som man siger, og ja, når man er 60 år, så taler man om gamle dage."
81360,88560," Men der fængslede man jo systemkritikere, og det gjorde man jo for, at de ikke skulle kunne kommunikere med omverden og så videre."
88560,95120," Jeg synes jo, de sidste to år, som jeg ser det, det har jo været mit fængsel, censurfængsel."
95120,102360," Fordi hvis ikke vi havde haft primært Facebook, LinkedIn er jo også ekstremt censurerende, det vender jeg tilbage til."
102360,113120," Jamen hvis ikke vi havde haft de sociale medier, Instagram, Facebook osv., blogs, mine egne blogs, jamen så havde jeg jo været fuldstændig afskåret fra at kommunikere med omverden."
113120,125160," Fordi at pressen, statsmedierne kan vi kalde det, lukkede jo fuldstændig af, og det gør de for så vidt stadigvæk, i forhold til hvad kritiske røster sagde og gjorde, inklusiv mig selv."
125160,131360," Så på den måde ser jeg det faktisk som det moderne fængsling af systemkritikere."
131360,142080," Du behøver sikkert ikke at sætte os i fængsel, fordi det er rigeligt, at pressen, om man så må sige, holder os ude og kvaler den demokratiske debat."
142080,146360," Og den har jo været fuldstændig fraværende i de her to år."
146360,159360," Nu kommer der en form for selvrensagelse, og ja, det er da bedre end ingenting, men i virkeligheden har det jo haft meget alvorlige konsekvenser for landet,"
159360,169360," for landets sikkerhed, for folkesundheden, for dig og mig, for vores børn, nemlig at der har været den her helt ekstreme censur."
169360,179360," Så at den kritiske diskussion, de kritiske røster som mine, har været fuldstændig fjernet fra debatten, og er det for så vidt stadigvæk."
179360,185360," Det har stået på i to år, og nogle af jer vil sige ""Norm Vibke, det har du snakket om før""."
185360,190360," Ja, både/og, men det er nu lang tid siden, jeg har lavet sådan en update."
190360,202360," Og det gør jeg, fordi jeg begynder at få en del henvendelser, heldigvis fra lærere, som gerne vil snakke og lære deres børn og elever og unge studerende,"
202360,206360," om netop censurens væsen her under coronakrisen."
206360,217360," Så derfor får jeg en del henvendelser, og der tænker jeg, at det måske er en meget god anledning til at lave en gennemgang af det."
