start,end,text
960,2960," Godmorgen alle sammen."
2960,6640," Jeg har lige været ud på en løbtur, oppe at besøge min mor."
6640,8640," Hun ligger på Sønderød Kirkegård."
8640,12360," Og det her er faktisk vores hut, som man siger."
12360,14360," Det er her, hvor jeg holder til."
14360,18800," Der kan du se Sønderød Kro, Sønderød Slot og Sønderød Kirke."
18800,21480," Men lige nu kan du mest alt se mig."
21480,24640," Og den lille dame, hvor har vi hende?"
24640,26160," Jo jo, den er god nok."
26160,28720," Det er den lille franske bokser."
28720,30720," Jeg ved ikke, om der findes franske bokser."
30720,34040," Men hun er en bokser, som stammer fra Frankrig."
34040,35400," Lige syd for Paris."
35400,36720," Men det var ikke det, vi skulle snakke om."
36720,42600," Vi skulle snakke om de aktuelle tal, vi skulle snakke om sæsonvariationen."
42600,47200," Fordi det er jo sådan, at corona har selvfølgelig sæsonvariation."
47200,48720," Det sagde jeg fra starten."
48720,51200," Det sagde jeg tilbage til februar, marts 2020."
51200,54400," Det var faktisk også derfor, jeg aldrig var bekymret for på det tidspunkt."
54400,57520," At vi ville få nogen som helst bravne coronaepidemi."
57520,59160," Det fik vi jo heller ikke."
59160,63360," Blandt andet, eller som en meget væsentlig årsag, sæsonvariationen."
63360,67400," Det blev enten sidehjælt sådan en som Kåre Møllebakke har nævnt det aldrig."
67400,71800," Jeg har forsøgt at få ørenlyd, histen, pisten og alle vejen."
71800,75640," Enten blev jeg som resten af coronakrisen fuldstændig censureret."
75640,76920," Eller så blev man latterlig gjort."
76920,78720," Men pointen er, at jeg havde også det ret."
78720,81480," Nemlig at corona selvfølgelig har en sæsonvariation."
81480,82760," Ligesom influenza har."
82800,88240," Og derfor er vi nu på vej ind i en tid med ophobning af corona."
88240,89800," Det kan vi se på tallene."
89800,94320," Uagtet om man er vaccineret eller ej, så både smitter man og bliver smittet."
94320,96320," Så det kan vi se, at sådan er det."
96320,99960," Man kan så sige, at det der kan bekymre os, som nogen af jer jo også har spurgt ind til."
99960,104760," Det er det her med, kan vi frygte en større coronaepidemi."
