start,end,text
720,3860," Så jeg er tilbage. Jeg hedder Vibeke Manika."
3860,5320," Jeg er læger og har en Ph.D."
5320,8920," Og så er det tid til at lave en lille live."
8920,12060," Jeg vil ikke sige inspireret af"
12060,16960," morforsøget på Trump. Det er trods alt slet ikke i samme kaliber,"
16960,22000," det jeg vil fortælle, men det fik mig alligevel til at tænke på en sag,"
22000,26000," som nogle af jer har hørt om og andre ikke har hørt om,"
26000,28000," og andre igen har glemt."
28000,31000," Men som jeg synes er interessant, fordi"
31000,34000," vi så jo alle sammen,"
34000,38000," eller jeg ved ikke om vi så, men jeg er sikker på, at vi alle sammen har set billeder af Donald Trump,"
38000,42000," det morforsøg, der var på ham, den unge 20-årige mand,"
42000,46000," som lå oppe på taget, mens politiet snollede rundt"
46000,49000," og dårligt vidste, hvad der var op og ned på det hele."
49000,52000," Og heldigvis slipper vi med skrækken."
52000,54000," Trump bliver snittet."
54000,59000," Bagefter stiller han sig op og råber ""Fight, fight, fight""."
59000,62000," Det synes jeg virkelig kræver sin mand."
62000,64000," Men det er hvad det er."
64000,67000," Men det her med, der var jo meget hurtigt, ja, men den her unge mand,"
67000,71000," han har gjort det på sin egen ""on his own"" og så videre."
71000,73000," Det har han meget vel også."
73000,76000," Men det aner jeg jo ikke nok om."
76000,79000," Jeg synes så det vil være mærkeligt, men lad det nu være."
79000,82000," Jeg er ikke en del af Secret Service,"
82000,85000," så det så heller ikke ud til, at de klarede den opgave særlig godt."
85000,89000," Men det fik mig alligevel til at tænke på vores egen historie."
89000,93000," Hej hej, Paul Erik, og i det hele taget, hej hej til jer alle sammen."
93000,95000," Godt at se jer igen her."
95000,97000," Der er meget nyt."
97000,100000," Den næste live, jeg ved godt, jeg havde lovet, at den næste live"
100000,103000," handler om et overview over hele situationen."
103000,106000," Men jeg så jo, og det har I måske også set,"
106000,108000," der er kommet et studie fra Københavns Universitet."
108000,111000," Jeg talte faktisk også med en af seniorforskerne i dag i telefonen."
111000,117000," Omkring det her medfødte misdannelser hos børn født af mødre,"
117000,122000," som fik coronavaccinen eller corona i første trimester."
122000,125000," Og den vil jeg egentlig godt lave en live om som den næste,"
125000,129000," fordi jeg synes, der er nogle data,"
129000,133000," der er nogle ting i det studie, som på den ene side er meget beroligende,"
133000,135000," og på den anden side, hvor man må sige ja,"
135000,138000," og det konkluderer forskerne også selv, vi har brug for flere data."
138000,141000," Men den annoncerer jeg. Så der sker hele tiden noget,"
141000,144000," og vi har så styrtende travlt af så mange grunde,"
144000,147000," også i forhold til selvfølgelig vores egen data og studie og alt det der."
147000,150000," Og derfor vil jeg også sige, inden jeg fortæller historien,"
150000,153000," tusind tak til alle jer, der bakker op om vores forskning."
153000,156000," Tak til jer, som bakker op om vores indsamling."
156000,159000," Det er jo sådan, at vi modtager ingen fondsstøtte,"
159000,161000," ingen støtte fra offentlige midler."
161000,165000," Alt foregår alene i fritiden,"
165000,169000," og selvfølgelig med den økonomiske opbakning,"
169000,171000," nogen af jer har valgt at give."
171000,177000," Vi har en indsamlingsgodkendelse fra Civilstyrelsen,"
177000,181000," og det er til forsat forskning i baseafhængige bivirkninger"
181000,186000," her under forskerhonorar, relevant administrations- og rejseudgifter."
186000,190000," Og netop fordi nogen af jer, og I er så en rigtig god håndfuld,"
190000,193000," og os der giver igen og igen, og tusind tak for det,"
193000,198000," men dem af jer, der har valgt at bakke op med 10 kroner, 20 kroner, 100 kroner,"
198000,200000," og nogen af jer endda også mere, tusind tak for det."
200000,204000," Det betyder meget, og jeg ser det også som et fælles anlæggende."
204000,208000," Jeg ser det ikke som noget, jeg løfter alene, eller Max, eller Peter,"
208000,212000," eller os tre for dens selskyld, eller nu med Jonathan, vores svenske ven."
212000,215000," Jeg ser det som et fælles anlæggende,"
215000,218000," et fælles opgave, en fælles forpligtelse."
218000,221000," Også sammen med jer, som interesserer jer for det, og er bekymret for det."
221000,224000," Derfor vil jeg sige tusind tak, men det er også nødvendigt,"
224000,229000," og det er den måde, du så kan chippe ind til, at vi får endnu mere viden,"
229000,231000," endnu mere forskning, endnu flere data,"
231000,235000," som enten kan af- eller bekræfte, om vi skal være bekymrede."
235000,238000," Der er nogle ting, vi skal være bekymrede for,"
238000,240000," men alt det vil jeg lave et overview om."
240000,244000," Den næste video kommer til at handle om det her studie fra Københavns Universitet,"
244000,247000," fordi jeg synes, det har brug for at blive nuanceret noget mere,"
247000,251000," for i bund og grund er spørgsmålet, hvad det egentlig viser."
251000,256000," For mig ser det en forkert tilgang, hvis man skal ind og kigge efter specielle bivirkninger,"
256000,258000," men det vender vi tilbage til."
258000,261000," Den skal jeg nok annoncere."
261000,264000," Tilbage til den her historie."
264000,269000," Jeg synes jo, data, og hvis du vil støtte, så er det 10 74 62,"
269000,273000," altså mobile pay, eller der står også deroppe kontonummer,"
273000,276000," hvis du kan overføre per konto, men 10 74 62,"
276000,278000," og så står der LIVA,"
278000,281000," og det er så en konto, der er alene dedikeret til indsamlingen."
281000,284000," Og man skal aflægge regnskab efterfølgende,"
284000,288000," så alt er så transparent, det både skal og bør være."
288000,292000," Tilbage til det, jeg vil fortælle om."
292000,296000," Da vi for mere end et år siden,"
296000,300000," vi er i midten af april 2021,"
300000,302000," ikke 2021,"
302000,305000," 23, altså for over et år siden."
305000,308000," Hvorfor jeg lige tabte tråden, det er, fordi det er faktisk meget interessant,"
308000,311000," at nogle af de der større ting, der er sket,"
