start,end,text
0,7000," Her har du mig igen. Jeg hedder Wiebke Mannike. Jeg er læge og har en PUD."
7000,14000," Og så er jeg ude i det vidunderlige vejr her en lørdag morgen med den lille dame."
14000,20000," Og hun er i snor i dag, fordi hun er det, man kalder i løbetid."
20000,23000," Og så bliver tingene jo lige pludselig meget interessante."
23000,31000," Bella, tag pind. Tag pind. Alle, alle. Tag pind. Tag pind."
31000,36000," Og den lille pind, det er som min ene handske, så jeg må klamre mig uden en handske."
36000,42000," Og den bliver lagt jævnligt, for så jeg må tage den op, og så kan vi slås lidt om den."
42000,46000," Og så lægger hun den igen. Men det var nu ikke min handske, vi skulle snakke om."
46000,51000," Vi er nødt til at snakke om, at du er nødt til at tage dit liv tilbage, min ven."
51000,59000," Du er nødt til at lade frygten fare. Nu har du været bange, eller landet har været bange i to år med corona."
59000,62000," Det kommer. Nu kommer det. Nu kunne det komme. Det var kommet. Det kunne komme igen."
62000,67000," Det kunne tænkes at komme. Kort sagt, det hele har handlet om corona-angst."
67000,73000," Alt imens, at man har rodet i sin lille corona-navle i de respektive lande."
73000,76000," Ikke tænk på meget andet end fucking corona, undskyld, jeg bander."
76000,85000," Ja, så er der sket ting af sager, rent, skal vi sige, sikkerhedspolitisk, som man jo helt åbenlyst har overset."
85000,95000," Fordi man har haft så travlt, i mine øjne med at pille i sin corona-navle og så fængsle en chef for Forsvarets Efterretningstjeneste."
95000,101000," Hvis ikke nogen kan se alvoren og det horrible, så ved jeg altså ikke."
101000,108000," Og så pludselig har vi altså Rusland, der invaderer Ukraine og viser sig at have lyst til at ekspandere."
108000,113000," Men det er ikke det, vi skal snakke om. Fordi pointen er, at du er nødt til at lade frygten fare."
113000,119000," Du er nødt til at tage dit liv tilbage. Du er nødt til at leve livet, mens du har det."
119000,124000," Vi kan ikke leve i frygt. Vi kan ikke bruge hver dag på at spekulere på, at nu går det galt."
124000,127000," Nej, nu kunne det gå galt. Nej, nu går det rigtig galt. Nej, for popper det går galt."
127000,134000," That's life. Som læge ved man, at tingene det går godt til, det ikke går helt så godt mere."
134000,139000," That's life. Så lev nu det liv, mens du har det. Gå ud i det vidunderlige vejr."
139000,143000," Besøg, vær sammen med dem, lave middagsselskaber."
143000,149000," I går var jeg til en fantastisk, hvad hedder det, premiere. Undskyld, jeg lige mister troen."
149000,153000," Men den har jeg mistet min handske, og den lille dame synes, der sker for lidt."
153000,157000," Den lille bokser pig Bella, du skal lige se hende der. Hvor har vi hende?"
157000,163000," Der. Man kan godt se, at hun er i snor i dag, og det er hun altså fordi, at hun er i løbetid."
163000,169000," Anyways. Og så ved vi jo handhundene. Så for at live som en elendig forfatter sagde,"
169000,174000," var det, jeg forstår mig ret kussesundt, sikkert dog et ulækkert, grimt ord."
174000,178000," Jeg har aldrig brugt mig om Kim Leine, men jeg gør det da endnu mindre nu."
178000,184000," Og Martin Krasning. Ord er altså ikke tålfri. Og jeg synes simpelthen, det er så ægelt et ord."
184000,192000," Og det er både nedværdiger, ikke alene os kvinder, men jo faktisk også jer mand,"
192000,196000," når man bruger sådan et ægelt ord. Men anyways. Det var ikke det, vi skulle snakke om."
196000,200000," Vi skulle snakke om, at du skal langs den far, min ven. Du skal tage dit liv tilbage."
200000,206000," Og som sagt var jeg til en fantastisk premiere i går. Og hvor var jeg det dog vidunderligt."
206000,210000," Det var den korte. Radioavisen var den korte. Jeg ved dårligt snart, hvad de kalder sig."
210000,215000," Men det var Kisser og Rasmus Bruhn inde på Bremen Teater."
215000,218000," Og jeg kan godt røbe, de havde premiere i går. Og jeg kan godt røbe, at Dr. Manicke,"
218000,225000," satirfiguren Dr. Manicke, har en lille bitte rolle i showet. Men meget væsentlig rolle."
225000,232000," Og jeg kan også godt røbe, at det er et show, hvor man både griner, hvor man tænker,"
232000,237000," hvor man underholdes, men også hvor man græder. Og det er jo sådan set, det livet handler om."
237000,243000," At vi griner, og vi er glade, og vi er vemodige, og vi knibler en tåre, og vi mister."
243000,249000," Og det kan jeg også godt sige, uden at sige for meget. Vi mister også noget meget vigtigt ved det show."
249000,255000," Og det ved jeg jo fordi, som jeg sagde før, at Dr. Manicke har en, ja det kan vi godt kalde det,"
255000,262000," men også det serende rolle i showet. Så jeg synes, jeg har en lille bitte aktie i det fantastiske show."
262000,267000," Og det, der var så skønt også, jeg undskylder hele tiden Bokemom, det er fordi, hun bliver ved med at smide min handske."
267000,273000," Det, der var så... Nå, nu får hun en gang til. Det, der var så fantastisk, også i går til showet,"
273000,280000," det var ingen coronarestriktioner. På trods af, at landet stadigvæk har ramt af corona."
280000,288000," Men det var jo fantastisk. Og så var det bare fuldt hus, og der var bare snak og grin og latter,"
288000,294000," og man omgik hinanden, og det var simpelthen så fantastisk skønt."
294000,299000," Der var ikke en levende kæft, der tænkte på corona. Der blev hostet og hakket,"
299000,306000," som når vi mennesker nu omgås hinanden. That's life. Og vi tager den chance, når vi bevæger os ud i livet,"
306000,311000," at jo, vi kan falde. Jeg er ude og løbe. Jo, jeg kan falde over en flise. That's life."
311000,319000," Så derfor, min ven, kom du bare ud og lege. Kom du ud og løbe og cykle og gå en tur i det her fantastiske vejr."
319000,324000," Det er du altså nødt til. Og så lad angsten fare. Og jeg har sagt det, før jeg siger det igen."
